adj_close,close,date,high,low,open,volume
2.042773,5.908950,2007-05-02,6.020440,5.853206,6.020440,5654337
2.062045,5.964695,2007-05-03,6.076185,5.908950,5.964695,6594
2.100587,6.076185,2007-05-04,6.187674,5.964695,6.020440,4653
2.139130,6.187674,2007-05-07,6.299164,6.131930,6.131930,8463
2.062045,5.964695,2007-05-08,6.299164,5.964695,6.243419,6196
2.081316,6.020440,2007-05-09,6.076185,5.908950,5.964695,9225
2.042773,5.908950,2007-05-10,6.131930,5.908950,6.076185,8330
2.081316,6.020440,2007-05-11,6.076185,5.797461,5.853206,6732464
2.139130,6.187674,2007-05-14,6.299164,6.020440,6.131930,9984
2.139130,6.187674,2007-05-15,6.243419,6.020440,6.187674,6563838
2.100587,6.076185,2007-05-16,6.187674,6.020440,6.131930,5342
2.119859,6.131930,2007-05-17,6.187674,6.020440,6.187674,6992
2.119859,6.131930,2007-05-18,6.187674,6.076185,6.131930,5959
2.119859,6.131930,2007-05-21,6.243419,6.076185,6.243419,8696
2.196944,6.354909,2007-05-22,6.354909,6.131930,6.187674,7426
2.261508,6.410654,2007-05-23,6.410654,6.299164,6.354909,5749
2.182847,6.187674,2007-05-24,6.354909,6.131930,6.354909,6583
2.123851,6.020440,2007-05-25,6.131930,6.020440,6.020440,9642
2.182847,6.187674,2007-05-28,6.243419,6.076185,6.076185,4843
2.202512,6.243419,2007-05-29,6.299164,6.187674,6.187674,4344
2.143517,6.076185,2007-05-30,6.243419,6.076185,6.243419,9069
2.222178,6.299164,2007-06-01,6.354909,6.187674,6.187674,12559
2.300839,6.522143,2007-06-04,6.577888,6.354909,6.354909,12193
2.300839,6.522143,2007-06-05,6.689378,6.466399,6.522143,6786280
2.320503,6.577888,2007-06-06,6.689378,6.522143,6.522143,8707
2.261508,6.410654,2007-06-07,6.522143,6.354909,6.466399,15239
2.241843,6.354909,2007-06-08,6.466399,6.243419,6.299164,10922
2.320503,6.577888,2007-06-11,6.633633,6.466399,6.466399,10433
2.379499,6.745123,2007-06-12,6.800868,6.689378,6.689378,11719
2.418831,6.856612,2007-06-13,6.856612,6.522143,6.577888,12550
2.438495,6.912357,2007-06-14,7.023847,6.912357,6.912357,7360
2.399165,6.800868,2007-06-15,7.023847,6.800868,6.968102,7207
2.477827,7.023847,2007-06-18,7.079592,6.968102,6.968102,8520
2.458161,6.968102,2007-06-19,7.079592,6.912357,6.968102,6298
2.458161,6.968102,2007-06-20,7.079592,6.856612,6.968102,8668
2.438495,6.912357,2007-06-21,6.968102,6.800868,6.912357,12422
2.418831,6.856612,2007-06-22,6.912357,6.745123,6.856612,7354
2.477827,7.023847,2007-06-25,7.023847,6.800868,6.856612,9853
2.418831,6.856612,2007-06-26,7.079592,6.856612,7.023847,9742
2.379499,6.745123,2007-06-27,6.912357,6.689378,6.856612,8655
2.399165,6.800868,2007-06-28,6.856612,6.689378,6.800868,11267
2.458161,6.968102,2007-06-29,6.968102,6.800868,6.856612,8366
2.458161,6.968102,2007-07-02,7.023847,6.800868,6.968102,6441
2.438495,6.912357,2007-07-03,6.968102,6.856612,6.968102,8036
2.379499,6.745123,2007-07-04,6.968102,6.745123,6.968102,7799
2.399165,6.800868,2007-07-05,6.856612,6.745123,6.800868,5806
2.418831,6.856612,2007-07-06,6.912357,6.800868,6.856612,6449
2.497492,7.079592,2007-07-09,7.079592,6.856612,6.912357,10461
2.477827,7.023847,2007-07-10,7.135336,7.023847,7.079592,9048
2.438495,6.912357,2007-07-11,7.023847,6.856612,7.023847,7853
2.517157,7.135336,2007-07-12,7.135336,6.968102,6.968102,5489
2.536822,7.191081,2007-07-13,7.358316,7.191081,7.246826,7918
2.615483,7.414061,2007-07-16,7.469805,7.302571,7.302571,7048
2.694144,7.637040,2007-07-17,7.692785,7.414061,7.469805,10415
2.576153,7.302571,2007-07-18,7.581295,7.302571,7.525550,9283
2.595818,7.358316,2007-07-19,7.414061,7.246826,7.358316,8203
2.654814,7.525550,2007-07-20,7.581295,7.414061,7.469805,6084
2.753141,7.804274,2007-07-23,7.804274,7.358316,7.358316,8321
2.753141,7.804274,2007-07-24,7.971509,7.748529,7.804274,10110
2.733475,7.748529,2007-07-25,7.915764,7.692785,7.692785,6942
2.713810,7.692785,2007-07-26,8.027254,7.637040,7.804274,14726032
2.615483,7.414061,2007-07-27,7.525550,7.302571,7.414061,17824
2.654814,7.525550,2007-07-30,7.581295,7.246826,7.246826,13434
2.654814,7.525550,2007-07-31,7.692785,7.469805,7.692785,16340531
2.556487,7.246826,2007-08-01,7.581295,7.079592,7.525550,18295
2.556487,7.246826,2007-08-02,7.469805,7.135336,7.414061,9708
2.654814,7.525550,2007-08-03,7.525550,7.302571,7.358316,10571
2.536822,7.191081,2007-08-06,7.358316,7.135336,7.246826,11592
2.497492,7.079592,2007-08-07,7.414061,7.079592,7.358316,8007
2.646064,7.414061,2007-08-08,7.414061,7.191081,7.302571,9925
2.526692,7.079592,2007-08-10,7.135336,6.968102,7.079592,17122667
2.486902,6.968102,2007-08-13,7.135336,6.800868,7.135336,17215
2.506798,7.023847,2007-08-14,7.079592,6.856612,7.023847,12151
2.387426,6.689378,2007-08-15,6.912357,6.689378,6.856612,12878
2.248160,6.299164,2007-08-16,6.577888,6.131930,6.577888,21688
2.188473,6.131930,2007-08-17,6.243419,5.630226,6.020440,38344
2.327740,6.522143,2007-08-20,6.633633,6.410654,6.577888,25534
2.268054,6.354909,2007-08-21,6.689378,6.299164,6.577888,12847
2.447112,6.856612,2007-08-22,6.856612,6.466399,6.466399,14424
2.506798,7.023847,2007-08-23,7.191081,6.912357,7.191081,9943
2.506798,7.023847,2007-08-24,7.023847,6.800868,7.023847,6147
2.546588,7.135336,2007-08-27,7.191081,7.023847,7.135336,7525
2.506798,7.023847,2007-08-28,7.191081,6.968102,7.135336,9579
2.467007,6.912357,2007-08-29,6.912357,6.689378,6.745123,12261
2.526692,7.079592,2007-08-30,7.135336,6.968102,7.023847,10072
2.546588,7.135336,2007-08-31,7.246826,6.968102,7.246826,12959
2.566482,7.191081,2007-09-03,7.191081,7.079592,7.135336,7218
2.526692,7.079592,2007-09-04,7.191081,7.079592,7.191081,7091
2.586378,7.246826,2007-09-05,7.302571,7.079592,7.191081,9643
2.626168,7.358316,2007-09-06,7.358316,7.135336,7.191081,10318
2.665958,7.469805,2007-09-07,7.581295,7.358316,7.358316,9541693
2.586378,7.246826,2007-09-10,7.358316,7.191081,7.246826,7914636
2.626168,7.358316,2007-09-11,7.414061,7.246826,7.246826,9846
2.646064,7.414061,2007-09-12,7.469805,7.358316,7.414061,5889
2.665958,7.469805,2007-09-13,7.637040,7.414061,7.469805,11036
2.725644,7.637040,2007-09-14,7.804274,7.581295,7.581295,11384
2.626168,7.358316,2007-09-17,7.692785,7.358316,7.637040,4653
2.665958,7.469805,2007-09-18,7.637040,7.246826,7.302571,11866
2.785330,7.804274,2007-09-19,7.804274,7.692785,7.804274,9529
2.745540,7.692785,2007-09-20,7.915764,7.692785,7.860019,5810
2.745540,7.692785,2007-09-21,7.860019,7.692785,7.692785,7356
2.785330,7.804274,2007-09-24,7.915764,7.692785,7.748529,12487
2.705750,7.581295,2007-09-25,7.915764,7.581295,7.804274,10470928
