adj_close,close,date,high,low,open,volume
1.207182,2.807665,2007-11-05,2.872960,2.791342,2.856636,8814211
1.221220,2.840313,2007-11-06,2.872960,2.758694,2.840313,6818332
1.228238,2.856636,2007-11-07,2.856636,2.775018,2.840313,6924926
1.186127,2.758694,2007-11-09,2.823989,2.742371,2.758694,9696367
1.186127,2.758694,2007-11-12,2.758694,2.709724,2.742371,6877143
1.165071,2.709724,2007-11-13,2.758694,2.709724,2.742371,5170415
1.179108,2.742371,2007-11-14,2.758694,2.677076,2.758694,8135440
1.151034,2.677076,2007-11-15,2.742371,2.628105,2.742371,5230451
1.136997,2.644429,2007-11-16,2.677076,2.611782,2.628105,4057918
1.129979,2.628105,2007-11-19,2.660753,2.595458,2.611782,3124303
1.129979,2.628105,2007-11-20,2.677076,2.562811,2.660753,6010914
1.108922,2.579134,2007-11-21,2.595458,2.546487,2.579134,4930273
1.101905,2.562811,2007-11-22,2.611782,2.530164,2.546487,3531075
1.094886,2.546487,2007-11-23,2.579134,2.530164,2.562811,1152929
1.136997,2.644429,2007-11-26,2.660753,2.562811,2.579134,4884940
1.129979,2.628105,2007-11-27,2.628105,2.562811,2.628105,4686455
1.115942,2.595458,2007-11-28,2.628105,2.546487,2.611782,2751837
1.122960,2.611782,2007-11-29,2.611782,2.562811,2.579134,5764645
1.129979,2.628105,2007-11-30,2.628105,2.562811,2.628105,7756848
1.108922,2.579134,2007-12-03,2.660753,2.562811,2.628105,3526174
1.115942,2.595458,2007-12-04,2.595458,2.530164,2.562811,4648473
1.122960,2.611782,2007-12-05,2.644429,2.546487,2.562811,5454666
1.158053,2.693400,2007-12-06,2.758694,2.644429,2.644429,11792713
1.172089,2.726047,2007-12-07,2.872960,2.726047,2.775018,11140898
1.165071,2.709724,2007-12-10,2.758694,2.677076,2.758694,5796501
1.165071,2.709724,2007-12-11,2.807665,2.677076,2.791342,5517152
1.172089,2.726047,2007-12-12,2.726047,2.628105,2.628105,4511248
1.151034,2.677076,2007-12-13,2.840313,2.660753,2.742371,8756625
1.158053,2.693400,2007-12-14,2.693400,2.595458,2.677076,3831253
1.108922,2.579134,2007-12-17,2.709724,2.579134,2.709724,4646022
1.108922,2.579134,2007-12-18,2.644429,2.530164,2.595458,6290264
1.129979,2.628105,2007-12-19,2.709724,2.611782,2.677076,5974158
1.158053,2.693400,2007-12-21,2.807665,2.611782,2.611782,9198929
1.175599,2.734209,2007-12-24,2.791342,2.709724,2.775018,1556025
1.196655,2.783180,2007-12-26,2.815827,2.709724,2.758694,3339941
1.200164,2.791342,2007-12-27,2.823989,2.775018,2.815827,4500222
1.210691,2.815827,2007-12-28,2.815827,2.668914,2.791342,6601469
1.214200,2.823989,2007-12-31,2.872960,2.652591,2.652591,9648583
1.210691,2.815827,2008-01-02,2.815827,2.726047,2.799504,2984628
1.168580,2.717885,2008-01-03,2.766856,2.709724,2.734209,4263755
1.172089,2.726047,2008-01-04,2.726047,2.668914,2.701562,3384049
1.133488,2.636267,2008-01-07,2.701562,2.595458,2.701562,6461794
1.122960,2.611782,2008-01-08,2.644429,2.587296,2.644429,3295833
1.119451,2.603620,2008-01-09,2.660753,2.538325,2.538325,6434839
1.108922,2.579134,2008-01-10,2.619944,2.570973,2.619944,6668856
1.084359,2.522002,2008-01-11,2.644429,2.522002,2.619944,5575962
1.080849,2.513840,2008-01-14,2.603620,2.489354,2.603620,4642347
1.042247,2.424060,2008-01-15,2.562811,2.342442,2.562811,5970482
1.017683,2.366927,2008-01-16,2.464869,2.293471,2.293471,4740364
1.014173,2.358765,2008-01-17,2.415898,2.285309,2.399574,9394963
1.000136,2.326118,2008-01-18,2.391413,2.244500,2.317956,6837936
0.929952,2.162882,2008-01-21,2.342442,2.105749,2.326118,38100573
0.933460,2.171043,2008-01-22,2.171043,2.040454,2.040454,12279124
1.035229,2.407736,2008-01-23,2.530164,2.293471,2.301633,12868454
1.017683,2.366927,2008-01-24,2.538325,2.366927,2.513840,8689238
1.115942,2.595458,2008-01-25,2.611782,2.456707,2.456707,9228334
1.042804,2.407736,2008-01-28,2.530164,2.407736,2.522002,4405880
1.018060,2.350604,2008-01-29,2.464869,2.350604,2.448545,5797726
1.028664,2.375089,2008-01-30,2.391413,2.309794,2.326118,3920694
1.046339,2.415898,2008-01-31,2.505678,2.391413,2.448545,8359655
1.064014,2.456707,2008-02-01,2.497516,2.432222,2.440384,6739918
1.088758,2.513840,2008-02-04,2.595458,2.497516,2.530164,8722319
1.064014,2.456707,2008-02-05,2.570973,2.432222,2.570973,7048673
1.046339,2.415898,2008-02-06,2.440384,2.334280,2.375089,2974826
1.007454,2.326118,2008-02-11,2.464869,2.326118,2.448545,4159611
1.035734,2.391413,2008-02-12,2.424060,2.334280,2.334280,2204165
1.064014,2.456707,2008-02-13,2.546487,2.456707,2.481193,5600466
1.088758,2.513840,2008-02-14,2.562811,2.513840,2.538325,4041990
1.102898,2.546487,2008-02-15,2.570973,2.505678,2.513840,5348072
1.106433,2.554649,2008-02-18,2.562811,2.530164,2.546487,6314768
1.113503,2.570973,2008-02-19,2.595458,2.530164,2.530164,4643572
1.124108,2.595458,2008-02-20,2.693400,2.562811,2.595458,7259410
1.148852,2.652591,2008-02-21,2.709724,2.595458,2.660753,35231114
1.159456,2.677076,2008-02-22,2.717885,2.644429,2.652591,5513476
1.166526,2.693400,2008-02-25,2.717885,2.668914,2.717885,3917018
1.145317,2.644429,2008-02-26,2.726047,2.636267,2.693400,4670527
1.170061,2.701562,2008-02-27,2.758694,2.677076,2.677076,4268656
1.184202,2.734209,2008-02-28,2.734209,2.660753,2.685238,5343171
1.155922,2.668914,2008-02-29,2.775018,2.668914,2.758694,7281464
1.131178,2.611782,2008-03-03,2.677076,2.587296,2.587296,6470370
1.124108,2.595458,2008-03-04,2.693400,2.595458,2.652591,7552237
1.113503,2.570973,2008-03-05,2.636267,2.562811,2.636267,4187791
1.099363,2.538325,2008-03-06,2.611782,2.538325,2.611782,11220537
1.078153,2.489354,2008-03-07,2.497516,2.464869,2.481193,3517598
1.028664,2.375089,2008-03-10,2.481193,2.375089,2.415898,6580640
1.028664,2.375089,2008-03-11,2.399574,2.301633,2.350604,8819111
1.095828,2.530164,2008-03-12,2.546487,2.415898,2.473031,8191800
1.071084,2.473031,2008-03-13,2.481193,2.407736,2.424060,5378702
1.088758,2.513840,2008-03-14,2.522002,2.448545,2.489354,3673200
1.067549,2.464869,2008-03-17,2.530164,2.440384,2.513840,9401090
1.081688,2.497516,2008-03-18,2.497516,2.415898,2.448545,7274113
1.095828,2.530164,2008-03-19,2.660753,2.481193,2.579134,10301624
1.099363,2.538325,2008-03-20,2.538325,2.415898,2.522002,5098127
1.162992,2.685238,2008-03-24,2.685238,2.570973,2.611782,7473823
1.205411,2.783180,2008-03-25,2.807665,2.701562,2.734209,8767652
1.201876,2.775018,2008-03-26,2.815827,2.734209,2.815827,6335597
1.216015,2.807665,2008-03-27,2.807665,2.734209,2.750533,5310090
1.180666,2.726047,2008-03-28,2.807665,2.726047,2.807665,8197926
1.219550,2.815827,2008-03-31,2.815827,2.783180,2.799504,10970593
1.219550,2.815827,2008-04-01,2.864798,2.766856,2.807665,5212073
1.251365,2.889284,2008-04-02,2.897445,2.848475,2.897445,7857316
1.251365,2.889284,2008-04-03,2.921931,2.856636,2.921931,6744819
1.208946,2.791342,2008-04-04,2.840313,2.734209,2.840313,4440186
1.198341,2.766856,2008-04-07,2.823989,2.726047,2.758694,6787702
1.191271,2.750533,2008-04-08,2.832151,2.734209,2.775018,9072731
1.198341,2.766856,2008-04-09,2.848475,2.750533,2.775018,6073400
1.219550,2.815827,2008-04-10,2.832151,2.783180,2.799504,5251280
1.261970,2.913769,2008-04-11,2.921931,2.848475,2.848475,6695810
1.237226,2.856636,2008-04-14,2.872960,2.815827,2.848475,3510246
1.237226,2.856636,2008-04-15,2.905607,2.823989,2.823989,3168411
1.265505,2.921931,2008-04-16,2.938255,2.872960,2.881122,2871908
1.272575,2.938255,2008-04-17,2.979064,2.921931,2.938255,3533525
1.219550,2.815827,2008-04-18,2.954578,2.791342,2.938255,4561482
1.230156,2.840313,2008-04-21,2.897445,2.823989,2.864798,4478168
1.247830,2.881122,2008-04-22,2.897445,2.807665,2.848475,2383047
1.226621,2.832151,2008-04-23,2.897445,2.832151,2.897445,2147805
1.223085,2.823989,2008-04-24,2.897445,2.815827,2.823989,2657495
1.254899,2.897445,2008-04-25,2.905607,2.856636,2.872960,2153931
1.249260,2.856636,2008-04-28,2.905607,2.823989,2.881122,1711628
1.249260,2.856636,2008-04-29,2.881122,2.832151,2.832151,3556804
1.242122,2.840313,2008-04-30,2.897445,2.832151,2.840313,12620960
1.292092,2.954578,2008-05-02,2.954578,2.864798,2.921931,10296723
1.338493,3.060682,2008-05-05,3.060682,2.954578,2.987225,7169969
1.299231,2.970902,2008-05-06,3.044358,2.954578,3.044358,4244151
