adj_close,close,date,high,low,open,volume
0.743370,1.090000,2006-07-17,1.150000,1.050000,1.050000,382000
0.743370,1.090000,2006-07-18,1.100000,1.070000,1.100000,186000
0.750190,1.100000,2006-07-19,1.100000,1.070000,1.100000,237
0.750190,1.100000,2006-07-20,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-21,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-24,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-25,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-26,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-27,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-28,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-07-31,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-08-01,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-08-02,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-08-03,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-08-04,1.100000,1.100000,1.100000,0
0.750190,1.100000,2006-08-07,1.100000,1.100000,1.100000,0
0.637662,0.935000,2006-08-08,0.980000,0.920000,0.940000,49995
0.637662,0.935000,2006-08-09,0.935000,0.935000,0.935000,0
0.647891,0.950000,2006-08-10,0.960000,0.930000,0.935000,15515
0.709271,1.040000,2006-08-11,1.060000,0.945000,0.950000,29812
0.729730,1.070000,2006-08-14,1.090000,1.040000,1.070000,25628
0.777470,1.140000,2006-08-15,1.160000,1.040000,1.070000,34542
0.757010,1.110000,2006-08-16,1.190000,1.110000,1.160000,35757
0.770650,1.130000,2006-08-17,1.150000,1.090000,1.130000,24064
0.784290,1.150000,2006-08-18,1.180000,1.120000,1.140000,20351
0.763830,1.120000,2006-08-21,1.170000,1.120000,1.150000,13
0.838849,1.230000,2006-08-22,1.240000,1.160000,1.170000,61
0.838849,1.230000,2006-08-23,1.260000,1.220000,1.240000,17548
0.832029,1.220000,2006-08-24,1.240000,1.210000,1.230000,10096
0.852489,1.250000,2006-08-25,1.290000,1.230000,1.230000,27499
0.845669,1.240000,2006-08-28,1.270000,1.230000,1.250000,10564
0.879768,1.290000,2006-08-29,1.300000,1.240000,1.260000,27095
0.859309,1.260000,2006-08-30,1.300000,1.240000,1.300000,21361
0.859309,1.260000,2006-08-31,1.270000,1.260000,1.260000,9578
0.832029,1.220000,2006-09-01,1.260000,1.220000,1.260000,11115
0.797929,1.170000,2006-09-04,1.240000,1.170000,1.230000,22633
0.811569,1.190000,2006-09-05,1.200000,1.170000,1.180000,10805
0.818389,1.200000,2006-09-06,1.220000,1.190000,1.190000,12465
0.804749,1.180000,2006-09-07,1.220000,1.170000,1.200000,11066
0.797929,1.170000,2006-09-08,1.200000,1.160000,1.180000,10665
0.763830,1.120000,2006-09-11,1.180000,1.120000,1.180000,14360
0.702451,1.030000,2006-09-12,1.130000,1.030000,1.120000,31655
0.770650,1.130000,2006-09-13,1.140000,1.000000,1.040000,45820
0.770650,1.130000,2006-09-14,1.160000,1.120000,1.140000,39095
0.763830,1.120000,2006-09-15,1.130000,1.120000,1.130000,8076
0.791109,1.160000,2006-09-18,1.180000,1.120000,1.120000,26629
0.763830,1.120000,2006-09-19,1.170000,1.110000,1.170000,16094
0.743370,1.090000,2006-09-20,1.130000,1.090000,1.100000,20584
0.743370,1.090000,2006-09-21,1.120000,1.080000,1.100000,17072
0.750190,1.100000,2006-09-22,1.140000,1.090000,1.090000,12003
0.736550,1.080000,2006-09-25,1.120000,1.080000,1.100000,12042
0.729730,1.070000,2006-09-26,1.100000,1.060000,1.090000,8731
0.729730,1.070000,2006-09-27,1.090000,1.070000,1.080000,8679
0.729730,1.070000,2006-09-28,1.100000,1.040000,1.080000,19134
0.716091,1.050000,2006-09-29,1.070000,1.040000,1.060000,10036
0.729730,1.070000,2006-10-02,1.080000,1.050000,1.050000,9990
0.750190,1.100000,2006-10-03,1.120000,1.070000,1.080000,29245
0.736550,1.080000,2006-10-04,1.100000,1.070000,1.100000,9394
0.763830,1.120000,2006-10-05,1.140000,1.090000,1.090000,22892
0.763830,1.120000,2006-10-06,1.150000,1.120000,1.130000,10620
0.757010,1.110000,2006-10-09,1.140000,1.080000,1.120000,13913
0.757010,1.110000,2006-10-10,1.130000,1.110000,1.110000,7698
0.750190,1.100000,2006-10-11,1.110000,1.090000,1.110000,4211
0.743370,1.090000,2006-10-12,1.110000,1.080000,1.100000,5905
0.777470,1.140000,2006-10-13,1.170000,1.090000,1.100000,31752
0.784290,1.150000,2006-10-16,1.180000,1.140000,1.160000,10529
0.777470,1.140000,2006-10-17,1.160000,1.130000,1.160000,3680
0.784290,1.150000,2006-10-18,1.160000,1.140000,1.140000,2757
0.804749,1.180000,2006-10-19,1.200000,1.160000,1.180000,22301
0.859309,1.260000,2006-10-20,1.270000,1.180000,1.180000,46719
0.866128,1.270000,2006-10-23,1.300000,1.260000,1.260000,9809
0.866128,1.270000,2006-10-24,1.270000,1.270000,1.270000,0
0.845669,1.240000,2006-10-25,1.290000,1.230000,1.290000,4012
0.872949,1.280000,2006-10-26,1.310000,1.250000,1.250000,21041
0.893408,1.310000,2006-10-27,1.320000,1.270000,1.300000,11694
0.859309,1.260000,2006-10-30,1.310000,1.260000,1.280000,12410
0.872949,1.280000,2006-10-31,1.290000,1.260000,1.260000,3282
0.927508,1.360000,2006-11-01,1.360000,1.280000,1.280000,16227
0.947967,1.390000,2006-11-02,1.410000,1.340000,1.350000,15403
0.961607,1.410000,2006-11-03,1.420000,1.390000,1.390000,12127
0.988887,1.450000,2006-11-06,1.450000,1.390000,1.390000,13348
0.975247,1.430000,2006-11-07,1.480000,1.400000,1.460000,22258
0.934328,1.370000,2006-11-08,1.430000,1.360000,1.430000,6413
0.995707,1.460000,2006-11-09,1.460000,1.390000,1.390000,22763
1.043446,1.530000,2006-11-10,1.530000,1.460000,1.480000,22437
1.070726,1.570000,2006-11-13,1.600000,1.530000,1.530000,16872
1.077546,1.580000,2006-11-14,1.630000,1.570000,1.570000,17164
1.057086,1.550000,2006-11-15,1.620000,1.540000,1.600000,12477
1.057086,1.550000,2006-11-16,1.590000,1.550000,1.570000,7089
1.043446,1.530000,2006-11-17,1.570000,1.510000,1.570000,5570
1.057086,1.550000,2006-11-20,1.560000,1.500000,1.540000,7777
1.145745,1.680000,2006-11-21,1.700000,1.560000,1.560000,26213
1.152565,1.690000,2006-11-22,1.740000,1.680000,1.690000,10658
1.145745,1.680000,2006-11-23,1.700000,1.660000,1.700000,6703
1.173024,1.720000,2006-11-24,1.760000,1.660000,1.670000,10551
1.200304,1.760000,2006-11-27,1.780000,1.720000,1.730000,8417
1.138925,1.670000,2006-11-28,1.740000,1.670000,1.740000,9877
1.166204,1.710000,2006-11-29,1.750000,1.700000,1.710000,12405
1.193484,1.750000,2006-11-30,1.790000,1.740000,1.740000,9369
1.227584,1.800000,2006-12-01,1.820000,1.740000,1.740000,9041
1.309423,1.920000,2006-12-04,1.940000,1.810000,1.810000,9912
1.288963,1.890000,2006-12-05,1.970000,1.880000,1.940000,6789
1.275323,1.870000,2006-12-06,1.930000,1.860000,1.910000,4671
1.275323,1.870000,2006-12-07,1.900000,1.860000,1.870000,5209000
1.227584,1.800000,2006-12-08,1.880000,1.790000,1.860000,7859
1.248044,1.830000,2006-12-11,1.860000,1.800000,1.800000,8461
1.234404,1.810000,2006-12-12,1.860000,1.810000,1.840000,3893
1.166204,1.710000,2006-12-13,1.830000,1.690000,1.810000,3349
1.295783,1.900000,2006-12-14,1.900000,1.730000,1.900000,0
1.398082,2.050000,2006-12-15,2.170000,2.050000,2.130000,45436
1.432181,2.100000,2006-12-18,2.110000,2.070000,2.080000,9611
1.411721,2.070000,2006-12-19,2.140000,2.060000,2.100000,13656
1.418541,2.080000,2006-12-20,2.110000,2.070000,2.090000,4101
1.432181,2.100000,2006-12-21,2.100000,2.080000,2.090000,3704
1.432181,2.100000,2006-12-22,2.120000,2.100000,2.110000,5541
1.425361,2.090000,2006-12-26,2.120000,2.090000,2.110000,1827
1.452641,2.130000,2006-12-27,2.140000,2.100000,2.100000,2785
1.459461,2.140000,2006-12-28,2.150000,2.120000,2.140000,2109
1.657238,2.430000,2006-12-29,2.460000,2.140000,2.140000,15512
1.970954,2.890000,2007-01-03,2.990000,2.500000,2.500000,20200
1.861836,2.730000,2007-01-04,2.980000,2.680000,2.910000,12587
1.827736,2.680000,2007-01-05,2.790000,2.620000,2.750000,6769
1.814095,2.660000,2007-01-08,2.700000,2.570000,2.660000,5041
1.855015,2.720000,2007-01-09,2.740000,2.660000,2.670000,6447
1.814095,2.660000,2007-01-10,2.710000,2.640000,2.710000,3973
1.745897,2.560000,2007-01-11,2.660000,2.530000,2.650000,7423
1.766356,2.590000,2007-01-12,2.650000,2.570000,2.570000,5643
1.766356,2.590000,2007-01-15,2.640000,2.590000,2.610000,3979
1.745897,2.560000,2007-01-16,2.600000,2.550000,2.600000,2738
1.759537,2.580000,2007-01-17,2.690000,2.560000,2.560000,8034
1.773177,2.600000,2007-01-18,2.620000,2.570000,2.600000,3071000
1.759537,2.580000,2007-01-19,2.680000,2.580000,2.600000,10187
1.752717,2.570000,2007-01-22,2.620000,2.570000,2.600000,3094
1.718617,2.520000,2007-01-23,2.570000,2.480000,2.560000,7717
1.711797,2.510000,2007-01-24,2.570000,2.500000,2.570000,4263
1.629959,2.390000,2007-01-25,2.550000,2.360000,2.540000,8386
1.623139,2.380000,2007-01-26,2.380000,2.280000,2.320000,7777
1.670878,2.450000,2007-01-29,2.500000,2.350000,2.390000,6308
1.616318,2.370000,2007-01-30,2.490000,2.370000,2.490000,5274
1.616318,2.370000,2007-01-31,2.420000,2.370000,2.390000,3799
1.609498,2.360000,2007-02-01,2.420000,2.360000,2.400000,2484
1.589039,2.330000,2007-02-02,2.390000,2.320000,2.390000,4891
1.616318,2.370000,2007-02-05,2.410000,2.340000,2.350000,6263
1.623139,2.380000,2007-02-06,2.400000,2.330000,2.380000,6371
1.766356,2.590000,2007-02-07,2.600000,2.380000,2.400000,19914
1.745897,2.560000,2007-02-08,2.620000,2.530000,2.610000,5165
1.745897,2.560000,2007-02-09,2.600000,2.520000,2.570000,3615
1.718617,2.520000,2007-02-12,2.560000,2.490000,2.560000,1919
1.752717,2.570000,2007-02-13,2.590000,2.540000,2.550000,4423
1.718617,2.520000,2007-02-14,2.600000,2.520000,2.590000,3810
1.718617,2.520000,2007-02-15,2.560000,2.470000,2.540000,4055
1.698157,2.490000,2007-02-16,2.570000,2.480000,2.550000,5610
1.718617,2.520000,2007-02-21,2.550000,2.520000,2.520000,2489
1.745897,2.560000,2007-02-22,2.620000,2.520000,2.540000,7888000
1.800456,2.640000,2007-02-23,2.660000,2.550000,2.560000,10490
1.834555,2.690000,2007-02-26,2.770000,2.670000,2.700000,10016
1.779996,2.610000,2007-02-27,2.700000,2.580000,2.700000,4291
1.623139,2.380000,2007-02-28,2.450000,2.280000,2.450000,14453
1.616318,2.370000,2007-03-01,2.440000,2.320000,2.420000,7812
1.584088,2.310000,2007-03-02,2.380000,2.310000,2.370000,5977
1.501798,2.190000,2007-03-05,2.280000,2.160000,2.280000,10570
1.542943,2.250000,2007-03-06,2.280000,2.210000,2.210000,6921
1.542943,2.250000,2007-03-07,2.330000,2.250000,2.310000,6562
1.563516,2.280000,2007-03-08,2.330000,2.240000,2.270000,3521
1.584088,2.310000,2007-03-09,2.340000,2.290000,2.320000,3391
1.680094,2.450000,2007-03-12,2.450000,2.330000,2.340000,5031
1.638949,2.390000,2007-03-13,2.460000,2.380000,2.460000,4550
1.632091,2.380000,2007-03-14,2.380000,2.270000,2.300000,4973
1.632091,2.380000,2007-03-15,2.410000,2.380000,2.410000,2709
1.686951,2.460000,2007-03-16,2.460000,2.350000,2.360000,4042
1.686951,2.460000,2007-03-19,2.470000,2.410000,2.430000,3238
1.728096,2.520000,2007-03-20,2.540000,2.450000,2.480000,7553
1.789814,2.610000,2007-03-21,2.640000,2.540000,2.540000,13557
1.776099,2.590000,2007-03-22,2.650000,2.590000,2.650000,7810
1.776099,2.590000,2007-03-23,2.620000,2.570000,2.620000,6623
1.796671,2.620000,2007-03-26,2.670000,2.600000,2.640000,7521
1.844674,2.690000,2007-03-27,2.720000,2.620000,2.620000,12402
1.872105,2.730000,2007-03-28,2.780000,2.690000,2.690000,7808
1.892677,2.760000,2007-03-29,2.770000,2.690000,2.710000,4198
1.885819,2.750000,2007-03-30,2.790000,2.720000,2.790000,4049
1.858389,2.710000,2007-04-02,2.760000,2.690000,2.750000,2587
1.885819,2.750000,2007-04-03,2.770000,2.730000,2.730000,2505
1.885819,2.750000,2007-04-04,2.790000,2.750000,2.790000,3269
1.920107,2.800000,2007-04-05,2.830000,2.750000,2.750000,6252
1.913249,2.790000,2007-04-09,2.840000,2.780000,2.830000,2955
1.926964,2.810000,2007-04-10,2.820000,2.760000,2.800000,3271
1.961252,2.860000,2007-04-11,2.920000,2.800000,2.800000,6188
2.125833,3.100000,2007-04-12,3.200000,3.000000,3.200000,15399000
