adj_close,close,date,high,low,open,volume
0.352865,0.458086,2000-01-04,0.492794,0.416443,0.458086,21593142
0.322443,0.418592,2000-01-05,0.432546,0.404638,0.418592,17305370
0.313258,0.406669,2000-01-06,0.434712,0.392648,0.427701,12032584
0.323630,0.420134,2000-01-07,0.420134,0.406130,0.406130,4654482
0.318120,0.412980,2000-01-10,0.433979,0.405986,0.426985,7636816
0.313933,0.407545,2000-01-11,0.421600,0.400518,0.421600,6325443
0.319444,0.414699,2000-01-12,0.421727,0.400644,0.400644,13360571
0.308818,0.400905,2000-01-13,0.414969,0.393869,0.414969,6492777
0.309857,0.402254,2000-01-14,0.409306,0.395192,0.395192,8186287
0.304417,0.395192,2000-01-17,0.416368,0.395192,0.409306,6080970
0.303911,0.394535,2000-01-18,0.401579,0.387491,0.394535,5906516
0.293702,0.381281,2000-01-19,0.395403,0.381281,0.388342,3447544
0.315400,0.409450,2000-01-20,0.409450,0.381213,0.381213,7577478
0.305236,0.396254,2000-01-21,0.410410,0.389176,0.403332,10703410
0.294792,0.382696,2000-01-24,0.396869,0.382696,0.396869,3591143
0.300251,0.389783,2000-01-25,0.396869,0.375610,0.375610,7749558
0.307981,0.399818,2000-01-26,0.399818,0.392681,0.392681,7456428
0.307670,0.399414,2000-01-27,0.406551,0.392285,0.399414,3544859
0.301926,0.391957,2000-01-28,0.391957,0.384836,0.391957,2775837
0.292585,0.379831,2000-01-31,0.386994,0.379831,0.386994,4450359
0.292221,0.379359,2000-02-01,0.393676,0.372197,0.379359,4292519
0.292189,0.379317,2000-02-02,0.386471,0.372155,0.386471,3739488
0.303210,0.393625,2000-02-03,0.407941,0.379317,0.386471,16767766
0.307507,0.399203,2000-02-04,0.399203,0.392075,0.399203,2715312
0.307617,0.399346,2000-02-07,0.399346,0.399346,0.399346,0
0.302587,0.392816,2000-02-08,0.399962,0.385671,0.399962,3481961
0.301822,0.391822,2000-02-09,0.391822,0.384693,0.384693,3406008
0.296895,0.385426,2000-02-10,0.385426,0.378289,0.378289,2561033
0.318659,0.413680,2000-02-11,0.420817,0.378020,0.385148,19634984
0.324864,0.421735,2000-02-14,0.428881,0.400290,0.407436,15877694
0.319035,0.414168,2000-02-15,0.435596,0.414168,0.428451,11992234
0.320334,0.415854,2000-02-16,0.423024,0.408683,0.423024,3435677
0.337657,0.438343,2000-02-17,0.445531,0.416780,0.416780,22999456
0.365334,0.474273,2000-02-18,0.495827,0.438343,0.445531,60713580
0.343175,0.445506,2000-02-21,0.467060,0.438318,0.459872,13470940
0.349198,0.453325,2000-02-22,0.453325,0.417345,0.446129,7943001
0.339104,0.440222,2000-02-23,0.461870,0.433001,0.454648,4179777
0.328330,0.426235,2000-02-24,0.426235,0.419005,0.426235,2930116
0.338228,0.439085,2000-02-25,0.439085,0.424693,0.424693,5894649
0.317678,0.412407,2000-02-28,0.441352,0.412407,0.441352,7166858
0.318828,0.413899,2000-02-29,0.428417,0.399372,0.421162,11468872
0.300712,0.390381,2000-03-01,0.412070,0.383151,0.412070,9171300
0.323871,0.420446,2000-03-02,0.420446,0.391451,0.391451,9090600
0.307852,0.399650,2000-03-03,0.421449,0.399650,0.421449,9876237
0.313505,0.406989,2000-03-06,0.406989,0.399726,0.406989,3408381
0.306696,0.398150,2000-03-07,0.405388,0.390903,0.405388,5322629
0.305696,0.396852,2000-03-08,0.396852,0.382418,0.382418,6789468
0.293682,0.381255,2000-03-09,0.402835,0.381255,0.402835,6596025
0.293026,0.380404,2000-03-10,0.387583,0.380404,0.387583,2666655
0.293578,0.381120,2000-03-13,0.388316,0.366737,0.381120,6609080
0.282933,0.367301,2000-03-14,0.381702,0.360097,0.374497,5561168
0.272632,0.353929,2000-03-15,0.361150,0.353929,0.361150,6603146
0.272029,0.353145,2000-03-16,0.353145,0.353145,0.353145,0
0.283757,0.368371,2000-03-17,0.375593,0.353929,0.375593,4081276
0.273281,0.354771,2000-03-20,0.369256,0.354771,0.369256,1490573
0.290164,0.376688,2000-03-21,0.376688,0.354957,0.354957,3035738
0.283361,0.367857,2000-03-22,0.396709,0.360645,0.375070,6637562
0.277384,0.360097,2000-03-23,0.367301,0.360097,0.367301,1002814
0.284011,0.368700,2000-03-24,0.383151,0.368700,0.368700,2140919
0.300556,0.390179,2000-03-27,0.397408,0.375728,0.375728,4316255
0.289275,0.375534,2000-03-28,0.389976,0.375534,0.389976,2402007
0.289573,0.375921,2000-03-29,0.375921,0.368700,0.375921,407059
0.284238,0.368995,2000-03-30,0.383471,0.361765,0.383471,2067340
0.288866,0.375003,2000-03-31,0.375003,0.367790,0.367790,930421
0.278617,0.361698,2000-04-03,0.368936,0.361698,0.368936,1290010
0.289658,0.376031,2000-04-04,0.376031,0.354342,0.361571,1227112
0.277806,0.360645,2000-04-05,0.360645,0.353432,0.360645,697816
0.278000,0.360897,2000-04-06,0.368119,0.360897,0.360897,1882205
0.278293,0.361277,2000-04-07,0.368506,0.361277,0.368506,1307812
0.278572,0.361639,2000-04-10,0.368869,0.354401,0.368869,963651
0.279006,0.362203,2000-04-11,0.362203,0.354957,0.354957,1479892
0.278812,0.361951,2000-04-12,0.369189,0.361951,0.361951,1864403
0.283907,0.368565,2000-04-13,0.368565,0.354114,0.361344,2218059
0.277059,0.359676,2000-04-14,0.374059,0.359676,0.366872,2539671
0.243514,0.316128,2000-04-17,0.352050,0.316128,0.352050,5233622
0.253594,0.329214,2000-04-18,0.336377,0.322061,0.322061,2550352
0.253550,0.329156,2000-04-19,0.336309,0.329156,0.329156,1501254
0.253205,0.328709,2000-04-20,0.335854,0.321563,0.321563,1858470
0.253225,0.328734,2000-04-21,0.328734,0.328734,0.328734,0
0.253420,0.328987,2000-04-24,0.472023,0.321833,0.336132,1771836
0.254101,0.329872,2000-04-25,0.329872,0.322701,0.329872,1094194
0.254445,0.330318,2000-04-26,0.337498,0.330318,0.337498,709683
0.254490,0.330377,2000-04-27,0.337565,0.330377,0.330377,375016
0.276916,0.359490,2000-04-28,0.381053,0.330731,0.330731,5137494
0.277240,0.359911,2000-05-01,0.359911,0.359911,0.359911,0
0.278617,0.361698,2000-05-02,0.376166,0.361698,0.361698,783263
0.273476,0.355024,2000-05-03,0.362271,0.347778,0.355024,677641
0.268264,0.348258,2000-05-04,0.348258,0.341003,0.348258,1838295
0.279201,0.362456,2000-05-05,0.362456,0.347955,0.347955,1530923
0.262721,0.341062,2000-05-08,0.370090,0.341062,0.370090,1419367
