adj_close,close,date,high,low,open,volume
1.716890,3.900000,2000-01-04,3.920000,3.820000,3.820000,1072800
1.760912,4.000000,2000-01-05,4.040000,3.800000,3.820000,3364400
1.796131,4.080000,2000-01-06,4.080000,3.980000,4.000000,911600
1.857763,4.220000,2000-01-07,4.220000,4.100000,4.100000,703600
1.848958,4.200000,2000-01-10,4.320000,4.200000,4.280000,148000
1.804935,4.100000,2000-01-11,4.280000,4.040000,4.240000,325200
1.760912,4.000000,2000-01-12,4.100000,4.000000,4.100000,145600
1.725695,3.920000,2000-01-13,4.080000,3.900000,4.020000,571600
1.804935,4.100000,2000-01-14,4.100000,3.920000,3.920000,442800
1.787326,4.060000,2000-01-17,4.100000,4.040000,4.100000,200000
1.787326,4.060000,2000-01-18,4.100000,3.980000,4.040000,256000
1.760912,4.000000,2000-01-19,4.080000,4.000000,4.080000,351600
1.760912,4.000000,2000-01-20,4.020000,3.960000,3.960000,204400
1.760912,4.000000,2000-01-21,4.000000,3.900000,4.000000,125200
1.778522,4.040000,2000-01-24,4.040000,3.980000,4.000000,257200
1.752108,3.980000,2000-01-25,3.980000,3.980000,3.980000,162400
1.716890,3.900000,2000-01-26,3.980000,3.860000,3.980000,349200
1.664063,3.780000,2000-01-27,3.860000,3.740000,3.860000,790400
1.611235,3.660000,2000-01-28,3.780000,3.600000,3.780000,571600
1.602430,3.640000,2000-01-31,3.660000,3.580000,3.620000,364800
1.576016,3.580000,2000-02-01,3.660000,3.540000,3.660000,292800
1.602430,3.640000,2000-02-02,3.660000,3.580000,3.600000,510800
1.602430,3.640000,2000-02-03,3.660000,3.600000,3.620000,464400
1.558408,3.540000,2000-02-04,3.600000,3.520000,3.600000,949200
1.558408,3.540000,2000-02-07,3.540000,3.540000,3.540000,0
1.549603,3.520000,2000-02-08,3.540000,3.480000,3.500000,208000
1.540799,3.500000,2000-02-09,3.520000,3.460000,3.520000,100400
1.435144,3.260000,2000-02-10,3.500000,3.180000,3.500000,964000
1.364707,3.100000,2000-02-11,3.280000,2.950000,3.260000,1396400
1.408730,3.200000,2000-02-14,3.220000,3.100000,3.100000,307200
1.435144,3.260000,2000-02-15,3.320000,3.220000,3.220000,326400
1.435144,3.260000,2000-02-16,3.340000,3.240000,3.260000,497600
1.426340,3.240000,2000-02-17,3.280000,3.200000,3.260000,353600
1.408730,3.200000,2000-02-18,3.240000,2.900000,3.100000,554400
1.391121,3.160000,2000-02-21,3.180000,3.160000,3.180000,228400
1.399926,3.180000,2000-02-22,3.180000,3.160000,3.180000,162400
1.408730,3.200000,2000-02-23,3.220000,3.180000,3.180000,203600
1.435144,3.260000,2000-02-24,3.260000,3.220000,3.240000,4182400
1.487971,3.380000,2000-02-25,3.400000,3.260000,3.260000,583200
1.540799,3.500000,2000-02-28,3.520000,3.380000,3.380000,490800
1.540799,3.500000,2000-02-29,3.540000,3.460000,3.520000,278400
1.620039,3.680000,2000-03-01,3.680000,3.580000,3.600000,1022000
1.602430,3.640000,2000-03-02,3.640000,3.580000,3.620000,1082400
1.611235,3.660000,2000-03-03,3.660000,3.620000,3.620000,693600
1.593626,3.620000,2000-03-06,3.660000,3.620000,3.660000,131600
1.628844,3.700000,2000-03-07,3.720000,3.640000,3.640000,877200
1.584821,3.600000,2000-03-08,3.660000,3.580000,3.660000,298000
1.549603,3.520000,2000-03-09,3.600000,3.480000,3.600000,482400
1.540799,3.500000,2000-03-10,3.600000,3.500000,3.600000,203600
1.549603,3.520000,2000-03-13,3.520000,3.480000,3.480000,346400
1.584821,3.600000,2000-03-14,3.620000,3.540000,3.540000,542800
1.567212,3.560000,2000-03-15,3.620000,3.520000,3.620000,281600
1.567212,3.560000,2000-03-16,3.560000,3.560000,3.560000,0
1.593626,3.620000,2000-03-17,3.640000,3.540000,3.580000,967200
1.584821,3.600000,2000-03-20,3.600000,3.560000,3.600000,436800
1.584821,3.600000,2000-03-21,3.620000,3.580000,3.600000,376000
1.655093,3.580000,2000-03-22,3.620000,3.560000,3.580000,555200
1.738310,3.760000,2000-03-23,3.800000,3.580000,3.580000,1692800
1.729064,3.740000,2000-03-24,3.900000,3.640000,3.740000,582800
1.719818,3.720000,2000-03-27,3.740000,3.680000,3.740000,481200
1.766049,3.820000,2000-03-28,3.840000,3.740000,3.760000,542400
1.784542,3.860000,2000-03-29,3.880000,3.820000,3.820000,503200
1.840020,3.980000,2000-03-30,4.000000,3.880000,3.880000,1650000
1.793788,3.880000,2000-03-31,3.980000,3.800000,3.980000,80400
