adj_close,close,date,high,low,open,volume
0.594980,1.488552,2007-11-06,1.488552,1.448857,1.448857,81622
0.583080,1.458781,2007-11-07,1.458781,1.458781,1.458781,6046
0.579114,1.448857,2007-11-09,1.448857,1.438934,1.438934,24184
0.555314,1.389315,2007-11-12,1.438934,1.369468,1.438934,134022
0.547382,1.369468,2007-11-13,1.389315,1.369468,1.389315,58446
0.559281,1.399239,2007-11-14,1.409163,1.379392,1.379392,60461
0.539448,1.349621,2007-11-15,1.389315,1.339697,1.389315,705383
0.515649,1.290078,2007-11-16,1.309926,1.270231,1.309926,760806
0.527548,1.319849,2007-11-19,1.349621,1.300002,1.300002,126968
0.535482,1.339697,2007-11-20,1.339697,1.309926,1.309926,16123
0.515649,1.290078,2007-11-21,1.339697,1.280155,1.339697,119915
0.515649,1.290078,2007-11-22,1.290078,1.290078,1.290078,17130
0.531515,1.329773,2007-11-23,1.339697,1.309926,1.309926,62476
0.531515,1.329773,2007-11-26,1.329773,1.319849,1.329773,29223
0.531515,1.329773,2007-11-27,1.339697,1.300002,1.300002,59453
0.523582,1.309926,2007-11-28,1.379392,1.300002,1.319849,281145
0.515649,1.290078,2007-11-29,1.309926,1.290078,1.300002,2179634
0.515649,1.290078,2007-11-30,1.329773,1.290078,1.329773,1026836
0.539448,1.349621,2007-12-03,1.349621,1.300002,1.329773,140068
0.535482,1.339697,2007-12-04,1.359544,1.319849,1.349621,449429
0.527548,1.319849,2007-12-05,1.329773,1.300002,1.329773,277114
0.551348,1.379392,2007-12-06,1.379392,1.339697,1.339697,594537
0.563248,1.409163,2007-12-07,1.419086,1.379392,1.379392,434314
0.575147,1.438934,2007-12-10,1.438934,1.409163,1.438934,107822
0.555314,1.389315,2007-12-11,1.438934,1.389315,1.438934,189445
0.555314,1.389315,2007-12-12,1.389315,1.389315,1.389315,136038
0.547382,1.369468,2007-12-13,1.389315,1.369468,1.389315,213630
0.547382,1.369468,2007-12-14,1.409163,1.369468,1.409163,0
0.551348,1.379392,2007-12-17,1.379392,1.349621,1.369468,747706
0.543415,1.359544,2007-12-18,1.369468,1.329773,1.329773,129992
0.535482,1.339697,2007-12-19,1.349621,1.329773,1.349621,114876
0.539448,1.349621,2007-12-21,1.349621,1.309926,1.309926,192468
0.551348,1.379392,2007-12-24,1.389315,1.359544,1.359544,78599
0.551348,1.379392,2007-12-26,1.399239,1.379392,1.379392,80615
0.583080,1.458781,2007-12-27,1.468705,1.419086,1.429010,429276
0.567214,1.419086,2007-12-28,1.419086,1.349621,1.389315,631821
0.579114,1.448857,2007-12-31,1.448857,1.389315,1.409163,205568
0.579114,1.448857,2008-01-02,1.448857,1.429010,1.429010,38292
0.563248,1.409163,2008-01-03,1.438934,1.409163,1.438934,0
0.567214,1.419086,2008-01-04,1.448857,1.419086,1.448857,24184
0.575147,1.438934,2008-01-07,1.438934,1.389315,1.389315,25192
0.575147,1.438934,2008-01-08,1.438934,1.438934,1.438934,25192
0.551348,1.379392,2008-01-09,1.399239,1.349621,1.399239,371837
0.543415,1.359544,2008-01-10,1.369468,1.319849,1.369468,157199
0.535482,1.339697,2008-01-11,1.339697,1.329773,1.339697,276107
0.515649,1.290078,2008-01-14,1.319849,1.270231,1.319849,275099
0.483917,1.210689,2008-01-15,1.290078,1.180918,1.290078,1126597
0.495816,1.240460,2008-01-16,1.250384,1.190842,1.190842,635852
0.483917,1.210689,2008-01-17,1.220613,1.200765,1.220613,495783
0.487884,1.220613,2008-01-18,1.220613,1.180918,1.190842,499814
0.456151,1.141223,2008-01-21,1.200765,1.131299,1.200765,504852
0.444251,1.111452,2008-01-22,1.190842,1.111452,1.131299,322460
0.452184,1.131299,2008-01-23,1.240460,1.121376,1.121376,620737
0.475984,1.190842,2008-01-24,1.230536,1.151147,1.220613,1076213
0.479950,1.200765,2008-01-25,1.220613,1.200765,1.200765,585468
0.475984,1.190842,2008-01-28,1.200765,1.180918,1.200765,102784
0.479950,1.200765,2008-01-29,1.240460,1.170994,1.170994,366799
0.486219,1.200765,2008-01-30,1.200765,1.190842,1.200765,449429
0.486219,1.200765,2008-01-31,1.210689,1.180918,1.200765,430283
0.494256,1.220613,2008-02-01,1.220613,1.190842,1.200765,395014
0.502292,1.240460,2008-02-04,1.300002,1.220613,1.220613,353699
