adj_close,close,date,high,low,open,volume
0.440714,1.154458,2007-11-06,1.164325,1.144591,1.144591,1037785
0.436947,1.144591,2007-11-07,1.174193,1.144591,1.164325,2996806
0.429413,1.124857,2007-11-09,1.144591,1.105122,1.134724,4092359
0.425647,1.114990,2007-11-12,1.144591,1.105122,1.134724,1352971
0.421879,1.105122,2007-11-13,1.134724,1.105122,1.134724,5287230
0.425647,1.114990,2007-11-14,1.144591,1.114990,1.144591,1506004
0.414346,1.085388,2007-11-15,1.124857,1.085388,1.114990,2911676
0.429413,1.124857,2007-11-16,1.124857,1.075521,1.085388,2581287
0.421879,1.105122,2007-11-19,1.124857,1.085388,1.124857,434775
0.418113,1.095255,2007-11-20,1.114990,1.075521,1.095255,1772544
0.414346,1.085388,2007-11-21,1.114990,1.065654,1.114990,1322567
0.403046,1.055787,2007-11-22,1.075521,1.036052,1.036052,1932671
0.418113,1.095255,2007-11-23,1.105122,1.075521,1.075521,579700
0.410579,1.075521,2007-11-26,1.105122,1.065654,1.105122,1169535
0.410579,1.075521,2007-11-27,1.095255,1.055787,1.095255,3180243
0.406813,1.065654,2007-11-28,1.095255,1.055787,1.085388,2547843
0.399279,1.045919,2007-11-29,1.065654,1.045919,1.065654,2637027
0.399279,1.045919,2007-11-30,1.065654,1.036052,1.045919,5673359
0.399279,1.045919,2007-12-03,1.045919,1.045919,1.045919,1630660
0.395512,1.036052,2007-12-04,1.065654,1.036052,1.045919,5462559
0.410579,1.075521,2007-12-05,1.075521,1.045919,1.045919,2464739
0.425647,1.114990,2007-12-06,1.114990,1.085388,1.085388,1735046
0.421879,1.105122,2007-12-07,1.144591,1.105122,1.124857,3515699
0.410579,1.075521,2007-12-10,1.114990,1.075521,1.114990,833065
0.418113,1.095255,2007-12-11,1.124857,1.075521,1.075521,1077310
0.406813,1.065654,2007-12-12,1.085388,1.065654,1.075521,900967
0.414346,1.085388,2007-12-13,1.095255,1.065654,1.085388,1444183
0.406813,1.065654,2007-12-14,1.095255,1.065654,1.095255,787459
0.406813,1.065654,2007-12-17,1.075521,1.055787,1.075521,1737073
0.414346,1.085388,2007-12-18,1.085388,1.055787,1.055787,2049220
0.425647,1.114990,2007-12-19,1.124857,1.085388,1.085388,4836240
0.410579,1.075521,2007-12-21,1.144591,1.075521,1.114990,4256540
0.418113,1.095255,2007-12-24,1.095255,1.085388,1.095255,760096
0.418113,1.095255,2007-12-26,1.105122,1.095255,1.095255,207759
0.414346,1.085388,2007-12-27,1.095255,1.065654,1.095255,1130010
0.403046,1.055787,2007-12-28,1.075521,1.055787,1.075521,2184010
0.410579,1.075521,2007-12-31,1.075521,1.045919,1.065654,3641368
0.410579,1.075521,2008-01-02,1.075521,1.055787,1.075521,380048
0.410579,1.075521,2008-01-03,1.075521,1.055787,1.065654,417546
0.410579,1.075521,2008-01-04,1.075521,1.055787,1.055787,2246845
0.395512,1.036052,2008-01-07,1.065654,1.016318,1.065654,3033291
0.391745,1.026185,2008-01-08,1.045919,1.026185,1.036052,1038798
0.376678,0.986716,2008-01-09,1.016318,0.976849,1.016318,9590390
0.376678,0.986716,2008-01-10,0.996584,0.986716,0.996584,1581000
0.365378,0.957115,2008-01-11,0.996584,0.947248,0.986716,4895021
0.354077,0.927513,2008-01-14,0.957115,0.927513,0.957115,3794401
0.340894,0.892978,2008-01-15,0.957115,0.883111,0.957115,7514820
0.331477,0.868310,2008-01-16,0.902845,0.868310,0.888045,3323141
0.333360,0.873244,2008-01-17,0.892978,0.873244,0.878178,8355993
0.337127,0.883111,2008-01-18,0.912713,0.848576,0.868310,3565359
0.323943,0.848576,2008-01-21,0.873244,0.848576,0.863377,2069489
0.299459,0.784439,2008-01-22,0.818975,0.616698,0.818975,4842321
0.312643,0.818975,2008-01-23,0.823908,0.799240,0.809107,2504264
0.339010,0.888045,2008-01-24,0.902845,0.873244,0.878178,4792661
0.348427,0.912713,2008-01-25,0.937381,0.878178,0.878178,3256253
0.340894,0.892978,2008-01-28,0.907779,0.888045,0.907779,1659037
0.340025,0.888045,2008-01-29,0.907779,0.873244,0.888045,3336316
0.345692,0.902845,2008-01-30,0.902845,0.883111,0.883111,1212100
0.347581,0.907779,2008-01-31,0.927513,0.897912,0.902845,1625592
0.338136,0.883111,2008-02-01,0.932447,0.858443,0.907779,1791800
0.355137,0.927513,2008-02-04,0.927513,0.897912,0.897912,1095552
0.341914,0.892978,2008-02-05,0.922580,0.883111,0.922580,2534668
0.336247,0.878178,2008-02-06,0.892978,0.878178,0.878178,534094
0.328690,0.858443,2008-02-11,0.892978,0.833775,0.888045,2829585
0.330580,0.863377,2008-02-12,0.878178,0.833775,0.878178,2666418
0.324913,0.848576,2008-02-13,0.868310,0.843642,0.868310,10102188
0.332468,0.868310,2008-02-14,0.878178,0.863377,0.863377,9634982
0.340025,0.888045,2008-02-15,0.888045,0.853510,0.868310,2377581
0.347581,0.907779,2008-02-18,0.907779,0.878178,0.888045,862456
0.343803,0.897912,2008-02-19,0.917646,0.897912,0.912713,421600
0.341914,0.892978,2008-02-20,0.912713,0.892978,0.912713,3970743
0.345692,0.902845,2008-02-21,0.902845,0.888045,0.892978,3790347
0.347581,0.907779,2008-02-22,0.912713,0.892978,0.892978,1801935
0.357026,0.932447,2008-02-25,0.937381,0.917646,0.927513,2072529
0.357026,0.932447,2008-02-26,0.957115,0.932447,0.942314,4790634
0.355137,0.927513,2008-02-27,0.957115,0.927513,0.957115,962788
0.360804,0.942314,2008-02-28,0.947248,0.927513,0.947248,3229903
0.360804,0.942314,2008-02-29,0.942314,0.922580,0.942314,2811343
0.343803,0.897912,2008-03-03,0.932447,0.892978,0.932447,1831325
0.341914,0.892978,2008-03-04,0.907779,0.888045,0.907779,1069202
0.358915,0.937381,2008-03-05,0.937381,0.892978,0.912713,1621539
0.340025,0.888045,2008-03-06,0.937381,0.878178,0.937381,3966690
0.345692,0.902845,2008-03-07,0.902845,0.863377,0.878178,6915864
0.332468,0.868310,2008-03-10,0.902845,0.868310,0.902845,1845514
0.328690,0.858443,2008-03-11,0.878178,0.853510,0.853510,1625592
