adj_close,close,date,high,low,open,volume
0.508323,1.145184,2010-10-21,1.184673,1.135312,1.135312,349486605
0.486413,1.095823,2010-10-22,1.155056,1.095823,1.145184,113398308
0.477648,1.076078,2010-10-25,1.105695,1.066206,1.095823,75404050
0.482031,1.085950,2010-10-26,1.085950,1.036589,1.076078,79962267
0.482031,1.085950,2010-10-27,1.095823,1.066206,1.085950,37720764
0.468884,1.056334,2010-10-28,1.076078,1.056334,1.076078,28520257
0.468884,1.056334,2010-10-29,1.076078,1.046461,1.076078,20846245
0.473267,1.066206,2010-11-01,1.085950,1.056334,1.066206,13255294
0.482031,1.085950,2010-11-02,1.085950,1.066206,1.066206,7006485
0.486413,1.095823,2010-11-03,1.105695,1.085950,1.085950,16284989
0.482031,1.085950,2010-11-04,1.095823,1.076078,1.085950,8895613
0.482031,1.085950,2010-11-08,1.105695,1.085950,1.085950,12091430
0.490795,1.105695,2010-11-09,1.105695,1.085950,1.085950,9122511
0.490795,1.105695,2010-11-10,1.105695,1.085950,1.105695,5578244
0.486413,1.095823,2010-11-11,1.095823,1.085950,1.095823,7077391
0.486413,1.095823,2010-11-12,1.095823,1.076078,1.095823,8196687
0.482031,1.085950,2010-11-15,1.095823,1.076078,1.095823,5513416
0.482031,1.085950,2010-11-16,1.095823,1.076078,1.085950,9470961
0.477648,1.076078,2010-11-18,1.085950,1.066206,1.076078,5924669
0.482031,1.085950,2010-11-19,1.085950,1.076078,1.085950,4734468
0.482031,1.085950,2010-11-22,1.095823,1.076078,1.085950,5645098
0.482031,1.085950,2010-11-23,1.095823,1.076078,1.085950,5418200
0.477648,1.076078,2010-11-24,1.076078,1.066206,1.076078,5862879
0.473267,1.066206,2010-11-25,1.076078,1.056334,1.076078,7506876
0.468884,1.056334,2010-11-26,1.066206,1.056334,1.066206,8060953
0.464502,1.046461,2010-11-29,1.056334,1.046461,1.056334,4904641
0.464502,1.046461,2010-11-30,1.056334,1.036589,1.046461,10668253
0.464502,1.046461,2010-12-01,1.056334,1.046461,1.046461,9952107
0.460120,1.036589,2010-12-02,1.066206,1.036589,1.056334,13413313
0.468884,1.056334,2010-12-03,1.056334,1.036589,1.046461,12570549
0.464502,1.046461,2010-12-06,1.056334,1.046461,1.056334,3304200
0.464502,1.046461,2010-12-07,1.066206,1.046461,1.046461,4031489
0.468884,1.056334,2010-12-08,1.056334,1.046461,1.056334,2644778
0.464502,1.046461,2010-12-09,1.066206,1.046461,1.056334,5204470
0.464502,1.046461,2010-12-10,1.056334,1.046461,1.056334,654357
0.464502,1.046461,2010-12-13,1.056334,1.046461,1.046461,3069199
0.464502,1.046461,2010-12-14,1.056334,1.036589,1.046461,4974534
0.468884,1.056334,2010-12-15,1.056334,1.046461,1.046461,2783551
