adj_close,close,date,high,low,open,volume
0.436459,0.863309,2011-04-27,0.882930,0.858404,0.873119,139190957
0.436459,0.863309,2011-04-28,0.868214,0.863309,0.863309,23139881
0.436459,0.863309,2011-04-29,0.868214,0.853499,0.868214,22390671
0.436459,0.863309,2011-05-03,0.863309,0.853499,0.858404,20312251
0.431499,0.853499,2011-05-04,0.863309,0.853499,0.858404,8262714
0.431499,0.853499,2011-05-05,0.858404,0.848594,0.853499,5289319
0.429019,0.848594,2011-05-06,0.853499,0.843688,0.853499,15175831
0.429019,0.848594,2011-05-09,0.858404,0.848594,0.848594,8862082
0.431499,0.853499,2011-05-10,0.853499,0.848594,0.853499,1722672
0.429019,0.848594,2011-05-11,0.853499,0.848594,0.853499,2100845
0.429019,0.848594,2011-05-12,0.848594,0.843688,0.848594,6362677
0.426539,0.843688,2011-05-13,0.853499,0.843688,0.853499,6630761
0.426539,0.843688,2011-05-16,0.848594,0.838783,0.843688,6054838
0.424059,0.838783,2011-05-18,0.843688,0.838783,0.843688,3673676
0.431499,0.853499,2011-05-19,0.853499,0.838783,0.838783,2982568
0.426539,0.843688,2011-05-20,0.848594,0.838783,0.843688,4736841
0.424059,0.838783,2011-05-23,0.843688,0.833878,0.843688,8439058
0.426539,0.843688,2011-05-24,0.843688,0.833878,0.843688,11371680
0.429019,0.848594,2011-05-25,0.848594,0.838783,0.843688,6970199
0.429019,0.848594,2011-05-26,0.848594,0.838783,0.843688,5368827
0.431499,0.853499,2011-05-27,0.853499,0.843688,0.848594,9310588
0.433979,0.858404,2011-05-30,0.873119,0.848594,0.848594,22352956
0.436459,0.863309,2011-05-31,0.873119,0.858404,0.863309,29547409
0.433979,0.858404,2011-06-01,0.873119,0.858404,0.873119,5823450
0.431499,0.853499,2011-06-02,0.863309,0.853499,0.853499,2695116
0.433979,0.858404,2011-06-03,0.863309,0.853499,0.853499,1442356
0.433979,0.858404,2011-06-06,0.863309,0.858404,0.863309,1008120
0.433979,0.858404,2011-06-07,0.863309,0.853499,0.858404,2550371
0.429019,0.848594,2011-06-08,0.863309,0.848594,0.858404,4135434
0.429019,0.848594,2011-06-09,0.858404,0.848594,0.848594,3046786
0.431499,0.853499,2011-06-10,0.858404,0.848594,0.853499,2801127
0.429019,0.848594,2011-06-13,0.853499,0.843688,0.848594,5419794
0.426539,0.843688,2011-06-14,0.848594,0.838783,0.843688,4288334
