adj_close,close,date,high,low,open,volume
1.068652,2.360000,2004-11-05,2.390000,2.330000,2.380000,357380000
1.041483,2.300000,2004-11-08,2.370000,2.300000,2.370000,28771000
1.050539,2.320000,2004-11-09,2.340000,2.300000,2.330000,26134000
1.059596,2.340000,2004-11-10,2.350000,2.330000,2.330000,14558000
1.059596,2.340000,2004-11-11,2.340000,2.340000,2.340000,0
1.082237,2.390000,2004-11-12,2.390000,2.360000,2.360000,24661000
1.082237,2.390000,2004-11-15,2.390000,2.390000,2.390000,0
1.073180,2.370000,2004-11-16,2.400000,2.360000,2.400000,13418000
1.082237,2.390000,2004-11-17,2.400000,2.370000,2.380000,16894000
1.059596,2.340000,2004-11-18,2.390000,2.330000,2.380000,23005000
1.055067,2.330000,2004-11-19,2.350000,2.330000,2.350000,10229000
1.050539,2.320000,2004-11-22,2.330000,2.300000,2.320000,22710000
1.077708,2.380000,2004-11-23,2.380000,2.330000,2.340000,25368000
1.086764,2.400000,2004-11-24,2.410000,2.370000,2.390000,32021000
1.064124,2.350000,2004-11-25,2.410000,2.350000,2.390000,19290000
1.068652,2.360000,2004-11-26,2.370000,2.340000,2.370000,5415000
1.068652,2.360000,2004-11-29,2.370000,2.340000,2.360000,11100000
1.073180,2.370000,2004-11-30,2.380000,2.340000,2.370000,36403000
1.082237,2.390000,2004-12-01,2.390000,2.360000,2.370000,26000000
1.082237,2.390000,2004-12-02,2.400000,2.380000,2.390000,13834000
1.082237,2.390000,2004-12-03,2.390000,2.350000,2.380000,19935000
1.055067,2.330000,2004-12-06,2.390000,2.330000,2.390000,11085000
1.059596,2.340000,2004-12-07,2.370000,2.340000,2.340000,18005000
1.068652,2.360000,2004-12-08,2.390000,2.350000,2.350000,20924000
1.059596,2.340000,2004-12-09,2.380000,2.340000,2.360000,16595000
1.068652,2.360000,2004-12-10,2.390000,2.350000,2.360000,18034000
1.082237,2.390000,2004-12-13,2.390000,2.360000,2.380000,15761000
1.095821,2.420000,2004-12-14,2.420000,2.390000,2.390000,19352000
1.095821,2.420000,2004-12-15,2.420000,2.390000,2.420000,18324000
1.077708,2.380000,2004-12-16,2.420000,2.380000,2.420000,13396000
1.086764,2.400000,2004-12-17,2.400000,2.370000,2.380000,14120000
1.086764,2.400000,2004-12-20,2.400000,2.370000,2.400000,11287000
1.095821,2.420000,2004-12-21,2.420000,2.390000,2.400000,13863000
1.077708,2.380000,2004-12-22,2.430000,2.380000,2.430000,14200000
1.077708,2.380000,2004-12-23,2.390000,2.360000,2.380000,9592000
1.082237,2.390000,2004-12-24,2.390000,2.380000,2.390000,4370000
1.073180,2.370000,2004-12-27,2.390000,2.360000,2.370000,6682000
1.073180,2.370000,2004-12-28,2.390000,2.360000,2.380000,7975000
1.068652,2.360000,2004-12-29,2.390000,2.360000,2.370000,9528000
1.073180,2.370000,2004-12-30,2.380000,2.350000,2.370000,9690000
1.077708,2.380000,2004-12-31,2.380000,2.360000,2.370000,4105000
1.073180,2.370000,2005-01-03,2.390000,2.360000,2.370000,7910000
1.073180,2.370000,2005-01-04,2.380000,2.360000,2.370000,6622000
1.077708,2.380000,2005-01-05,2.400000,2.370000,2.380000,15632000
1.086764,2.400000,2005-01-06,2.400000,2.370000,2.380000,11791000
1.073180,2.370000,2005-01-07,2.400000,2.370000,2.390000,5128000
1.068652,2.360000,2005-01-10,2.380000,2.360000,2.370000,7163000
1.091293,2.410000,2005-01-11,2.410000,2.370000,2.380000,22325000
1.086764,2.400000,2005-01-12,2.400000,2.380000,2.390000,13069000
1.091293,2.410000,2005-01-13,2.430000,2.400000,2.400000,37018000
1.113934,2.460000,2005-01-14,2.460000,2.410000,2.420000,38627000
1.113934,2.460000,2005-01-17,2.480000,2.450000,2.460000,29013000
1.082237,2.390000,2005-01-18,2.470000,2.390000,2.450000,23350000
1.095821,2.420000,2005-01-19,2.430000,2.400000,2.410000,14909000
1.100349,2.430000,2005-01-20,2.440000,2.420000,2.430000,19874000
1.104878,2.440000,2005-01-24,2.450000,2.410000,2.440000,15392000
1.091293,2.410000,2005-01-25,2.460000,2.410000,2.430000,19592000
1.118462,2.470000,2005-01-26,2.470000,2.420000,2.420000,17963000
1.127518,2.490000,2005-01-27,2.490000,2.460000,2.460000,19379000
1.145631,2.530000,2005-01-28,2.540000,2.480000,2.480000,26283000
1.154687,2.550000,2005-01-31,2.560000,2.530000,2.530000,21834000
1.172800,2.590000,2005-02-01,2.590000,2.540000,2.540000,20494000
1.163744,2.570000,2005-02-02,2.630000,2.570000,2.590000,34206000
1.159215,2.560000,2005-02-03,2.600000,2.550000,2.590000,32125000
1.150159,2.540000,2005-02-04,2.560000,2.540000,2.550000,16338000
1.163744,2.570000,2005-02-07,2.580000,2.550000,2.550000,12922000
1.172800,2.590000,2005-02-08,2.590000,2.550000,2.550000,7043000
1.186384,2.620000,2005-02-11,2.640000,2.590000,2.590000,19985000
1.181857,2.610000,2005-02-14,2.650000,2.610000,2.620000,19146000
1.181857,2.610000,2005-02-15,2.620000,2.570000,2.620000,13570000
1.163744,2.570000,2005-02-16,2.600000,2.560000,2.600000,13642000
1.159215,2.560000,2005-02-17,2.580000,2.560000,2.580000,13523000
1.181857,2.610000,2005-02-18,2.620000,2.550000,2.550000,13672000
1.190913,2.630000,2005-02-21,2.630000,2.590000,2.600000,13578000
1.204498,2.660000,2005-02-22,2.660000,2.610000,2.620000,19136000
1.199969,2.650000,2005-02-23,2.650000,2.630000,2.650000,7318000
1.222610,2.700000,2005-02-24,2.710000,2.630000,2.630000,20044000
1.213554,2.680000,2005-02-25,2.730000,2.680000,2.700000,16766000
1.186384,2.620000,2005-02-28,2.680000,2.610000,2.680000,18367000
1.186384,2.620000,2005-03-01,2.640000,2.600000,2.610000,16427000
1.195441,2.640000,2005-03-02,2.640000,2.600000,2.630000,11326000
1.199969,2.650000,2005-03-03,2.660000,2.620000,2.640000,25322000
1.190913,2.630000,2005-03-04,2.660000,2.630000,2.640000,22857000
1.204498,2.660000,2005-03-07,2.670000,2.640000,2.640000,17687000
1.209026,2.670000,2005-03-08,2.690000,2.660000,2.660000,13868000
1.213554,2.680000,2005-03-09,2.690000,2.670000,2.680000,14006000
1.204498,2.660000,2005-03-10,2.670000,2.640000,2.670000,8297000
1.190913,2.630000,2005-03-11,2.660000,2.630000,2.660000,9876000
1.209026,2.670000,2005-03-14,2.670000,2.620000,2.620000,11783000
1.195441,2.640000,2005-03-15,2.680000,2.640000,2.670000,7729000
1.218082,2.690000,2005-03-16,2.690000,2.630000,2.640000,12172000
1.199969,2.650000,2005-03-17,2.680000,2.640000,2.660000,14503000
1.222610,2.700000,2005-03-18,2.700000,2.650000,2.650000,10099000
1.227138,2.710000,2005-03-21,2.720000,2.690000,2.700000,14250000
1.213554,2.680000,2005-03-22,2.700000,2.670000,2.700000,7756000
1.177328,2.600000,2005-03-23,2.670000,2.550000,2.660000,133811000
1.181857,2.610000,2005-03-24,2.610000,2.590000,2.600000,17260000
1.177328,2.600000,2005-03-28,2.610000,2.590000,2.600000,9438000
1.163744,2.570000,2005-03-29,2.610000,2.560000,2.600000,14296000
1.159215,2.560000,2005-03-30,2.590000,2.550000,2.570000,17288000
1.168272,2.580000,2005-03-31,2.590000,2.540000,2.580000,16758000
1.154687,2.550000,2005-04-01,2.590000,2.550000,2.580000,19710000
1.168272,2.580000,2005-04-04,2.590000,2.550000,2.550000,13644000
1.172800,2.590000,2005-04-05,2.610000,2.580000,2.580000,20187000
1.181857,2.610000,2005-04-06,2.620000,2.580000,2.580000,10163000
1.204498,2.660000,2005-04-07,2.660000,2.600000,2.610000,20522000
1.213554,2.680000,2005-04-08,2.690000,2.650000,2.660000,11658000
1.213554,2.680000,2005-04-11,2.690000,2.670000,2.680000,9015000
1.177328,2.600000,2005-04-12,2.670000,2.590000,2.670000,17838000
1.168272,2.580000,2005-04-13,2.610000,2.560000,2.600000,12815000
1.163744,2.570000,2005-04-14,2.570000,2.540000,2.550000,15279000
1.145631,2.530000,2005-04-15,2.560000,2.520000,2.550000,17052000
1.127518,2.490000,2005-04-18,2.520000,2.470000,2.510000,19170000
1.141103,2.520000,2005-04-19,2.530000,2.500000,2.510000,12466000
1.154687,2.550000,2005-04-20,2.570000,2.530000,2.540000,17032000
1.154687,2.550000,2005-04-21,2.570000,2.550000,2.560000,17094000
1.154687,2.550000,2005-04-22,2.570000,2.540000,2.570000,15586000
1.163744,2.570000,2005-04-25,2.600000,2.550000,2.560000,10016000
1.177328,2.600000,2005-04-26,2.620000,2.570000,2.570000,13129000
1.186384,2.620000,2005-04-27,2.620000,2.590000,2.600000,12763000
1.190913,2.630000,2005-04-28,2.630000,2.600000,2.620000,9245000
1.159215,2.560000,2005-04-29,2.620000,2.560000,2.620000,15993000
1.172800,2.590000,2005-05-03,2.590000,2.560000,2.580000,12525000
1.168272,2.580000,2005-05-04,2.600000,2.570000,2.590000,7415000
1.177328,2.600000,2005-05-05,2.620000,2.590000,2.600000,13898000
1.181857,2.610000,2005-05-06,2.630000,2.600000,2.610000,7762000
1.159215,2.560000,2005-05-09,2.610000,2.560000,2.610000,20177000
1.159215,2.560000,2005-05-10,2.570000,2.560000,2.560000,11259000
1.154687,2.550000,2005-05-11,2.550000,2.520000,2.540000,23340000
1.163744,2.570000,2005-05-12,2.570000,2.540000,2.540000,12817000
1.172800,2.590000,2005-05-13,2.590000,2.540000,2.540000,9101000
1.159215,2.560000,2005-05-16,2.570000,2.550000,2.570000,4213000
1.172800,2.590000,2005-05-17,2.590000,2.540000,2.550000,10125000
1.159215,2.560000,2005-05-18,2.580000,2.560000,2.570000,11491000
1.172800,2.590000,2005-05-19,2.610000,2.560000,2.560000,14421000
1.195441,2.640000,2005-05-20,2.640000,2.600000,2.600000,16853000
1.213554,2.680000,2005-05-24,2.680000,2.630000,2.640000,28635000
1.186384,2.620000,2005-05-25,2.650000,2.620000,2.650000,24468000
1.181857,2.610000,2005-05-26,2.620000,2.590000,2.610000,16015000
1.172800,2.590000,2005-05-27,2.610000,2.590000,2.610000,8858000
1.177328,2.600000,2005-05-30,2.610000,2.590000,2.590000,4964000
1.177328,2.600000,2005-05-31,2.650000,2.600000,2.600000,15027000
