adj_close,close,date,high,low,open,volume
3.610861,5.175000,2004-06-24,5.275000,5.150000,5.250000,384016538
3.610861,5.175000,2004-06-25,5.225000,5.150000,5.200000,105626000
3.698081,5.300000,2004-06-28,5.325000,5.150000,5.150000,176515000
3.698081,5.300000,2004-06-29,5.350000,5.250000,5.300000,96787600
3.680637,5.275000,2004-06-30,5.350000,5.250000,5.325000,55040000
3.680637,5.275000,2004-07-01,5.275000,5.275000,5.275000,0
3.645750,5.225000,2004-07-02,5.275000,5.200000,5.200000,32619000
3.645750,5.225000,2004-07-05,5.225000,5.225000,5.225000,0
3.628306,5.200000,2004-07-06,5.225000,5.175000,5.175000,24750206
3.628306,5.200000,2004-07-07,5.200000,5.150000,5.175000,47246000
3.610861,5.175000,2004-07-08,5.225000,5.150000,5.200000,175869444
3.610861,5.175000,2004-07-09,5.175000,5.150000,5.150000,68392476
3.610861,5.175000,2004-07-12,5.175000,5.150000,5.175000,28424000
3.593419,5.150000,2004-07-13,5.175000,5.150000,5.150000,23083000
3.436424,4.925000,2004-07-14,5.175000,4.875000,5.175000,227739000
3.349205,4.800000,2004-07-15,4.875000,4.725000,4.875000,45852000
3.314317,4.750000,2004-07-16,4.825000,4.725000,4.725000,28298000
3.471312,4.975000,2004-07-19,5.025000,4.750000,4.750000,39300000
3.418981,4.900000,2004-07-20,4.975000,4.900000,4.975000,5656000
3.436424,4.925000,2004-07-21,4.975000,4.900000,4.950000,15861000
3.418981,4.900000,2004-07-22,4.900000,4.850000,4.900000,15768300
3.418981,4.900000,2004-07-23,4.900000,4.850000,4.850000,8524000
3.366649,4.825000,2004-07-26,4.900000,4.825000,4.875000,25678000
3.366649,4.825000,2004-07-27,4.850000,4.800000,4.800000,8009000
3.349205,4.800000,2004-07-28,4.850000,4.800000,4.850000,3636000
3.366649,4.825000,2004-07-29,4.850000,4.800000,4.800000,9401000
3.488756,5.000000,2004-07-30,5.000000,4.825000,4.825000,30637000
3.488756,5.000000,2004-08-02,5.000000,4.900000,4.950000,18628000
3.558531,5.100000,2004-08-03,5.100000,4.950000,5.000000,32990000
3.523643,5.050000,2004-08-04,5.075000,4.975000,5.075000,12945000
3.471312,4.975000,2004-08-05,5.050000,4.975000,5.000000,9394000
3.506199,5.025000,2004-08-06,5.025000,4.950000,4.975000,5884000
3.488756,5.000000,2004-08-09,5.050000,4.950000,4.975000,9131000
3.506199,5.025000,2004-08-10,5.025000,4.950000,5.000000,3945000
