adj_close,close,date,high,low,open,volume
11318.579102,12253.273438,2009-01-16,12253.273438,10316.465820,10672.206055,2649024
12998.109375,14071.500977,2009-01-19,14071.500977,12885.700195,12964.753906,834727
13326.711914,14427.241211,2009-01-20,15968.782227,14111.028320,14901.561523,2622843
12998.109375,14071.500977,2009-01-21,15217.775391,12885.700195,14229.608398,1708888
11574.159180,12529.959961,2009-01-22,14624.875000,12371.853516,14545.821289,982911
10405.790039,11265.106445,2009-01-23,12648.540039,11265.106445,11541.792969,1430263
11939.275391,12925.227539,2009-01-28,12925.227539,10988.419922,11541.792969,1430263
10880.438477,11778.953125,2009-01-29,13320.494141,11778.953125,13280.967773,924710
11318.579102,12253.273438,2009-01-30,13280.967773,11541.792969,11541.792969,882761
11720.204102,12688.067383,2009-02-02,13715.760742,12174.219727,12332.327148,1098540
12194.853516,13201.914063,2009-02-03,13794.814453,12806.647461,12885.700195,915663
11720.204102,12688.067383,2009-02-04,13676.234375,12569.487305,13557.654297,813660
11172.532227,12095.166992,2009-02-05,12727.593750,12095.166992,12648.540039,361647
11793.226563,12767.120117,2009-02-06,12964.753906,12134.693359,12332.327148,422637
11501.136719,12450.907227,2009-02-09,12964.753906,12411.379883,12846.173828,205743
11391.603516,12332.327148,2009-02-10,12727.593750,12292.799805,12688.067383,146693
11720.204102,12688.067383,2009-02-11,13043.807617,12016.113281,12055.639648,417650
11829.738281,12806.647461,2009-02-12,13478.600586,12767.120117,12925.227539,737886
12450.435547,13478.600586,2009-02-13,13755.288086,12688.067383,12885.700195,653691
13874.386719,15020.141602,2009-02-16,15415.408203,13439.074219,13597.180664,2026414
13618.802734,14743.455078,2009-02-17,16166.416016,14664.401367,15217.775391,2176892
15626.940430,16917.421875,2009-02-18,16917.421875,15020.141602,15217.775391,2176892
13655.315430,14782.981445,2009-02-19,18577.542969,14506.294922,17787.009766,3286939
13034.619141,14111.028320,2009-02-20,15336.355469,13518.127930,14506.294922,1330795
