adj_close,close,date,high,low,open,volume
10569.005859,10760.000000,2015-10-01,10830.000000,10760.000000,10830.000000,30032
10618.118164,10810.000000,2015-10-02,10825.000000,10800.000000,10800.000000,60029
10706.521484,10900.000000,2015-10-05,10940.000000,10880.000000,10930.000000,40976
10647.585938,10840.000000,2015-10-06,10950.000000,10840.000000,10920.000000,40252
10411.845703,10600.000000,2015-10-07,10760.000000,10600.000000,10760.000000,20248
10313.620117,10500.000000,2015-10-08,10680.000000,10430.000000,10660.000000,40068
10289.064453,10475.000000,2015-10-12,10500.000000,10470.000000,10500.000000,40071
10235.041016,10420.000000,2015-10-13,10520.000000,10420.000000,10520.000000,20026
10185.928711,10370.000000,2015-10-14,10450.000000,10370.000000,10415.000000,22141
10269.418945,10455.000000,2015-10-15,10455.000000,10355.000000,10425.000000,243515
10421.667969,10610.000000,2015-10-16,10635.000000,10555.000000,10560.000000,301757
10411.845703,10600.000000,2015-10-19,10645.000000,10590.000000,10640.000000,293816
10559.183594,10750.000000,2015-10-20,10750.000000,10590.000000,10635.000000,285721
10470.781250,10660.000000,2015-10-21,10775.000000,10635.000000,10765.000000,305202
10298.885742,10485.000000,2015-10-22,10605.000000,10465.000000,10600.000000,255949
10406.933594,10595.000000,2015-10-23,10595.000000,10525.000000,10560.000000,234848
10559.183594,10750.000000,2015-10-26,10750.000000,10625.000000,10645.000000,254135
10465.870117,10655.000000,2015-10-27,10805.000000,10655.000000,10785.000000,249735
10662.319336,10855.000000,2015-10-28,10860.000000,10640.000000,10700.000000,239769
10618.118164,10810.000000,2015-10-29,10895.000000,10785.000000,10885.000000,249038
10456.046875,10645.000000,2015-10-30,10820.000000,10640.000000,10820.000000,231953
10421.667969,10610.000000,2015-11-02,10710.000000,10610.000000,10685.000000,226952
10495.336914,10685.000000,2015-11-03,10745.000000,10600.000000,10700.000000,222643
10544.449219,10735.000000,2015-11-04,10735.000000,10650.000000,10705.000000,222544
10706.521484,10900.000000,2015-11-05,10900.000000,10780.000000,10780.000000,293936
10755.632813,10950.000000,2015-11-06,11010.000000,10920.000000,11000.000000,196942
10436.401367,10625.000000,2015-11-09,10995.000000,10605.000000,10995.000000,312418
10176.105469,10360.000000,2015-11-10,10590.000000,10260.000000,10515.000000,368001
10377.467773,10565.000000,2015-11-11,10565.000000,10320.000000,10325.000000,319402
10490.424805,10680.000000,2015-11-12,10730.000000,10605.000000,10605.000000,335240
10465.870117,10655.000000,2015-11-13,10675.000000,10520.000000,10585.000000,368605
10328.354492,10515.000000,2015-11-16,10605.000000,10440.000000,10440.000000,323207
10510.070313,10700.000000,2015-11-17,10710.000000,10635.000000,10685.000000,306449
10559.183594,10750.000000,2015-11-18,10810.000000,10725.000000,10780.000000,315926
10677.052734,10870.000000,2015-11-19,10920.000000,10780.000000,10820.000000,305928
10740.899414,10935.000000,2015-11-20,10935.000000,10865.000000,10895.000000,2243
10755.632813,10950.000000,2015-11-23,11035.000000,10930.000000,10960.000000,396349
10775.278320,10970.000000,2015-11-24,11015.000000,10935.000000,10980.000000,383702
10770.366211,10965.000000,2015-11-25,11020.000000,10935.000000,11000.000000,354343
10873.502930,11070.000000,2015-11-26,11080.000000,10970.000000,11040.000000,377678
10819.479492,11015.000000,2015-11-27,11120.000000,11010.000000,11060.000000,347458
10785.100586,10980.000000,2015-11-30,11075.000000,10905.000000,11075.000000,329716
10863.680664,11060.000000,2015-12-01,11080.000000,10960.000000,11010.000000,346495
10848.946289,11045.000000,2015-12-02,11180.000000,11045.000000,11155.000000,404124
10902.970703,11100.000000,2015-12-03,11100.000000,10965.000000,11050.000000,320682
10799.834961,10995.000000,2015-12-04,11015.000000,10950.000000,10955.000000,349083
10686.875000,10880.000000,2015-12-07,11090.000000,10880.000000,11080.000000,307686
10465.870117,10655.000000,2015-12-08,10890.000000,10600.000000,10835.000000,407333
10397.111328,10585.000000,2015-12-09,10625.000000,10580.000000,10620.000000,303776
10279.242188,10465.000000,2015-12-10,10600.000000,10370.000000,10555.000000,317682
10117.171875,10300.000000,2015-12-11,10490.000000,10260.000000,10485.000000,316150
9748.827148,9925.000000,2015-12-14,10110.000000,9920.000000,10110.000000,348085
9950.188477,10130.000000,2015-12-15,10130.000000,9980.000000,10020.000000,325183
10038.589844,10220.000000,2015-12-16,10285.000000,10200.000000,10225.000000,371283
10176.105469,10360.000000,2015-12-17,10360.000000,10185.000000,10300.000000,406444
10402.023438,10590.000000,2015-12-18,10590.000000,10240.000000,10305.000000,690654
10382.378906,10570.000000,2015-12-21,10615.000000,10525.000000,10530.000000,742594
10308.709961,10495.000000,2015-12-22,10565.000000,10435.000000,10565.000000,491735
10244.863281,10430.000000,2015-12-23,10535.000000,10425.000000,10535.000000,499728
10117.171875,10300.000000,2015-12-24,10430.000000,10300.000000,10415.000000,441191
10274.331055,10460.000000,2015-12-28,10460.000000,10255.000000,10295.000000,410980
10623.030273,10815.000000,2015-12-29,10815.000000,10395.000000,10395.000000,491180
10819.479492,11015.000000,2015-12-30,11015.000000,10825.000000,10870.000000,395520
10745.810547,10940.000000,2016-01-04,11130.000000,10810.000000,11040.000000,618593
10853.857422,11050.000000,2016-01-05,11050.000000,10725.000000,10775.000000,515234
10952.083008,11150.000000,2016-01-06,11150.000000,10910.000000,11065.000000,545702
10829.302734,11025.000000,2016-01-07,11200.000000,10915.000000,11080.000000,853205
10853.857422,11050.000000,2016-01-08,11120.000000,10750.000000,10800.000000,517733
10765.455078,10960.000000,2016-01-11,11200.000000,10920.000000,11045.000000,364475
10711.431641,10905.000000,2016-01-12,11070.000000,10890.000000,10990.000000,367809
10942.259766,11140.000000,2016-01-13,11150.000000,10970.000000,11025.000000,358320
