adj_close,close,date,high,low,open,volume
2300.000000,2300.000000,2017-02-15,2300.000000,2300.000000,2300.000000,0
null,null,2017-02-16,null,null,null,null
null,null,2017-02-17,null,null,null,null
null,null,2017-02-20,null,null,null,null
null,null,2017-02-21,null,null,null,null
null,null,2017-02-22,null,null,null,null
null,null,2017-02-23,null,null,null,null
null,null,2017-02-24,null,null,null,null
null,null,2017-02-27,null,null,null,null
null,null,2017-02-28,null,null,null,null
null,null,2017-03-02,null,null,null,null
null,null,2017-03-03,null,null,null,null
null,null,2017-03-06,null,null,null,null
null,null,2017-03-07,null,null,null,null
null,null,2017-03-08,null,null,null,null
null,null,2017-03-09,null,null,null,null
null,null,2017-03-10,null,null,null,null
null,null,2017-03-13,null,null,null,null
null,null,2017-03-14,null,null,null,null
null,null,2017-03-15,null,null,null,null
null,null,2017-03-16,null,null,null,null
null,null,2017-03-17,null,null,null,null
null,null,2017-03-20,null,null,null,null
null,null,2017-03-21,null,null,null,null
null,null,2017-03-22,null,null,null,null
null,null,2017-03-23,null,null,null,null
null,null,2017-03-24,null,null,null,null
null,null,2017-03-27,null,null,null,null
null,null,2017-03-28,null,null,null,null
null,null,2017-03-29,null,null,null,null
null,null,2017-03-30,null,null,null,null
null,null,2017-03-31,null,null,null,null
null,null,2017-04-03,null,null,null,null
null,null,2017-04-04,null,null,null,null
null,null,2017-04-05,null,null,null,null
null,null,2017-04-06,null,null,null,null
null,null,2017-04-07,null,null,null,null
null,null,2017-04-10,null,null,null,null
null,null,2017-04-11,null,null,null,null
null,null,2017-04-12,null,null,null,null
null,null,2017-04-13,null,null,null,null
null,null,2017-04-14,null,null,null,null
null,null,2017-04-17,null,null,null,null
null,null,2017-04-18,null,null,null,null
null,null,2017-04-19,null,null,null,null
null,null,2017-04-20,null,null,null,null
null,null,2017-04-21,null,null,null,null
null,null,2017-04-24,null,null,null,null
null,null,2017-04-25,null,null,null,null
null,null,2017-04-26,null,null,null,null
null,null,2017-04-27,null,null,null,null
null,null,2017-04-28,null,null,null,null
null,null,2017-05-02,null,null,null,null
null,null,2017-05-04,null,null,null,null
null,null,2017-05-08,null,null,null,null
null,null,2017-05-10,null,null,null,null
null,null,2017-05-11,null,null,null,null
null,null,2017-05-12,null,null,null,null
null,null,2017-05-15,null,null,null,null
null,null,2017-05-16,null,null,null,null
null,null,2017-05-17,null,null,null,null
null,null,2017-05-18,null,null,null,null
null,null,2017-05-19,null,null,null,null
null,null,2017-05-22,null,null,null,null
null,null,2017-05-23,null,null,null,null
null,null,2017-05-24,null,null,null,null
null,null,2017-05-25,null,null,null,null
null,null,2017-05-26,null,null,null,null
null,null,2017-05-29,null,null,null,null
null,null,2017-05-30,null,null,null,null
null,null,2017-05-31,null,null,null,null
null,null,2017-06-01,null,null,null,null
null,null,2017-06-02,null,null,null,null
null,null,2017-06-05,null,null,null,null
null,null,2017-06-07,null,null,null,null
null,null,2017-06-08,null,null,null,null
null,null,2017-06-09,null,null,null,null
null,null,2017-06-12,null,null,null,null
null,null,2017-06-13,null,null,null,null
null,null,2017-06-14,null,null,null,null
null,null,2017-06-15,null,null,null,null
null,null,2017-06-16,null,null,null,null
null,null,2017-06-19,null,null,null,null
null,null,2017-06-20,null,null,null,null
null,null,2017-06-21,null,null,null,null
null,null,2017-06-22,null,null,null,null
null,null,2017-06-23,null,null,null,null
null,null,2017-06-26,null,null,null,null
null,null,2017-06-27,null,null,null,null
null,null,2017-06-28,null,null,null,null
null,null,2017-06-29,null,null,null,null
null,null,2017-06-30,null,null,null,null
null,null,2017-07-03,null,null,null,null
null,null,2017-07-04,null,null,null,null
null,null,2017-07-05,null,null,null,null
null,null,2017-07-06,null,null,null,null
null,null,2017-07-07,null,null,null,null
null,null,2017-07-10,null,null,null,null
null,null,2017-07-11,null,null,null,null
null,null,2017-07-12,null,null,null,null
null,null,2017-07-13,null,null,null,null
null,null,2017-07-14,null,null,null,null
null,null,2017-07-17,null,null,null,null
null,null,2017-07-18,null,null,null,null
null,null,2017-07-19,null,null,null,null
null,null,2017-07-20,null,null,null,null
null,null,2017-07-21,null,null,null,null
null,null,2017-07-24,null,null,null,null
null,null,2017-07-25,null,null,null,null
null,null,2017-07-26,null,null,null,null
null,null,2017-07-27,null,null,null,null
null,null,2017-07-28,null,null,null,null
null,null,2017-07-31,null,null,null,null
null,null,2017-08-01,null,null,null,null
null,null,2017-08-02,null,null,null,null
null,null,2017-08-03,null,null,null,null
null,null,2017-08-04,null,null,null,null
null,null,2017-08-07,null,null,null,null
null,null,2017-08-08,null,null,null,null
null,null,2017-08-09,null,null,null,null
null,null,2017-08-10,null,null,null,null
null,null,2017-08-11,null,null,null,null
null,null,2017-08-14,null,null,null,null
null,null,2017-08-16,null,null,null,null
null,null,2017-08-17,null,null,null,null
null,null,2017-08-18,null,null,null,null
null,null,2017-08-21,null,null,null,null
null,null,2017-08-22,null,null,null,null
null,null,2017-08-23,null,null,null,null
null,null,2017-08-24,null,null,null,null
null,null,2017-08-25,null,null,null,null
null,null,2017-08-28,null,null,null,null
null,null,2017-08-29,null,null,null,null
null,null,2017-08-30,null,null,null,null
null,null,2017-08-31,null,null,null,null
null,null,2017-09-01,null,null,null,null
null,null,2017-09-04,null,null,null,null
null,null,2017-09-05,null,null,null,null
null,null,2017-09-06,null,null,null,null
null,null,2017-09-07,null,null,null,null
null,null,2017-09-08,null,null,null,null
null,null,2017-09-11,null,null,null,null
null,null,2017-09-12,null,null,null,null
null,null,2017-09-13,null,null,null,null
null,null,2017-09-14,null,null,null,null
null,null,2017-09-15,null,null,null,null
null,null,2017-09-18,null,null,null,null
null,null,2017-09-19,null,null,null,null
null,null,2017-09-20,null,null,null,null
null,null,2017-09-21,null,null,null,null
null,null,2017-09-25,null,null,null,null
null,null,2017-09-26,null,null,null,null
null,null,2017-09-27,null,null,null,null
null,null,2017-09-28,null,null,null,null
null,null,2017-09-29,null,null,null,null
null,null,2017-10-10,null,null,null,null
null,null,2017-10-11,null,null,null,null
null,null,2017-10-12,null,null,null,null
null,null,2017-10-13,null,null,null,null
null,null,2017-10-16,null,null,null,null
null,null,2017-10-17,null,null,null,null
null,null,2017-10-18,null,null,null,null
null,null,2017-10-19,null,null,null,null
null,null,2017-10-20,null,null,null,null
null,null,2017-10-23,null,null,null,null
null,null,2017-10-24,null,null,null,null
null,null,2017-10-25,null,null,null,null
null,null,2017-10-26,null,null,null,null
null,null,2017-10-27,null,null,null,null
null,null,2017-10-30,null,null,null,null
null,null,2017-10-31,null,null,null,null
null,null,2017-11-01,null,null,null,null
null,null,2017-11-02,null,null,null,null
null,null,2017-11-03,null,null,null,null
null,null,2017-11-06,null,null,null,null
null,null,2017-11-07,null,null,null,null
null,null,2017-11-08,null,null,null,null
null,null,2017-11-09,null,null,null,null
null,null,2017-11-10,null,null,null,null
null,null,2017-11-13,null,null,null,null
null,null,2017-11-14,null,null,null,null
null,null,2017-11-15,null,null,null,null
null,null,2017-11-16,null,null,null,null
null,null,2017-11-17,null,null,null,null
null,null,2017-11-20,null,null,null,null
null,null,2017-11-21,null,null,null,null
null,null,2017-11-22,null,null,null,null
null,null,2017-11-23,null,null,null,null
null,null,2017-11-24,null,null,null,null
null,null,2017-11-27,null,null,null,null
null,null,2017-11-28,null,null,null,null
null,null,2017-11-29,null,null,null,null
null,null,2017-11-30,null,null,null,null
null,null,2017-12-01,null,null,null,null
null,null,2017-12-04,null,null,null,null
null,null,2017-12-05,null,null,null,null
null,null,2017-12-06,null,null,null,null
null,null,2017-12-07,null,null,null,null
null,null,2017-12-08,null,null,null,null
null,null,2017-12-11,null,null,null,null
null,null,2017-12-12,null,null,null,null
null,null,2017-12-13,null,null,null,null
null,null,2017-12-14,null,null,null,null
null,null,2017-12-15,null,null,null,null
null,null,2017-12-18,null,null,null,null
null,null,2017-12-19,null,null,null,null
null,null,2017-12-21,null,null,null,null
null,null,2017-12-22,null,null,null,null
null,null,2017-12-26,null,null,null,null
null,null,2017-12-27,null,null,null,null
null,null,2017-12-28,null,null,null,null
null,null,2018-01-02,null,null,null,null
null,null,2018-01-03,null,null,null,null
null,null,2018-01-04,null,null,null,null
null,null,2018-01-05,null,null,null,null
null,null,2018-01-08,null,null,null,null
null,null,2018-01-09,null,null,null,null
null,null,2018-01-10,null,null,null,null
null,null,2018-01-11,null,null,null,null
null,null,2018-01-12,null,null,null,null
null,null,2018-01-15,null,null,null,null
null,null,2018-01-16,null,null,null,null
null,null,2018-01-17,null,null,null,null
null,null,2018-01-18,null,null,null,null
null,null,2018-01-19,null,null,null,null
null,null,2018-01-22,null,null,null,null
null,null,2018-01-23,null,null,null,null
null,null,2018-01-24,null,null,null,null
null,null,2018-01-25,null,null,null,null
null,null,2018-01-26,null,null,null,null
null,null,2018-01-29,null,null,null,null
null,null,2018-01-30,null,null,null,null
null,null,2018-01-31,null,null,null,null
null,null,2018-02-01,null,null,null,null
null,null,2018-02-02,null,null,null,null
null,null,2018-02-05,null,null,null,null
null,null,2018-02-06,null,null,null,null
null,null,2018-02-07,null,null,null,null
null,null,2018-02-08,null,null,null,null
null,null,2018-02-09,null,null,null,null
null,null,2018-02-12,null,null,null,null
null,null,2018-02-13,null,null,null,null
null,null,2018-02-14,null,null,null,null
null,null,2018-02-19,null,null,null,null
null,null,2018-02-20,null,null,null,null
null,null,2018-02-21,null,null,null,null
null,null,2018-02-22,null,null,null,null
null,null,2018-02-23,null,null,null,null
null,null,2018-02-26,null,null,null,null
null,null,2018-02-27,null,null,null,null
null,null,2018-02-28,null,null,null,null
null,null,2018-03-02,null,null,null,null
null,null,2018-03-05,null,null,null,null
null,null,2018-03-06,null,null,null,null
null,null,2018-03-07,null,null,null,null
null,null,2018-03-08,null,null,null,null
null,null,2018-03-09,null,null,null,null
null,null,2018-03-12,null,null,null,null
null,null,2018-03-13,null,null,null,null
null,null,2018-03-14,null,null,null,null
null,null,2018-03-15,null,null,null,null
null,null,2018-03-16,null,null,null,null
null,null,2018-03-19,null,null,null,null
null,null,2018-03-20,null,null,null,null
null,null,2018-03-21,null,null,null,null
null,null,2018-03-22,null,null,null,null
null,null,2018-03-23,null,null,null,null
null,null,2018-03-26,null,null,null,null
null,null,2018-03-27,null,null,null,null
null,null,2018-03-28,null,null,null,null
null,null,2018-03-29,null,null,null,null
null,null,2018-03-30,null,null,null,null
null,null,2018-04-02,null,null,null,null
null,null,2018-04-03,null,null,null,null
null,null,2018-04-04,null,null,null,null
null,null,2018-04-05,null,null,null,null
null,null,2018-04-06,null,null,null,null
null,null,2018-04-09,null,null,null,null
null,null,2018-04-10,null,null,null,null
null,null,2018-04-11,null,null,null,null
null,null,2018-04-12,null,null,null,null
null,null,2018-04-13,null,null,null,null
null,null,2018-04-16,null,null,null,null
null,null,2018-04-17,null,null,null,null
null,null,2018-04-18,null,null,null,null
null,null,2018-04-19,null,null,null,null
null,null,2018-04-20,null,null,null,null
null,null,2018-04-23,null,null,null,null
null,null,2018-04-24,null,null,null,null
null,null,2018-04-25,null,null,null,null
null,null,2018-04-26,null,null,null,null
null,null,2018-04-27,null,null,null,null
null,null,2018-04-30,null,null,null,null
null,null,2018-05-02,null,null,null,null
null,null,2018-05-03,null,null,null,null
null,null,2018-05-04,null,null,null,null
null,null,2018-05-08,null,null,null,null
null,null,2018-05-09,null,null,null,null
null,null,2018-05-10,null,null,null,null
null,null,2018-05-11,null,null,null,null
null,null,2018-05-14,null,null,null,null
null,null,2018-05-15,null,null,null,null
null,null,2018-05-16,null,null,null,null
null,null,2018-05-17,null,null,null,null
null,null,2018-05-18,null,null,null,null
null,null,2018-05-21,null,null,null,null
null,null,2018-05-23,null,null,null,null
null,null,2018-05-24,null,null,null,null
