date,close,open,high,low
03/29/2024,1818.20,1912.81,1822.75,1800.20
03/28/2024,1806.90,1912.81,1829.47,1787.96
03/27/2024,1789.82,1912.81,1840.19,1789.82
03/26/2024,1841.54,1912.81,1856.20,1829.48
03/25/2024,1833.44,1912.81,1871.06,1833.10
03/22/2024,1869.17,1912.81,1897.31,1860.35
03/21/2024,1897.09,1912.81,1920.55,1897.05
03/20/2024,1909.25,1898.18,1915.46,1897.60
03/19/2024,1906.94,1917.92,1925.69,1906.94
03/18/2024,1926.40,1906.12,1926.40,1902.13
03/15/2024,1884.09,1877.57,1886.95,1848.22
03/14/2024,1883.02,1895.73,1912.11,1870.02
03/13/2024,1895.15,1911.98,1911.98,1890.66
03/12/2024,1906.04,1896.45,1915.09,1885.64
03/11/2024,1890.41,1817.07,1890.87,1812.79
03/08/2024,1807.29,1793.51,1813.10,1779.77
03/07/2024,1789.94,1830.26,1838.71,1789.87
03/06/2024,1832.58,1822.54,1855.61,1810.90
03/05/2024,1833.66,1818.59,1843.08,1813.27
03/04/2024,1834.83,1827.13,1847.25,1817.66
03/01/2024,1824.03,1808.20,1830.94,1795.85
02/29/2024,1807.03,1739.97,1809.66,1739.97
02/28/2024,1748.97,1799.61,1829.14,1748.97
02/27/2024,1793.98,1743.49,1793.98,1740.83
02/26/2024,1751.70,1752.76,1768.10,1738.33
02/23/2024,1758.19,1766.96,1767.26,1742.49
02/22/2024,1757.87,1752.79,1761.12,1742.29
02/21/2024,1752.48,1728.45,1783.81,1724.29
02/20/2024,1746.18,1739.03,1749.27,1722.49
02/19/2024,1746.42,1752.86,1752.86,1722.99
02/08/2024,1726.86,1716.63,1764.39,1713.77
02/07/2024,1707.02,1663.18,1711.42,1658.46
02/06/2024,1667.45,1544.96,1668.89,1544.50
02/05/2024,1562.61,1534.19,1600.33,1482.99
02/02/2024,1550.37,1585.96,1595.98,1512.10
02/01/2024,1589.04,1564.37,1616.40,1563.88
01/31/2024,1573.37,1585.21,1601.89,1573.18
01/30/2024,1583.77,1613.46,1631.53,1582.42
01/29/2024,1623.81,1680.15,1685.58,1623.81
01/26/2024,1682.48,1703.48,1714.36,1679.34
01/25/2024,1720.78,1686.55,1720.85,1672.16
01/24/2024,1696.19,1696.56,1700.77,1642.16
01/23/2024,1687.61,1663.98,1700.57,1655.27
01/22/2024,1666.88,1710.29,1714.93,1657.35
01/19/2024,1715.44,1736.63,1743.30,1714.51
01/18/2024,1732.36,1685.94,1735.09,1678.50
01/17/2024,1699.62,1747.77,1747.77,1699.62
01/16/2024,1752.23,1752.29,1755.38,1724.66
01/15/2024,1745.61,1745.25,1766.26,1738.54
01/12/2024,1761.16,1768.24,1785.05,1761.16
01/11/2024,1777.27,1744.30,1790.33,1739.16
01/10/2024,1743.20,1741.13,1771.68,1741.13
01/09/2024,1750.78,1749.77,1774.32,1738.01
01/08/2024,1744.41,1769.32,1779.38,1744.41
01/05/2024,1775.58,1798.82,1815.07,1765.88
01/04/2024,1801.76,1816.19,1818.40,1794.03
01/03/2024,1834.73,1850.16,1856.44,1825.55
01/02/2024,1855.92,1889.02,1889.02,1855.77
12/29/2023,1891.37,1879.53,1897.67,1878.04
12/28/2023,1879.50,1806.79,1885.91,1804.88
12/27/2023,1809.83,1813.05,1818.05,1796.81
12/26/2023,1808.50,1828.56,1829.87,1801.38
12/25/2023,1831.57,1820.25,1838.13,1820.22
12/22/2023,1825.84,1827.68,1848.31,1815.44
12/21/2023,1832.62,1795.27,1840.81,1793.28
12/20/2023,1802.88,1830.72,1832.19,1802.39
12/19/2023,1827.67,1820.92,1837.84,1814.57
12/18/2023,1820.00,1839.32,1845.92,1814.93
12/15/2023,1848.50,1869.51,1877.78,1844.18
12/14/2023,1860.51,1884.55,1895.60,1859.25
12/13/2023,1872.34,1899.34,1899.93,1871.82
12/12/2023,1903.87,1909.60,1913.29,1899.56
12/11/2023,1915.74,1880.58,1919.84,1866.09
12/08/2023,1892.18,1881.10,1896.71,1870.88
12/07/2023,1877.21,1870.21,1888.75,1865.80
12/06/2023,1881.94,1867.50,1898.57,1866.90
12/05/2023,1871.10,1896.65,1905.62,1870.98
12/04/2023,1908.92,1913.65,1926.15,1908.53
12/01/2023,1926.28,1922.37,1934.06,1905.82
11/30/2023,1922.59,1915.05,1930.38,1912.17
11/29/2023,1917.90,1934.55,1937.70,1917.90
11/28/2023,1938.42,1923.36,1938.65,1918.51
11/27/2023,1926.20,1936.61,1936.61,1916.55
11/24/2023,1937.94,1960.38,1960.38,1935.00
11/23/2023,1961.35,1945.90,1961.35,1940.21
11/22/2023,1950.01,1974.32,1977.07,1950.01
11/21/2023,1984.27,2001.07,2014.48,1981.29
11/20/2023,1992.97,1987.85,1998.10,1969.92
11/17/2023,1986.53,1971.22,1986.67,1971.22
11/16/2023,1978.12,2012.20,2012.20,1978.12
11/15/2023,2015.36,2032.26,2033.03,2008.56
11/14/2023,2004.81,2008.29,2024.66,1995.76
11/13/2023,2009.21,2018.83,2022.84,1998.02
11/10/2023,2005.24,2006.09,2011.91,2001.36
11/09/2023,2018.38,2019.69,2035.42,2013.55
11/08/2023,2023.13,2016.60,2035.91,2010.04
11/07/2023,2022.77,2025.10,2031.74,2012.06
11/06/2023,2032.34,1984.33,2034.54,1984.33
11/03/2023,1968.21,1943.21,1973.57,1943.21
11/02/2023,1939.70,1964.43,1973.23,1939.45
11/01/2023,1959.13,1969.08,1971.41,1949.99
10/31/2023,1968.23,1974.80,1975.39,1958.40
10/30/2023,1977.69,1933.79,1983.46,1931.70
10/27/2023,1929.91,1868.23,1937.27,1863.53
10/26/2023,1875.86,1851.19,1877.30,1840.26
10/25/2023,1863.80,1890.48,1894.54,1863.77
10/24/2023,1880.81,1872.29,1890.10,1859.86
10/23/2023,1864.91,1891.48,1891.48,1854.45
10/20/2023,1896.95,1899.99,1922.78,1893.95
10/19/2023,1913.70,1925.53,1936.08,1913.43
10/18/2023,1938.44,1947.65,1949.84,1934.84
10/17/2023,1961.89,1963.83,1969.47,1950.33
10/16/2023,1956.72,1993.91,1994.26,1949.33
10/13/2023,1996.60,2004.20,2005.72,1986.19
10/12/2023,2019.10,2015.55,2022.36,2001.91
10/11/2023,2003.90,2000.52,2021.11,1996.82
10/10/2023,1987.94,2004.95,2014.30,1987.35
10/09/2023,1998.61,2000.13,2006.43,1977.77
09/28/2023,2003.91,2013.62,2019.29,1995.56
09/27/2023,2006.22,1994.01,2027.82,1990.16
09/26/2023,1989.83,2000.23,2007.91,1989.69
09/25/2023,2005.26,2015.32,2015.32,2001.37
09/22/2023,2013.34,1965.69,2013.93,1963.25
09/21/2023,1967.61,1983.02,1990.33,1967.61
09/20/2023,1987.30,2000.72,2001.50,1987.30
09/19/2023,2002.66,2017.89,2017.89,1995.36
09/18/2023,2020.47,1994.87,2032.65,1993.68
09/15/2023,2002.73,2009.33,2022.88,1996.12
09/14/2023,2011.88,2021.60,2024.86,2002.43
09/13/2023,2027.73,2045.31,2053.45,2015.39
09/12/2023,2051.04,2060.62,2063.92,2050.60
09/11/2023,2063.19,2048.95,2076.90,2041.77
09/08/2023,2049.76,2047.60,2057.12,2038.57
09/07/2023,2056.98,2096.61,2096.64,2056.98
09/06/2023,2101.40,2103.30,2105.10,2089.50
09/05/2023,2111.33,2113.60,2122.53,2107.93
09/04/2023,2118.03,2110.17,2120.98,2088.99
09/01/2023,2100.26,2108.08,2118.48,2093.18
08/31/2023,2102.57,2111.02,2116.39,2100.73
08/30/2023,2117.13,2122.65,2141.46,2112.57
08/29/2023,2118.19,2054.98,2133.44,2054.98
08/28/2023,2060.04,2182.39,2182.39,2055.61
08/25/2023,2040.40,2053.65,2059.15,2032.58
08/24/2023,2064.57,2053.48,2083.64,2042.58
08/23/2023,2038.98,2081.21,2081.21,2038.98
08/22/2023,2086.94,2099.84,2104.32,2049.14
08/21/2023,2084.97,2108.70,2114.99,2084.97
08/18/2023,2118.92,2145.80,2156.09,2118.92
08/17/2023,2147.06,2130.54,2151.23,2113.30
08/16/2023,2132.97,2140.01,2158.00,2132.89
08/15/2023,2148.67,2164.82,2171.56,2130.38
08/14/2023,2164.69,2163.28,2170.22,2140.01
08/11/2023,2187.04,2241.48,2241.48,2187.04
08/10/2023,2239.31,2226.91,2241.85,2221.08
08/09/2023,2228.73,2222.51,2241.87,2222.51
08/08/2023,2228.91,2238.66,2244.90,2226.40
08/07/2023,2240.77,2252.43,2256.00,2234.04
08/04/2023,2263.37,2263.40,2282.65,2247.90
08/03/2023,2241.98,2214.09,2242.57,2214.09
08/02/2023,2218.57,2220.77,2231.87,2213.04
08/01/2023,2223.80,2234.61,2249.38,2215.58
07/31/2023,2236.67,2233.26,2256.05,2230.13
07/28/2023,2219.54,2176.49,2224.03,2172.37
07/27/2023,2184.10,2199.48,2205.72,2180.69
07/26/2023,2191.17,2185.81,2194.54,2180.20
07/25/2023,2192.90,2183.05,2195.75,2169.72
07/24/2023,2146.93,2148.29,2167.19,2142.91
07/21/2023,2163.12,2151.85,2177.80,2151.07
07/20/2023,2155.65,2180.71,2199.64,2153.98
07/19/2023,2177.25,2196.59,2201.43,2170.33
07/18/2023,2200.62,2215.05,2215.25,2196.23
07/17/2023,2207.44,2212.76,2214.42,2198.27
07/14/2023,2224.10,2237.24,2239.42,2221.78
07/13/2023,2237.51,2208.22,2238.67,2208.22
