date,open,high,low,close
2005-01-17,4413.1900,4486.1200,4413.1900,4471.6300
2005-01-18,4471.6300,4485.6400,4453.4100,4460.4600
2005-01-19,4460.4600,4485.4600,4426.2600,4426.2600
2005-01-20,4426.2600,4447.2200,4384.0900,4421.2500
2005-01-21,4421.2500,4431.0400,4391.1900,4392.2200
2005-01-24,4392.2200,4404.9400,4324.1100,4331.8300
2005-01-25,4331.8300,4352.8100,4312.4000,4347.5700
2005-01-26,4396.6400,4406.1200,4347.5700,4394.7000
2005-01-27,4394.7000,4417.6700,4382.6500,4409.5900
2005-01-28,4409.5900,4449.5600,4399.8700,4423.7600
2005-01-31,4423.7600,4531.1800,4423.7600,4520.2400
2005-02-01,4520.2400,4541.8900,4510.4600,4520.0900
2005-02-02,4575.5700,4581.8400,4556.4300,4565.1500
2005-02-03,4565.1500,4589.3900,4547.2300,4579.4400
2005-02-14,4579.4400,4672.9400,4579.4400,4648.7300
2005-02-15,4648.7300,4675.5900,4642.7400,4661.8200
2005-02-16,4661.8200,4669.5100,4610.0400,4649.0000
2005-02-17,4649.0000,4649.0000,4578.9000,4578.9000
2005-02-18,4578.9000,4620.9800,4566.6200,4602.9000
2005-02-21,4602.9000,4634.8600,4602.9000,4611.0600
2005-02-22,4611.0600,4623.7800,4586.1400,4592.4500
2005-02-23,4592.4500,4601.3000,4535.7100,4593.0800
2005-02-24,4593.0800,4617.9700,4572.0200,4595.2900
2005-02-25,4595.2900,4689.0500,4595.2900,4669.1100
2005-03-01,4669.1100,4706.4400,4662.9600,4706.4400
2005-03-02,4678.2500,4678.2500,4678.2500,4678.2500
2005-03-03,4678.2500,4678.2500,4614.7800,4642.8500
2005-03-04,4642.8500,4644.1500,4614.7600,4628.9100
2005-03-07,4628.9100,4672.2900,4628.9100,4645.1000
2005-03-08,4645.1000,4675.6700,4599.6000,4616.6100
2005-03-09,4616.6100,4646.0000,4596.4100,4634.2500
2005-03-10,4634.2500,4634.2500,4592.0800,4612.9300
2005-03-11,4612.9300,4645.1000,4611.1300,4622.0400
2005-03-14,4622.0400,4622.0400,4569.4100,4573.1800
2005-03-15,4536.1000,4580.7800,4493.0600,4516.7600
