date,close,open,high,low
3/28/2024,3319.96,3299.11,3339.62,3280.64
3/27/2024,3305.80,3322.54,3331.93,3298.88
3/26/2024,3323.95,3356.16,3366.90,3318.30
3/25/2024,3349.42,3361.22,3384.00,3342.20
3/22/2024,3360.26,3407.40,3407.41,3331.19
3/21/2024,3417.55,3395.80,3430.82,3395.80
3/20/2024,3380.41,3368.01,3386.49,3358.25
3/19/2024,3366.69,3424.69,3424.69,3366.69
3/18/2024,3432.80,3409.10,3439.16,3400.43
3/15/2024,3409.43,3426.27,3426.27,3384.16
3/14/2024,3440.76,3453.21,3475.39,3416.10
3/13/2024,3438.07,3439.52,3451.83,3415.38
3/12/2024,3438.07,3386.37,3440.87,3379.08
3/11/2024,3380.93,3347.72,3380.93,3347.72
3/8/2024,3344.35,3304.72,3355.73,3304.72
3/7/2024,3300.24,3318.47,3340.80,3284.29
3/6/2024,3321.24,3280.03,3334.37,3277.86
3/5/2024,3282.45,3340.95,3340.95,3279.60
3/4/2024,3354.56,3365.64,3373.59,3336.47
3/1/2024,3356.45,3340.26,3367.50,3324.99
2/29/2024,3340.63,3311.58,3374.43,3309.50
2/28/2024,3318.92,3373.19,3384.31,3316.08
2/27/2024,3372.45,3336.24,3377.77,3302.41
2/26/2024,3341.74,3358.31,3380.02,3337.04
2/23/2024,3357.58,3354.82,3373.53,3333.56
2/22/2024,3351.55,3280.50,3351.55,3271.43
2/21/2024,3276.82,3215.12,3313.04,3197.78
2/20/2024,3227.74,3179.94,3227.74,3167.04
2/19/2024,3178.84,3187.30,3187.30,3158.02
2/16/2024,3189.10,3084.42,3189.17,3077.42
2/15/2024,3079.30,3077.22,3083.76,3028.49
2/14/2024,3072.73,3067.50,3073.15,3010.97
2/9/2024,3081.39,3131.37,3131.37,3056.82
2/8/2024,3136.09,3116.97,3152.98,3112.77
2/7/2024,3114.31,3135.76,3169.32,3105.61
2/6/2024,3128.57,3024.65,3132.42,3018.67
2/5/2024,3023.85,3046.51,3054.84,2987.79
2/2/2024,3048.88,3075.22,3135.67,3016.94
2/1/2024,3067.01,3044.66,3100.46,3017.37
1/31/2024,3037.99,3072.81,3093.82,3021.47
1/30/2024,3078.79,3156.47,3156.47,3073.91
1/29/2024,3162.28,3172.30,3205.09,3154.89
1/26/2024,3156.98,3212.00,3226.09,3137.46
1/25/2024,3214.77,3144.15,3214.88,3129.03
1/24/2024,3140.83,3062.99,3153.59,3029.53
1/23/2024,3032.29,2977.82,3054.22,2964.15
1/22/2024,2977.04,3097.68,3098.01,2949.05
1/19/2024,3095.46,3136.58,3147.38,3080.60
1/18/2024,3140.74,3126.37,3155.42,3096.95
1/17/2024,3122.35,3264.44,3264.44,3114.09
1/16/2024,3270.75,3303.13,3325.70,3267.15
1/15/2024,3308.19,3302.09,3328.96,3279.35
1/12/2024,3298.89,3294.36,3325.55,3289.91
1/11/2024,3294.38,3280.80,3323.11,3269.23
1/10/2024,3276.29,3284.96,3298.69,3264.49
1/9/2024,3285.60,3280.72,3312.03,3272.62
1/8/2024,3274.42,3340.47,3349.12,3264.81
1/5/2024,3339.40,3351.64,3371.02,3326.58
1/4/2024,3350.29,3356.31,3356.88,3326.71
1/3/2024,3353.44,3367.54,3367.54,3338.69
1/2/2024,3373.68,3417.44,3424.82,3367.62
12/29/2023,3413.29,3385.22,3413.29,3378.96
12/28/2023,3384.80,3303.21,3391.46,3301.52
12/27/2023,3300.44,3287.14,3302.26,3268.13
12/22/2023,3276.55,3307.30,3332.26,3263.00
12/21/2023,3305.42,3274.12,3308.30,3259.40
12/20/2023,3291.34,3302.20,3320.69,3285.59
12/19/2023,3288.98,3323.99,3323.99,3276.38
12/18/2023,3326.53,3356.90,3356.90,3313.73
12/15/2023,3361.30,3332.69,3390.44,3332.69
12/14/2023,3309.47,3300.52,3339.79,3297.63
12/13/2023,3278.18,3326.29,3326.29,3264.86
12/12/2023,3326.94,3303.99,3331.18,3288.45
12/11/2023,3299.35,3300.82,3303.16,3239.14
12/8/2023,3306.90,3342.12,3346.95,3302.47
12/7/2023,3337.73,3357.03,3357.03,3305.73
12/6/2023,3361.63,3337.85,3376.89,3319.58
12/5/2023,3334.49,3386.32,3386.32,3315.41
12/4/2023,3387.69,3437.02,3437.02,3379.76
12/1/2023,3431.83,3448.31,3462.34,3429.23
11/30/2023,3449.83,3441.97,3460.00,3419.05
11/29/2023,3439.23,3504.41,3504.58,3426.07
11/28/2023,3499.79,3502.39,3505.63,3483.74
11/27/2023,3501.72,3535.97,3535.97,3483.84
11/24/2023,3527.73,3560.31,3560.31,3523.02
11/23/2023,3560.52,3514.44,3560.52,3495.26
11/22/2023,3512.69,3519.97,3522.34,3500.68
11/21/2023,3525.48,3533.26,3568.68,3518.62
11/20/2023,3520.49,3489.20,3526.33,3485.55
11/17/2023,3479.00,3495.39,3495.39,3467.80
11/16/2023,3511.16,3555.75,3555.75,3487.62
11/15/2023,3548.44,3508.52,3548.44,3508.52
11/14/2023,3459.56,3467.83,3484.92,3446.92
11/13/2023,3462.66,3450.90,3464.61,3421.10
11/10/2023,3439.74,3467.90,3467.90,3425.63
11/9/2023,3477.61,3505.04,3507.06,3477.61
11/8/2023,3503.43,3509.73,3531.94,3488.94
11/7/2023,3512.49,3551.74,3551.74,3507.94
11/6/2023,3556.20,3508.32,3561.67,3508.32
11/3/2023,3478.73,3434.30,3482.51,3434.30
11/2/2023,3421.48,3430.11,3456.30,3411.08
11/1/2023,3415.92,3420.73,3428.02,3387.05
10/31/2023,3421.09,3464.68,3464.68,3408.19
10/30/2023,3473.22,3425.72,3473.63,3424.36
10/27/2023,3442.87,3383.52,3456.47,3370.25
10/26/2023,3375.05,3394.52,3400.94,3355.84
10/25/2023,3394.85,3419.09,3448.16,3385.54
10/24/2023,3362.39,3350.53,3373.91,3321.82
10/20/2023,3371.90,3388.98,3397.32,3360.96
10/19/2023,3395.50,3449.05,3449.05,3395.50
10/18/2023,3458.63,3493.12,3493.34,3453.39
10/17/2023,3496.25,3491.01,3513.35,3490.34
10/16/2023,3476.11,3532.25,3534.42,3474.25
10/13/2023,3524.23,3561.76,3561.76,3520.66
10/12/2023,3590.82,3555.85,3598.98,3555.85
10/11/2023,3532.76,3511.18,3549.00,3511.18
10/10/2023,3491.83,3504.48,3542.60,3490.89
10/9/2023,3495.40,3491.15,3513.29,3487.68
10/6/2023,3490.04,3434.95,3497.64,3434.95
10/5/2023,3433.61,3433.52,3454.31,3420.06
10/4/2023,3434.47,3468.58,3468.58,3415.79
10/3/2023,3472.10,3540.13,3540.13,3436.04
9/29/2023,3563.66,3521.49,3579.79,3517.37
9/28/2023,3520.66,3539.15,3547.36,3509.86
9/27/2023,3534.02,3519.10,3551.63,3519.10
9/26/2023,3523.23,3559.85,3562.47,3517.39
9/25/2023,3560.87,3619.35,3619.35,3560.15
9/22/2023,3615.34,3548.93,3619.36,3536.45
9/21/2023,3556.47,3598.27,3598.27,3555.45
9/20/2023,3601.18,3626.27,3626.75,3598.32
9/19/2023,3633.14,3625.43,3636.51,3608.37
9/18/2023,3620.89,3632.52,3638.27,3598.31
9/15/2023,3634.24,3625.61,3662.04,3607.26
9/14/2023,3612.64,3607.03,3628.15,3590.40
9/13/2023,3604.80,3630.11,3637.77,3596.87
9/12/2023,3622.64,3646.08,3652.06,3610.31
9/11/2023,3645.25,3598.13,3652.04,3580.72
9/7/2023,3614.68,3656.25,3656.25,3611.87
9/6/2023,3653.67,3651.64,3663.81,3622.31
9/5/2023,3653.76,3701.25,3701.25,3649.90
9/4/2023,3705.15,3627.10,3707.43,3627.10
8/31/2023,3606.74,3655.35,3656.54,3601.36
8/30/2023,3639.18,3695.94,3695.94,3633.15
8/29/2023,3669.52,3606.29,3673.45,3602.01
8/28/2023,3596.90,3686.77,3721.52,3595.34
8/25/2023,3585.55,3594.03,3609.42,3576.91
8/24/2023,3601.56,3567.11,3621.27,3567.11
8/23/2023,3543.53,3565.92,3572.59,3537.73
8/22/2023,3563.91,3524.07,3589.57,3522.59
