date,close,open,high,low
3/29/2024,20027.59,19746.78,20042.55,19724.57
3/28/2024,19673.01,19698.93,19830.40,19637.51
3/27/2024,19875.89,19801.08,19960.06,19784.54
3/26/2024,19736.03,19642.68,19772.61,19641.88
3/25/2024,19677.12,19791.51,19874.27,19677.12
3/22/2024,19815.82,19813.91,19828.54,19677.61
3/21/2024,19754.03,19721.94,19793.87,19686.19
3/19/2024,19522.46,19383.66,19528.77,19324.11
3/18/2024,19418.28,19245.58,19427.45,19223.28
3/15/2024,19122.74,19054.43,19195.92,19022.09
3/14/2024,19144.53,19087.24,19144.53,18940.18
3/13/2024,19090.61,19383.65,19421.09,18963.89
3/12/2024,19249.37,18935.99,19249.37,18821.96
3/11/2024,19046.39,19201.69,19225.84,18883.26
3/8/2024,19416.85,19247.60,19598.03,19247.60
3/7/2024,19323.55,19607.06,19662.26,19282.42
3/6/2024,19503.59,19226.58,19527.76,19217.28
3/5/2024,19345.92,19233.79,19402.16,19142.03
3/4/2024,19325.43,19488.56,19511.32,19299.59
3/1/2024,19410.98,19320.24,19417.66,19316.90
2/29/2024,19286.69,19131.18,19328.26,19047.77
2/28/2024,19180.90,19010.02,19246.97,19009.32
2/27/2024,19080.88,19004.65,19095.77,19004.65
2/26/2024,18972.12,18954.41,19076.33,18919.81
2/22/2024,18879.03,18773.11,18879.03,18705.97
2/21/2024,18632.43,18660.12,18706.88,18586.36
2/20/2024,18684.80,18725.91,18785.52,18652.90
2/19/2024,18664.45,18533.11,18671.34,18517.66
2/16/2024,18570.49,18415.89,18676.10,18389.11
2/15/2024,18304.68,18438.52,18477.41,18288.45
2/14/2024,18313.24,18344.34,18351.91,18213.19
2/13/2024,18464.66,18383.90,18470.06,18297.05
2/9/2024,18238.01,18228.49,18379.10,18223.56
2/8/2024,18265.42,18266.67,18339.62,18076.52
2/7/2024,18292.96,18234.88,18335.08,18190.76
2/6/2024,18287.48,18402.22,18437.41,18287.48
2/5/2024,18441.83,18489.41,18489.41,18381.70
2/2/2024,18386.22,18390.78,18455.47,18291.25
2/1/2024,18356.50,18340.12,18430.88,18297.52
1/31/2024,18431.90,18329.34,18431.90,18263.06
1/30/2024,18391.59,18459.11,18476.85,18360.25
1/29/2024,18394.93,18244.37,18417.91,18240.70
1/26/2024,18191.76,18324.83,18395.04,18176.79
1/25/2024,18425.22,18191.08,18439.81,18191.08
1/24/2024,18187.24,18207.21,18285.82,18113.22
1/23/2024,18246.08,18370.71,18423.42,18188.87
1/22/2024,18307.26,18101.76,18311.59,18089.38
1/19/2024,17966.78,17884.32,18011.77,17875.99
1/18/2024,17764.37,17728.74,17850.43,17728.21
1/17/2024,17747.04,17988.85,18056.04,17747.04
1/16/2024,17904.19,18162.06,18162.30,17904.19
1/15/2024,18163.88,17993.12,18178.07,17970.55
1/12/2024,17999.32,18134.94,18152.33,17909.46
1/11/2024,18091.67,18165.88,18199.29,18074.01
1/10/2024,18034.07,17983.44,18102.90,17946.41
1/9/2024,17971.24,17751.47,17971.24,17750.50
1/5/2024,17616.48,17815.51,17817.37,17616.35
1/4/2024,17759.55,17543.12,17774.80,17381.90
12/29/2023,17637.98,17564.91,17656.95,17547.25
12/28/2023,17567.62,17419.60,17567.62,17379.70
12/27/2023,17516.12,17342.31,17516.12,17342.31
12/26/2023,17279.34,17231.99,17318.58,17225.02
12/25/2023,17235.63,17442.40,17444.23,17220.55
12/22/2023,17340.57,17273.43,17380.66,17271.78
12/21/2023,17221.57,17167.94,17284.57,17167.94
12/20/2023,17338.26,17376.73,17432.87,17334.98
12/19/2023,17296.58,17091.48,17296.58,17050.28
12/18/2023,17075.61,17023.41,17102.21,16930.30
12/15/2023,17150.74,17021.79,17189.02,17020.94
12/14/2023,16986.42,17162.34,17246.23,16930.93
12/13/2023,17076.85,17078.67,17154.20,17015.99
12/12/2023,17035.36,17219.52,17236.80,16996.82
12/11/2023,17108.34,17018.79,17142.51,17018.79
12/8/2023,16881.06,17011.18,17110.84,16823.24
12/7/2023,17099.72,17249.01,17253.78,17091.72
12/6/2023,17387.27,17113.46,17407.67,17113.46
12/5/2023,17078.97,17360.64,17395.92,17078.97
12/4/2023,17441.39,17388.51,17488.86,17276.30
12/1/2023,17415.50,17463.71,17484.40,17387.05
11/30/2023,17427.22,17317.74,17446.63,17309.87
11/29/2023,17319.02,17246.60,17374.45,17246.60
11/28/2023,17303.16,17305.45,17341.10,17229.71
11/27/2023,17300.48,17388.27,17442.33,17243.09
11/24/2023,17324.86,17353.43,17402.72,17308.59
11/22/2023,17270.75,17140.38,17306.34,17137.58
11/21/2023,17215.19,17087.86,17245.41,17038.22
11/20/2023,17038.19,17107.21,17210.93,17009.64
11/17/2023,17073.02,16852.96,17073.02,16851.19
11/16/2023,16878.72,16918.14,17001.81,16796.16
11/15/2023,16980.99,16864.28,17009.54,16854.22
11/14/2023,16700.31,16733.42,16775.45,16676.41
11/13/2023,16702.09,16892.35,16893.02,16669.10
11/10/2023,16819.89,16699.93,16841.75,16643.90
11/9/2023,16785.94,16587.30,16823.04,16551.32
11/8/2023,16573.55,16728.23,16803.94,16484.94
11/7/2023,16671.98,16750.86,16846.06,16671.87
11/6/2023,16793.33,16743.16,16841.50,16697.73
11/2/2023,16534.37,16511.56,16619.56,16481.78
11/1/2023,16367.12,16380.68,16428.87,16291.57
10/31/2023,16206.62,15996.38,16206.62,15912.63
10/30/2023,16000.40,16055.24,16114.42,15921.43
10/27/2023,16149.43,15952.02,16149.43,15906.52
10/26/2023,15836.32,15879.66,16019.16,15795.11
10/25/2023,16005.63,16101.76,16163.20,15990.53
10/24/2023,15994.57,15854.41,16030.46,15523.52
10/23/2023,15818.39,15991.57,16061.73,15811.47
10/20/2023,16083.03,16041.82,16149.67,15933.88
10/19/2023,16133.66,16151.95,16258.33,16086.29
10/18/2023,16349.99,16296.63,16364.55,16171.37
10/17/2023,16249.67,16229.78,16369.30,16164.92
10/16/2023,16053.66,16158.07,16241.66,16008.87
10/13/2023,16296.41,16478.48,16533.01,16268.23
10/12/2023,16589.41,16352.59,16589.41,16327.96
10/11/2023,16343.54,16508.76,16508.76,16343.42
10/10/2023,16495.16,16328.53,16506.51,16324.36
10/6/2023,16186.46,16192.89,16277.82,16147.52
10/5/2023,16160.54,15974.28,16175.98,15947.64
10/4/2023,15850.28,15990.11,16043.15,15807.02
10/3/2023,16210.67,16476.56,16484.76,16210.67
10/2/2023,16544.52,16796.97,16891.87,16544.52
9/29/2023,16696.18,16891.12,16897.32,16631.26
9/28/2023,16831.04,16858.59,16960.07,16742.37
9/27/2023,17020.99,16787.27,17024.90,16754.49
9/26/2023,16901.86,17022.97,17022.97,16901.86
9/25/2023,17030.73,16886.99,17036.30,16834.72
9/22/2023,16820.15,16643.80,16893.75,16619.51
9/21/2023,16785.53,16852.52,16945.46,16769.44
9/20/2023,16879.24,17073.66,17089.57,16879.24
9/19/2023,17074.19,17050.11,17074.19,16941.08
9/15/2023,17078.24,17087.90,17122.49,17031.70
9/14/2023,17017.09,16969.84,17047.00,16924.18
9/13/2023,16936.28,16989.26,16995.08,16902.78
9/12/2023,17013.97,16984.43,17049.38,16927.79
9/11/2023,16927.45,17032.90,17095.82,16866.81
9/8/2023,17002.74,17059.43,17143.88,16965.94
9/7/2023,17148.84,17210.11,17271.08,17142.43
9/6/2023,17289.25,17268.36,17302.02,17254.16
9/5/2023,17281.97,17169.37,17281.97,17146.21
9/4/2023,17178.10,17085.85,17190.13,17067.06
9/1/2023,17038.73,16889.33,17038.73,16882.68
8/31/2023,16905.89,16825.70,16933.50,16824.58
8/30/2023,16796.52,16846.40,16860.09,16779.51
8/29/2023,16807.39,16740.95,16807.39,16722.74
8/28/2023,16701.37,16639.52,16702.97,16617.56
8/25/2023,16530.54,16419.17,16562.82,16389.36
8/24/2023,16573.45,16544.54,16594.85,16533.71
8/23/2023,16514.97,16308.85,16514.97,16305.04
8/22/2023,16364.10,16304.64,16364.10,16274.04
8/21/2023,16250.78,16160.80,16300.84,16160.80
8/18/2023,16139.22,16138.01,16210.34,16074.67
8/17/2023,16263.06,16287.03,16288.25,16091.32
8/16/2023,16341.04,16370.39,16412.90,16338.79
8/15/2023,16506.53,16511.90,16520.95,16444.03
8/14/2023,16463.61,16657.29,16684.24,16432.82
8/10/2023,16653.75,16540.95,16653.99,16458.23
8/9/2023,16606.56,16603.05,16629.53,16524.41
8/8/2023,16639.14,16739.55,16748.91,16627.18
8/7/2023,16699.71,16540.22,16699.96,16511.11
8/4/2023,16609.07,16478.22,16659.53,16477.45
8/3/2023,16520.14,16671.75,16690.56,16499.00
8/2/2023,16811.70,16841.59,16958.61,16783.47
8/1/2023,16948.53,16946.48,16958.96,16871.93
7/31/2023,16941.40,16965.55,16999.41,16880.62
7/28/2023,16763.30,16622.37,16795.63,16550.01
7/27/2023,16804.83,16713.91,16804.83,16674.02
7/26/2023,16758.74,16785.29,16787.10,16664.44
7/25/2023,16790.86,16757.84,16792.94,16727.78
7/24/2023,16717.68,16696.92,16735.25,16671.58
7/21/2023,16572.22,16579.69,16627.09,16506.30
7/20/2023,16617.50,16777.43,16777.82,16617.50
7/19/2023,16771.03,16748.18,16776.31,16685.78
7/18/2023,16619.85,16572.73,16670.30,16562.81
7/14/2023,16535.99,16648.13,16665.85,16453.94
7/13/2023,16544.92,16440.32,16555.34,16338.89
7/12/2023,16386.53,16593.17,16593.17,16386.53
7/11/2023,16541.63,16626.63,16670.31,16511.52
7/10/2023,16532.03,16527.45,16623.23,16503.72
7/7/2023,16492.32,16424.78,16603.95,16383.05
7/6/2023,16597.95,16665.43,16709.34,16551.45
7/5/2023,16777.53,16757.74,16812.51,16676.99
7/4/2023,16856.25,16849.48,16899.42,16816.15
7/3/2023,16919.61,16908.42,17000.55,16908.42
6/30/2023,16763.83,16780.27,16790.78,16675.92
6/29/2023,16802.66,16847.07,16894.46,16755.88
6/28/2023,16783.33,16623.75,16783.33,16581.14
6/27/2023,16491.11,16545.00,16545.00,16380.72
6/26/2023,16603.43,16669.07,16727.89,16518.50
6/23/2023,16685.66,17004.73,17024.87,16617.36
6/22/2023,16905.48,16936.81,17030.73,16880.62
6/21/2023,16933.06,16834.95,17005.69,16830.59
6/20/2023,16881.85,16815.23,16881.85,16739.41
6/19/2023,16860.43,16863.77,16916.07,16770.12
6/16/2023,16801.01,16697.20,16803.15,16647.73
6/15/2023,16669.23,16658.89,16785.61,16639.87
6/14/2023,16663.98,16729.25,16729.91,16597.42
6/13/2023,16623.94,16642.97,16698.43,16593.30
6/12/2023,16560.03,16417.89,16566.94,16399.40
6/9/2023,16313.88,16298.10,16354.12,16271.15
6/8/2023,16165.26,16347.80,16380.62,16100.67
6/7/2023,16347.26,16515.45,16582.02,16336.01
6/6/2023,16412.20,16275.48,16413.16,16226.31
6/5/2023,16393.84,16416.47,16421.57,16325.27
6/2/2023,16180.67,15958.36,16180.67,15956.13
6/1/2023,15915.42,15858.52,15974.64,15842.39
5/31/2023,15910.41,16034.80,16065.83,15893.26
5/30/2023,16164.56,16160.33,16224.58,16038.72
5/29/2023,16208.98,16308.79,16308.79,16200.48
5/26/2023,16112.92,16237.33,16258.92,16112.92
5/25/2023,16236.73,16180.38,16271.51,16171.00
5/24/2023,16218.12,16217.32,16300.82,16200.08
5/23/2023,16288.33,16463.06,16500.00,16236.55
5/22/2023,16388.76,16326.70,16392.00,16270.33
5/19/2023,16330.30,16330.72,16392.96,16295.06
5/18/2023,16270.25,16280.97,16293.89,16184.50
5/17/2023,16191.65,16247.66,16273.84,16191.65
5/16/2023,16291.56,16331.22,16335.09,16214.15
5/15/2023,16255.90,16225.02,16266.71,16180.70
5/12/2023,16162.98,16160.06,16185.68,16101.33
5/11/2023,16188.72,16187.03,16242.02,16174.02
5/10/2023,16229.95,16295.23,16338.72,16216.24
5/9/2023,16288.08,16150.08,16298.04,16149.46
