date,close,open,high,low
3/29/2024,2833.21,2836.66,2840.37,2817.63
3/28/2024,2822.88,2828.73,2835.22,2816.36
3/27/2024,2830.89,2820.60,2841.64,2820.60
3/26/2024,2836.00,2829.47,2862.22,2825.48
3/25/2024,2807.31,2829.04,2840.83,2799.72
3/22/2024,2821.22,2825.30,2839.77,2807.78
3/21/2024,2829.22,2801.18,2830.48,2792.86
3/20/2024,2749.44,2734.64,2751.06,2726.85
3/19/2024,2706.15,2720.28,2720.28,2692.84
3/18/2024,2738.42,2734.56,2741.40,2716.11
3/15/2024,2725.17,2762.22,2766.05,2725.17
3/14/2024,2782.63,2759.24,2782.63,2756.82
3/13/2024,2753.76,2755.58,2764.40,2740.19
3/12/2024,2740.13,2730.40,2746.87,2716.28
3/11/2024,2717.79,2723.69,2736.51,2716.18
3/8/2024,2742.95,2735.93,2750.96,2730.14
3/7/2024,2705.03,2710.37,2717.80,2688.76
3/6/2024,2698.38,2697.35,2706.38,2684.76
3/5/2024,2709.46,2724.01,2747.70,2709.46
3/4/2024,2737.63,2720.49,2743.89,2716.59
2/29/2024,2694.48,2693.00,2700.13,2676.56
2/28/2024,2704.07,2673.71,2709.42,2668.47
2/27/2024,2671.21,2698.29,2698.29,2665.52
2/26/2024,2691.48,2700.27,2703.13,2671.03
2/23/2024,2714.46,2728.55,2746.62,2711.35
2/22/2024,2706.33,2714.43,2715.04,2692.67
2/21/2024,2692.79,2700.77,2713.47,2682.48
2/20/2024,2700.59,2721.17,2723.22,2685.84
2/19/2024,2732.33,2698.14,2735.89,2698.14
2/16/2024,2691.34,2681.34,2691.34,2665.08
2/15/2024,2658.07,2692.75,2693.36,2658.07
2/14/2024,2668.19,2659.04,2675.77,2651.58
2/13/2024,2704.21,2698.66,2714.59,2694.72
2/8/2024,2671.29,2670.41,2682.06,2661.20
2/7/2024,2660.47,2642.34,2680.37,2636.49
2/6/2024,2627.37,2630.23,2646.97,2610.57
2/5/2024,2637.62,2666.45,2666.45,2606.24
2/2/2024,2671.45,2606.12,2671.51,2605.28
2/1/2024,2583.67,2534.01,2583.67,2534.01
1/31/2024,2536.71,2529.90,2542.70,2528.36
1/30/2024,2544.81,2572.88,2577.30,2542.17
1/29/2024,2548.81,2532.37,2568.63,2525.29
1/26/2024,2521.10,2502.88,2546.69,2499.46
1/25/2024,2516.56,2513.37,2519.67,2498.57
1/24/2024,2514.47,2521.74,2521.74,2496.59
