date,close,open,high,low
03/28/2024,15270.45,15365.60,15397.15,15251.20
03/27/2024,15263.90,15175.70,15349.50,15158.25
03/26/2024,15118.35,15064.55,15170.25,14940.75
03/22/2024,15056.75,14955.65,15092.95,14918.35
03/21/2024,14960.30,14762.00,14980.55,14759.60
03/20/2024,14593.55,14649.90,14698.75,14396.80
03/19/2024,14586.85,14776.70,14801.40,14565.20
03/18/2024,14762.15,14858.10,14927.70,14680.60
03/15/2024,14846.70,14779.05,14927.40,14566.85
03/14/2024,14788.55,14196.80,14803.10,14085.35
03/13/2024,14295.05,15113.80,15176.80,14213.55
03/12/2024,15092.10,15415.95,15421.00,15010.55
03/11/2024,15396.90,15777.05,15783.60,15368.35
03/07/2024,15709.00,15613.30,15746.20,15607.30
03/06/2024,15576.55,15823.75,15824.35,15357.20
03/05/2024,15888.10,16036.80,16037.70,15871.15
03/04/2024,16087.25,16195.75,16228.05,16045.95
03/02/2024,16170.15,16143.55,16177.40,16121.75
03/01/2024,16058.95,16076.05,16133.70,16025.70
02/29/2024,15976.20,15863.60,16028.20,15642.30
02/28/2024,15875.15,16241.20,16260.00,15795.80
02/27/2024,16177.70,16178.05,16240.35,16130.05
02/26/2024,16133.15,16221.00,16256.20,16117.80
02/23/2024,16175.20,16217.80,16226.35,16139.70
02/22/2024,16114.45,16081.50,16127.00,15836.50
02/21/2024,16004.85,16223.05,16268.60,15968.15
02/20/2024,16172.35,16305.15,16348.40,16144.20
02/19/2024,16258.30,16292.55,16331.45,16231.55
02/16/2024,16194.00,16200.55,16263.15,16164.50
02/15/2024,16105.20,16012.75,16120.60,16006.70
02/14/2024,15896.05,15453.75,15916.05,15389.60
02/13/2024,15643.75,15575.60,15664.90,15225.85
02/12/2024,15617.05,16286.75,16295.95,15560.30
02/09/2024,16269.30,16561.40,16565.20,16007.55
02/08/2024,16500.95,16670.25,16691.60,16471.80
02/07/2024,16566.20,16569.90,16653.45,16458.05
02/06/2024,16449.35,16433.80,16478.05,16283.05
02/05/2024,16319.75,16376.15,16531.75,16220.45
