date,close,open,high,low
9/16/2003,1004.38,1004.17,1011.37,999.15
9/17/2003,1003.77,1005.69,1012.09,1001.29
9/18/2003,1022.81,1006.64,1022.92,1003.97
9/19/2003,1031.42,1024.89,1036.77,1019.61
9/22/2003,1028.76,1033.57,1043.72,1018.85
9/24/2003,1008.88,1029.25,1035.45,1004
9/25/2003,997.11,1004.44,1006.01,989.6
9/26/2003,1016.24,989.23,1018.89,984.42
9/29/2003,1002.57,1013.05,1015.1,993.39
9/30/2003,1028.77,1009.74,1028.77,1006.93
10/1/2003,1068.43,1027.64,1068.51,1023.77
10/2/2003,1115.8,1073.04,1116.37,1073.04
10/3/2003,1109.35,1117.75,1119.89,1094.66
10/6/2003,1148.92,1119,1150.48,1113.61
10/7/2003,1182.07,1155.2,1183.12,1150.04
10/8/2003,1216.27,1185.73,1241.74,1178.39
10/9/2003,1221.72,1208.83,1225.46,1190.56
10/10/2003,1283.89,1234.12,1285.99,1234.12
10/14/2003,1390.65,1301.23,1392.56,1301.04
10/15/2003,1448.09,1405.35,1454.31,1400.38
10/16/2003,1486.07,1447.86,1497.76,1438.8
10/17/2003,1521.65,1487.24,1540.08,1487.24
10/20/2003,1473.9,1518.2,1547.64,1470.26
10/21/2003,1349.04,1467.67,1473.44,1344.87
10/22/2003,1322.55,1349.92,1362.2,1293.62
10/23/2003,1200.57,1306.03,1306.03,1199.81
10/24/2003,1250.03,1213.18,1278.31,1212.12
10/27/2003,1307.98,1262.21,1321.96,1262.21
10/28/2003,1333.76,1321.82,1383.34,1321.82
10/29/2003,1375.69,1350.45,1379.14,1349.91
10/30/2003,1348.96,1365.95,1365.95,1327.99
10/31/2003,1340.92,1347.38,1347.38,1313.92
11/4/2003,1358.58,1355.63,1372.47,1348.26
11/5/2003,1347.88,1350.56,1350.56,1329.12
11/6/2003,1308.4,1344.13,1346.68,1303.16
11/7/2003,1319.92,1303.57,1319.92,1293.01
11/10/2003,1281.68,1319.47,1319.47,1281.68
11/11/2003,1183.69,1264.8,1266.29,1154.82
11/12/2003,1208.8,1192.04,1220.95,1186.46
11/13/2003,1246.5,1225.26,1265.42,1225.26
11/14/2003,1216.3,1246.48,1250.51,1213.31
11/17/2003,1096.07,1199.39,1199.39,1093.34
11/18/2003,1129.82,1086.93,1129.82,1054.57
11/19/2003,1104.33,1121.57,1121.57,1090.49
11/20/2003,1127.81,1118.47,1140.95,1112.59
11/21/2003,1138.82,1119.9,1145.03,1113.25
11/25/2003,1159.03,1151.39,1180.05,1151.39
11/26/2003,1234.81,1166.64,1235.94,1166.64
11/27/2003,1284.2,1249.03,1292.78,1249.03
11/28/2003,1291.61,1286.25,1306.3,1275.53
12/1/2003,1297.51,1274.17,1306.92,1245.16
12/2/2003,1295.55,1306.82,1331.07,1293.74
12/3/2003,1302.96,1297.34,1305.42,1291.2
12/4/2003,1270.72,1303.49,1306.52,1269.74
12/5/2003,1259.54,1271.83,1271.83,1247.14
12/8/2003,1205.05,1249.24,1249.24,1201.78
12/9/2003,1172.97,1217.91,1228.92,1165.4
12/10/2003,1151,1163.45,1165.27,1132.95
12/11/2003,1121.42,1141.65,1147.85,1108.42
12/12/2003,1106.64,1133.05,1140.36,1100.05
12/15/2003,1148.03,1116.72,1148.4,1107.63
12/16/2003,1124.6,1132.8,1132.8,1102.44
12/17/2003,1116.46,1132.44,1145.53,1110.7
12/18/2003,1100.08,1118.18,1119.52,1097.43
12/19/2003,1088.88,1109.12,1112.56,1087.59
12/22/2003,1077.69,1082.99,1090.76,1070.37
12/24/2003,1107.39,1079.03,1111.1,1078.38
12/25/2003,1178.11,1110.64,1185.36,1109.12
12/26/2003,1236.75,1189.05,1242.38,1188.12
12/29/2003,1284.72,1247.59,1286.34,1245.32
12/30/2003,1319.32,1291.67,1324.84,1291.67
1/5/2004,1358.24,1329.57,1358.24,1329.57
1/6/2004,1356.95,1364.03,1376.25,1350.93
1/7/2004,1441.23,1358.72,1442.2,1356.36
1/8/2004,1504.05,1456.8,1518.28,1453.78
1/9/2004,1540.23,1517.13,1549.53,1517.13
1/13/2004,1567.12,1546.42,1577.78,1545.05
1/14/2004,1615.44,1565.92,1618.21,1560.37
1/15/2004,1692.58,1628.26,1700.94,1624.6
1/16/2004,1779.85,1699.37,1779.85,1697.15
1/19/2004,1866.3,1788.67,1869.48,1787.01
1/20/2004,1961.93,1880.33,1974.07,1879
1/21/2004,1907.89,1964.04,1966.28,1901.45
1/22/2004,1815.93,1904.64,1906.19,1814
1/23/2004,1736.94,1804.09,1804.09,1718.01
1/26/2004,1647.63,1728.07,1728.14,1638.52
1/27/2004,1671.59,1642.47,1676.51,1635.22
1/28/2004,1621.19,1663.69,1665.47,1617.68
1/29/2004,1566.31,1609.61,1609.61,1558.64
1/30/2004,1565.18,1560.55,1565.18,1533.15
2/2/2004,1612.14,1568.74,1615.63,1567.46
2/3/2004,1602.64,1617.65,1627.22,1587.19
2/4/2004,1538.52,1598.53,1601.59,1535.92
2/5/2004,1560.1,1527.87,1572.68,1520.38
2/6/2004,1596.6,1571.12,1605.87,1571.12
2/9/2004,1560.57,1604.39,1609.06,1552.61
2/10/2004,1512.42,1553.67,1553.67,1506.45
2/12/2004,1482.82,1513.8,1514.37,1480.44
2/13/2004,1489.54,1476.91,1490.99,1436.26
2/16/2004,1464.17,1488.35,1490.19,1462.59
2/17/2004,1449.16,1467.61,1467.91,1448.21
2/18/2004,1426.37,1444.12,1449.68,1425.27
2/19/2004,1362.26,1419.55,1419.86,1360.74
2/20/2004,1338.98,1357.35,1357.35,1326.69
2/23/2004,1353.02,1341.45,1353.02,1330.43
2/24/2004,1320.57,1350.6,1350.99,1315.72
2/25/2004,1312.25,1310.48,1312.25,1290.89
2/26/2004,1371.3,1316.59,1371.3,1316.59
2/27/2004,1403.97,1376.76,1406.86,1375.28
3/1/2004,1406.5,1409.27,1415.06,1400.7
3/2/2004,1400.55,1416.71,1422.1,1394.21
3/3/2004,1407.97,1400.45,1409.27,1397.95
3/4/2004,1412.44,1410.92,1417.34,1405.15
3/5/2004,1412.7,1416.16,1417.59,1399.03
