adj_close,close,date,high,low,open,volume
null,997.12,2010-06-02,997.12,952.61,967.61,null
null,998.39,2010-06-03,1026.70,997.77,1002.36,null
null,1027.68,2010-06-04,1027.68,986.50,989.68,null
null,1069.47,2010-06-07,1075.22,1001.70,1005.03,null
null,1067.15,2010-06-08,1075.50,1050.96,1067.32,null
null,1077.82,2010-06-09,1102.10,1069.43,1070.85,null
null,1117.48,2010-06-10,1119.11,1076.28,1077.67,null
null,1122.20,2010-06-11,1128.23,1118.71,1122.44,null
null,1064.84,2010-06-17,1129.68,1064.84,1126.13,null
null,1000.28,2010-06-18,1053.14,993.17,1052.07,null
null,1040.80,2010-06-21,1043.16,976.41,991.96,null
null,1034.99,2010-06-22,1057.37,1033.65,1037.04,null
null,1047.34,2010-06-23,1056.35,1023.74,1026.87,null
null,1050.60,2010-06-24,1059.75,1041.54,1046.76,null
null,1016.28,2010-06-25,1046.21,999.16,1046.21,null
null,987.83,2010-06-28,1014.41,984.22,1009.22,null
null,913.31,2010-06-29,992.23,912.54,985.57,null
null,919.31,2010-06-30,921.81,881.36,898.29,null
null,882.19,2010-07-01,921.21,882.19,914.39,null
null,873.12,2010-07-02,885.34,832.62,878.95,null
null,862.27,2010-07-05,870.86,842.73,857.37,null
null,893.72,2010-07-06,898.45,857.80,859.26,null
null,908.55,2010-07-07,908.55,890.34,896.53,null
null,905.51,2010-07-08,914.30,887.03,912.00,null
null,932.15,2010-07-09,936.53,896.89,903.50,null
null,930.17,2010-07-12,941.07,924.06,931.53,null
null,931.08,2010-07-13,936.64,906.30,924.95,null
null,922.36,2010-07-14,937.93,916.07,929.75,null
null,892.56,2010-07-15,930.55,892.56,920.05,null
null,892.30,2010-07-16,895.06,869.02,885.07,null
null,908.05,2010-07-19,910.18,878.07,881.66,null
null,937.02,2010-07-20,937.54,909.54,909.54,null
null,941.25,2010-07-21,959.04,938.16,940.10,null
null,950.21,2010-07-22,950.21,932.02,938.22,null
null,960.59,2010-07-23,964.74,948.13,951.84,null
null,966.15,2010-07-26,966.73,954.76,962.76,null
null,957.97,2010-07-27,968.04,955.73,963.54,null
null,972.53,2010-07-28,972.53,954.52,955.19,null
null,975.36,2010-07-29,982.01,965.61,974.29,null
null,968.43,2010-07-30,971.66,955.92,971.66,null
null,994.23,2010-08-02,994.23,968.45,968.45,null
null,975.64,2010-08-03,996.26,975.64,995.20,null
null,978.01,2010-08-04,978.01,955.93,971.41,null
null,987.35,2010-08-05,998.10,978.33,980.27,null
null,1011.39,2010-08-06,1011.39,985.63,987.97,null
null,1032.34,2010-08-09,1032.34,1013.25,1013.25,null
null,993.99,2010-08-10,1034.33,993.99,1031.98,null
null,1004.64,2010-08-11,1006.45,990.94,991.28,null
null,991.78,2010-08-12,1007.58,987.98,994.05,null
null,1007.21,2010-08-13,1007.52,986.62,992.63,null
null,1030.22,2010-08-16,1031.05,1005.05,1007.50,null
null,1033.58,2010-08-17,1036.82,1023.08,1031.08,null
null,1026.72,2010-08-18,1035.61,1018.50,1033.71,null
null,1025.53,2010-08-19,1033.25,1021.70,1026.98,null
null,995.94,2010-08-20,1022.45,993.56,1021.46,null
null,995.61,2010-08-23,1001.18,991.52,994.94,null
null,1004.99,2010-08-24,1007.76,987.22,993.58,null
null,976.88,2010-08-25,1002.33,976.55,1000.27,null
null,980.63,2010-08-26,984.87,973.00,978.60,null
null,999.46,2010-08-27,1000.86,975.72,978.51,null
null,1024.93,2010-08-30,1025.15,1002.99,1002.99,null
null,1025.57,2010-08-31,1029.80,1015.13,1020.75,null
null,995.59,2010-09-01,1029.81,987.59,1025.68,null
null,1014.92,2010-09-02,1018.27,996.52,1001.60,null
null,1036.70,2010-09-03,1045.21,1017.51,1017.64,null
null,1010.76,2010-09-06,1043.24,1007.43,1039.46,null
null,1022.62,2010-09-07,1022.62,1007.64,1010.12,null
null,1026.33,2010-09-08,1027.64,1016.84,1020.23,null
null,1021.83,2010-09-09,1040.67,1019.69,1029.11,null
null,1034.94,2010-09-10,1037.51,1016.19,1021.87,null
null,1042.48,2010-09-13,1045.39,1033.25,1034.39,null
null,1031.22,2010-09-14,1046.13,1028.77,1044.30,null
null,990.10,2010-09-15,1030.02,987.05,1029.52,null
null,972.60,2010-09-16,994.95,964.53,989.49,null
null,972.23,2010-09-17,981.73,967.55,976.07,null
null,949.20,2010-09-20,975.26,947.41,972.45,null
null,934.46,2010-09-21,953.83,930.25,952.07,null
null,950.67,2010-09-27,951.84,930.87,936.21,null
null,942.05,2010-09-28,949.89,939.63,949.63,null
null,926.76,2010-09-29,944.17,924.41,941.27,null
null,942.54,2010-09-30,942.54,921.36,923.83,null
null,959.86,2010-10-08,963.18,945.62,946.47,null
null,947.11,2010-10-11,961.17,941.91,960.91,null
null,951.79,2010-10-12,959.98,945.01,946.63,null
null,962.74,2010-10-13,962.74,940.64,951.33,null
null,958.50,2010-10-14,975.91,956.86,963.29,null
null,944.25,2010-10-15,957.77,937.12,954.12,null
null,932.36,2010-10-18,941.87,913.82,941.87,null
null,995.92,2010-10-19,1005.59,932.32,932.83,null
null,1004.54,2010-10-20,1024.58,986.03,986.65,null
null,991.84,2010-10-21,1001.68,983.66,1001.68,null
null,1013.45,2010-10-22,1023.70,991.13,991.13,null
null,1039.05,2010-10-25,1043.09,1018.08,1018.08,null
null,1036.01,2010-10-26,1041.91,1020.94,1041.53,null
null,1030.59,2010-10-27,1048.56,1028.70,1034.86,null
null,1038.62,2010-10-28,1038.62,1023.49,1024.70,null
null,1064.52,2010-10-29,1069.75,1042.40,1042.40,null
null,1107.52,2010-11-01,1113.62,1071.63,1071.63,null
null,1075.15,2010-11-02,1108.09,1074.58,1108.09,null
null,1040.62,2010-11-03,1063.20,1040.55,1063.20,null
null,1057.71,2010-11-04,1057.71,1037.24,1041.42,null
null,1072.22,2010-11-05,1072.22,1058.26,1067.87,null
null,1107.06,2010-11-08,1107.06,1077.50,1077.50,null
null,1115.65,2010-11-09,1117.52,1102.01,1110.43,null
null,1141.58,2010-11-10,1147.48,1113.75,1115.74,null
null,1132.72,2010-11-11,1163.70,1132.36,1137.08,null
null,1082.24,2010-11-12,1140.63,1080.27,1126.85,null
null,1148.54,2010-11-15,1148.54,1086.52,1087.81,null
null,1126.17,2010-11-16,1175.31,1111.50,1154.41,null
null,1085.35,2010-11-17,1132.86,1080.93,1115.12,null
null,1102.85,2010-11-18,1102.85,1077.06,1090.14,null
null,1153.17,2010-11-19,1153.17,1105.59,1106.75,null
null,1174.94,2010-11-22,1194.20,1151.76,1153.26,null
null,1183.50,2010-11-23,1183.84,1148.81,1172.06,null
null,1208.45,2010-11-24,1208.45,1174.67,1176.42,null
null,1186.36,2010-11-25,1215.74,1177.83,1212.77,null
null,1196.02,2010-11-26,1200.50,1179.28,1184.80,null
null,1220.11,2010-11-29,1221.74,1193.41,1195.31,null
null,1181.50,2010-11-30,1219.12,1146.97,1219.08,null
null,1177.17,2010-12-01,1182.57,1169.89,1176.61,null
null,1177.84,2010-12-02,1192.80,1177.81,1187.10,null
null,1157.94,2010-12-03,1178.67,1148.09,1177.17,null
null,1134.38,2010-12-06,1159.30,1124.93,1157.72,null
null,1161.69,2010-12-07,1162.58,1123.76,1132.33,null
null,1160.24,2010-12-08,1176.42,1158.10,1160.92,null
null,1144.53,2010-12-09,1160.91,1144.18,1158.82,null
null,1166.80,2010-12-10,1167.68,1136.33,1139.83,null
null,1209.27,2010-12-13,1210.75,1175.51,1175.51,null
null,1218.52,2010-12-14,1219.71,1204.66,1211.46,null
null,1211.80,2010-12-15,1224.05,1209.29,1217.81,null
null,1225.03,2010-12-16,1233.62,1209.34,1209.62,null
null,1232.98,2010-12-17,1233.39,1222.93,1222.93,null
null,1212.34,2010-12-20,1239.60,1180.53,1235.67,null
null,1215.02,2010-12-21,1222.30,1204.48,1212.09,null
null,1201.65,2010-12-22,1215.79,1199.68,1214.77,null
null,1176.36,2010-12-23,1200.76,1175.86,1198.74,null
null,1144.50,2010-12-24,1168.29,1140.13,1170.69,null
null,1105.30,2010-12-27,1154.53,1100.52,1145.70,null
null,1091.48,2010-12-28,1099.18,1080.40,1098.94,null
null,1113.31,2010-12-29,1113.31,1091.82,1091.82,null
null,1117.21,2010-12-30,1122.41,1106.43,1113.56,null
null,1137.66,2010-12-31,1138.47,1117.36,1117.36,null
null,1155.11,2011-01-04,1155.52,1140.04,1142.17,null
null,1155.35,2011-01-05,1159.12,1146.38,1153.91,null
null,1134.79,2011-01-06,1159.40,1134.09,1153.63,null
null,1126.52,2011-01-07,1139.78,1119.61,1132.73,null
null,1093.77,2011-01-10,1124.34,1089.06,1124.34,null
null,1078.37,2011-01-11,1089.99,1068.40,1089.99,null
null,1089.67,2011-01-12,1095.52,1071.09,1083.12,null
null,1093.86,2011-01-13,1097.10,1089.67,1094.83,null
null,1067.42,2011-01-14,1092.09,1065.75,1092.09,null
null,1028.16,2011-01-17,1066.99,1025.66,1066.43,null
null,1025.72,2011-01-18,1029.86,1014.63,1021.84,null
null,1048.54,2011-01-19,1048.60,1023.15,1025.93,null
null,1020.39,2011-01-20,1051.52,1020.29,1047.77,null
null,1024.51,2011-01-21,1033.52,1013.27,1014.72,null
null,994.97,2011-01-24,1029.33,994.26,1024.79,null
null,979.00,2011-01-25,992.57,968.32,992.57,null
null,995.74,2011-01-26,995.78,977.85,978.07,null
null,1013.02,2011-01-27,1015.05,984.79,991.06,null
null,1020.94,2011-01-28,1023.63,1011.30,1013.64,null
null,1029.12,2011-01-31,1030.18,1014.40,1021.63,null
null,1032.60,2011-02-01,1034.14,1026.90,1029.67,null
null,1025.15,2011-02-09,1037.84,1021.79,1026.45,null
null,1063.95,2011-02-10,1063.95,1024.71,1026.25,null
null,1071.58,2011-02-11,1075.59,1065.15,1067.19,null
null,1086.56,2011-02-14,1087.31,1072.31,1072.31,null
null,1087.72,2011-02-15,1097.56,1082.27,1086.80,null
null,1107.24,2011-02-16,1107.24,1083.85,1086.77,null
null,1115.33,2011-02-17,1116.96,1103.89,1108.63,null
null,1100.46,2011-02-18,1114.69,1098.59,1114.45,null
null,1117.67,2011-02-21,1117.67,1094.42,1096.16,null
null,1088.27,2011-02-22,1122.18,1087.01,1118.61,null
null,1114.05,2011-02-23,1117.29,1087.86,1088.08,null
null,1101.95,2011-02-24,1112.72,1094.62,1112.43,null
