adj_close,close,date,high,low,open,volume
1.179488,1.229341,2000-07-06,1.330188,1.176133,1.237384,273267739
1.164054,1.213255,2000-07-07,1.255944,1.194694,1.212017,80825131
1.199670,1.250376,2000-07-10,1.290591,1.203356,1.207068,48810854
1.200858,1.251614,2000-07-11,1.262131,1.231197,1.250376,23447543
1.225195,1.276980,2000-07-12,1.296159,1.238002,1.252851,34499422
1.245378,1.298016,2000-07-13,1.314720,1.250995,1.286879,37256965
1.281588,1.335756,2000-07-14,1.363597,1.293066,1.293066,44053625
1.243003,1.295541,2000-07-17,1.347511,1.293066,1.336993,28892029
1.256062,1.309152,2000-07-18,1.320907,1.286879,1.299253,15850630
1.234693,1.286879,2000-07-19,1.317814,1.285642,1.310389,13911734
1.219853,1.271412,2000-07-20,1.297397,1.270174,1.281311,13866493
1.219853,1.271412,2000-07-21,1.286260,1.263369,1.271412,8930387
1.199077,1.249758,2000-07-24,1.280692,1.246664,1.274505,10650903
1.206794,1.257801,2000-07-25,1.268318,1.242333,1.249758,6963544
1.216884,1.268318,2000-07-26,1.277599,1.250376,1.262131,7944985
1.199077,1.249758,2000-07-27,1.274505,1.242333,1.271412,13842475
1.203825,1.254707,2000-07-28,1.262131,1.243571,1.249758,7293175
1.212729,1.263987,2000-07-31,1.268318,1.243571,1.250376,7476756
1.230537,1.282548,2000-08-01,1.293066,1.259038,1.262131,7873512
1.216291,1.267700,2000-08-02,1.283786,1.265225,1.283786,4708901
1.237661,1.289973,2000-08-03,1.298016,1.267081,1.274505,11931977
1.224601,1.276361,2000-08-04,1.296159,1.267081,1.291829,7797578
1.244190,1.296778,2000-08-07,1.309771,1.259038,1.274505,11521110
1.243003,1.295541,2000-08-08,1.307915,1.286879,1.297397,6195294
1.235880,1.288116,2000-08-09,1.306677,1.286879,1.296159,14501510
1.219853,1.271412,2000-08-10,1.293685,1.268937,1.293066,10209601
1.237661,1.289973,2000-08-11,1.291829,1.268937,1.274505,7533003
1.240035,1.292447,2000-08-14,1.298634,1.268318,1.289973,7576983
1.259030,1.312245,2000-08-15,1.323382,1.281311,1.293066,13190503
1.245378,1.298016,2000-08-16,1.322145,1.287498,1.299253,7068297
1.250126,1.302965,2000-08-17,1.322763,1.296159,1.298016,8666394
1.245971,1.298634,2000-08-18,1.317814,1.297397,1.305440,6690969
1.246565,1.299253,2000-08-21,1.308533,1.281311,1.296159,8947099
1.234693,1.286879,2000-08-22,1.311008,1.286879,1.299253,8117769
1.200264,1.250995,2000-08-23,1.265225,1.182320,1.249758,19547283
1.199077,1.249758,2000-08-24,1.273268,1.225010,1.249139,13770727
1.223414,1.275124,2000-08-25,1.283786,1.248520,1.248520,10310185
1.238254,1.290591,2000-08-28,1.297397,1.262750,1.275743,8590185
1.236473,1.288735,2000-08-29,1.304202,1.277599,1.286879,6565624
1.248940,1.301728,2000-08-30,1.320907,1.283786,1.286879,18586741
1.216884,1.268318,2000-08-31,1.314102,1.268318,1.299253,11717508
1.218072,1.269556,2000-09-01,1.293066,1.248520,1.264606,6589675
1.227569,1.279455,2000-09-04,1.286879,1.252232,1.252232,4296369
1.233506,1.285642,2000-09-05,1.309152,1.279455,1.283786,12112826
1.248940,1.301728,2000-09-06,1.324001,1.280073,1.280073,17105681
1.268528,1.322145,2000-09-07,1.339468,1.299872,1.299872,12277447
1.267341,1.320907,2000-09-08,1.353698,1.317814,1.330188,15286747
1.268528,1.322145,2000-09-11,1.335137,1.310389,1.322763,6489027
1.274463,1.328331,2000-09-12,1.336374,1.320907,1.324001,4980829
1.257249,1.310389,2000-09-13,1.331425,1.305440,1.330188,8830046
1.235880,1.288116,2000-09-14,1.312864,1.285642,1.311008,6731846
1.251907,1.304821,2000-09-15,1.309152,1.279455,1.285642,4224492
1.219259,1.270793,2000-09-18,1.299872,1.268318,1.299253,4082483
1.202638,1.253470,2000-09-19,1.270793,1.250376,1.268318,4588162
1.221633,1.273268,2000-09-20,1.275743,1.250376,1.262131,5295040
1.213917,1.265225,2000-09-21,1.272649,1.250376,1.267700,2655634
1.210948,1.262131,2000-09-22,1.262131,1.249758,1.250376,2097650
1.210948,1.262131,2000-09-25,1.272649,1.250995,1.250995,1435722
1.208575,1.259657,2000-09-26,1.265225,1.231197,1.262131,5172201
1.215104,1.266462,2000-09-27,1.268318,1.240477,1.259038,1919888
1.204419,1.255326,2000-09-28,1.268318,1.253470,1.268318,1326992
1.210948,1.262131,2000-09-29,1.265225,1.244189,1.244189,1507632
1.210948,1.262131,2000-10-02,1.265225,1.244189,1.244189,0
1.210948,1.262131,2000-10-03,1.265225,1.244189,1.244189,0
1.210948,1.262131,2000-10-04,1.265225,1.244189,1.244189,0
1.210948,1.262131,2000-10-05,1.265225,1.244189,1.244189,0
1.210948,1.262131,2000-10-06,1.265225,1.244189,1.244189,0
1.226382,1.278217,2000-10-09,1.281930,1.255944,1.262131,1885428
1.240035,1.292447,2000-10-10,1.297397,1.278217,1.280073,2644481
1.222821,1.274505,2000-10-11,1.296159,1.268318,1.296159,2592565
1.219853,1.271412,2000-10-12,1.277599,1.262131,1.277599,2040093
1.226976,1.278836,2000-10-13,1.292447,1.250376,1.271412,4031569
1.267341,1.320907,2000-10-16,1.324001,1.275124,1.275124,10615635
1.266747,1.320288,2000-10-17,1.336374,1.306059,1.317814,11934563
1.275058,1.328950,2000-10-18,1.335137,1.311008,1.317814,8631320
1.259624,1.312864,2000-10-19,1.345655,1.311627,1.328331,9255540
1.269121,1.322763,2000-10-20,1.330188,1.305440,1.310389,5986871
1.308893,1.364216,2000-10-23,1.398244,1.335137,1.335137,26345673
1.328481,1.384632,2000-10-24,1.391438,1.364216,1.372259,14976706
1.335011,1.391438,2000-10-25,1.422991,1.384014,1.392057,21663845
1.323139,1.379064,2000-10-26,1.392057,1.370402,1.392057,11249101
1.383093,1.441552,2000-10-27,1.453926,1.379064,1.379683,26976989
