adj_close,close,date,high,low,open,volume
3.684079,3.785714,2015-02-17,3.785714,3.785714,3.785714,131040
4.052486,4.164285,2015-02-25,4.164285,4.164285,4.164285,43680
4.459125,4.582142,2015-02-26,4.582142,4.582142,4.582142,33040
4.903996,5.039285,2015-02-27,5.039285,5.039285,5.039285,70280
5.394048,5.542857,2015-03-02,5.542857,5.542857,5.542857,187880
5.932757,6.096428,2015-03-03,6.096428,6.096428,6.096428,601160
6.527075,6.707142,2015-03-04,6.707142,6.707142,6.707142,1119580
7.180478,7.378571,2015-03-05,7.378571,7.378571,7.378571,1588594
7.899916,8.117857,2015-03-06,8.117857,8.117857,8.117857,4006209
7.420291,7.625000,2015-03-09,8.535714,7.500000,8.535714,70852404
7.389011,7.592857,2015-03-10,7.625000,7.089285,7.250000,42665198
7.232611,7.432142,2015-03-11,7.532142,7.328571,7.428571,27670050
7.055359,7.250000,2015-03-12,7.714285,7.207142,7.471428,20436032
7.121394,7.317857,2015-03-13,7.357142,7.146428,7.196428,13202428
7.329926,7.532142,2015-03-16,7.585714,7.339285,7.357142,25404433
7.705287,7.917857,2015-03-17,7.928571,7.446428,7.542857,35585384
7.715713,7.928571,2015-03-18,8.000000,7.753571,7.857142,23445903
7.910343,8.128571,2015-03-19,8.142857,7.860714,7.864285,25262647
7.910343,8.128571,2015-03-20,8.146428,7.932142,8.125000,21870685
7.934674,8.153571,2015-03-23,8.192857,8.071428,8.071428,15258376
7.719188,7.932142,2015-03-24,8.142857,7.750000,8.125000,19919174
7.788698,8.003571,2015-03-25,8.082142,7.807142,7.935714,17358700
7.667055,7.878571,2015-03-26,8.035714,7.810714,7.857142,12074162
7.722663,7.935714,2015-03-27,8.000000,7.821428,7.900000,11031398
7.740041,7.953571,2015-03-30,8.028571,7.885714,7.960714,10113054
7.771321,7.985714,2015-03-31,8.028571,7.910714,7.953571,12391338
8.417772,8.650000,2015-04-01,8.785714,7.967857,7.992857,40681732
8.271801,8.500000,2015-04-02,8.571428,8.392857,8.571428,24511617
8.278751,8.507142,2015-04-03,8.564285,8.364285,8.400000,17753285
8.522038,8.757142,2015-04-07,8.878571,8.492857,8.521428,22150259
8.334360,8.564285,2015-04-08,8.817857,8.289285,8.771428,18114384
8.167534,8.392857,2015-04-09,8.571428,8.142857,8.571428,14086312
8.542892,8.778571,2015-04-10,9.035714,8.317857,8.392857,21723245
9.397877,9.657142,2015-04-13,9.657142,8.710714,8.857142,22540344
10.030425,10.307142,2015-04-14,10.500000,9.821428,10.221428,33305076
9.137210,9.389285,2015-04-15,10.117857,9.285714,10.064285,19419470
9.585557,9.850000,2015-04-16,9.907142,8.742857,9.278571,15251493
9.321416,9.578571,2015-04-17,10.035714,9.503571,9.853571,13744057
8.640208,8.878571,2015-04-20,9.582142,8.850000,9.582142,15759920
9.036421,9.285714,2015-04-21,9.321428,8.885714,8.889285,9743806
9.165016,9.417857,2015-04-22,9.500000,9.250000,9.292857,10957606
9.342269,9.600000,2015-04-23,9.707142,9.285714,9.421428,14023270
9.092029,9.342857,2015-04-24,9.410714,9.114285,9.250000,13273136
9.227575,9.482142,2015-04-27,9.707142,9.357142,9.357142,15912380
9.074652,9.325000,2015-04-28,9.607142,9.250000,9.482142,12197805
9.324890,9.582142,2015-04-29,9.603571,9.178571,9.214285,11576975
9.338793,9.596428,2015-04-30,9.878571,9.492857,9.603571,16405748
9.321416,9.578571,2015-05-04,9.621428,9.235714,9.475000,8521069
9.522996,9.785714,2015-05-05,9.992857,9.464285,9.542857,19557361
9.835797,10.107142,2015-05-06,10.457142,9.678571,9.778571,26618029
8.852217,9.096428,2015-05-07,10.107142,9.096428,10.107142,17851803
9.144163,9.396428,2015-05-08,9.464285,9.110714,9.214285,12902649
9.783663,10.053571,2015-05-11,10.142857,9.282142,9.457142,19714424
10.405785,10.692857,2015-05-12,10.817857,9.982142,10.007142,29712502
11.111320,11.417857,2015-05-13,11.739285,10.275000,10.539285,27746367
12.223496,12.560714,2015-05-14,12.560714,11.178571,11.310714,25541121
12.049720,12.382142,2015-05-15,13.214285,11.789285,12.553571,27878401
13.255733,13.621428,2015-05-18,13.621428,12.142857,12.142857,24169888
13.422560,13.792857,2015-05-19,14.692857,13.100000,14.071428,25540530
13.360001,13.728571,2015-05-20,14.678571,13.464285,13.928571,19864110
13.606764,13.982142,2015-05-21,14.325000,13.396428,13.535714,20603464
13.850053,14.232142,2015-05-22,14.996428,13.842857,14.089285,27356733
15.236794,15.657142,2015-05-25,15.657142,13.750000,14.232142,25941703
16.759083,17.221428,2015-05-26,17.221428,15.660714,15.664285,23277587
18.434299,18.942858,2015-05-27,18.942858,17.146427,17.857141,21438897
17.402058,17.882141,2015-05-28,20.835714,17.107141,20.196428,35074900
16.915483,17.382141,2015-05-29,18.646427,16.107141,16.785713,29376916
16.766037,17.228571,2015-06-01,18.100000,16.178572,17.500000,22644501
17.353405,17.832142,2015-06-02,18.500000,17.196428,17.232141,18625180
17.662729,18.150000,2015-06-03,18.321428,17.285713,17.678572,14403709
16.216900,16.664286,2015-06-04,17.932142,16.335714,17.928572,16066733
15.692093,16.125000,2015-06-05,17.142857,15.828571,16.857141,14853552
14.534735,14.935714,2015-06-08,16.071428,14.892857,16.071428,14600770
15.493985,15.921428,2015-06-09,16.035713,15.000000,15.000000,14569083
16.383726,16.835714,2015-06-10,17.321428,15.428571,15.821428,13665601
16.644392,17.103571,2015-06-11,17.321428,16.407143,16.942858,13181758
16.916336,17.328571,2015-06-12,17.678572,17.071428,17.110714,16202664
16.002880,16.392857,2015-06-15,17.732141,16.250000,17.492857,12756324
14.733808,15.092857,2015-06-16,15.910714,15.082142,15.907142,8727238
15.089427,15.457142,2015-06-17,15.532142,14.089285,15.000000,8608868
13.949351,14.289285,2015-06-18,15.500000,14.285714,15.285714,7490106
12.634954,12.942857,2015-06-19,14.103571,12.860714,13.928571,8013656
13.754109,14.089285,2015-06-23,14.175000,12.103571,12.889285,9302577
14.538565,14.892857,2015-06-24,15.000000,14.178571,14.446428,10457006
13.332248,13.657142,2015-06-25,15.103571,13.500000,14.989285,8446617
12.000418,12.292857,2015-06-26,13.335714,12.292857,13.035714,6427293
10.801073,11.064285,2015-06-29,12.814285,11.064285,12.571428,9161882
11.466987,11.746428,2015-06-30,11.942857,9.957142,10.942857,11247614
10.323427,10.575000,2015-07-01,12.010714,10.571428,11.367857,10933672
9.291433,9.517857,2015-07-02,10.764285,9.517857,10.742857,11719615
8.364031,8.567857,2015-07-03,9.642857,8.567857,9.107142,12188114
7.701604,7.889285,2015-07-06,9.425000,7.710714,9.425000,14173591
6.931095,7.100000,2015-07-07,7.507142,7.100000,7.178571,5933900
6.237288,6.389285,2015-07-08,6.389285,6.389285,6.389285,1976800
6.861366,7.028571,2015-07-09,7.028571,5.750000,5.750000,23791723
7.548199,7.732142,2015-07-10,7.732142,7.357142,7.678571,8190014
8.304763,8.507142,2015-07-13,8.507142,8.214285,8.507142,9324565
9.134542,9.357142,2015-07-14,9.357142,8.871428,9.353571,32481234
8.221087,8.421428,2015-07-15,9.250000,8.421428,8.964285,16911316
8.461654,8.667857,2015-07-16,8.928571,7.578571,7.814285,15538124
9.169406,9.392857,2015-07-17,9.500000,8.671428,8.732142,13551462
9.106650,9.328571,2015-07-20,9.742857,9.089285,9.285714,17393658
9.368136,9.596428,2015-07-21,9.696428,9.035714,9.228571,13481434
9.699349,9.935714,2015-07-22,10.028571,9.467857,9.478571,17553958
10.508211,10.764285,2015-07-23,10.914285,9.792857,9.978571,19986206
10.312969,10.564285,2015-07-24,11.778571,10.242857,10.771428,23333472
9.280972,9.507142,2015-07-27,10.928571,9.507142,10.264285,19089632
8.977652,9.196428,2015-07-28,9.817857,8.607142,8.753571,13704622
9.870186,10.110714,2015-07-29,10.110714,8.957142,9.464285,13766485
9.762106,10.000000,2015-07-30,10.750000,9.739285,10.125000,16516502
9.964320,10.207142,2015-07-31,10.542857,9.657142,9.671428,16320222
10.417561,10.671428,2015-08-03,10.778571,9.814285,10.039285,19365374
11.453042,11.732142,2015-08-04,11.732142,10.535714,10.857142,27542958
11.853987,12.142857,2015-08-05,12.892857,11.285714,11.428571,29973918
11.111367,11.382142,2015-08-06,12.046428,11.064285,11.785714,19517111
11.460015,11.739285,2015-08-07,11.839285,11.257142,11.432142,17392368
12.234010,12.532142,2015-08-10,12.814285,11.610714,11.660714,19794588
13.025439,13.342857,2015-08-11,13.785714,12.182142,12.500000,29864130
