adj_close,close,date,high,low,open,volume
2.791141,2.903183,2021-09-20,2.972072,2.863818,2.903183,25943424
2.989831,3.109850,2021-09-21,3.198422,2.853976,2.903183,43539881
3.084446,3.208263,2021-09-22,3.247628,3.119691,3.119691,30913804
3.216907,3.346041,2021-09-23,3.405089,3.237787,3.247628,26224281
3.122292,3.247628,2021-09-24,3.454296,3.247628,3.434613,40171423
3.339907,3.473978,2021-09-27,3.473978,3.277152,3.286993,37457554
3.330446,3.464137,2021-09-28,3.483819,3.414930,3.444454,23195819
3.330446,3.464137,2021-09-29,3.483819,3.424772,3.444454,12090476
3.216907,3.346041,2021-09-30,3.483819,3.346041,3.473978,13393963
3.160138,3.286993,2021-10-01,3.336200,3.257470,3.316517,10307683
3.235831,3.365724,2021-10-04,3.424772,3.316517,3.336200,11930233
3.216907,3.346041,2021-10-05,3.385406,3.296835,3.355883,12696900
3.207446,3.336200,2021-10-06,3.385406,3.326359,3.375565,8628738
3.216907,3.346041,2021-10-07,3.414930,3.346041,3.385406,11130237
3.207446,3.336200,2021-10-08,3.375565,3.286993,3.365724,10433073
3.169600,3.296835,2021-10-11,3.355883,3.296835,3.346041,12332009
3.197985,3.326359,2021-10-12,3.326359,3.277152,3.316517,8383039
3.245292,3.375565,2021-10-13,3.395248,3.296835,3.316517,10110758
3.254753,3.385406,2021-10-14,3.405089,3.355883,3.385406,4320262
3.226369,3.355883,2021-10-15,3.405089,3.355883,3.395248,4408869
3.188523,3.316517,2021-10-18,3.365724,3.306676,3.365724,6998974
3.245292,3.375565,2021-10-19,3.375565,3.326359,3.346041,3643319
3.235831,3.365724,2021-10-20,3.385406,3.346041,3.385406,4134718
3.197985,3.326359,2021-10-21,3.365724,3.316517,3.336200,2581264
3.207446,3.336200,2021-10-22,3.346041,3.316517,3.336200,3053966
3.235831,3.365724,2021-10-25,3.375565,3.316517,3.336200,5149015
3.216907,3.346041,2021-10-26,3.375565,3.336200,3.365724,5933667
3.245292,3.375565,2021-10-27,3.405089,3.336200,3.365724,11132270
3.302061,3.434613,2021-10-28,3.434613,3.375565,3.385406,12170750
3.254753,3.385406,2021-10-29,3.562550,3.385406,3.434613,33704188
3.273676,3.405089,2021-11-01,3.434613,3.365724,3.414930,8320954
3.245292,3.375565,2021-11-02,3.424772,3.375565,3.424772,3456047
3.254753,3.385406,2021-11-03,3.424772,3.375565,3.385406,7076301
3.245292,3.375565,2021-11-05,3.424772,3.365724,3.385406,9022081
3.235831,3.365724,2021-11-08,3.414930,3.365724,3.395248,11004339
3.264215,3.395248,2021-11-09,3.405089,3.355883,3.365724,7108614
3.254753,3.385406,2021-11-10,3.405089,3.385406,3.395248,4791846
3.245292,3.375565,2021-11-11,3.395248,3.336200,3.375565,10116144
3.216907,3.346041,2021-11-12,3.405089,3.346041,3.385406,8788880
3.207446,3.336200,2021-11-15,3.355883,3.306676,3.346041,8115798
3.226369,3.355883,2021-11-16,3.375565,3.326359,3.346041,6730818
3.179061,3.306676,2021-11-17,3.355883,3.306676,3.346041,12005731
3.160138,3.286993,2021-11-18,3.326359,3.286993,3.306676,12729010
3.188523,3.316517,2021-11-19,3.355883,3.286993,3.296835,10143884
3.188523,3.316517,2021-11-22,3.346041,3.306676,3.306676,3899586
3.179061,3.306676,2021-11-23,3.326359,3.296835,3.326359,6212086
3.216907,3.346041,2021-11-24,3.365724,3.306676,3.306676,8292197
3.216907,3.346041,2021-11-25,3.355883,3.316517,3.355883,7294260
3.179061,3.306676,2021-11-26,3.346041,3.296835,3.336200,12877161
3.188523,3.316517,2021-11-29,3.336200,3.257470,3.267311,17682726
3.179061,3.306676,2021-11-30,3.326359,3.296835,3.306676,30386435
3.179061,3.306676,2021-12-01,3.326359,3.247628,3.316517,39486850
3.188523,3.316517,2021-12-02,3.326359,3.267311,3.277152,8563706
3.150677,3.277152,2021-12-03,3.316517,3.277152,3.306676,11583226
3.169600,3.296835,2021-12-06,3.326359,3.286993,3.286993,3909748
3.188523,3.316517,2021-12-07,3.326359,3.277152,3.306676,9494478
3.188523,3.316517,2021-12-08,3.336200,3.306676,3.316517,5175536
3.254753,3.385406,2021-12-09,3.385406,3.306676,3.316517,5883164
3.283138,3.414930,2021-12-10,3.414930,3.355883,3.365724,7020820
3.216907,3.346041,2021-12-13,3.464137,3.336200,3.444454,8232856
3.264215,3.395248,2021-12-14,3.395248,3.326359,3.355883,3249062
3.254753,3.385406,2021-12-15,3.405089,3.355883,3.395248,5540122
3.245292,3.375565,2021-12-16,3.405089,3.346041,3.375565,5014073
3.188523,3.316517,2021-12-17,3.365724,3.316517,3.355883,10718955
3.160138,3.286993,2021-12-20,3.326359,3.286993,3.316517,6241060
3.169600,3.296835,2021-12-21,3.326359,3.296835,3.296835,3650839
3.197985,3.326359,2021-12-22,3.346041,3.296835,3.316517,3682745
3.188523,3.316517,2021-12-23,3.355883,3.306676,3.336200,3389897
3.188523,3.316517,2021-12-24,3.336200,3.306676,3.326359,483371
3.179061,3.306676,2021-12-27,3.346041,3.306676,3.316517,1172507
3.207446,3.336200,2021-12-28,3.346041,3.326359,3.326359,1969963
3.245292,3.375565,2021-12-29,3.375565,3.336200,3.346041,3125197
3.216907,3.346041,2021-12-30,3.375565,3.346041,3.346041,2250109
3.226369,3.355883,2021-12-31,3.395248,3.346041,3.355883,3118592
3.292600,3.424772,2022-01-03,3.434613,3.365724,3.365724,7193054
3.462906,3.601915,2022-01-04,3.611756,3.434613,3.444454,20511011
3.425061,3.562550,2022-01-05,3.710169,3.523185,3.611756,25095568
3.491291,3.631439,2022-01-06,3.631439,3.513343,3.542867,10168982
3.425061,3.562550,2022-01-07,3.621598,3.542867,3.621598,6460325
3.368291,3.503502,2022-01-10,3.582232,3.503502,3.562550,4084928
3.425061,3.562550,2022-01-11,3.582232,3.483819,3.483819,5575991
3.377753,3.513343,2022-01-12,3.592074,3.513343,3.582232,4880859
3.406137,3.542867,2022-01-13,3.552709,3.513343,3.533026,5810513
3.387215,3.523185,2022-01-14,3.611756,3.523185,3.562550,6677065
3.415599,3.552709,2022-01-17,3.552709,3.513343,3.533026,4730676
3.415599,3.552709,2022-01-18,3.582232,3.523185,3.572391,5594383
3.481830,3.621598,2022-01-19,3.621598,3.523185,3.523185,9455052
3.453445,3.592074,2022-01-20,3.621598,3.572391,3.611756,4727831
3.462906,3.601915,2022-01-21,3.611756,3.542867,3.592074,5676892
3.443983,3.582232,2022-01-24,3.592074,3.533026,3.562550,5915885
3.396676,3.533026,2022-01-25,3.572391,3.503502,3.572391,8930121
3.415599,3.552709,2022-01-26,3.592074,3.552709,3.562550,7613832
3.349368,3.483819,2022-01-27,3.562550,3.464137,3.552709,12262100
3.311522,3.444454,2022-01-28,3.513343,3.434613,3.483819,12974912
3.264215,3.395248,2022-01-31,3.493661,3.395248,3.434613,9811204
3.292600,3.424772,2022-02-03,3.473978,3.405089,3.405089,14385194
3.320984,3.454296,2022-02-04,3.483819,3.414930,3.414930,5814069
3.320984,3.454296,2022-02-07,3.464137,3.414930,3.434613,5789377
3.349368,3.483819,2022-02-08,3.523185,3.444454,3.454296,6432179
3.453445,3.592074,2022-02-09,3.611756,3.493661,3.513343,13752960
3.538598,3.680645,2022-02-10,3.690487,3.562550,3.611756,15079817
3.462906,3.601915,2022-02-11,3.700328,3.582232,3.651122,9549552
3.425061,3.562550,2022-02-14,3.611756,3.542867,3.582232,9430258
3.453445,3.592074,2022-02-15,3.660963,3.552709,3.601915,7034233
3.491291,3.631439,2022-02-16,3.641280,3.562550,3.582232,6243789
3.538598,3.680645,2022-02-17,3.700328,3.631439,3.631439,9443366
3.548060,3.690487,2022-02-18,3.759376,3.651122,3.651122,8927174
3.538598,3.680645,2022-02-21,3.720011,3.660963,3.670804,3668722
3.491291,3.631439,2022-02-22,3.680645,3.611756,3.660963,5227053
3.557521,3.700328,2022-02-23,3.700328,3.611756,3.660963,11192018
3.434522,3.572391,2022-02-24,3.670804,3.523185,3.641280,14809121
3.519676,3.660963,2022-02-25,3.710169,3.611756,3.631439,13833336
3.491291,3.631439,2022-02-28,3.710169,3.562550,3.651122,21968001
3.529137,3.670804,2022-03-01,3.710169,3.651122,3.651122,8593580
3.519676,3.660963,2022-03-02,3.710169,3.651122,3.660963,6454838
3.529137,3.670804,2022-03-03,3.710169,3.660963,3.670804,3413675
3.481830,3.621598,2022-03-04,3.651122,3.601915,3.631439,6774105
3.462906,3.601915,2022-03-07,3.670804,3.592074,3.601915,6016075
3.472368,3.611756,2022-03-08,3.660963,3.572391,3.611756,6970624
3.566983,3.710169,2022-03-09,3.720011,3.592074,3.621598,14045401
3.576445,3.720011,2022-03-10,3.798741,3.670804,3.720011,15530266
3.595367,3.739693,2022-03-11,3.779058,3.690487,3.690487,4243850
3.566983,3.710169,2022-03-14,3.769217,3.690487,3.739693,4565555
3.500752,3.641280,2022-03-15,3.710169,3.621598,3.690487,8284983
3.529137,3.670804,2022-03-16,3.700328,3.651122,3.660963,9858454
3.519676,3.660963,2022-03-17,3.690487,3.641280,3.670804,10357372
3.585906,3.729852,2022-03-18,3.769217,3.670804,3.680645,23715974
3.642675,3.788900,2022-03-21,3.788900,3.729852,3.759376,5810733
3.680521,3.828265,2022-03-22,3.838106,3.788900,3.798741,7387134
3.652136,3.798741,2022-03-23,3.877471,3.779058,3.838106,7914808
3.699443,3.847947,2022-03-24,3.847947,3.779058,3.798741,5930822
3.689982,3.838106,2022-03-25,3.877471,3.808582,3.867630,3441110
3.756212,3.906995,2022-03-28,3.906995,3.818424,3.828265,7883410
3.794058,3.946360,2022-03-29,3.985726,3.906995,3.926678,13373031
3.860290,4.015250,2022-03-30,4.015250,3.956202,4.015250,10604595
3.775136,3.926678,2022-03-31,4.064456,3.926678,4.034932,15219636
3.822443,3.975884,2022-04-01,4.025091,3.906995,3.916837,5946979
3.812982,3.966043,2022-04-04,4.015250,3.966043,3.985726,3374147
3.879212,4.034932,2022-04-05,4.034932,3.975884,4.005408,4191519
3.812982,3.966043,2022-04-06,4.015250,3.966043,4.005408,6901426
