adj_close,close,date,high,low,open,volume
2.275317,4.911758,2000-01-04,5.057652,4.863127,5.057652,513044
2.216743,4.785317,2000-01-05,4.843674,4.688054,4.843674,831769
2.081576,4.493529,2000-01-06,4.824222,4.376814,4.824222,1285181
2.162677,4.668602,2000-01-07,4.668602,4.474077,4.474077,246754
2.081576,4.493529,2000-01-10,4.765864,4.454624,4.746412,668294
2.036520,4.396267,2000-01-11,4.532434,4.337909,4.532434,712504
2.009488,4.337909,2000-01-12,4.376814,4.318457,4.357362,578845
1.982454,4.279552,2000-01-13,4.376814,4.279552,4.376814,368075
2.009488,4.337909,2000-01-14,4.357362,4.260099,4.279552,450327
1.991464,4.299004,2000-01-17,4.415719,4.279552,4.376814,150109
1.937397,4.182289,2000-01-18,4.318457,4.162836,4.318457,382469
1.838275,3.968311,2000-01-19,4.162836,3.909954,4.162836,899626
1.784208,3.851596,2000-01-20,3.948859,3.851596,3.929406,1531936
1.757175,3.793239,2000-01-21,3.871049,3.676524,3.871049,1047679
1.757175,3.793239,2000-01-24,3.851596,3.754334,3.773786,238529
1.730141,3.734881,2000-01-25,3.773786,3.734881,3.773786,163475
1.739152,3.754334,2000-01-26,3.832144,3.715429,3.734881,169643
1.721130,3.715429,2000-01-27,3.812691,3.695976,3.754334,318724
1.712119,3.695976,2000-01-28,3.773786,3.676524,3.734881,339287
1.667063,3.598714,2000-01-31,3.695976,3.598714,3.676524,580901
1.721130,3.715429,2000-02-01,3.754334,3.598714,3.598714,820459
1.802231,3.890501,2000-02-02,3.929406,3.754334,3.754334,1638863
1.892342,4.085026,2000-02-03,4.182289,3.871049,3.948859,1121706
1.892342,4.085026,2000-02-04,4.201741,4.065574,4.143384,281711
1.892342,4.085026,2000-02-07,4.085026,4.085026,4.085026,0
1.820253,3.929406,2000-02-08,4.065574,3.909954,4.065574,334147
1.838275,3.968311,2000-02-09,4.026669,3.929406,3.948859,449299
1.766186,3.812691,2000-02-10,3.968311,3.812691,3.948859,746433
1.757175,3.793239,2000-02-11,3.890501,3.773786,3.871049,322837
1.676074,3.618166,2000-02-14,3.793239,3.598714,3.715429,1083664
1.703108,3.676524,2000-02-15,3.715429,3.676524,3.715429,274514
1.694096,3.657071,2000-02-16,3.793239,3.618166,3.695976,647731
1.820253,3.929406,2000-02-17,3.968311,3.773786,3.793239,1199845
1.748164,3.773786,2000-02-18,4.007216,3.773786,3.929406,331062
1.748164,3.773786,2000-02-21,3.851596,3.734881,3.734881,300218
1.766186,3.812691,2000-02-22,3.812691,3.715429,3.812691,271430
1.820253,3.929406,2000-02-23,4.007216,3.851596,3.890501,1197788
1.829264,3.948859,2000-02-24,4.065574,3.929406,3.948859,501734
1.802231,3.890501,2000-02-25,3.948859,3.890501,3.948859,149081
1.739152,3.754334,2000-02-28,3.890501,3.734881,3.851596,183009
1.712119,3.695976,2000-02-29,3.812691,3.695976,3.812691,127489
1.721130,3.715429,2000-03-01,3.793239,3.695976,3.754334,133658
1.712119,3.695976,2000-03-02,3.734881,3.657071,3.734881,165531
1.730141,3.734881,2000-03-03,3.773786,3.676524,3.715429,176840
1.712119,3.695976,2000-03-06,3.793239,3.695976,3.793239,144968
1.766186,3.812691,2000-03-07,3.812691,3.676524,3.734881,138799
1.775197,3.832144,2000-03-08,3.871049,3.695976,3.695976,165531
1.721130,3.715429,2000-03-09,3.812691,3.715429,3.812691,127489
1.712119,3.695976,2000-03-10,3.773786,3.695976,3.754334,286852
1.640030,3.540356,2000-03-13,3.734881,3.540356,3.734881,249839
1.631019,3.520904,2000-03-14,3.579261,3.462546,3.540356,312556
1.622007,3.501451,2000-03-15,3.520904,3.443094,3.443094,169643
1.622007,3.501451,2000-03-16,3.501451,3.501451,3.501451,0
1.676074,3.618166,2000-03-17,3.734881,3.540356,3.540356,351625
1.685086,3.637619,2000-03-20,3.637619,3.579261,3.618166,67857
1.721130,3.715429,2000-03-21,3.734881,3.501451,3.618166,168615
1.748164,3.773786,2000-03-22,3.812691,3.754334,3.754334,229276
1.748164,3.773786,2000-03-23,3.793239,3.734881,3.793239,188150
1.973443,4.260099,2000-03-24,4.260099,3.832144,3.832144,1472303
2.153666,4.649149,2000-03-27,4.960389,4.493529,4.863127,3136870
2.275317,4.911758,2000-03-28,4.960389,4.649149,4.649149,3099857
2.275317,4.911758,2000-03-29,5.057652,4.863127,4.960389,1525767
2.108609,4.551887,2000-03-30,4.960389,4.532434,4.911758,646703
2.072565,4.474077,2000-03-31,4.649149,4.415719,4.435172,454440
1.982454,4.279552,2000-04-03,4.512982,4.279552,4.493529,695026
1.955420,4.221194,2000-04-04,4.376814,4.162836,4.376814,298162
2.027509,4.376814,2000-04-05,4.474077,4.201741,4.221194,556226
2.117621,4.571339,2000-04-06,4.571339,0.758647,4.376814,948977
2.144655,4.629697,2000-04-07,4.726959,4.571339,4.590792,721757
2.144655,4.629697,2000-04-10,4.688054,4.551887,4.668602,280683
2.108609,4.551887,2000-04-11,4.629697,4.551887,4.629697,277599
2.135643,4.610244,2000-04-12,4.649149,4.551887,4.551887,145996
2.126632,4.590792,2000-04-13,4.629697,4.551887,4.571339,143940
2.162677,4.668602,2000-04-14,4.707507,4.590792,4.590792,357794
2.054543,4.435172,2000-04-17,4.551887,4.240646,4.551887,1191620
2.018499,4.357362,2000-04-18,4.532434,4.357362,4.493529,252923
2.027509,4.376814,2000-04-19,4.474077,4.376814,4.474077,127489
2.045532,4.415719,2000-04-20,4.415719,4.318457,4.337909,151137
2.045532,4.415719,2000-04-21,4.415719,4.415719,4.415719,0
2.072565,4.474077,2000-04-24,4.474077,4.415719,4.415719,113095
2.144655,4.629697,2000-04-25,4.629697,4.474077,4.474077,160390
2.135643,4.610244,2000-04-26,4.668602,4.571339,4.649149,121321
2.171688,4.688054,2000-04-27,4.688054,4.571339,4.571339,235445
2.275317,4.911758,2000-04-28,4.960389,4.707507,4.707507,1454825
2.275317,4.911758,2000-05-01,4.911758,4.911758,4.911758,0
2.433011,5.252177,2000-05-02,5.300808,5.009021,5.057652,1745790
2.365428,5.106283,2000-05-03,5.203546,5.057652,5.057652,685772
2.387956,5.154914,2000-05-04,5.154914,4.911758,4.960389,509959
2.410483,5.203546,2000-05-05,5.203546,5.106283,5.154914,435933
2.365428,5.106283,2000-05-08,5.203546,5.009021,5.203546,420511
2.365428,5.106283,2000-05-09,5.106283,5.106283,5.106283,0
2.275317,4.911758,2000-05-10,5.154914,4.911758,5.154914,125433
2.252789,4.863127,2000-05-11,4.863127,4.824222,4.824222,119264
2.320372,5.009021,2000-05-12,5.009021,4.863127,4.863127,61688
2.234767,4.824222,2000-05-15,4.863127,4.804769,4.863127,181981
2.275317,4.911758,2000-05-16,4.911758,4.824222,4.824222,206657
2.191733,4.590792,2000-05-17,4.765864,4.551887,4.707507,118236
2.191733,4.590792,2000-05-18,4.590792,4.590792,4.590792,0
2.154585,4.512982,2000-05-19,4.590792,4.415719,4.590792,262176
2.117438,4.435172,2000-05-22,4.512982,4.376814,4.512982,143940
2.071002,4.337909,2000-05-23,4.474077,4.318457,4.435172,91504
2.033854,4.260099,2000-05-24,4.318457,4.221194,4.279552,178897
1.894548,3.968311,2000-05-25,4.299004,3.948859,4.279552,229276
1.829540,3.832144,2000-05-26,3.890501,3.754334,3.871049,355738
1.810966,3.793239,2000-05-29,3.832144,3.695976,3.832144,241614
1.810966,3.793239,2000-05-30,3.793239,3.793239,3.793239,0
1.606652,3.365284,2000-05-31,3.657071,3.365284,3.618166,809150
1.578791,3.306926,2000-06-01,3.404189,3.170758,3.365284,985991
1.634513,3.423641,2000-06-02,3.501451,3.384736,3.384736,447243
1.690235,3.540356,2000-06-05,3.598714,3.481999,3.501451,402004
1.764531,3.695976,2000-06-06,3.695976,3.481999,3.481999,226191
1.801679,3.773786,2000-06-07,3.812691,3.637619,3.637619,203572
1.950271,4.085026,2000-06-08,4.104479,3.793239,3.871049,494537
2.024567,4.240646,2000-06-09,4.260099,3.890501,3.968311,362935
1.978131,4.143384,2000-06-12,4.221194,4.123931,4.162836,97673
1.913123,4.007216,2000-06-13,4.143384,3.890501,4.143384,619971
1.857401,3.890501,2000-06-14,4.007216,3.890501,4.007216,395835
1.857401,3.890501,2000-06-15,3.968311,3.890501,3.909954,206657
1.913123,4.007216,2000-06-16,4.065574,3.929406,3.929406,157306
1.885262,3.948859,2000-06-19,3.987764,3.890501,3.909954,111039
