adj_close,close,date,high,low,open,volume
0.508234,1.183000,2000-01-04,1.183000,1.170000,1.176500,59400
0.485894,1.131000,2000-01-05,1.157000,1.118000,1.157000,351000
0.474724,1.105000,2000-01-06,1.157000,1.098500,1.157000,143100
0.469139,1.092000,2000-01-07,1.105000,1.092000,1.105000,252000
0.457969,1.066000,2000-01-10,1.092000,1.059500,1.092000,480600
0.427252,0.994500,2000-01-11,1.066000,0.988000,1.066000,3141900
0.446799,1.040000,2000-01-12,1.046500,0.988000,0.988000,2052900
0.432837,1.007500,2000-01-13,1.033500,1.007500,1.033500,1898100
0.430044,1.001000,2000-01-14,1.014000,0.994500,1.014000,1523700
0.424459,0.988000,2000-01-17,1.007500,0.988000,1.001000,2304900
0.382572,0.890500,2000-01-18,1.001000,0.890500,1.001000,4683600
0.385364,0.897000,2000-01-19,0.929500,0.897000,0.897000,4011300
0.396534,0.923000,2000-01-20,0.936000,0.897000,0.897000,1723500
0.396534,0.923000,2000-01-21,0.936000,0.910000,0.923000,1843200
0.396534,0.923000,2000-01-24,0.923000,0.916500,0.923000,1485000
0.399327,0.929500,2000-01-25,0.929500,0.903500,0.916500,1214100
0.393742,0.916500,2000-01-26,0.942500,0.910000,0.929500,2030400
0.390949,0.910000,2000-01-27,0.955500,0.903500,0.929500,1914300
0.388157,0.903500,2000-01-28,0.910000,0.897000,0.910000,1978200
0.376987,0.877500,2000-01-31,0.903500,0.871000,0.903500,2823300
0.385364,0.897000,2000-02-01,0.903500,0.877500,0.877500,1368900
0.388157,0.903500,2000-02-02,0.916500,0.890500,0.910000,906300
0.388157,0.903500,2000-02-03,0.903500,0.877500,0.903500,1196100
0.368609,0.858000,2000-02-04,0.890500,0.851500,0.890500,1827900
0.368609,0.858000,2000-02-07,0.858000,0.858000,0.858000,0
0.374194,0.871000,2000-02-08,0.884000,0.858000,0.858000,1181700
0.363024,0.845000,2000-02-09,0.890500,0.806000,0.890500,3778200
0.349062,0.812500,2000-02-10,0.832000,0.793000,0.832000,2976300
0.351854,0.819000,2000-02-11,0.832000,0.793000,0.812500,1416600
0.337892,0.786500,2000-02-14,0.812500,0.786500,0.812500,1100700
0.323929,0.754000,2000-02-15,0.806000,0.747500,0.780000,4420800
0.329514,0.767000,2000-02-16,0.786500,0.760500,0.767000,1613700
0.323929,0.754000,2000-02-17,0.780000,0.754000,0.773500,1826100
0.329514,0.767000,2000-02-18,0.773500,0.754000,0.767000,1719000
0.329514,0.767000,2000-02-21,0.767000,0.754000,0.760500,459900
0.284835,0.663000,2000-02-22,0.767000,0.663000,0.767000,4536000
0.304382,0.708500,2000-02-23,0.734500,0.689000,0.689000,2360700
0.298797,0.695500,2000-02-24,0.695500,0.689000,0.695500,3083400
0.318345,0.741000,2000-02-25,0.747500,0.695500,0.695500,3213900
0.326722,0.760500,2000-02-28,0.760500,0.721500,0.741000,1491300
0.315552,0.734500,2000-02-29,0.754000,0.728000,0.754000,926100
0.321137,0.747500,2000-03-01,0.767000,0.734500,0.734500,2745000
0.326722,0.760500,2000-03-02,0.773500,0.728000,0.741000,4380300
0.365817,0.851500,2000-03-03,0.858000,0.760500,0.760500,4336200
0.363024,0.845000,2000-03-06,0.884000,0.819000,0.851500,1320300
0.351854,0.819000,2000-03-07,0.825500,0.812500,0.819000,824400
0.349062,0.812500,2000-03-08,0.819000,0.786500,0.793000,874800
0.343477,0.799500,2000-03-09,0.832000,0.799500,0.819000,1876500
0.351854,0.819000,2000-03-10,0.819000,0.806000,0.812500,1031400
0.343477,0.799500,2000-03-13,0.812500,0.786500,0.812500,496800
0.346269,0.806000,2000-03-14,0.812500,0.793000,0.799500,382500
0.340684,0.793000,2000-03-15,0.812500,0.793000,0.793000,443700
0.340684,0.793000,2000-03-16,0.793000,0.793000,0.793000,0
0.354647,0.825500,2000-03-17,0.825500,0.806000,0.812500,536400
0.351854,0.819000,2000-03-20,0.825500,0.819000,0.819000,990000
0.363024,0.845000,2000-03-21,0.845000,0.825500,0.825500,450000
0.359175,0.793000,2000-03-22,0.819000,0.780000,0.819000,506700
0.353287,0.780000,2000-03-23,0.812500,0.780000,0.799500,1319400
0.368007,0.812500,2000-03-24,0.812500,0.786500,0.793000,652500
0.365063,0.806000,2000-03-27,0.819000,0.806000,0.812500,437400
0.388615,0.858000,2000-03-28,0.858000,0.819000,0.819000,1411200
0.382727,0.845000,2000-03-29,0.858000,0.845000,0.851500,202500
0.373895,0.825500,2000-03-30,0.845000,0.812500,0.845000,524700
0.376839,0.832000,2000-03-31,0.845000,0.819000,0.819000,315000
0.362119,0.799500,2000-04-03,0.832000,0.793000,0.832000,392400
0.356230,0.786500,2000-04-04,0.799500,0.786500,0.793000,42300
0.350342,0.773500,2000-04-05,0.806000,0.773500,0.786500,388800
0.347398,0.767000,2000-04-06,0.773500,0.760500,0.767000,568800
0.335622,0.741000,2000-04-07,0.767000,0.728000,0.760500,1239300
0.338566,0.747500,2000-04-10,0.754000,0.747500,0.747500,714600
0.332678,0.734500,2000-04-11,0.741000,0.734500,0.741000,1615500
0.338566,0.747500,2000-04-12,0.754000,0.741000,0.747500,527400
0.347398,0.767000,2000-04-13,0.767000,0.734500,0.741000,291600
0.368007,0.812500,2000-04-14,0.812500,0.754000,0.754000,155700
0.335622,0.741000,2000-04-17,0.806000,0.741000,0.806000,279000
0.344454,0.760500,2000-04-18,0.760500,0.754000,0.754000,144000
0.365063,0.806000,2000-04-19,0.819000,0.780000,0.780000,390600
0.370951,0.819000,2000-04-20,0.825500,0.793000,0.825500,133200
0.370951,0.819000,2000-04-21,0.819000,0.819000,0.819000,0
0.362119,0.799500,2000-04-24,0.812500,0.799500,0.812500,232200
0.353287,0.780000,2000-04-25,0.799500,0.780000,0.799500,127800
0.353287,0.780000,2000-04-26,0.786500,0.773500,0.786500,59400
0.370951,0.819000,2000-04-27,0.825500,0.806000,0.825500,535500
0.373895,0.825500,2000-04-28,0.838500,0.819000,0.819000,510300
0.373895,0.825500,2000-05-01,0.825500,0.825500,0.825500,0
0.373895,0.825500,2000-05-02,0.838500,0.812500,0.819000,343800
0.370951,0.819000,2000-05-03,0.832000,0.819000,0.832000,169200
0.365063,0.806000,2000-05-04,0.812500,0.799500,0.812500,89100
0.373895,0.825500,2000-05-05,0.825500,0.806000,0.806000,194400
0.388615,0.858000,2000-05-08,0.884000,0.825500,0.825500,1641600
0.388615,0.858000,2000-05-09,0.858000,0.858000,0.858000,0
0.412168,0.910000,2000-05-10,0.929500,0.897000,0.910000,1132200
0.391559,0.864500,2000-05-11,0.897000,0.864500,0.897000,762300
0.409223,0.903500,2000-05-12,0.916500,0.871000,0.871000,588600
0.406279,0.897000,2000-05-15,0.910000,0.897000,0.903500,659700
0.409223,0.903500,2000-05-16,0.903500,0.890500,0.903500,1128600
0.409223,0.903500,2000-05-17,0.910000,0.897000,0.903500,974700
0.409223,0.903500,2000-05-18,0.903500,0.903500,0.903500,0
0.412168,0.910000,2000-05-19,0.923000,0.897000,0.903500,1503900
0.394503,0.871000,2000-05-22,0.903500,0.845000,0.903500,928800
0.376839,0.832000,2000-05-23,0.845000,0.793000,0.845000,899100
0.370951,0.819000,2000-05-24,0.832000,0.806000,0.825500,102600
0.359175,0.793000,2000-05-25,0.819000,0.773500,0.819000,577800
0.294405,0.650000,2000-05-26,0.754000,0.643500,0.754000,3033900
0.312070,0.689000,2000-05-29,0.695500,0.650000,0.650000,368100
0.312070,0.689000,2000-05-30,0.689000,0.689000,0.689000,0
0.285573,0.630500,2000-05-31,0.676000,0.630500,0.663000,561600
0.259077,0.572000,2000-06-01,0.630500,0.552500,0.630500,999900
0.267909,0.591500,2000-06-02,0.598000,0.578500,0.578500,585900
0.279685,0.617500,2000-06-05,0.630500,0.604500,0.611000,1093500
0.273797,0.604500,2000-06-06,0.611000,0.598000,0.604500,279900
0.282629,0.624000,2000-06-07,0.630500,0.598000,0.598000,378900
0.297349,0.656500,2000-06-08,0.656500,0.624000,0.624000,1441800
0.300293,0.663000,2000-06-09,0.663000,0.637000,0.650000,1072800
0.306182,0.676000,2000-06-12,0.695500,0.663000,0.676000,934200
0.303237,0.669500,2000-06-13,0.676000,0.669500,0.676000,300600
0.317958,0.702000,2000-06-14,0.702000,0.669500,0.689000,1025100
0.303237,0.669500,2000-06-15,0.689000,0.663000,0.689000,646200
0.303237,0.669500,2000-06-16,0.676000,0.656500,0.663000,453600
0.300293,0.663000,2000-06-19,0.676000,0.650000,0.676000,793800
0.303237,0.669500,2000-06-20,0.676000,0.663000,0.663000,1426500
0.297349,0.656500,2000-06-21,0.669500,0.656500,0.669500,1691100
0.300293,0.663000,2000-06-22,0.663000,0.643500,0.663000,2669400
0.312070,0.689000,2000-06-23,0.689000,0.663000,0.663000,1730700
0.341510,0.754000,2000-06-26,0.754000,0.682500,0.689000,1311300
0.353287,0.780000,2000-06-27,0.786500,0.734500,0.754000,2482200
0.350342,0.773500,2000-06-28,0.786500,0.767000,0.780000,2417400
0.356230,0.786500,2000-06-29,0.793000,0.760500,0.780000,1141200
0.353287,0.780000,2000-06-30,0.786500,0.780000,0.780000,582300
0.353287,0.780000,2000-07-03,0.786500,0.780000,0.780000,234000
0.353287,0.780000,2000-07-04,0.780000,0.767000,0.780000,219600
0.365063,0.806000,2000-07-05,0.806000,0.780000,0.780000,558900
0.379783,0.838500,2000-07-06,0.851500,0.806000,0.819000,983700
0.362119,0.799500,2000-07-07,0.845000,0.793000,0.845000,237600
0.382727,0.845000,2000-07-10,0.851500,0.806000,0.806000,1251000
0.382727,0.845000,2000-07-11,0.851500,0.838500,0.845000,736200
0.382727,0.845000,2000-07-12,0.851500,0.806000,0.845000,1068300
0.365063,0.806000,2000-07-13,0.819000,0.799500,0.812500,156600
0.365063,0.806000,2000-07-14,0.838500,0.793000,0.838500,1663200
0.350342,0.773500,2000-07-17,0.806000,0.767000,0.806000,136800
0.356230,0.786500,2000-07-18,0.799500,0.780000,0.793000,445500
0.356230,0.786500,2000-07-19,0.799500,0.780000,0.793000,445500
0.347398,0.767000,2000-07-20,0.799500,0.767000,0.793000,598500
0.347398,0.767000,2000-07-21,0.845000,0.767000,0.845000,2470500
0.332678,0.734500,2000-07-24,0.754000,0.734500,0.754000,30600
0.341510,0.754000,2000-07-25,0.760500,0.747500,0.754000,263700
0.326790,0.721500,2000-07-26,0.754000,0.721500,0.754000,235800
0.335622,0.741000,2000-07-27,0.754000,0.734500,0.754000,25200
0.335622,0.741000,2000-07-28,0.747500,0.741000,0.741000,41400
0.312070,0.689000,2000-07-31,0.754000,0.689000,0.747500,533700
0.317958,0.702000,2000-08-01,0.734500,0.702000,0.715000,358200
0.303237,0.669500,2000-08-02,0.728000,0.663000,0.715000,1735200
0.276741,0.611000,2000-08-03,0.663000,0.604500,0.663000,2962800
0.262021,0.578500,2000-08-04,0.611000,0.559000,0.611000,2981700
0.256133,0.565500,2000-08-07,0.585000,0.565500,0.585000,737100
0.256133,0.565500,2000-08-08,0.585000,0.565500,0.578500,1130400
0.256133,0.565500,2000-08-09,0.565500,0.565500,0.565500,0
0.264965,0.585000,2000-08-10,0.591500,0.572000,0.585000,1001700
0.270853,0.598000,2000-08-11,0.604500,0.578500,0.578500,748800
0.273797,0.604500,2000-08-14,0.611000,0.598000,0.604500,655200
0.264965,0.585000,2000-08-15,0.604500,0.578500,0.604500,1947600
0.264965,0.585000,2000-08-16,0.598000,0.578500,0.598000,1672200
0.262021,0.578500,2000-08-17,0.598000,0.578500,0.578500,1128600
0.276741,0.611000,2000-08-18,0.624000,0.591500,0.591500,62392500
0.276741,0.611000,2000-08-21,0.624000,0.598000,0.624000,1089000
0.270853,0.598000,2000-08-22,0.611000,0.591500,0.611000,764100
0.264965,0.585000,2000-08-23,0.598000,0.585000,0.598000,1778400
0.270853,0.598000,2000-08-24,0.604500,0.591500,0.598000,3406500
0.270853,0.598000,2000-08-25,0.604500,0.591500,0.598000,551700
0.267909,0.591500,2000-08-28,0.598000,0.585000,0.598000,123300
0.270853,0.598000,2000-08-29,0.598000,0.591500,0.591500,70200
0.276741,0.611000,2000-08-30,0.617500,0.598000,0.598000,610200
0.270853,0.598000,2000-08-31,0.611000,0.598000,0.611000,2007000
0.273797,0.604500,2000-09-01,0.604500,0.598000,0.604500,333900
0.270853,0.598000,2000-09-04,0.604500,0.591500,0.598000,1429200
0.273797,0.604500,2000-09-05,0.604500,0.604500,0.604500,252000
0.276741,0.611000,2000-09-06,0.617500,0.604500,0.611000,2261700
0.276741,0.611000,2000-09-07,0.611000,0.598000,0.611000,2449800
0.273797,0.604500,2000-09-08,0.604500,0.598000,0.604500,262800
0.270853,0.598000,2000-09-11,0.604500,0.591500,0.598000,733500
0.264965,0.585000,2000-09-12,0.598000,0.578500,0.598000,586800
0.262021,0.578500,2000-09-13,0.585000,0.572000,0.585000,599400
0.253189,0.559000,2000-09-14,0.578500,0.559000,0.578500,1811700
0.238468,0.526500,2000-09-15,0.565500,0.526500,0.559000,2311200
0.250244,0.552500,2000-09-18,0.552500,0.526500,0.533000,375300
0.247300,0.546000,2000-09-19,0.559000,0.539500,0.539500,373500
0.253189,0.559000,2000-09-20,0.559000,0.552500,0.559000,180000
0.250244,0.552500,2000-09-21,0.559000,0.552500,0.552500,198900
0.247300,0.546000,2000-09-22,0.552500,0.533000,0.533000,277200
0.247300,0.546000,2000-09-25,0.559000,0.533000,0.559000,225000
0.253189,0.559000,2000-09-26,0.559000,0.539500,0.539500,563400
0.250244,0.552500,2000-09-27,0.559000,0.539500,0.559000,192600
0.250244,0.552500,2000-09-28,0.552500,0.546000,0.546000,19800
0.253189,0.559000,2000-09-29,0.572000,0.559000,0.559000,473400
0.250244,0.552500,2000-10-02,0.565500,0.546000,0.565500,156600
0.253189,0.559000,2000-10-03,0.559000,0.546000,0.546000,1007100
0.250244,0.552500,2000-10-04,0.559000,0.552500,0.552500,1419300
0.250244,0.552500,2000-10-05,0.552500,0.546000,0.552500,141300
0.235524,0.520000,2000-10-06,0.546000,0.520000,0.546000,907200
0.235524,0.520000,2000-10-09,0.526500,0.520000,0.520000,232200
0.244356,0.539500,2000-10-10,0.539500,0.513500,0.513500,249300
0.253189,0.559000,2000-10-11,0.559000,0.526500,0.533000,1308600
0.253189,0.559000,2000-10-12,0.565500,0.552500,0.552500,807300
0.250244,0.552500,2000-10-13,0.552500,0.539500,0.552500,1121400
0.250244,0.552500,2000-10-16,0.552500,0.552500,0.552500,0
0.250244,0.552500,2000-10-17,0.559000,0.552500,0.552500,555300
0.250244,0.552500,2000-10-18,0.559000,0.546000,0.546000,1551600
0.256133,0.565500,2000-10-19,0.572000,0.546000,0.552500,655200
0.250244,0.552500,2000-10-20,0.559000,0.552500,0.552500,191700
0.250244,0.552500,2000-10-23,0.552500,0.552500,0.552500,82800
0.244356,0.539500,2000-10-24,0.546000,0.520000,0.546000,129600
