adj_close,close,date,high,low,open,volume
0.324213,0.950000,2000-01-04,0.990000,0.950000,0.990000,1251000
0.317387,0.930000,2000-01-05,0.940000,0.930000,0.930000,1355000
0.320800,0.940000,2000-01-06,0.970000,0.940000,0.950000,3838000
0.324213,0.950000,2000-01-07,0.970000,0.950000,0.950000,1029000
0.334451,0.980000,2000-01-10,1.000000,0.970000,0.970000,1084000
0.324213,0.950000,2000-01-11,0.990000,0.950000,0.990000,167000
0.317387,0.930000,2000-01-12,0.950000,0.930000,0.940000,684000
0.317387,0.930000,2000-01-13,0.950000,0.930000,0.930000,2971000
0.313975,0.920000,2000-01-14,0.930000,0.920000,0.930000,756000
0.313975,0.920000,2000-01-17,0.930000,0.920000,0.930000,1699000
0.313975,0.920000,2000-01-18,0.930000,0.900000,0.920000,2262000
0.303736,0.890000,2000-01-19,0.910000,0.890000,0.900000,752000
0.300324,0.880000,2000-01-20,0.890000,0.870000,0.880000,2097000
0.300324,0.880000,2000-01-21,0.890000,0.880000,0.880000,878000
0.300324,0.880000,2000-01-24,0.890000,0.880000,0.880000,660000
0.300324,0.880000,2000-01-25,0.890000,0.880000,0.890000,968000
0.296911,0.870000,2000-01-26,0.890000,0.850000,0.890000,3517000
0.300324,0.880000,2000-01-27,0.880000,0.860000,0.870000,1972000
0.300324,0.880000,2000-01-28,0.890000,0.870000,0.890000,1625000
0.296911,0.870000,2000-01-31,0.870000,0.860000,0.870000,2006000
0.296911,0.870000,2000-02-01,0.880000,0.870000,0.870000,394000
0.296911,0.870000,2000-02-02,0.890000,0.870000,0.880000,1367000
0.293498,0.860000,2000-02-03,0.870000,0.850000,0.870000,2338000
0.293498,0.860000,2000-02-04,0.860000,0.850000,0.850000,2257000
0.293498,0.860000,2000-02-07,0.860000,0.860000,0.860000,0
0.286672,0.840000,2000-02-08,0.850000,0.830000,0.850000,2128000
0.290085,0.850000,2000-02-09,0.850000,0.840000,0.850000,749000
0.290085,0.850000,2000-02-10,0.850000,0.830000,0.850000,1660000
0.290085,0.850000,2000-02-11,0.850000,0.820000,0.850000,1956000
0.276434,0.810000,2000-02-14,0.850000,0.780000,0.830000,6668000
0.276434,0.810000,2000-02-15,0.830000,0.810000,0.810000,1984000
