adj_close,close,date,high,low,open,volume
2.871811,7.376112,2000-01-04,7.570221,7.376112,7.521694,4302754
2.701771,6.939369,2000-01-05,7.230531,6.890842,7.182004,7711161
2.663984,6.842315,2000-01-06,7.133477,6.745261,7.133477,12360114
2.720664,6.987896,2000-01-07,7.084950,6.890842,6.890842,6334610
2.777344,7.133477,2000-01-10,7.327585,7.036423,7.182004,9133048
2.701771,6.939369,2000-01-11,7.279058,6.842315,7.133477,10497236
2.758451,7.084950,2000-01-12,7.230531,6.842315,6.842315,9405062
2.815131,7.230531,2000-01-13,7.279058,7.084950,7.084950,11511103
2.834025,7.279058,2000-01-14,7.279058,7.133477,7.230531,8115060
2.739557,7.036423,2000-01-17,7.376112,6.987896,7.279058,5366078
2.720664,6.987896,2000-01-18,7.279058,6.939369,6.939369,14297178
2.607302,6.696734,2000-01-19,6.939369,6.696734,6.939369,12207622
2.645090,6.793788,2000-01-20,6.842315,6.696734,6.793788,15607787
2.682876,6.890842,2000-01-21,6.939369,6.745261,6.793788,8242824
2.645090,6.793788,2000-01-24,6.939369,6.696734,6.793788,6787965
2.626196,6.745261,2000-01-25,6.793788,6.648206,6.696734,6923972
2.682876,6.890842,2000-01-26,6.939369,6.745261,6.890842,3709270
2.815131,7.230531,2000-01-27,7.327585,6.890842,6.890842,14222992
2.834025,7.279058,2000-01-28,7.279058,7.133477,7.230531,8947585
2.739557,7.036423,2000-01-31,7.084950,6.745261,7.036423,12088101
2.645090,6.793788,2000-02-01,7.036423,6.793788,7.036423,4962180
2.682876,6.890842,2000-02-02,6.987896,6.842315,6.939369,5333107
2.607302,6.696734,2000-02-03,6.890842,6.648206,6.890842,9561675
2.645090,6.793788,2000-02-04,6.842315,6.696734,6.696734,2584125
2.645090,6.793788,2000-02-07,6.793788,6.793788,6.793788,0
2.588409,6.648206,2000-02-08,6.890842,6.648206,6.793788,9112441
2.456154,6.308517,2000-02-09,6.745261,6.259990,6.696734,12953597
2.437261,6.259990,2000-02-10,6.357044,6.065882,6.259990,12607399
2.380580,6.114409,2000-02-11,6.357044,6.017355,6.357044,11943851
2.437261,6.259990,2000-02-14,6.308517,5.968828,6.065882,6759115
2.323901,5.968828,2000-02-15,6.405571,5.823246,6.308517,16465040
2.323901,5.968828,2000-02-16,6.065882,5.871774,6.017355,8568415
2.286113,5.871774,2000-02-17,6.065882,5.871774,5.968828,6808572
2.267220,5.823246,2000-02-18,5.968828,5.726192,5.871774,9198991
2.153859,5.532084,2000-02-21,5.774719,5.435030,5.726192,9017649
2.153859,5.532084,2000-02-22,5.580611,5.240922,5.580611,10670335
2.191645,5.629138,2000-02-23,5.677665,5.289449,5.580611,17326416
2.172753,5.580611,2000-02-24,5.677665,5.532084,5.677665,8959949
2.191645,5.629138,2000-02-25,5.677665,5.580611,5.629138,8395316
2.134965,5.483557,2000-02-28,5.629138,5.483557,5.629138,5263043
2.059391,5.289449,2000-02-29,5.580611,5.192395,5.483557,16448555
2.002710,5.143868,2000-03-01,5.435030,5.143868,5.435030,15731429
2.059391,5.289449,2000-03-02,5.337976,5.143868,5.143868,9780110
2.040498,5.240922,2000-03-03,5.337976,5.240922,5.337976,4438760
2.021604,5.192395,2000-03-06,5.435030,5.143868,5.337976,9421547
1.927137,4.949759,2000-03-07,5.143868,4.901232,5.143868,13266825
1.889350,4.852705,2000-03-08,4.949759,4.755651,4.828442,12891776
1.889350,4.852705,2000-03-09,5.143868,4.804178,4.949759,23623933
1.889350,4.852705,2000-03-10,5.046814,4.852705,4.949759,11366854
1.879903,4.828442,2000-03-13,4.998286,4.804178,4.852705,11065991
1.908243,4.901232,2000-03-14,4.949759,4.828442,4.852705,5127036
1.908243,4.901232,2000-03-15,4.949759,4.828442,4.852705,9462761
1.908243,4.901232,2000-03-16,4.901232,4.901232,4.901232,0
2.097178,5.386503,2000-03-17,5.386503,5.046814,5.095341,17717950
2.021604,5.192395,2000-03-20,5.386503,5.046814,5.386503,19391243
2.021604,5.192395,2000-03-21,5.289449,5.143868,5.192395,6462374
2.021604,5.192395,2000-03-22,5.386503,5.046814,5.337976,14470277
2.021604,5.192395,2000-03-23,5.240922,5.095341,5.240922,5877133
2.002710,5.143868,2000-03-24,5.192395,5.046814,5.192395,4570645
2.078285,5.337976,2000-03-27,5.386503,5.046814,5.192395,10023273
2.021604,5.192395,2000-03-28,5.337976,5.143868,5.337976,7084707
2.002710,5.143868,2000-03-29,5.192395,5.046814,5.143868,5877133
1.983817,5.095341,2000-03-30,5.192395,5.046814,5.143868,6664323
2.002710,5.143868,2000-03-31,5.289449,5.095341,5.143868,7200106
2.002710,5.143868,2000-04-03,5.192395,5.095341,5.143868,7097071
2.021604,5.192395,2000-04-04,5.289449,5.143868,5.192395,5778219
2.021604,5.192395,2000-04-05,5.289449,5.143868,5.143868,7777104
2.153859,5.532084,2000-04-06,5.532084,5.192395,5.192395,6940457
2.153859,5.532084,2000-04-07,5.629138,5.435030,5.532084,6495345
2.116071,5.435030,2000-04-10,5.580611,5.435030,5.580611,4978665
2.134965,5.483557,2000-04-11,5.483557,5.240922,5.435030,6408795
2.172753,5.580611,2000-04-12,5.580611,5.386503,5.386503,5699912
2.267220,5.823246,2000-04-13,5.823246,5.435030,5.483557,8469501
2.305007,5.920301,2000-04-14,6.017355,5.677665,5.823246,15463537
2.059391,5.289449,2000-04-17,5.483557,5.240922,5.240922,16291941
2.097178,5.386503,2000-04-18,5.580611,5.289449,5.483557,11618260
2.153859,5.532084,2000-04-19,5.677665,5.435030,5.532084,12529092
2.172753,5.580611,2000-04-20,5.580611,5.580611,5.580611,4191476
2.172753,5.580611,2000-04-21,5.580611,5.580611,5.580611,0
2.191645,5.629138,2000-04-24,5.629138,5.629138,5.629138,4632467
2.191645,5.629138,2000-04-25,5.629138,5.629138,5.629138,5988411
2.210539,5.677665,2000-04-26,5.677665,5.677665,5.677665,6322246
2.191645,5.629138,2000-04-27,5.629138,5.629138,5.629138,5469113
2.210539,5.677665,2000-04-28,5.677665,5.677665,5.677665,3020994
2.210539,5.677665,2000-05-01,5.677665,5.677665,5.677665,0
2.172753,5.580611,2000-05-02,5.580611,5.580611,5.580611,2406904
2.191645,5.629138,2000-05-03,5.629138,5.629138,5.629138,4034862
2.170700,5.532084,2000-05-04,5.532084,5.532084,5.532084,4648952
2.151659,5.483557,2000-05-05,5.483557,5.483557,5.483557,4830294
2.132618,5.435030,2000-05-08,5.435030,5.435030,5.435030,3981283
2.132618,5.435030,2000-05-09,5.435030,5.435030,5.435030,0
2.056452,5.240922,2000-05-10,5.240922,5.240922,5.240922,6895122
2.018370,5.143868,2000-05-11,5.143868,5.143868,5.143868,8205731
1.961246,4.998286,2000-05-12,4.998286,4.998286,4.998286,12912383
1.942205,4.949759,2000-05-15,4.949759,4.949759,4.949759,8407680
2.018370,5.143868,2000-05-16,5.143868,5.143868,5.143868,6693173
2.056452,5.240922,2000-05-17,5.240922,5.240922,5.240922,7880139
2.056452,5.240922,2000-05-18,5.240922,5.240922,5.240922,0
2.075494,5.289449,2000-05-19,5.289449,5.289449,5.289449,14890661
1.980288,5.046814,2000-05-22,5.046814,5.046814,5.046814,9883145
1.942205,4.949759,2000-05-23,4.949759,4.949759,4.949759,9128927
1.923164,4.901232,2000-05-24,4.901232,4.901232,4.901232,9545190
1.894603,4.828442,2000-05-25,4.828442,4.828442,4.828442,12005673
1.846999,4.707124,2000-05-26,4.707124,4.707124,4.707124,11832573
1.837479,4.682861,2000-05-29,4.682861,4.682861,4.682861,7933718
1.837479,4.682861,2000-05-30,4.682861,4.682861,4.682861,0
1.856520,4.731388,2000-05-31,4.731388,4.731388,4.731388,14968968
1.856520,4.731388,2000-06-01,4.731388,4.731388,4.731388,11127812
1.980288,5.046814,2000-06-02,5.046814,5.046814,5.046814,10831070
2.113577,5.386503,2000-06-05,5.386503,5.386503,5.386503,21859969
2.075494,5.289449,2000-06-06,5.289449,5.289449,5.289449,7937839
2.189740,5.580611,2000-06-07,5.580611,5.580611,5.580611,19110987
