adj_close,close,date,high,low,open,volume
0.326649,1.118341,2000-01-04,1.183830,1.118341,1.153604,4222269
0.311935,1.067965,2000-01-05,1.108266,1.047815,1.108266,5812320
0.310464,1.062928,2000-01-06,1.093153,1.042778,1.088116,5258482
0.314878,1.078041,2000-01-07,1.088116,1.067965,1.073003,1621811
0.319292,1.093153,2000-01-10,1.103228,1.088116,1.103228,2834697
0.307521,1.052853,2000-01-11,1.108266,1.052853,1.103228,2667950
0.307521,1.052853,2000-01-12,1.073003,1.037740,1.057890,4843600
0.307521,1.052853,2000-01-13,1.073003,1.032702,1.057890,8196403
0.306050,1.047815,2000-01-14,1.062928,1.032702,1.062928,4240135
0.295750,1.012552,2000-01-17,1.057890,1.012552,1.047815,6650024
0.297221,1.017590,2000-01-18,1.032702,1.012552,1.017590,4563703
0.291336,0.997439,2000-01-19,1.007515,0.972252,1.007515,6268888
0.289864,0.992402,2000-01-20,1.017590,0.957139,0.997439,12017686
0.283979,0.972252,2000-01-21,1.002477,0.962176,1.002477,12907003
0.291336,0.997439,2000-01-24,1.017590,0.972252,0.972252,4867421
0.285450,0.977289,2000-01-25,0.997439,0.977289,0.997439,2842637
0.285450,0.977289,2000-01-26,1.002477,0.977289,0.992402,1675409
0.286922,0.982327,2000-01-27,0.997439,0.977289,0.982327,1357796
0.282507,0.967214,2000-01-28,0.987364,0.957139,0.982327,2018828
0.275151,0.942026,2000-01-31,0.967214,0.936989,0.967214,4125000
0.278093,0.952101,2000-02-01,0.972252,0.942026,0.957139,1965231
0.272208,0.931951,2000-02-02,0.962176,0.931951,0.957139,3487789
0.272208,0.931951,2000-02-03,0.957139,0.931951,0.942026,3739894
0.276622,0.947064,2000-02-04,0.952101,0.931951,0.947064,1455065
0.276622,0.947064,2000-02-07,0.947064,0.947064,0.947064,0
0.281036,0.962176,2000-02-08,0.977289,0.952101,0.957139,4216314
0.283979,0.972252,2000-02-09,0.997439,0.967214,0.972252,5961201
0.272208,0.931951,2000-02-10,0.972252,0.921876,0.972252,9967096
0.269265,0.921876,2000-02-11,0.947064,0.921876,0.942026,5327960
0.257494,0.881575,2000-02-14,0.921876,0.881575,0.921876,11074772
0.260436,0.891650,2000-02-15,0.916838,0.886613,0.911801,4065447
0.266322,0.911801,2000-02-16,0.926913,0.886613,0.921876,10759144
0.257494,0.881575,2000-02-17,0.916838,0.881575,0.916838,7305101
0.251608,0.861425,2000-02-18,0.901725,0.856387,0.881575,12893107
0.235423,0.806012,2000-02-21,0.871500,0.800974,0.871500,10489173
0.236894,0.811049,2000-02-22,0.846312,0.795936,0.831199,9953201
0.239837,0.821124,2000-02-23,0.846312,0.816087,0.821124,5848051
0.235423,0.806012,2000-02-24,0.826162,0.800974,0.826162,11066832
0.239837,0.821124,2000-02-25,0.826162,0.806012,0.811049,7346788
0.233952,0.800974,2000-02-28,0.821124,0.795936,0.806012,3465953
0.236894,0.811049,2000-02-29,0.821124,0.806012,0.806012,4381075
0.238366,0.816087,2000-03-01,0.836237,0.806012,0.826162,4246090
0.235423,0.806012,2000-03-02,0.831199,0.785861,0.821124,14387874
0.231009,0.790899,2000-03-03,0.816087,0.785861,0.816087,7936357
0.229537,0.785861,2000-03-06,0.806012,0.780824,0.806012,3354788
0.232480,0.795936,2000-03-07,0.795936,0.770749,0.785861,8627166
0.228066,0.780824,2000-03-08,0.790899,0.755636,0.790899,12305523
0.231009,0.790899,2000-03-09,0.800974,0.760673,0.785861,4680823
0.238366,0.816087,2000-03-10,0.821124,0.795936,0.795936,5768648
0.238366,0.816087,2000-03-13,0.816087,0.795936,0.816087,4361225
0.232480,0.795936,2000-03-14,0.816087,0.790899,0.816087,1197004
0.223652,0.765711,2000-03-15,0.795936,0.755636,0.795936,2255053
0.223652,0.765711,2000-03-16,0.765711,0.765711,0.765711,0
0.247194,0.846312,2000-03-17,0.846312,0.775786,0.775786,3882820
0.251608,0.861425,2000-03-20,0.871500,0.831199,0.846312,6096186
0.269265,0.921876,2000-03-21,0.921876,0.851350,0.861425,6590472
0.256022,0.876538,2000-03-22,0.936989,0.876538,0.921876,7898641
0.269265,0.921876,2000-03-23,0.926913,0.881575,0.881575,5901648
0.273679,0.936989,2000-03-24,0.942026,0.891650,0.921876,10102082
0.275151,0.942026,2000-03-27,0.957139,0.942026,0.942026,7985984
0.272208,0.931951,2000-03-28,0.942026,0.916838,0.942026,2128007
0.269265,0.921876,2000-03-29,0.926913,0.906763,0.921876,1750842
0.253079,0.866462,2000-03-30,0.921876,0.856387,0.921876,2791025
0.256022,0.876538,2000-03-31,0.881575,0.851350,0.861425,2342396
0.247194,0.846312,2000-04-03,0.886613,0.811049,0.871500,3866939
0.239837,0.821124,2000-04-04,0.866462,0.821124,0.841275,2665965
0.254551,0.871500,2000-04-05,0.881575,0.816087,0.821124,4555763
0.267793,0.916838,2000-04-06,0.921876,0.861425,0.866462,3211862
0.260436,0.891650,2000-04-07,0.931951,0.871500,0.916838,4035671
0.253079,0.866462,2000-04-10,0.891650,0.861425,0.891650,1566229
0.261908,0.896688,2000-04-11,0.896688,0.846312,0.856387,921078
0.257494,0.881575,2000-04-12,0.916838,0.881575,0.896688,3920536
0.261908,0.896688,2000-04-13,0.901725,0.866462,0.881575,1909648
0.279565,0.957139,2000-04-14,0.957139,0.886613,0.886613,10878249
0.261908,0.896688,2000-04-17,0.921876,0.856387,0.921876,11783446
0.250137,0.856387,2000-04-18,0.926913,0.851350,0.906763,13363572
0.256022,0.876538,2000-04-19,0.901725,0.871500,0.871500,5101660
0.263379,0.901725,2000-04-20,0.901725,0.876538,0.881575,3505654
0.263379,0.901725,2000-04-21,0.901725,0.901725,0.901725,0
0.257494,0.881575,2000-04-24,0.906763,0.881575,0.901725,825794
0.254551,0.871500,2000-04-25,0.886613,0.866462,0.876538,1611886
0.270736,0.926913,2000-04-26,0.926913,0.871500,0.896688,6431665
0.269265,0.921876,2000-04-27,0.947064,0.901725,0.906763,5028212
0.264851,0.906763,2000-04-28,0.936989,0.906763,0.921876,2249097
0.264851,0.906763,2000-05-01,0.906763,0.906763,0.906763,0
0.266322,0.911801,2000-05-02,0.936989,0.906763,0.921876,974675
0.260436,0.891650,2000-05-03,0.901725,0.886613,0.901725,913137
0.264851,0.906763,2000-05-04,0.906763,0.881575,0.891650,1871932
0.260436,0.891650,2000-05-05,0.926913,0.891650,0.906763,6517024
0.260436,0.891650,2000-05-08,0.901725,0.891650,0.901725,4180582
0.260436,0.891650,2000-05-09,0.891650,0.891650,0.891650,0
0.264851,0.906763,2000-05-10,0.952101,0.891650,0.906763,5433169
0.264851,0.906763,2000-05-11,0.926913,0.891650,0.926913,2584576
0.264851,0.906763,2000-05-12,0.916838,0.906763,0.906763,1873917
0.269265,0.921876,2000-05-15,0.931951,0.911801,0.916838,2171679
0.270736,0.926913,2000-05-16,0.936989,0.916838,0.921876,3690267
0.270736,0.926913,2000-05-17,0.936989,0.901725,0.926913,4311598
0.270736,0.926913,2000-05-18,0.926913,0.926913,0.926913,0
0.258965,0.886613,2000-05-19,0.926913,0.876538,0.926913,12869286
0.257494,0.881575,2000-05-22,0.906763,0.871500,0.886613,1905678
0.253079,0.866462,2000-05-23,0.906763,0.866462,0.906763,3473893
0.238366,0.816087,2000-05-24,0.861425,0.811049,0.861425,5903633
0.239837,0.821124,2000-05-25,0.851350,0.816087,0.841275,6302635
0.242780,0.831199,2000-05-26,0.861425,0.800974,0.821124,6578561
0.250137,0.856387,2000-05-29,0.861425,0.826162,0.861425,4885286
0.250137,0.856387,2000-05-30,0.856387,0.856387,0.856387,0
0.235423,0.806012,2000-05-31,0.866462,0.800974,0.846312,7964148
0.253079,0.866462,2000-06-01,0.871500,0.826162,0.826162,6828682
0.270736,0.926913,2000-06-02,0.926913,0.866462,0.866462,11207772
0.270736,0.926913,2000-06-05,0.942026,0.911801,0.926913,6286754
0.273679,0.936989,2000-06-06,0.936989,0.911801,0.926913,3642625
0.273679,0.936989,2000-06-07,0.942026,0.916838,0.926913,3831208
0.281181,0.936989,2000-06-08,0.947064,0.931951,0.942026,3999940
0.288740,0.962176,2000-06-09,0.977289,0.921876,0.931951,8367120
0.288740,0.962176,2000-06-12,0.977289,0.952101,0.962176,3591013
0.293275,0.977289,2000-06-13,0.987364,0.942026,0.977289,9282243
0.296298,0.987364,2000-06-14,0.987364,0.967214,0.972252,3491759
0.293275,0.977289,2000-06-15,0.987364,0.972252,0.987364,2824771
0.294787,0.982327,2000-06-16,0.987364,0.967214,0.972252,1510647
0.278158,0.926913,2000-06-19,0.962176,0.926913,0.957139,2268948
0.296298,0.987364,2000-06-20,0.997439,0.936989,0.936989,3745849
0.305369,1.017590,2000-06-21,1.022627,0.977289,0.982327,5699170
0.294787,0.982327,2000-06-22,1.017590,0.982327,1.017590,2076395
0.294787,0.982327,2000-06-23,1.002477,0.967214,0.977289,2249097
