adj_close,close,date,high,low,open,volume
2.111468,2.437500,2004-06-10,2.487500,2.150000,2.200000,741780948
2.014016,2.325000,2004-06-11,2.412500,2.312500,2.412500,245640000
2.003188,2.312500,2004-06-14,2.362500,2.287500,2.312500,126414000
1.970704,2.275000,2004-06-15,2.350000,2.262500,2.300000,57461052
1.992360,2.300000,2004-06-16,2.312500,2.225000,2.300000,69242000
1.992360,2.300000,2004-06-17,2.387500,2.262500,2.287500,56774000
1.981532,2.287500,2004-06-18,2.312500,2.237500,2.262500,40070000
2.046500,2.362500,2004-06-21,2.387500,2.300000,2.312500,39110000
2.046500,2.362500,2004-06-22,2.362500,2.362500,2.362500,0
2.208920,2.550000,2004-06-23,2.550000,2.350000,2.362500,75168000
2.208920,2.550000,2004-06-24,2.625000,2.475000,2.525000,65512000
2.230576,2.575000,2004-06-25,2.625000,2.500000,2.550000,46646000
2.208920,2.550000,2004-06-28,2.675000,2.550000,2.600000,33612000
2.230576,2.575000,2004-06-29,2.600000,2.525000,2.575000,27008000
2.187264,2.525000,2004-06-30,2.625000,2.525000,2.600000,15192020
2.187264,2.525000,2004-07-01,2.525000,2.525000,2.525000,0
2.208920,2.550000,2004-07-02,2.575000,2.487500,2.525000,24662000
2.208920,2.550000,2004-07-05,2.550000,2.550000,2.550000,0
2.208920,2.550000,2004-07-06,2.625000,2.550000,2.575000,15264000
2.143952,2.475000,2004-07-07,2.575000,2.450000,2.525000,15282000
2.078984,2.400000,2004-07-08,2.475000,2.400000,2.462500,13542000
2.111468,2.437500,2004-07-09,2.450000,2.400000,2.412500,8222000
2.035672,2.350000,2004-07-12,2.437500,2.325000,2.437500,12768000
2.111468,2.437500,2004-07-13,2.450000,2.337500,2.362500,15128000
2.100640,2.425000,2004-07-14,2.462500,2.400000,2.462500,4554000
2.111468,2.437500,2004-07-15,2.450000,2.425000,2.425000,2934000
2.273889,2.625000,2004-07-16,2.625000,2.437500,2.437500,13040000
2.252232,2.600000,2004-07-19,2.600000,2.525000,2.600000,9890000
2.252232,2.600000,2004-07-20,2.600000,2.525000,2.600000,7360000
2.360514,2.725000,2004-07-21,2.750000,2.575000,2.600000,27988000
2.295545,2.650000,2004-07-22,2.725000,2.625000,2.675000,11186000
2.295545,2.650000,2004-07-23,2.675000,2.575000,2.625000,9780000
2.252232,2.600000,2004-07-26,2.675000,2.550000,2.575000,10478000
2.208920,2.550000,2004-07-27,2.625000,2.550000,2.625000,5698000
2.208920,2.550000,2004-07-28,2.575000,2.525000,2.575000,4168000
2.154781,2.487500,2004-07-29,2.550000,2.450000,2.525000,12588000
2.133124,2.462500,2004-07-30,2.525000,2.450000,2.487500,17232000
2.143952,2.475000,2004-08-02,2.475000,2.450000,2.462500,8830000
