adj_close,close,date,high,low,open,volume
4.817986,6.206756,2004-12-09,6.359381,5.850630,6.181318,351913051
4.758748,6.130443,2004-12-10,6.257631,6.028693,6.181318,48349647
4.739002,6.105006,2004-12-13,6.143162,6.079568,6.092287,29663262
4.896969,6.308506,2004-12-14,6.308506,6.117724,6.130443,29592976
5.124046,6.601037,2004-12-15,6.601037,6.308506,6.308506,52435131
5.311632,6.842694,2004-12-16,6.944444,6.550162,6.575600,40880548
5.212902,6.715506,2004-12-17,6.829975,6.601037,6.829975,16051482
5.173410,6.664631,2004-12-20,6.715506,6.626475,6.626475,7759402
5.054935,6.512006,2004-12-21,6.677350,6.461131,6.639194,9739154
4.966079,6.397537,2004-12-22,6.512006,6.308506,6.512006,12445392
5.015443,6.461131,2004-12-23,6.486568,6.384818,6.486568,4408447
5.025317,6.473850,2004-12-24,6.473850,6.435693,6.473850,2951544
5.025317,6.473850,2004-12-27,6.473850,6.473850,6.473850,0
4.975953,6.410256,2004-12-28,6.562881,6.397537,6.562881,3487760
4.985825,6.422975,2004-12-29,6.461131,6.384818,6.435693,3907612
4.916714,6.333943,2004-12-30,6.422975,6.232193,6.422975,5388888
4.966079,6.397537,2004-12-31,6.410256,6.295787,6.359381,889237
4.956206,6.384818,2005-01-03,6.397537,6.359381,6.397537,1103094
4.896969,6.308506,2005-01-04,6.384818,6.308506,6.372100,1872410
4.798239,6.181318,2005-01-05,6.308506,6.130443,6.308506,5436637
4.788365,6.168599,2005-01-06,6.181318,6.143162,6.155881,2098745
4.768620,6.143162,2005-01-07,6.359381,6.130443,6.168599,4612476
4.768620,6.143162,2005-01-10,6.194037,6.143162,6.168599,15701212
4.778494,6.155881,2005-01-11,6.257631,6.143162,6.168599,9037042
4.669891,6.015974,2005-01-12,6.155881,5.888787,6.155881,9118025
4.798239,6.181318,2005-01-13,6.206756,6.066849,6.079568,15976003
4.808113,6.194037,2005-01-14,6.359381,6.155881,6.168599,18797838
5.054935,6.512006,2005-01-17,6.512006,6.257631,6.257631,15844308
5.074682,6.537444,2005-01-18,6.550162,6.333943,6.486568,5500535
5.054935,6.512006,2005-01-19,6.613756,6.448412,6.613756,2304469
4.906843,6.321225,2005-01-20,6.435693,6.308506,6.435693,2545058
4.847605,6.244912,2005-01-21,6.333943,6.244912,6.308506,3315180
5.035189,6.486568,2005-01-24,6.499287,6.257631,6.257631,3979160
5.005570,6.448412,2005-01-25,6.486568,6.372100,6.486568,4760926
4.926587,6.346662,2005-01-26,6.473850,6.346662,6.461131,3192920
4.916714,6.333943,2005-01-27,6.422975,6.333943,6.422975,817689
4.896969,6.308506,2005-01-28,6.346662,6.270350,6.346662,2164518
4.966079,6.397537,2005-01-31,6.397537,6.295787,6.295787,3021520
4.896969,6.308506,2005-02-01,6.397537,6.270350,6.384818,2624469
4.966079,6.397537,2005-02-02,6.397537,6.321225,6.359381,1592136
4.896969,6.308506,2005-02-03,6.422975,6.283068,6.397537,2427122
4.936461,6.359381,2005-02-04,6.410256,6.321225,6.359381,4346334
4.946333,6.372100,2005-02-07,6.384818,6.346662,6.359381,1971103
4.985825,6.422975,2005-02-08,6.435693,6.372100,6.372100,1141620
5.124046,6.601037,2005-02-14,6.613756,6.422975,6.486568,8250802
5.351123,6.893569,2005-02-15,6.906288,6.626475,6.677350,10320972
5.439980,7.008038,2005-02-16,7.020757,6.829975,6.919006,10351635
5.370868,6.919006,2005-02-17,7.046194,6.893569,7.046194,4716653
5.282013,6.804538,2005-02-18,6.919006,6.715506,6.919006,5184466
5.370868,6.919006,2005-02-21,6.931725,6.804538,6.829975,2898080
5.380741,6.931725,2005-02-22,6.931725,6.880850,6.906288,2849333
5.351123,6.893569,2005-02-23,6.931725,6.855413,6.931725,3128842
5.430105,6.995319,2005-02-24,7.008038,6.868131,6.868131,4042059
5.449853,7.020757,2005-02-25,7.046194,6.969881,7.020757,3949283
5.657184,7.287851,2005-02-28,7.300569,7.020757,7.020757,13122345
5.726294,7.376882,2005-03-01,7.389601,7.198819,7.287851,7523530
5.667056,7.300569,2005-03-02,7.605820,7.224257,7.402319,10420038
5.657184,7.287851,2005-03-03,7.402319,7.135225,7.376882,9050015
5.578200,7.186100,2005-03-04,7.376882,7.109788,7.376882,13249716
5.479471,7.058913,2005-03-07,7.249694,7.008038,7.198819,5049233
5.459724,7.033475,2005-03-08,7.135225,6.969881,7.109788,7484218
5.538708,7.135225,2005-03-09,7.224257,7.058913,7.071632,13796939
5.272140,6.791819,2005-03-10,7.109788,6.753663,7.109788,10736107
5.489344,7.071632,2005-03-11,7.097069,6.740944,6.842694,18874477
5.469598,7.046194,2005-03-14,7.224257,6.969881,7.071632,6771098
5.212902,6.715506,2005-03-15,7.122507,6.702787,7.058913,13816595
5.360996,6.906288,2005-03-16,6.957163,6.677350,6.740944,5064171
5.291884,6.817256,2005-03-17,6.893569,6.791819,6.893569,2798228
5.163538,6.651912,2005-03-18,6.817256,6.651912,6.817256,5914883
5.252393,6.766381,2005-03-21,6.779100,6.677350,6.677350,2171991
5.133919,6.613756,2005-03-22,6.740944,6.575600,6.740944,3288841
5.025317,6.473850,2005-03-23,6.601037,6.410256,6.550162,4144271
5.114172,6.588319,2005-03-24,6.601037,6.448412,6.448412,3039603
5.173410,6.664631,2005-03-29,6.664631,6.486568,6.562881,3218866
5.054935,6.512006,2005-03-30,6.651912,6.473850,6.613756,2704665
5.094427,6.562881,2005-03-31,6.588319,6.461131,6.550162,2031644
5.133919,6.613756,2005-04-01,6.651912,6.461131,6.512006,2746375
5.124046,6.601037,2005-04-04,6.613756,6.537444,6.613756,2022209
5.173410,6.664631,2005-04-06,6.690069,6.626475,6.639194,7199599
5.104300,6.575600,2005-04-07,6.728225,6.537444,6.651912,3421716
5.094427,6.562881,2005-04-08,6.613756,6.524725,6.601037,4396654
4.798239,6.181318,2005-04-11,6.550162,6.092287,6.550162,15738166
4.719256,6.079568,2005-04-12,6.181318,6.028693,6.181318,6147610
4.739002,6.105006,2005-04-13,6.181318,6.079568,6.181318,5031149
4.719256,6.079568,2005-04-14,6.117724,6.015974,6.105006,3005795
4.630399,5.965099,2005-04-15,6.041412,5.914224,6.028693,4651788
4.452687,5.736161,2005-04-18,5.888787,5.685286,5.888787,5616898
4.492179,5.787037,2005-04-19,5.850630,5.723443,5.723443,5045302
4.255229,5.481786,2005-04-20,5.825193,5.443630,5.825193,9102449
4.324339,5.570818,2005-04-21,5.608974,5.265567,5.456349,14389764
4.571163,5.888787,2005-04-22,5.926943,5.621693,5.672568,15133233
4.610654,5.939662,2005-04-25,5.990537,5.723443,5.901505,6679895
4.551416,5.863349,2005-04-26,6.003256,5.799755,5.990537,4603042
4.423068,5.698005,2005-04-27,5.837912,5.672568,5.837912,8889229
4.482973,5.710724,2005-04-28,5.736161,5.634411,5.685286,3746433
4.463006,5.685286,2005-04-29,5.710724,5.608974,5.710724,2752626
4.612772,5.876068,2005-05-03,5.888787,5.698005,5.698005,6639148
4.632740,5.901505,2005-05-04,6.003256,5.825193,5.863349,4644319
4.672677,5.952380,2005-05-05,5.977818,5.939662,5.965099,3470463
4.572834,5.825193,2005-05-06,5.926943,5.825193,5.926943,3642649
4.532897,5.774318,2005-05-09,5.888787,5.698005,5.876068,2941323
4.413084,5.621693,2005-05-10,5.787037,5.608974,5.787037,6218372
4.273304,5.443630,2005-05-11,5.634411,5.430911,5.634411,5710854
4.233366,5.392755,2005-05-12,5.469067,5.278286,5.443630,9154978
4.243351,5.405474,2005-05-13,5.418192,5.265567,5.392755,7378862
4.183444,5.329161,2005-05-17,5.443630,5.252849,5.430911,3862010
4.113553,5.240130,2005-05-18,5.367317,5.189255,5.316442,5100338
4.323225,5.507224,2005-05-19,5.570818,5.252849,5.252849,6732966
4.363163,5.558099,2005-05-20,5.608974,5.507224,5.596255,2346140
4.403100,5.608974,2005-05-23,5.608974,5.507224,5.570818,2760488
4.572834,5.825193,2005-05-24,5.850630,5.647130,5.647130,8527873
4.373147,5.570818,2005-05-25,5.888787,5.570818,5.825193,5116126
4.492959,5.723443,2005-05-26,5.761599,5.596255,5.698005,7456307
4.822443,6.143162,2005-05-27,6.181318,5.723443,5.723443,18033200
4.712615,6.003256,2005-05-30,6.130443,5.965099,6.130443,4124615
4.702631,5.990537,2005-05-31,6.066849,5.965099,6.028693,7926085
4.692647,5.977818,2005-06-01,6.015974,5.901505,6.015974,8382890
4.842411,6.168599,2005-06-02,6.244912,5.977818,5.977818,20615212
4.852395,6.181318,2005-06-03,6.181318,6.181318,6.181318,0
4.762536,6.066849,2005-06-06,6.232193,5.977818,6.232193,9031538
4.722599,6.015974,2005-06-07,6.092287,5.926943,6.092287,7154784
4.862381,6.194037,2005-06-08,6.295787,6.028693,6.028693,11422101
4.752553,6.054131,2005-06-09,6.244912,6.054131,6.219474,4679700
4.882348,6.219474,2005-06-10,6.308506,6.092287,6.092287,4799995
4.822443,6.143162,2005-06-13,6.295787,6.143162,6.295787,1922356
4.842411,6.168599,2005-06-14,6.219474,6.143162,6.219474,4033411
4.812458,6.130443,2005-06-15,6.219474,6.105006,6.219474,1645993
4.782506,6.092287,2005-06-16,6.206756,6.092287,6.206756,4126580
4.822443,6.143162,2005-06-17,6.181318,6.105006,6.143162,3446097
4.802474,6.117724,2005-06-20,6.181318,6.105006,6.181318,2622110
4.722599,6.015974,2005-06-21,6.117724,6.003256,6.117724,4624663
4.742568,6.041412,2005-06-22,6.054131,6.003256,6.041412,3204321
4.702631,5.990537,2005-06-23,6.092287,5.990537,6.041412,2311545
4.662693,5.939662,2005-06-24,6.015974,5.825193,6.015974,3364320
4.732583,6.028693,2005-06-27,6.105006,5.952380,5.952380,1408155
4.712615,6.003256,2005-06-28,6.041412,5.914224,6.041412,3028203
4.712615,6.003256,2005-06-29,6.105006,5.990537,6.054131,7132376
4.632740,5.901505,2005-06-30,6.003256,5.888787,6.003256,6243531
4.622756,5.888787,2005-07-04,5.914224,5.876068,5.901505,3244812
4.502944,5.736161,2005-07-05,5.876068,5.723443,5.876068,3685893
4.492959,5.723443,2005-07-06,5.799755,5.723443,5.774318,4649662
4.393115,5.596255,2005-07-07,5.748880,5.596255,5.748880,2554493
