adj_close,close,date,high,low,open,volume
null,3810.04,2011-10-27,3811.44,3607.67,3607.67,null
null,3823.95,2011-10-28,3984.07,3820.77,3912.84,null
null,3751.30,2011-10-31,3843.15,3709.06,3823.82,null
null,3644.04,2011-11-01,3711.82,3622.86,3658.66,null
null,3723.61,2011-11-02,3724.67,3544.46,3577.86,null
null,3682.88,2011-11-03,3765.13,3656.98,3681.87,null
null,3781.71,2011-11-04,3819.90,3771.27,3793.50,null
null,3779.08,2011-11-07,3824.84,3746.55,3779.19,null
null,3750.86,2011-11-08,3826.43,3743.28,3794.05,null
null,3791.84,2011-11-09,3834.79,3777.26,3811.26,null
null,3595.25,2011-11-10,3665.58,3589.18,3665.58,null
null,3622.63,2011-11-11,3649.89,3611.54,3625.55,null
null,3725.06,2011-11-14,3728.32,3699.65,3699.65,null
null,3696.76,2011-11-15,3712.64,3680.17,3706.89,null
null,3625.30,2011-11-16,3726.05,3603.29,3725.68,null
null,3609.37,2011-11-17,3627.91,3567.34,3574.05,null
null,3527.64,2011-11-18,3562.80,3518.05,3562.27,null
null,3450.55,2011-11-21,3498.08,3445.23,3498.08,null
null,3451.76,2011-11-22,3459.26,3393.75,3442.53,null
null,3380.93,2011-11-23,3418.26,3378.66,3418.26,null
null,3399.59,2011-11-24,3418.16,3342.39,3356.02,null
null,3343.60,2011-11-25,3384.41,3342.85,3366.50,null
null,3412.19,2011-11-28,3417.18,3378.50,3378.50,null
null,3474.19,2011-11-29,3481.34,3425.64,3440.22,null
null,3424.72,2011-11-30,3479.58,3409.45,3466.23,null
null,3639.49,2011-12-01,3647.14,3591.93,3612.01,null
null,3625.17,2011-12-02,3636.23,3586.86,3630.60,null
null,3638.38,2011-12-05,3659.76,3614.07,3631.42,null
null,3566.14,2011-12-06,3619.12,3560.14,3613.94,null
null,3629.14,2011-12-07,3629.71,3581.68,3585.05,null
null,3594.23,2011-12-08,3618.30,3571.06,3618.30,null
null,3502.88,2011-12-09,3543.26,3494.07,3523.03,null
null,3485.24,2011-12-12,3568.37,3476.60,3546.19,null
null,3446.53,2011-12-13,3460.60,3426.32,3460.60,null
null,3419.45,2011-12-14,3445.27,3413.98,3413.98,null
null,3352.51,2011-12-15,3387.85,3327.89,3387.85,null
null,3428.20,2011-12-16,3434.96,3360.32,3360.32,null
null,3370.84,2011-12-19,3383.20,3333.94,3383.20,null
null,3359.66,2011-12-20,3404.13,3353.43,3367.49,null
null,3437.08,2011-12-21,3438.79,3409.58,3411.18,null
null,3435.04,2011-12-22,3435.79,3400.55,3424.31,null
null,3500.24,2011-12-23,3501.51,3466.44,3469.70,null
null,3441.98,2011-12-28,3480.10,3424.67,3480.10,null
null,3435.64,2011-12-29,3437.25,3401.02,3418.35,null
null,3449.89,2011-12-30,3451.58,3435.15,3437.24,null
null,3505.17,2012-01-03,3507.16,3479.83,3489.35,null
null,3483.68,2012-01-04,3525.56,3479.15,3524.17,null
null,3467.10,2012-01-05,3501.10,3461.79,3488.41,null
null,3405.62,2012-01-06,3452.75,3386.98,3452.60,null
null,3453.01,2012-01-09,3456.23,3356.87,3398.37,null
null,3505.61,2012-01-10,3510.10,3454.38,3456.94,null
null,3548.51,2012-01-11,3550.57,3507.07,3520.65,null
null,3548.50,2012-01-12,3577.97,3537.66,3546.42,null
null,3563.61,2012-01-13,3578.66,3532.65,3562.54,null
null,3513.46,2012-01-16,3546.81,3508.80,3546.81,null
null,3644.08,2012-01-17,3645.99,3527.49,3527.49,null
null,3641.38,2012-01-18,3649.66,3614.78,3636.76,null
null,3705.90,2012-01-19,3708.04,3659.74,3659.74,null
null,3722.36,2012-01-20,3736.19,3688.63,3732.26,null
null,3813.12,2012-01-26,3813.66,3762.46,3791.58,null
null,3816.12,2012-01-27,3833.82,3786.38,3822.03,null
null,3715.72,2012-01-30,3809.38,3707.05,3809.38,null
null,3743.66,2012-01-31,3753.53,3693.58,3721.71,null
null,3736.35,2012-02-01,3778.12,3726.77,3757.14,null
null,3830.34,2012-02-02,3830.92,3772.07,3773.93,null
null,3865.02,2012-02-03,3865.26,3819.23,3823.40,null
null,3882.73,2012-02-06,3913.47,3859.70,3901.87,null
null,3866.33,2012-02-07,3906.60,3852.25,3893.14,null
null,4006.05,2012-02-08,4006.18,3883.33,3884.30,null
null,4074.60,2012-02-09,4082.51,3966.86,4001.03,null
null,4013.98,2012-02-10,4100.18,3997.03,4086.73,null
null,3998.82,2012-02-13,4025.57,3966.10,3996.92,null
null,3964.62,2012-02-14,4012.37,3958.42,3999.22,null
null,4075.32,2012-02-15,4076.76,3974.94,3976.24,null
null,4048.09,2012-02-16,4072.25,4028.35,4057.78,null
null,4080.81,2012-02-17,4109.56,4052.34,4084.44,null
null,4086.87,2012-02-20,4150.64,4076.44,4133.96,null
null,4082.36,2012-02-21,4093.66,4028.44,4087.28,null
null,4146.46,2012-02-22,4147.01,4066.13,4080.50,null
null,4099.56,2012-02-23,4136.81,4097.44,4132.26,null
null,4138.10,2012-02-24,4140.02,4088.20,4121.65,null
null,4092.06,2012-02-27,4169.60,4074.68,4141.06,null
null,4132.02,2012-02-28,4132.83,4082.86,4106.89,null
null,4156.58,2012-02-29,4166.03,4124.94,4141.65,null
null,4081.00,2012-03-01,4149.84,4067.68,4144.78,null
null,4154.96,2012-03-02,4157.97,4109.85,4109.85,null
null,4102.74,2012-03-05,4165.00,4096.71,4153.82,null
null,3970.78,2012-03-06,4111.33,3961.71,4111.33,null
null,3942.33,2012-03-07,3973.05,3904.03,3926.24,null
null,4018.39,2012-03-08,4018.56,3967.68,3967.68,null
null,4062.75,2012-03-09,4071.92,4031.38,4036.12,null
null,4035.53,2012-03-12,4077.91,4008.38,4073.70,null
null,4054.50,2012-03-13,4069.41,4050.31,4053.61,null
null,4054.26,2012-03-14,4126.82,4041.61,4099.55,null
null,4020.93,2012-03-15,4065.60,4009.14,4065.60,null
null,4014.29,2012-03-16,4047.89,4006.86,4024.24,null
null,3949.49,2012-03-19,4029.26,3949.39,4023.45,null
null,3893.31,2012-03-20,3957.88,3880.11,3957.73,null
null,3837.54,2012-03-21,3897.98,3819.59,3892.35,null
null,3845.52,2012-03-22,3868.67,3834.98,3853.12,null
null,3822.74,2012-03-23,3832.66,3791.74,3832.66,null
null,3808.41,2012-03-26,3828.53,3799.58,3826.87,null
null,3892.55,2012-03-27,3893.84,3848.75,3848.75,null
null,3853.98,2012-03-28,3886.38,3839.91,3886.38,null
null,3815.50,2012-03-29,3833.08,3794.82,3833.08,null
null,3837.93,2012-03-30,3842.22,3791.75,3800.50,null
null,3855.16,2012-04-02,3866.82,3821.19,3858.95,null
null,3922.55,2012-04-03,3923.46,3869.51,3875.40,null
null,3922.88,2012-04-05,3924.16,3847.35,3868.70,null
null,3857.63,2012-04-10,3905.74,3854.09,3900.05,null
null,3813.47,2012-04-11,3822.82,3792.64,3813.98,null
null,3865.30,2012-04-12,3868.48,3819.71,3819.71,null
null,3922.84,2012-04-13,3924.75,3895.81,3908.25,null
null,3886.36,2012-04-16,3895.44,3875.16,3895.44,null
null,3849.95,2012-04-17,3894.14,3828.60,3887.80,null
null,3894.54,2012-04-18,3901.79,3874.39,3883.73,null
null,3903.87,2012-04-19,3905.65,3879.04,3889.03,null
null,3905.13,2012-04-20,3915.85,3888.08,3896.26,null
null,3844.07,2012-04-23,3905.48,3842.09,3905.48,null
null,3835.13,2012-04-24,3867.31,3814.22,3841.36,null
null,3845.29,2012-04-25,3859.42,3837.51,3851.79,null
null,3876.17,2012-04-26,3878.18,3853.90,3859.07,null
null,3861.47,2012-04-27,3892.12,3850.74,3887.54,null
null,3896.67,2012-04-30,3897.51,3873.65,3873.65,null
null,3911.69,2012-05-02,3929.50,3904.38,3919.28,null
null,3885.42,2012-05-03,3904.98,3875.76,3904.98,null
null,3858.29,2012-05-04,3867.23,3845.92,3864.39,null
null,3750.36,2012-05-07,3804.83,3740.66,3804.83,null
null,3752.44,2012-05-08,3782.42,3744.63,3774.84,null
null,3679.00,2012-05-09,3733.78,3675.72,3733.78,null
null,3657.74,2012-05-10,3682.58,3634.30,3667.79,null
null,3618.59,2012-05-11,3646.96,3609.62,3643.94,null
null,3573.83,2012-05-14,3644.82,3571.88,3636.28,null
null,3590.00,2012-05-15,3591.22,3521.91,3550.75,null
null,3447.75,2012-05-16,3535.05,3439.06,3535.05,null
null,3481.92,2012-05-17,3511.26,3450.54,3450.54,null
null,3427.73,2012-05-18,3432.00,3373.73,3425.74,null
null,3433.83,2012-05-21,3446.41,3416.08,3425.97,null
null,3510.50,2012-05-22,3515.15,3460.44,3460.44,null
null,3463.46,2012-05-23,3480.66,3436.76,3480.66,null
null,3452.17,2012-05-24,3479.11,3439.47,3465.03,null
null,3454.11,2012-05-25,3468.98,3424.46,3454.02,null
null,3486.11,2012-05-28,3487.47,3431.12,3451.08,null
null,3580.45,2012-05-29,3582.15,3483.22,3483.22,null
null,3557.42,2012-05-30,3570.67,3518.64,3566.57,null
null,3522.52,2012-05-31,3524.30,3494.87,3512.99,null
null,3485.93,2012-06-01,3528.22,3482.94,3494.03,null
null,3363.67,2012-06-04,3429.72,3351.69,3429.72,null
null,3368.86,2012-06-05,3407.41,3367.01,3376.69,null
null,3429.23,2012-06-06,3432.09,3388.41,3388.41,null
null,3443.12,2012-06-07,3498.95,3436.41,3468.71,null
null,3442.48,2012-06-08,3460.76,3424.86,3457.77,null
null,3527.90,2012-06-11,3528.51,3493.51,3509.00,null
null,3522.11,2012-06-12,3529.09,3486.37,3498.08,null
null,3548.53,2012-06-13,3549.29,3503.93,3525.16,null
null,3490.10,2012-06-14,3544.44,3488.68,3543.22,null
null,3535.15,2012-06-15,3536.49,3501.86,3501.86,null
null,3561.86,2012-06-18,3591.10,3558.69,3576.48,null
null,3559.75,2012-06-19,3561.88,3539.08,3553.93,null
null,3577.07,2012-06-20,3584.22,3570.55,3576.36,null
null,3505.52,2012-06-21,3573.00,3503.58,3573.00,null
null,3458.76,2012-06-22,3487.47,3457.16,3474.15,null
null,3430.41,2012-06-25,3469.54,3427.59,3461.41,null
null,3427.83,2012-06-26,3433.22,3414.12,3423.66,null
null,3459.55,2012-06-27,3468.77,3431.10,3433.14,null
null,3410.89,2012-06-28,3478.95,3407.18,3472.19,null
null,3452.18,2012-06-29,3455.70,3408.03,3418.03,null
null,3503.69,2012-07-03,3504.66,3464.24,3477.16,null
null,3532.31,2012-07-04,3549.67,3508.03,3519.30,null
null,3531.19,2012-07-05,3535.54,3501.84,3534.25,null
null,3567.47,2012-07-06,3569.57,3534.69,3538.50,null
null,3493.99,2012-07-09,3546.22,3490.08,3546.22,null
null,3481.04,2012-07-10,3507.78,3470.77,3505.16,null
null,3493.17,2012-07-11,3495.04,3457.82,3471.22,null
null,3439.14,2012-07-12,3490.33,3436.86,3490.33,null
null,3448.60,2012-07-13,3462.39,3439.72,3441.61,null
null,3439.49,2012-07-16,3471.42,3434.18,3468.33,null
null,3452.71,2012-07-17,3470.78,3442.76,3442.76,null
null,3414.11,2012-07-18,3449.25,3393.69,3449.25,null
null,3430.03,2012-07-19,3459.40,3426.53,3434.47,null
null,3426.21,2012-07-20,3440.69,3421.06,3435.17,null
null,3349.07,2012-07-23,3396.49,3341.99,3396.49,null
null,3334.62,2012-07-24,3358.11,3326.50,3349.37,null
null,3301.88,2012-07-25,3328.88,3290.05,3321.47,null
null,3305.64,2012-07-26,3322.43,3301.58,3305.01,null
null,3359.42,2012-07-27,3365.48,3334.71,3334.71,null
null,3376.86,2012-07-30,3392.40,3364.34,3377.56,null
null,3412.42,2012-07-31,3413.15,3378.01,3378.01,null
null,3443.04,2012-08-01,3449.94,3400.65,3405.64,null
null,3422.55,2012-08-02,3454.63,3411.44,3449.80,null
null,3404.42,2012-08-03,3413.35,3384.77,3411.88,null
null,3468.86,2012-08-06,3470.63,3446.20,3446.20,null
null,3496.92,2012-08-07,3506.97,3468.96,3470.64,null
null,3485.66,2012-08-08,3517.23,3474.50,3510.70,null
null,3535.70,2012-08-09,3535.79,3494.16,3494.16,null
null,3509.86,2012-08-10,3531.84,3493.47,3531.84,null
null,3469.21,2012-08-13,3518.66,3468.57,3518.66,null
null,3467.31,2012-08-14,3485.20,3439.30,3483.82,null
null,3442.02,2012-08-15,3461.92,3433.40,3461.92,null
null,3443.48,2012-08-16,3457.73,3439.21,3450.27,null
null,3471.17,2012-08-17,3473.95,3454.17,3454.45,null
null,3475.13,2012-08-20,3478.36,3449.38,3472.76,null
null,3505.13,2012-08-21,3507.15,3476.13,3485.44,null
null,3474.00,2012-08-22,3500.78,3469.35,3500.78,null
null,3519.48,2012-08-23,3520.09,3484.27,3484.27,null
null,3477.65,2012-08-24,3494.15,3474.93,3493.77,null
null,3444.57,2012-08-27,3489.23,3441.44,3487.94,null
null,3437.38,2012-08-28,3446.25,3428.67,3438.03,null
null,3416.61,2012-08-29,3436.98,3416.61,3430.28,null
null,3376.21,2012-08-30,3405.74,3372.55,3405.74,null
null,3370.11,2012-08-31,3379.46,3356.39,3372.33,null
null,3379.15,2012-09-03,3392.84,3360.67,3360.67,null
null,3353.63,2012-09-04,3387.68,3350.79,3374.36,null
null,3309.87,2012-09-05,3345.04,3303.90,3345.04,null
null,3335.64,2012-09-06,3336.14,3311.52,3316.61,null
null,3437.55,2012-09-07,3443.68,3371.84,3371.84,null
null,3465.50,2012-09-10,3475.78,3453.37,3453.37,null
null,3453.88,2012-09-11,3460.45,3421.33,3460.45,null
null,3489.75,2012-09-12,3494.19,3471.03,3471.03,null
null,3488.99,2012-09-13,3508.75,3484.27,3485.76,null
null,3598.20,2012-09-14,3598.89,3562.28,3562.28,null
null,3586.61,2012-09-17,3628.06,3582.04,3623.51,null
null,3541.87,2012-09-18,3576.44,3536.38,3572.16,null
null,3581.71,2012-09-19,3590.45,3538.78,3538.78,null
null,3526.95,2012-09-20,3580.67,3523.07,3580.67,null
null,3555.23,2012-09-21,3564.65,3541.19,3541.19,null
null,3564.40,2012-09-24,3567.77,3523.55,3547.14,null
null,3567.79,2012-09-25,3570.30,3549.75,3558.29,null
null,3514.16,2012-09-26,3534.19,3509.63,3528.59,null
null,3544.84,2012-09-27,3548.59,3502.72,3508.39,null
null,3597.85,2012-09-28,3599.80,3542.86,3548.92,null
null,3596.79,2012-10-03,3624.66,3587.36,3609.03,null
null,3621.71,2012-10-04,3621.71,3591.35,3602.02,null
null,3675.05,2012-10-05,3676.31,3636.09,3636.09,null
null,3635.26,2012-10-08,3674.30,3631.23,3674.30,null
null,3642.33,2012-10-09,3681.61,3640.42,3640.42,null
null,3662.13,2012-10-10,3664.75,3620.41,3628.12,null
null,3683.99,2012-10-11,3688.80,3650.38,3653.99,null
null,3715.28,2012-10-12,3724.22,3693.52,3693.52,null
null,3713.61,2012-10-15,3729.53,3704.21,3721.19,null
null,3732.56,2012-10-16,3734.12,3703.66,3725.17,null
null,3772.94,2012-10-17,3775.02,3753.78,3757.03,null
null,3826.92,2012-10-18,3834.42,3786.25,3786.25,null
null,3834.52,2012-10-19,3847.84,3825.82,3839.84,null
null,3850.54,2012-10-22,3851.09,3800.00,3811.07,null
null,3851.48,2012-10-24,3866.81,3814.33,3822.72,null
null,3821.09,2012-10-25,3866.19,3800.68,3852.75,null
null,3764.94,2012-10-26,3834.09,3748.26,3834.09,null
null,3781.98,2012-10-29,3785.57,3731.46,3749.26,null
null,3777.03,2012-10-30,3789.14,3755.98,3779.61,null
null,3832.10,2012-10-31,3833.68,3787.91,3794.43,null
null,3900.30,2012-11-01,3902.44,3820.49,3827.89,null
null,3957.38,2012-11-02,3966.81,3935.52,3935.52,null
null,3963.28,2012-11-05,3978.60,3946.51,3959.11,null
null,3949.45,2012-11-06,3960.69,3909.28,3954.52,null
null,3966.65,2012-11-07,3966.96,3928.29,3958.72,null
null,3894.21,2012-11-08,3931.01,3886.93,3911.90,null
null,3881.91,2012-11-09,3896.76,3865.38,3880.92,null
null,3871.00,2012-11-12,3904.11,3868.49,3883.32,null
null,3808.22,2012-11-13,3871.50,3805.11,3871.40,null
null,3855.45,2012-11-14,3856.06,3805.23,3810.07,null
null,3825.78,2012-11-15,3850.57,3815.16,3836.26,null
null,3821.95,2012-11-16,3844.64,3815.75,3834.20,null
null,3843.32,2012-11-19,3848.29,3819.57,3819.57,null
null,3839.83,2012-11-20,3886.34,3836.89,3875.73,null
null,3866.51,2012-11-21,3868.93,3821.98,3858.13,null
null,3901.55,2012-11-22,3903.56,3860.76,3869.44,null
null,3931.54,2012-11-23,3932.75,3904.21,3904.21,null
null,3935.07,2012-11-26,3946.27,3916.71,3942.94,null
null,3920.39,2012-11-27,3954.39,3917.91,3935.95,null
null,3898.34,2012-11-28,3913.64,3885.58,3913.64,null
null,3925.58,2012-11-29,3945.17,3912.18,3912.18,null
null,3975.23,2012-11-30,3978.84,3932.48,3934.50,null
null,3940.02,2012-12-03,3997.27,3932.20,3979.67,null
null,3949.11,2012-12-04,3953.22,3917.62,3937.69,null
null,4037.01,2012-12-05,4037.46,3953.26,3954.43,null
null,4047.71,2012-12-06,4060.60,4030.44,4043.83,null
null,4082.11,2012-12-07,4100.67,4057.48,4058.47,null
null,4104.54,2012-12-10,4118.60,4095.87,4102.62,null
null,4083.66,2012-12-11,4118.58,4074.10,4114.70,null
null,4134.75,2012-12-12,4135.80,4101.50,4101.50,null
null,4116.52,2012-12-13,4157.85,4100.96,4153.96,null
null,4157.06,2012-12-14,4158.19,4103.15,4105.30,null
null,4142.69,2012-12-17,4173.70,4130.78,4152.89,null
null,4136.32,2012-12-18,4156.53,4125.62,4151.48,null
null,4172.26,2012-12-19,4176.36,4150.13,4154.17,null
null,4164.26,2012-12-20,4169.51,4133.43,4166.09,null
null,4131.88,2012-12-21,4166.23,4131.25,4158.10,null
null,4140.83,2012-12-24,4147.98,4130.39,4131.88,null
null,4165.80,2012-12-27,4191.16,4159.41,4160.51,null
null,4192.53,2012-12-28,4204.07,4170.93,4204.07,null
null,4207.84,2012-12-31,4210.15,4173.64,4179.21,null
null,4346.42,2013-01-02,4347.72,4236.41,4236.41,null
null,4383.96,2013-01-03,4393.61,4349.80,4371.58,null
null,4394.61,2013-01-04,4396.33,4344.72,4388.85,null
null,4452.95,2013-01-07,4458.24,4402.63,4403.87,null
null,4377.42,2013-01-08,4454.49,4367.61,4454.49,null
null,4421.48,2013-01-09,4424.09,4388.78,4392.01,null
null,4451.38,2013-01-10,4489.78,4433.16,4437.22,null
null,4406.25,2013-01-11,4493.89,4389.33,4484.52,null
null,4452.72,2013-01-14,4453.84,4409.82,4416.67,null
null,4455.92,2013-01-15,4485.26,4434.43,4452.70,null
null,4441.12,2013-01-16,4450.99,4403.07,4450.95,null
null,4409.40,2013-01-17,4458.64,4384.79,4451.29,null
null,4472.73,2013-01-18,4473.89,4434.95,4434.95,null
null,4502.31,2013-01-21,4503.69,4467.69,4473.78,null
null,4507.83,2013-01-22,4520.27,4479.64,4500.14,null
null,4485.88,2013-01-23,4522.95,4456.05,4515.42,null
null,4445.95,2013-01-24,4500.20,4440.88,4477.77,null
null,4387.22,2013-01-25,4464.26,4374.21,4459.34,null
null,4421.47,2013-01-28,4422.75,4389.12,4389.12,null
null,4446.50,2013-01-29,4455.37,4414.43,4429.20,null
null,4473.06,2013-01-30,4494.65,4456.94,4456.94,null
null,4451.10,2013-01-31,4471.06,4428.60,4471.06,null
null,4464.12,2013-02-01,4464.25,4401.71,4445.65,null
null,4475.72,2013-02-04,4513.97,4466.00,4494.30,null
null,4414.58,2013-02-05,4430.77,4403.89,4429.47,null
null,4452.13,2013-02-06,4459.85,4437.84,4444.28,null
null,4401.65,2013-02-07,4460.37,4394.84,4458.27,null
null,4411.36,2013-02-08,4419.71,4389.48,4393.85,null
null,4477.14,2013-02-14,4483.78,4449.12,4462.96,null
null,4514.07,2013-02-15,4514.99,4460.13,4460.13,null
null,4474.39,2013-02-18,4520.36,4472.48,4519.93,null
null,4393.26,2013-02-19,4490.53,4392.07,4472.49,null
null,4438.62,2013-02-20,4440.67,4402.21,4422.87,null
null,4355.33,2013-02-21,4394.45,4322.20,4394.45,null
null,4327.67,2013-02-22,4343.07,4312.53,4337.20,null
null,4314.45,2013-02-25,4353.95,4308.44,4337.47,null
null,4231.61,2013-02-26,4296.30,4222.62,4276.55,null
null,4282.45,2013-02-27,4286.64,4247.47,4247.47,null
null,4392.01,2013-02-28,4393.44,4328.06,4328.06,null
null,4399.38,2013-03-01,4413.40,4374.26,4389.51,null
null,4307.68,2013-03-04,4385.42,4291.88,4385.42,null
null,4353.78,2013-03-05,4371.46,4316.35,4316.35,null
null,4400.75,2013-03-06,4413.02,4381.02,4381.02,null
null,4384.11,2013-03-07,4415.06,4367.45,4399.26,null
null,4407.00,2013-03-08,4427.80,4400.76,4400.76,null
null,4364.85,2013-03-11,4420.99,4361.41,4412.95,null
null,4301.14,2013-03-12,4391.67,4294.75,4365.88,null
null,4215.45,2013-03-13,4315.60,4197.80,4315.60,null
null,4242.80,2013-03-14,4245.92,4149.36,4193.61,null
null,4181.14,2013-03-15,4266.93,4172.34,4256.92,null
null,4111.74,2013-03-18,4134.09,4078.60,4134.09,null
null,4117.00,2013-03-19,4158.09,4113.27,4125.11,null
null,4207.35,2013-03-20,4210.91,4120.60,4120.60,null
null,4217.94,2013-03-21,4252.86,4207.22,4212.82,null
null,4207.59,2013-03-22,4222.61,4192.85,4200.86,null
null,4204.86,2013-03-25,4243.29,4199.80,4227.42,null
null,4177.83,2013-03-26,4197.18,4162.16,4189.14,null
null,4222.48,2013-03-27,4230.23,4191.69,4191.69,null
null,4171.48,2013-03-28,4201.94,4143.28,4201.94,null
null,4126.08,2013-04-02,4184.61,4110.12,4146.97,null
null,4111.18,2013-04-03,4147.03,4094.33,4141.04,null
null,3990.64,2013-04-05,4095.90,3977.36,4095.90,null
null,3997.41,2013-04-08,4007.37,3975.73,3985.43,null
null,4082.49,2013-04-09,4089.37,4014.75,4014.75,null
null,4126.73,2013-04-10,4126.97,4097.91,4108.96,null
null,4134.25,2013-04-11,4170.75,4127.84,4151.69,null
null,4120.17,2013-04-12,4145.05,4110.44,4145.05,null
null,4048.95,2013-04-15,4097.38,4036.38,4097.38,null
null,4055.93,2013-04-16,4064.86,3982.84,3996.71,null
null,4045.20,2013-04-17,4084.67,4043.24,4078.27,null
null,4030.60,2013-04-18,4060.49,4015.53,4015.53,null
null,4114.39,2013-04-19,4115.10,4027.59,4030.46,null
null,4163.20,2013-04-22,4167.03,4117.32,4124.80,null
null,4105.67,2013-04-23,4169.48,4091.66,4169.48,null
null,4169.49,2013-04-24,4170.11,4130.10,4139.72,null
null,4189.47,2013-04-25,4206.79,4157.57,4182.49,null
null,4176.91,2013-04-26,4222.93,4175.17,4203.46,null
null,4156.73,2013-04-29,4184.70,4141.10,4172.46,null
null,4199.77,2013-04-30,4206.76,4181.27,4181.27,null
null,4198.11,2013-05-02,4201.76,4159.00,4181.69,null
null,4233.11,2013-05-03,4265.13,4219.34,4219.90,null
