adj_close,close,date,high,low,open,volume
54624.621094,73757.960938,2007-12-28,73757.960938,64502.058594,64502.058594,71870
50697.371094,68455.101563,2008-01-02,70286.992188,68358.679688,69901.335938,47997
49126.445313,66333.953125,2008-01-03,67973.023438,66333.953125,67973.023438,23915
50340.328125,67973.023438,2008-01-04,69033.593750,64212.808594,66333.953125,28850
50911.566406,68744.343750,2008-01-07,69226.421875,65562.632813,65851.875000,25420
50982.980469,68840.757813,2008-01-08,69419.257813,67683.773438,68744.343750,18395
51482.812500,69515.671875,2008-01-09,69515.671875,67780.187500,67973.023438,19153
51911.242188,70094.164063,2008-01-10,71251.148438,69515.671875,69515.671875,52513
51411.417969,69419.257813,2008-01-11,71154.734375,67973.023438,71154.734375,18994
48412.406250,65369.796875,2008-01-14,68358.679688,64887.718750,67973.023438,27783
47198.523438,63730.730469,2008-01-15,65562.632813,61706.003906,65369.796875,59837
43556.882813,58813.535156,2008-01-16,63634.316406,58717.121094,63634.316406,75733
44056.718750,59488.445313,2008-01-17,60645.433594,58813.535156,58813.535156,81961
46056.050781,62188.082031,2008-01-18,63248.652344,57849.378906,57849.378906,31707
47841.167969,64598.472656,2008-01-21,67105.281250,63441.484375,63634.316406,55644
46627.300781,62959.406250,2008-01-22,64116.394531,60741.847656,61802.417969,39498
48341.011719,65273.382813,2008-01-23,65659.046875,63345.070313,65562.632813,32374
47698.363281,64405.640625,2008-01-24,67105.281250,64019.980469,65562.632813,38033
47127.128906,63634.316406,2008-01-25,64598.472656,62477.328125,63827.148438,28560
45841.839844,61898.835938,2008-01-28,63248.652344,61320.339844,62284.496094,41542
46413.074219,62670.160156,2008-01-29,63055.824219,61995.250000,62284.496094,17176
46555.878906,62862.992188,2008-01-30,63345.070313,62284.496094,62862.992188,25535
49197.863281,66430.367188,2008-01-31,66526.789063,62959.406250,62959.406250,26783
48912.242188,66044.710938,2008-02-01,66816.031250,65562.632813,65562.632813,26650
49483.476563,66816.031250,2008-02-04,67490.945313,65659.046875,65659.046875,79403
47841.167969,64598.472656,2008-02-05,67105.281250,64019.980469,66044.710938,21908
46484.492188,62766.574219,2008-02-11,63634.316406,62670.160156,63634.316406,33613
46484.492188,62766.574219,2008-02-12,64019.980469,62670.160156,64019.980469,30613
45841.839844,61898.835938,2008-02-13,63055.824219,61609.589844,62959.406250,45659
46413.074219,62670.160156,2008-02-14,63827.148438,62477.328125,63537.902344,41157
44627.957031,60259.769531,2008-02-15,62766.574219,60259.769531,62670.160156,61942
44056.718750,59488.445313,2008-02-18,61223.925781,59488.445313,61031.093750,68121
45056.386719,60838.261719,2008-02-19,61127.511719,59777.691406,59777.691406,35385
44270.925781,59777.691406,2008-02-20,61320.339844,59392.027344,61223.925781,37320
43985.304688,59392.027344,2008-02-21,60645.433594,59392.027344,59777.691406,32420
43985.304688,59392.027344,2008-02-22,60645.433594,59392.027344,59392.027344,31675
