adj_close,close,date,high,low,open,volume
1059.040039,1059.040039,2000-01-04,1066.180054,1016.590027,1028.329956,195900
986.309998,986.309998,2000-01-05,1026.520020,984.049988,1006.869995,257700
960.789978,960.789978,2000-01-06,1014.900024,953.500000,1013.950012,203500
948.650024,948.650024,2000-01-07,970.159973,930.840027,949.169983,215700
987.239990,987.239990,2000-01-10,994.940002,974.820007,979.669983,240200
981.330017,981.330017,2000-01-11,1005.869995,981.229980,992.169983,257100
955.010010,955.010010,2000-01-12,968.679993,949.200012,957.979980,227100
951.049988,951.049988,2000-01-13,960.729980,939.250000,955.059998,223000
948.030029,948.030029,2000-01-14,970.590027,937.750000,958.820007,225000
983.270020,983.270020,2000-01-17,986.090027,959.359985,962.669983,212100
981.530029,981.530029,2000-01-18,992.849976,967.960022,992.309998,212100
938.780029,938.780029,2000-01-19,969.309998,938.739990,969.309998,235700
945.900024,945.900024,2000-01-20,945.900024,906.260010,927.119995,226700
925.159973,925.159973,2000-01-21,940.700012,911.830017,928.549988,255100
926.770020,926.770020,2000-01-24,944.309998,915.700012,917.929993,210400
891.219971,891.219971,2000-01-25,913.190002,891.219971,909.119995,242600
885.539978,885.539978,2000-01-26,902.429993,875.820007,896.340027,231100
909.229980,909.229980,2000-01-27,912.489990,879.000000,888.270020,344900
941.669983,941.669983,2000-01-28,943.950012,916.859985,922.739990,293100
943.880005,943.880005,2000-01-31,948.840027,922.919983,924.830017,289400
928.750000,928.750000,2000-02-01,959.309998,923.520020,955.440002,306100
943.590027,943.590027,2000-02-02,950.130005,923.400024,929.690002,310400
950.219971,950.219971,2000-02-03,959.000000,934.109985,950.260010,277100
null,null,2000-02-04,null,null,null,null
973.130005,973.130005,2000-02-07,982.030029,951.309998,953.229980,271800
961.219971,961.219971,2000-02-08,981.419983,960.469971,977.070007,229500
976.049988,976.049988,2000-02-09,979.919983,966.150024,967.530029,240400
966.179993,966.179993,2000-02-10,991.710022,957.729980,966.359985,251600
953.219971,953.219971,2000-02-11,990.750000,941.239990,990.109985,274800
