adj_close,close,date,high,low,open,volume
4449.709473,6110.000000,2000-01-04,6110.000000,5660.000000,6000.000000,74195000
4063.729248,5580.000000,2000-01-05,6060.000000,5520.000000,5800.000000,74680000
4092.859619,5620.000000,2000-01-06,5780.000000,5580.000000,5750.000000,54390000
4034.599609,5540.000000,2000-01-07,5670.000000,5360.000000,5560.000000,40305000
4202.098145,5770.000000,2000-01-10,5770.000000,5580.000000,5600.000000,46880000
4202.098145,5770.000000,2000-01-11,6100.000000,5770.000000,5820.000000,59745000
4165.687012,5720.000000,2000-01-12,5740.000000,5600.000000,5610.000000,29220000
4158.403809,5710.000000,2000-01-13,5740.000000,5560.000000,5600.000000,41190000
4245.795410,5830.000000,2000-01-14,5880.000000,5680.000000,5720.000000,49375000
4442.428711,6100.000000,2000-01-17,6180.000000,5920.000000,6000.000000,63505000
4442.428711,6100.000000,2000-01-18,6160.000000,5980.000000,6160.000000,45260000
4340.469727,5960.000000,2000-01-19,6040.000000,5960.000000,6000.000000,40205000
4398.730469,6040.000000,2000-01-20,6040.000000,5820.000000,5860.000000,37315000
4282.208008,5880.000000,2000-01-21,5980.000000,5880.000000,5950.000000,32535000
4151.120605,5700.000000,2000-01-24,5900.000000,5700.000000,5800.000000,34355000
3961.771729,5440.000000,2000-01-25,5640.000000,5440.000000,5520.000000,44250000
3990.902588,5480.000000,2000-01-26,5520.000000,5410.000000,5500.000000,29285000
4020.033203,5520.000000,2000-01-27,5620.000000,5430.000000,5480.000000,27900000
4238.512207,5820.000000,2000-01-28,5880.000000,5540.000000,5640.000000,38315000
4063.729248,5580.000000,2000-01-31,5730.000000,5560.000000,5640.000000,39630000
3874.380127,5320.000000,2000-02-01,5680.000000,5260.000000,5600.000000,71470000
3823.400879,5250.000000,2000-02-02,5370.000000,5110.000000,5220.000000,64105000
3736.008789,5130.000000,2000-02-03,5460.000000,4970.000000,5250.000000,142765000
3736.008789,5130.000000,2000-02-04,5130.000000,5130.000000,5130.000000,0
3816.117432,5240.000000,2000-02-07,5330.000000,5040.000000,5140.000000,64140000
3954.488525,5430.000000,2000-02-08,5480.000000,5310.000000,5340.000000,58460000
4165.687012,5720.000000,2000-02-09,5720.000000,5480.000000,5560.000000,51050000
4194.818359,5760.000000,2000-02-10,5880.000000,5600.000000,5660.000000,61845000
4151.120605,5700.000000,2000-02-11,5960.000000,5680.000000,5960.000000,34660000
3918.075439,5380.000000,2000-02-14,5660.000000,5340.000000,5600.000000,44140000
3786.988281,5200.000000,2000-02-15,5420.000000,5140.000000,5380.000000,38315000
3641.334229,5000.000000,2000-02-16,5200.000000,4780.000000,5180.000000,73115000
3699.595459,5080.000000,2000-02-17,5100.000000,4910.000000,4940.000000,65185000
3859.813232,5300.000000,2000-02-18,5630.000000,5160.000000,5370.000000,108750000
3692.313232,5070.000000,2000-02-21,5260.000000,5030.000000,5200.000000,26485000
3728.725342,5120.000000,2000-02-22,5240.000000,5000.000000,5000.000000,24180000
3743.290039,5140.000000,2000-02-23,5260.000000,5100.000000,5220.000000,27720000
3692.313232,5070.000000,2000-02-24,5240.000000,5060.000000,5120.000000,26075000
3728.725342,5120.000000,2000-02-25,5150.000000,4980.000000,5080.000000,27875000
3495.680908,4800.000000,2000-02-28,5050.000000,4800.000000,5000.000000,30140000
3728.725342,5120.000000,2000-02-29,5140.000000,4840.000000,4900.000000,51820000
3728.725342,5120.000000,2000-03-01,5120.000000,5120.000000,5120.000000,0
4282.208008,5880.000000,2000-03-02,5880.000000,5520.000000,5880.000000,117750000
4369.600586,6000.000000,2000-03-03,6250.000000,5880.000000,6200.000000,140990000
4107.424316,5640.000000,2000-03-06,6050.000000,5600.000000,6000.000000,39150000
4092.859619,5620.000000,2000-03-07,5640.000000,5480.000000,5600.000000,30070000
4311.339844,5920.000000,2000-03-08,6000.000000,5500.000000,5520.000000,32460000
4092.859619,5620.000000,2000-03-09,5980.000000,5620.000000,5970.000000,55890000
4034.599609,5540.000000,2000-03-10,5800.000000,5520.000000,5790.000000,28605000
3772.422607,5180.000000,2000-03-13,5490.000000,5160.000000,5480.000000,32215000
3794.270508,5210.000000,2000-03-14,5380.000000,5160.000000,5170.000000,30060000
3932.641113,5400.000000,2000-03-15,5400.000000,5120.000000,5200.000000,46105000
3932.641113,5400.000000,2000-03-16,5520.000000,5360.000000,5480.000000,28795000
3990.902588,5480.000000,2000-03-17,5560.000000,5400.000000,5540.000000,24080000
4121.990234,5660.000000,2000-03-20,5710.000000,5530.000000,5600.000000,26365000
4282.208008,5880.000000,2000-03-21,5940.000000,5610.000000,5700.000000,44925000
4515.254395,6200.000000,2000-03-22,6300.000000,5880.000000,5960.000000,86975000
4515.254395,6200.000000,2000-03-23,6580.000000,6200.000000,6480.000000,64950000
4952.213867,6800.000000,2000-03-24,7120.000000,6180.000000,6320.000000,90260000
4952.213867,6800.000000,2000-03-27,7040.000000,6700.000000,6960.000000,67730000
5119.716309,7030.000000,2000-03-28,7260.000000,6820.000000,6900.000000,74425000
5578.522949,7660.000000,2000-03-29,7680.000000,6980.000000,7030.000000,78090000
5134.279785,7050.000000,2000-03-30,7560.000000,7050.000000,7520.000000,74645000
4879.388184,6700.000000,2000-03-31,7070.000000,6650.000000,6800.000000,63855000
5170.693848,7100.000000,2000-04-03,7320.000000,6860.000000,6920.000000,56805000
4952.213867,6800.000000,2000-04-04,7290.000000,6660.000000,7000.000000,58340000
4952.213867,6800.000000,2000-04-05,6800.000000,6800.000000,6800.000000,0
4864.821289,6680.000000,2000-04-06,6960.000000,6680.000000,6860.000000,47235000
5243.520508,7200.000000,2000-04-07,7260.000000,6780.000000,6860.000000,42355000
5316.348633,7300.000000,2000-04-10,7500.000000,7200.000000,7500.000000,35885000
5170.693848,7100.000000,2000-04-11,7200.000000,6950.000000,7200.000000,29075000
5032.324707,6910.000000,2000-04-12,7030.000000,6860.000000,6960.000000,35250000
5032.324707,6910.000000,2000-04-13,6910.000000,6910.000000,6910.000000,0
4558.952148,6260.000000,2000-04-14,6680.000000,6260.000000,6600.000000,62365000
4020.033203,5520.000000,2000-04-17,5750.000000,5340.000000,5420.000000,78050000
4398.730469,6040.000000,2000-04-18,6240.000000,5860.000000,6200.000000,73730000
4369.600586,6000.000000,2000-04-19,6460.000000,5860.000000,6300.000000,60615000
