adj_close,close,date,high,low,open,volume
null,1895.86,2011-11-04,1896.54,1870.23,1876.38,null
null,1883.69,2011-11-07,1898.09,1878.64,1898.09,null
null,1864.19,2011-11-08,1891.66,1861.11,1891.37,null
null,1871.18,2011-11-09,1891.46,1861.13,1886.89,null
null,1771.60,2011-11-10,1826.60,1771.60,1824.69,null
null,1824.29,2011-11-11,1824.93,1781.49,1799.80,null
null,1863.97,2011-11-14,1869.71,1849.85,1849.85,null
null,1847.92,2011-11-15,1861.33,1839.05,1848.56,null
null,1816.59,2011-11-16,1873.73,1812.37,1859.17,null
null,1834.64,2011-11-17,1836.32,1794.59,1823.30,null
null,1794.53,2011-11-18,1808.04,1789.01,1796.86,null
null,1773.69,2011-11-21,1787.33,1763.91,1787.33,null
null,1782.82,2011-11-22,1788.41,1752.20,1752.83,null
null,1736.60,2011-11-23,1775.00,1734.52,1775.00,null
null,1750.65,2011-11-24,1757.11,1724.56,1729.47,null
null,1734.09,2011-11-25,1746.27,1724.80,1733.73,null
null,1777.45,2011-11-28,1779.50,1756.53,1764.78,null
null,1822.59,2011-11-29,1823.69,1786.72,1791.35,null
null,1811.84,2011-11-30,1822.46,1803.55,1811.90,null
null,1890.44,2011-12-01,1900.43,1877.11,1879.81,null
null,1887.13,2011-12-02,1894.03,1877.87,1887.93,null
null,1894.98,2011-12-05,1900.82,1882.41,1899.83,null
null,1874.50,2011-12-06,1892.45,1862.38,1885.30,null
null,1890.01,2011-12-07,1893.82,1876.02,1886.56,null
null,1880.12,2011-12-08,1895.28,1866.29,1879.66,null
null,1839.22,2011-12-09,1861.28,1837.50,1849.31,null
null,1867.08,2011-12-12,1868.79,1854.71,1867.81,null
null,1828.69,2011-12-13,1846.92,1828.69,1843.78,null
null,1819.77,2011-12-14,1828.97,1814.76,1814.76,null
null,1777.32,2011-12-15,1802.54,1776.17,1795.77,null
null,1802.31,2011-12-16,1804.43,1781.79,1785.97,null
null,1743.32,2011-12-19,1790.84,1713.65,1790.80,null
null,1758.16,2011-12-20,1763.37,1747.25,1758.58,null
null,1817.16,2011-12-21,1819.26,1798.06,1804.71,null
null,1816.68,2011-12-22,1816.68,1803.39,1809.37,null
null,1837.42,2011-12-23,1843.04,1829.01,1830.50,null
null,1825.40,2011-12-26,1843.61,1821.31,1842.69,null
null,1812.03,2011-12-27,1835.45,1780.74,1825.78,null
null,1791.78,2011-12-28,1801.76,1785.51,1801.76,null
null,1790.90,2011-12-29,1801.97,1774.21,1782.35,null
null,1795.97,2012-01-02,1805.70,1781.93,1798.46,null
null,1850.64,2012-01-03,1850.64,1817.63,1817.63,null
null,1838.26,2012-01-04,1860.06,1837.74,1858.81,null
null,1832.27,2012-01-05,1847.27,1830.72,1840.69,null
null,1809.18,2012-01-06,1834.99,1789.22,1834.99,null
null,1789.19,2012-01-09,1795.89,1773.83,1795.89,null
null,1816.41,2012-01-10,1823.58,1803.68,1804.55,null
null,1809.99,2012-01-11,1820.43,1807.51,1819.91,null
null,1830.25,2012-01-12,1830.25,1802.98,1817.00,null
null,1844.62,2012-01-13,1849.49,1826.89,1831.33,null
null,1828.07,2012-01-16,1832.41,1811.36,1830.12,null
null,1863.76,2012-01-17,1863.76,1848.57,1848.57,null
null,1864.05,2012-01-18,1870.59,1854.92,1862.00,null
null,1891.20,2012-01-19,1891.20,1874.31,1884.81,null
null,1931.50,2012-01-20,1933.90,1898.86,1898.86,null
null,1935.65,2012-01-25,1957.54,1927.78,1928.22,null
null,1937.73,2012-01-26,1945.59,1930.30,1942.51,null
null,1946.90,2012-01-27,1948.19,1929.08,1941.48,null
null,1920.17,2012-01-30,1942.48,1916.10,1937.29,null
null,1932.33,2012-01-31,1939.45,1910.74,1921.55,null
null,1932.41,2012-02-01,1946.31,1922.12,1923.11,null
null,1956.96,2012-02-02,1969.54,1949.26,1956.09,null
null,1943.17,2012-02-03,1954.19,1932.19,1953.75,null
null,1946.42,2012-02-06,1970.12,1937.43,1966.95,null
null,1952.70,2012-02-07,1955.86,1942.01,1949.87,null
null,1976.19,2012-02-08,1976.19,1953.91,1956.00,null
null,1988.04,2012-02-09,1988.04,1947.84,1968.73,null
null,1962.50,2012-02-10,1981.64,1955.65,1981.00,null
null,1974.84,2012-02-13,1980.76,1961.03,1969.98,null
null,1972.14,2012-02-14,1977.20,1964.34,1966.57,null
null,1999.69,2012-02-15,2001.79,1982.81,1982.86,null
null,1969.91,2012-02-16,1985.09,1968.09,1977.98,null
null,2000.45,2012-02-17,2008.04,1994.69,2000.77,null
null,2000.84,2012-02-20,2025.99,2000.84,2019.05,null
null,2001.07,2012-02-21,2007.96,1982.99,1996.51,null
null,2007.24,2012-02-22,2007.53,1991.28,1993.37,null
null,1984.17,2012-02-23,1992.83,1977.35,1992.83,null
null,1996.65,2012-02-24,1996.65,1972.53,1985.22,null
null,1967.39,2012-02-27,1988.88,1963.06,1988.84,null
null,1984.15,2012-02-28,1987.39,1972.04,1974.66,null
null,2013.09,2012-02-29,2016.49,1996.28,1996.28,null
null,2014.42,2012-03-02,2030.59,2012.85,2024.75,null
null,1994.59,2012-03-05,2010.16,1989.48,2007.55,null
null,1980.41,2012-03-06,2003.46,1967.90,1998.18,null
null,1961.38,2012-03-07,1967.56,1946.53,1948.97,null
null,1980.49,2012-03-08,1985.30,1956.19,1968.11,null
null,2002.01,2012-03-09,2007.57,1983.12,1998.87,null
null,1988.02,2012-03-12,2002.64,1987.00,2002.44,null
null,2012.36,2012-03-13,2019.02,1998.10,1998.10,null
null,2035.34,2012-03-14,2049.42,2035.34,2039.57,null
null,2034.79,2012-03-15,2040.87,2029.68,2034.97,null
null,2022.89,2012-03-16,2047.67,2022.89,2047.39,null
null,2038.71,2012-03-19,2040.70,2025.46,2028.49,null
null,2034.77,2012-03-20,2048.72,2027.87,2038.33,null
null,2020.67,2012-03-21,2033.05,2013.72,2022.98,null
null,2023.87,2012-03-22,2025.95,2011.59,2019.31,null
null,2023.38,2012-03-23,2027.08,2009.98,2011.27,null
null,2020.54,2012-03-26,2039.47,2013.13,2032.55,null
null,2046.66,2012-03-27,2046.66,2033.36,2044.89,null
null,2038.43,2012-03-28,2044.79,2034.23,2039.96,null
null,2019.08,2012-03-29,2031.15,2012.44,2024.94,null
null,2014.43,2012-03-30,2019.20,2004.13,2014.11,null
null,2033.52,2012-04-02,2036.10,2016.19,2022.90,null
null,2061.60,2012-04-03,2064.26,2044.15,2046.66,null
null,2030.80,2012-04-04,2061.13,2028.28,2058.88,null
null,2044.20,2012-04-05,2046.35,2009.57,2018.24,null
null,2044.09,2012-04-06,2047.07,2036.30,2041.06,null
null,2013.77,2012-04-09,2023.03,2009.60,2021.18,null
null,2009.18,2012-04-10,2027.99,2005.15,2018.43,null
null,1996.85,2012-04-12,1998.05,1978.50,1997.47,null
null,2018.87,2012-04-13,2021.73,2006.12,2011.90,null
null,2001.01,2012-04-16,2007.92,1991.79,1994.35,null
null,1991.48,2012-04-17,2007.94,1990.28,2002.60,null
null,2014.32,2012-04-18,2023.51,2010.73,2022.93,null
null,2009.68,2012-04-19,2019.20,2003.38,2009.78,null
null,1981.42,2012-04-20,1995.84,1977.04,1995.84,null
null,1980.22,2012-04-23,1987.74,1969.63,1976.99,null
null,1974.49,2012-04-24,1981.81,1962.31,1963.90,null
null,1976.23,2012-04-25,1993.62,1976.23,1993.62,null
null,1981.93,2012-04-26,1994.42,1972.41,1991.99,null
null,1997.69,2012-04-27,2005.05,1988.36,1991.23,null
null,2004.38,2012-04-30,2014.43,2000.09,2012.70,null
null,2021.69,2012-05-02,2024.28,2012.54,2018.14,null
null,2016.98,2012-05-03,2021.68,2011.40,2016.93,null
null,2003.05,2012-05-04,2011.64,1998.32,2006.37,null
null,1968.14,2012-05-07,1971.70,1963.32,1967.24,null
null,1978.08,2012-05-08,1982.03,1972.71,1980.07,null
null,1960.26,2012-05-09,1973.09,1956.35,1968.61,null
null,1953.47,2012-05-10,1962.14,1946.54,1954.21,null
null,1924.22,2012-05-11,1946.14,1923.50,1946.14,null
null,1926.53,2012-05-14,1932.71,1912.83,1924.59,null
null,1913.00,2012-05-15,1919.00,1897.74,1910.61,null
