adj_close,close,date,high,low,open,volume
818.099976,818.099976,2023-08-16,822.900024,795.000000,795.000000,7337822
822.200012,822.200012,2023-08-17,836.450012,819.000000,819.849976,3958662
871.900024,871.900024,2023-08-18,894.000000,824.750000,824.900024,7798779
923.549988,923.549988,2023-08-21,932.000000,878.000000,879.000000,8978809
960.150024,960.150024,2023-08-22,976.950012,923.849976,945.099976,11493000
890.400024,890.400024,2023-08-23,969.700012,859.000000,965.000000,4192309
895.150024,895.150024,2023-08-24,934.000000,892.049988,907.950012,1134578
874.549988,874.549988,2023-08-25,898.849976,865.000000,895.150024,983333
864.950012,864.950012,2023-08-28,899.000000,860.000000,895.000000,995290
857.150024,857.150024,2023-08-29,875.099976,852.599976,869.099976,1218219
841.700012,841.700012,2023-08-30,864.849976,840.000000,861.849976,857053
811.950012,811.950012,2023-08-31,830.750000,800.099976,820.000000,1636383
824.900024,824.900024,2023-09-01,835.849976,791.049988,803.849976,1204025
817.599976,817.599976,2023-09-04,834.900024,815.000000,830.000000,825805
813.450012,813.450012,2023-09-05,825.849976,811.500000,821.650024,684436
855.950012,855.950012,2023-09-06,859.450012,809.000000,815.049988,8646350
839.400024,839.400024,2023-09-07,858.900024,833.099976,858.900024,6099751
833.000000,833.000000,2023-09-08,846.000000,831.000000,843.799988,937304
874.900024,874.900024,2023-09-11,877.000000,838.000000,843.400024,6691473
852.299988,852.299988,2023-09-12,888.750000,834.200012,880.000000,5946118
836.900024,836.900024,2023-09-13,854.900024,832.000000,852.299988,703403
851.750000,851.750000,2023-09-14,855.099976,835.000000,840.900024,4528205
846.099976,846.099976,2023-09-15,859.900024,839.049988,853.200012,7152425
855.099976,855.099976,2023-09-18,873.849976,846.200012,873.849976,6408916
855.200012,855.200012,2023-09-20,860.000000,843.950012,859.000000,4608210
847.349976,847.349976,2023-09-21,857.000000,844.650024,853.500000,771656
839.099976,839.099976,2023-09-22,858.000000,835.000000,855.000000,543417
830.400024,830.400024,2023-09-25,844.000000,827.599976,838.000000,404295
817.849976,817.849976,2023-09-26,837.250000,811.650024,825.000000,584558
816.200012,816.200012,2023-09-27,822.750000,812.549988,822.599976,443309
830.500000,830.500000,2023-09-28,839.650024,816.400024,817.000000,861650
810.250000,810.250000,2023-09-29,825.900024,807.200012,825.049988,1106739
807.750000,807.750000,2023-10-03,816.799988,806.700012,815.900024,506021
808.099976,808.099976,2023-10-04,826.950012,801.049988,807.700012,711980
807.700012,807.700012,2023-10-05,815.500000,805.299988,812.500000,252701
806.000000,806.000000,2023-10-06,815.900024,804.500000,810.349976,265517
778.900024,778.900024,2023-10-09,806.000000,772.400024,806.000000,559255
786.000000,786.000000,2023-10-10,790.299988,777.150024,778.000000,360806
798.200012,798.200012,2023-10-11,807.000000,791.200012,792.000000,655215
793.700012,793.700012,2023-10-12,806.950012,792.000000,801.099976,230980
785.200012,785.200012,2023-10-13,793.700012,783.000000,792.849976,269417
774.750000,774.750000,2023-10-16,786.650024,773.000000,786.000000,312993
774.900024,774.900024,2023-10-17,787.000000,771.000000,778.000000,351835
764.900024,764.900024,2023-10-18,779.450012,762.150024,775.000000,346049
759.400024,759.400024,2023-10-19,765.900024,755.549988,764.900024,356701
764.349976,764.349976,2023-10-20,776.950012,759.400024,760.950012,516923
735.799988,735.799988,2023-10-23,768.700012,734.049988,768.700012,485683
718.900024,718.900024,2023-10-25,750.950012,712.650024,740.000000,455111
739.099976,739.099976,2023-10-26,748.000000,686.000000,719.950012,1134296
764.500000,764.500000,2023-10-27,772.900024,742.049988,748.000000,741463
759.250000,759.250000,2023-10-30,773.349976,751.349976,764.500000,414510
769.799988,769.799988,2023-10-31,772.000000,758.049988,768.950012,327996
