adj_close,close,date,high,low,open,volume
175.274414,191.800003,2007-11-27,207.000000,154.000000,154.000000,27262365
161.749588,177.000000,2007-11-28,197.800003,174.929993,194.000000,21958915
162.115097,177.399994,2007-11-29,182.800003,168.460007,181.000000,25616715
169.791397,185.800003,2007-11-30,191.399994,178.000000,178.000000,23047035
179.112549,196.000000,2007-12-03,198.860001,184.399994,187.949997,14578850
191.723541,209.800003,2007-12-04,211.000000,195.199997,197.350006,22742860
198.120407,216.800003,2007-12-05,219.800003,210.000000,210.000000,13806600
199.235306,218.020004,2007-12-06,221.520004,210.199997,210.199997,8619680
201.044678,220.000000,2007-12-07,226.740005,215.600006,220.000000,11182820
196.210510,214.710007,2007-12-10,222.000000,212.309998,220.330002,5028390
191.175217,209.199997,2007-12-11,217.800003,208.199997,216.210007,3990645
189.512024,207.380005,2007-12-12,212.600006,203.199997,206.000000,3637865
206.737900,226.229996,2007-12-13,230.000000,207.419998,208.000000,15317195
202.324081,221.399994,2007-12-14,227.979996,220.220001,221.029999,5345960
190.855377,208.850006,2007-12-17,233.600006,204.300003,228.000000,7024775
190.855377,208.850006,2007-12-18,208.850006,208.850006,208.850006,0
194.995102,213.380005,2007-12-19,223.199997,209.259995,218.199997,4228330
193.770523,212.039993,2007-12-20,216.699997,210.199997,216.699997,3116440
211.425873,231.360001,2007-12-24,238.399994,217.050003,219.000000,10304460
219.303192,239.979996,2007-12-26,242.800003,229.600006,235.000000,7335155
221.450760,242.330002,2007-12-27,248.000000,240.800003,243.000000,4887475
228.295410,249.820007,2007-12-28,254.800003,235.000000,237.880005,5820690
231.895950,253.759995,2007-12-31,259.000000,252.199997,252.669998,3686245
237.022537,259.369995,2008-01-01,263.799988,252.740005,255.800003,2456740
238.959915,261.489990,2008-01-02,264.799988,254.000000,262.049988,3519075
233.175308,255.160004,2008-01-03,262.940002,252.229996,261.000000,2525290
226.696182,248.070007,2008-01-04,258.959991,246.600006,255.759995,2753975
224.301941,245.449997,2008-01-07,255.779999,243.000000,248.000000,3154815
