adj_close,close,date,high,low,open,volume
100.099998,100.099998,2009-08-20,110.000000,98.300003,108.000000,164328256
103.150002,103.150002,2009-08-21,103.900002,98.000000,99.900002,33717840
103.099998,103.099998,2009-08-24,104.400002,101.550003,103.900002,13665282
102.750000,102.750000,2009-08-25,103.150002,101.000000,102.500000,11720267
105.099998,105.099998,2009-08-26,107.500000,102.849998,103.000000,17158838
104.750000,104.750000,2009-08-27,106.800003,103.750000,104.949997,7522959
104.650002,104.650002,2009-08-28,105.699997,103.800003,104.900002,4566182
103.199997,103.199997,2009-08-31,104.699997,102.550003,102.750000,5318852
101.000000,101.000000,2009-09-01,104.300003,100.400002,103.250000,4343009
101.449997,101.449997,2009-09-02,102.650002,100.099998,100.300003,6285933
100.099998,100.099998,2009-09-03,102.300003,99.750000,102.000000,1678138
98.650002,98.650002,2009-09-04,100.750000,97.300003,100.250000,3362784
100.900002,100.900002,2009-09-07,101.150002,99.099998,99.800003,2844787
101.250000,101.250000,2009-09-08,102.599998,100.150002,101.050003,2808708
103.199997,103.199997,2009-09-09,104.500000,99.099998,99.099998,6299273
102.400002,102.400002,2009-09-10,104.949997,101.900002,104.349998,5353078
103.250000,103.250000,2009-09-11,103.500000,101.800003,103.150002,2217235
101.800003,101.800003,2009-09-14,103.099998,101.250000,102.800003,1832718
101.550003,101.550003,2009-09-15,102.349998,101.300003,102.099998,1692842
100.949997,100.949997,2009-09-16,102.599998,100.550003,101.750000,3279956
100.900002,100.900002,2009-09-17,101.900002,100.199997,101.599998,1577759
100.949997,100.949997,2009-09-18,101.449997,100.199997,101.099998,1643947
101.449997,101.449997,2009-09-22,101.800003,100.000000,101.000000,1514581
101.349998,101.349998,2009-09-23,102.000000,100.400002,101.500000,2864061
100.400002,100.400002,2009-09-24,101.500000,98.300003,98.550003,4318328
100.849998,100.849998,2009-09-25,101.000000,100.099998,100.900002,2091454
101.699997,101.699997,2009-09-29,101.949997,100.500000,100.849998,1811552
101.900002,101.900002,2009-09-30,102.199997,101.150002,101.699997,1468523
102.050003,102.050003,2009-10-01,102.699997,101.400002,102.000000,1217318
100.800003,100.800003,2009-10-05,102.000000,100.400002,101.000000,786188
101.000000,101.000000,2009-10-06,101.650002,100.050003,100.500000,652793
100.849998,100.849998,2009-10-07,101.599998,100.500000,100.800003,765322
101.449997,101.449997,2009-10-08,104.900002,100.500000,101.000000,1708226
101.250000,101.250000,2009-10-09,102.449997,100.599998,102.000000,730826
101.949997,101.949997,2009-10-12,103.949997,100.750000,101.199997,1328915
101.599998,101.599998,2009-10-13,101.599998,101.599998,101.599998,0
101.800003,101.800003,2009-10-14,103.300003,101.300003,101.599998,1089817
100.099998,100.099998,2009-10-15,102.800003,100.000000,102.550003,1169229
100.300003,100.300003,2009-10-16,101.500000,100.050003,100.800003,1342184
100.300003,100.300003,2009-10-20,101.500000,99.849998,101.449997,1009577
100.000000,100.000000,2009-10-21,100.699997,99.699997,100.150002,1110319
99.900002,99.900002,2009-10-22,100.400002,99.500000,99.750000,601857
100.449997,100.449997,2009-10-23,102.349998,100.000000,100.000000,640381
99.550003,99.550003,2009-10-26,100.800003,99.199997,100.000000,626330
97.900002,97.900002,2009-10-27,99.650002,94.250000,99.199997,1660868
97.000000,97.000000,2009-10-28,97.849998,95.000000,97.400002,1515118
95.400002,95.400002,2009-10-29,96.750000,95.099998,96.000000,225122
97.800003,97.800003,2009-10-30,100.500000,96.000000,96.500000,1484787
95.949997,95.949997,2009-11-03,97.250000,94.800003,95.500000,1322845
93.650002,93.650002,2009-11-04,97.250000,92.300003,96.500000,2237921
90.800003,90.800003,2009-11-05,93.750000,90.099998,93.699997,2449422
92.500000,92.500000,2009-11-06,97.300003,91.150002,96.099998,3525173
93.199997,93.199997,2009-11-09,93.900002,91.250000,93.449997,1057406
94.199997,94.199997,2009-11-10,95.650002,93.500000,94.000000,458451
93.849998,93.849998,2009-11-11,94.949997,93.099998,94.599998,606268
94.199997,94.199997,2009-11-12,95.000000,93.000000,93.000000,513956
93.000000,93.000000,2009-11-13,95.500000,92.500000,94.250000,608522
92.250000,92.250000,2009-11-16,94.300003,91.750000,93.949997,1656931
92.199997,92.199997,2009-11-17,93.750000,91.750000,92.800003,1247820
94.500000,94.500000,2009-11-18,95.050003,91.599998,92.300003,1422065
92.949997,92.949997,2009-11-19,97.599998,92.500000,94.550003,1696984
93.099998,93.099998,2009-11-20,93.849998,92.800003,92.800003,392123
94.900002,94.900002,2009-11-23,95.900002,92.599998,92.599998,548489
95.650002,95.650002,2009-11-24,96.849998,93.650002,94.500000,734081
