adj_close,close,date,high,low,open,volume
7.857869,13.090000,2002-07-01,13.250000,12.730000,12.800000,1628945
7.909017,12.370000,2002-07-02,12.540000,12.080000,12.080000,702900
7.755569,12.130000,2002-07-03,12.500000,12.080000,12.380000,385765
7.717204,12.070000,2002-07-04,12.290000,12.000000,12.230000,308835
7.582938,11.860000,2002-07-05,12.200000,11.810000,12.190000,313690
7.685236,12.020000,2002-07-08,12.260000,11.800000,11.800000,735540
7.787536,12.180000,2002-07-09,12.280000,11.820000,11.820000,267095
7.813111,12.220000,2002-07-10,12.500000,12.150000,12.200000,1325750
7.729993,12.090000,2002-07-11,12.240000,12.070000,12.190000,224875
7.704420,12.050000,2002-07-12,12.200000,11.970000,12.200000,861960
7.467852,11.680000,2002-07-15,12.100000,11.580000,12.000000,828060
7.077836,11.070000,2002-07-16,11.650000,10.960000,11.600000,1043050
7.167347,11.210000,2002-07-17,11.290000,11.000000,11.050000,277260
7.263252,11.360000,2002-07-18,11.800000,11.300000,11.800000,186985
7.269645,11.370000,2002-07-19,11.580000,11.310000,11.580000,137715
6.675030,10.440000,2002-07-22,11.100000,10.360000,11.100000,684615
7.026684,10.990000,2002-07-23,11.050000,10.400000,10.410000,402560
6.930780,10.840000,2002-07-24,11.000000,10.760000,10.990000,386045
6.917993,10.820000,2002-07-25,11.200000,10.800000,11.160000,117270
6.770936,10.590000,2002-07-26,10.690000,10.500000,10.650000,212455
6.655849,10.410000,2002-07-29,10.500000,10.100000,10.100000,352725
6.553550,10.250000,2002-07-30,10.690000,10.200000,10.530000,504930
6.547156,10.240000,2002-07-31,10.390000,9.820000,10.000000,278470
6.649456,10.400000,2002-08-01,10.520000,10.250000,10.440000,196820
6.572730,10.280000,2002-08-02,10.400000,10.200000,10.400000,145470
6.834873,10.690000,2002-08-05,11.800000,10.100000,10.100000,427945
6.559944,10.260000,2002-08-06,10.620000,10.200000,10.540000,674880
6.559944,10.260000,2002-08-07,10.470000,10.230000,10.300000,155085
6.419283,10.040000,2002-08-08,10.320000,10.000000,10.320000,366015
6.547156,10.240000,2002-08-09,10.290000,9.960000,9.960000,86265
6.668637,10.430000,2002-08-12,10.480000,10.300000,10.300000,100390
6.598306,10.320000,2002-08-13,10.600000,10.250000,10.600000,49290
6.540764,10.230000,2002-08-14,10.400000,8.770000,8.770000,364250
6.540764,10.230000,2002-08-15,10.230000,10.230000,10.230000,0
6.617488,10.350000,2002-08-16,10.380000,10.180000,10.370000,98485
6.591913,10.310000,2002-08-19,10.400000,8.580000,8.580000,396145
6.585518,10.300000,2002-08-20,10.370000,10.280000,10.370000,47500
6.572730,10.280000,2002-08-21,10.350000,10.250000,10.250000,90605
6.496007,10.160000,2002-08-22,10.350000,10.100000,10.200000,144075
6.585518,10.300000,2002-08-23,10.400000,10.250000,10.280000,140710
6.604700,10.330000,2002-08-26,10.390000,10.270000,10.270000,108420
6.585518,10.300000,2002-08-27,10.440000,10.200000,10.340000,361795
6.591913,10.310000,2002-08-28,10.360000,10.300000,10.360000,41885
6.585518,10.300000,2002-08-29,10.360000,10.220000,10.220000,60860
6.649456,10.400000,2002-08-30,10.440000,10.240000,10.350000,189100
6.572730,10.280000,2002-09-02,10.590000,10.220000,10.510000,163990
6.400102,10.010000,2002-09-03,10.400000,10.000000,10.400000,531540
6.380921,9.980000,2002-09-04,10.690000,9.900000,10.690000,223670
6.368134,9.960000,2002-09-05,10.410000,9.930000,10.410000,81530
6.278621,9.820000,2002-09-06,10.100000,9.800000,10.100000,207450
6.189110,9.680000,2002-09-09,9.890000,9.610000,9.780000,185160
6.189110,9.680000,2002-09-10,9.680000,9.680000,9.680000,0
6.118778,9.570000,2002-09-11,9.950000,9.510000,9.950000,268255
6.112385,9.560000,2002-09-12,9.780000,9.500000,9.780000,430175
