adj_close,close,date,high,low,open,volume
1.443779,2.149494,2002-07-01,2.170707,2.072222,2.087878,66107844
1.422746,2.118181,2002-07-02,2.179797,2.108585,2.148484,53452773
1.391198,2.071212,2002-07-03,2.129797,2.052525,2.129797,25342020
1.384413,2.061111,2002-07-04,2.098989,2.040909,2.061616,18499041
1.392894,2.073737,2002-07-05,2.090909,2.053030,2.053030,16883757
1.378986,2.053030,2002-07-08,2.091414,2.040404,2.089393,10296792
1.373558,2.044949,2002-07-09,2.090909,2.035353,2.053030,20924145
1.346758,2.005050,2002-07-10,2.059595,2.000000,2.049494,10935639
1.311818,1.953030,2002-07-11,2.040404,1.944444,2.005050,20377566
1.325048,1.972727,2002-07-12,2.000000,1.956060,1.976767,18052551
1.311139,1.952020,2002-07-15,1.979797,1.898989,1.969696,13241250
1.332511,1.983838,2002-07-16,2.010101,1.925252,1.938383,20203821
1.253130,1.865656,2002-07-17,1.986868,1.834343,1.979797,33077187
1.295195,1.928282,2002-07-18,1.946464,1.867676,1.867676,21906027
1.409516,2.098484,2002-07-19,2.124747,1.895454,1.918181,178203861
1.372201,2.042929,2002-07-22,2.140404,1.992424,2.046464,241586829
1.458706,2.171717,2002-07-23,2.199494,1.994949,2.019191,245092122
1.385092,2.062121,2002-07-24,2.173737,2.041414,2.131313,153412974
1.457688,2.170202,2002-07-25,2.211616,2.092929,2.101010,152682354
1.352186,2.013131,2002-07-26,2.170707,1.989898,2.140404,72129618
1.307407,1.946464,2002-07-29,2.038383,1.873737,2.027272,105033753
1.248380,1.858585,2002-07-30,2.020202,1.809595,1.996969,41241321
1.293499,1.925757,2002-07-31,1.979797,1.691919,1.818181,119529828
1.260253,1.876262,2002-08-01,1.997979,1.860606,1.997979,63843021
1.219885,1.816161,2002-08-02,1.873737,1.770202,1.858080,48163401
1.250755,1.862121,2002-08-05,1.903030,1.812121,1.812121,40581486
1.310121,1.950505,2002-08-06,1.959595,1.819191,1.837373,62228331
1.410195,2.099494,2002-08-07,2.156565,1.959595,1.980808,164726298
1.367452,2.035858,2002-08-08,2.120202,2.013636,2.106060,67887567
1.429192,2.127777,2002-08-09,2.141414,2.042929,2.080808,92680236
1.449546,2.158080,2002-08-12,2.181313,2.085858,2.136363,71447013
1.432924,2.133333,2002-08-13,2.186868,2.121212,2.141919,61183089
1.417658,2.110606,2002-08-14,2.135353,2.096464,2.110101,42146973
1.417658,2.110606,2002-08-15,2.110606,2.110606,2.110606,0
1.396286,2.078787,2002-08-16,2.145454,2.066666,2.116161,37533573
1.397643,2.080808,2002-08-19,2.117676,2.071212,2.090909,26254404
1.370505,2.040404,2002-08-20,2.100000,2.023232,2.100000,28631097
1.383395,2.059595,2002-08-21,2.090909,2.044949,2.045454,20480427
1.420372,2.114646,2002-08-22,2.145454,2.063131,2.069696,84163266
1.439370,2.142929,2002-08-23,2.165656,2.119696,2.122727,48241116
1.450904,2.160101,2002-08-26,2.191919,2.111111,2.136363,32773158
1.436994,2.139393,2002-08-27,2.169696,2.106060,2.151515,52630182
1.421729,2.116666,2002-08-28,2.181818,2.090909,2.121212,43540398
1.372201,2.042929,2002-08-29,2.111111,2.032323,2.110101,33561891
1.366095,2.033838,2002-08-30,2.051010,1.981818,2.029797,36358542
1.320637,1.966161,2002-09-02,2.074747,1.954545,2.049494,30129264
1.286714,1.915656,2002-09-03,2.004040,1.895454,1.969696,56147058
1.313174,1.955050,2002-09-04,1.986363,1.878787,1.888888,59432967
1.315549,1.958585,2002-09-05,1.997474,1.950505,1.969696,19440234
1.275858,1.899494,2002-09-06,1.957070,1.872222,1.957070,27017199
1.180194,1.757070,2002-09-09,1.888888,1.717171,1.888888,64503648
1.180194,1.757070,2002-09-10,1.757070,1.757070,1.757070,0
1.218188,1.813636,2002-09-11,1.838383,1.757575,1.761616,61583940
1.239475,1.793939,2002-09-12,1.841414,1.788888,1.807070,26577144
