adj_close,close,date,high,low,open,volume
29.298414,47.319656,2002-12-23,48.389576,40.705601,40.851501,17672356
29.870525,48.243675,2002-12-24,50.578049,47.660084,48.049145,15696373
29.870525,48.243675,2002-12-25,48.243675,48.243675,48.243675,0
29.539309,47.708717,2002-12-26,49.362228,47.465553,48.632740,4182425
30.322201,48.973167,2002-12-27,50.188988,47.660084,49.070435,5895949
29.539309,47.708717,2002-12-30,48.632740,47.368286,48.632740,2137393
29.900646,48.292309,2002-12-31,49.070435,47.465553,47.611450,2703263
29.840418,48.195045,2003-01-01,48.924534,47.757347,48.632740,1980501
29.509195,47.660084,2003-01-02,48.827271,47.416920,48.389576,1672415
29.810307,48.146412,2003-01-03,48.632740,47.708717,48.146412,2494500
27.943398,45.131180,2003-01-06,48.340942,44.936649,48.292309,2095719
28.395071,45.860672,2003-01-07,46.347000,43.866730,45.179813,3110089
28.575745,46.152470,2003-01-08,46.784695,45.860672,45.909306,1502442
30.894318,49.897190,2003-01-09,50.529415,46.103836,46.201103,7525263
31.556767,50.967110,2003-01-10,53.058319,49.119064,50.529415,8925420
32.309563,52.182930,2003-01-13,52.912418,50.772579,51.453438,3580028
32.640789,52.717888,2003-01-14,53.398746,51.550701,52.669254,3723028
33.273129,53.739178,2003-01-15,54.225506,52.620625,53.204216,4139475
33.574238,54.225506,2003-01-16,54.857731,53.593277,53.593277,3742346
33.483898,54.079605,2003-01-17,54.857731,53.350113,54.468666,2538264
35.380920,57.143467,2003-01-20,57.678429,54.225506,54.225506,8251433
40.861198,65.994629,2003-01-21,66.821381,57.581161,58.845615,18386973
40.710648,65.751465,2003-01-22,70.663368,64.146584,67.113182,18288468
42.005428,67.842674,2003-01-23,70.079781,64.292480,65.654198,16129535
39.325523,63.514359,2003-01-24,68.766693,62.638969,67.842674,8165154
37.006939,59.769634,2003-01-27,64.681541,58.602451,64.681541,6289079
38.903961,62.833500,2003-01-28,63.514359,59.477840,60.304596,6841612
39.385735,63.611622,2003-01-29,65.897362,62.833500,63.708889,7404316
38.572731,62.298538,2003-01-30,64.681541,61.909477,64.146584,3601296
37.488712,60.547760,2003-01-31,62.444435,59.818268,62.249905,4819148
39.114738,63.173927,2003-02-03,63.514359,60.936821,61.277252,4098036
40.800983,65.897362,2003-02-04,68.718063,64.000687,64.000687,16233054
40.439636,65.313766,2003-02-05,67.307709,64.584274,66.140526,6890782
41.403210,66.870018,2003-02-06,67.307709,63.514359,65.167870,9863875
40.258976,65.021973,2003-02-07,67.453606,64.681541,67.453606,5580513
38.422173,62.055374,2003-02-10,65.167870,61.617680,65.167870,4267093
37.458611,60.499126,2003-02-11,63.076660,60.207333,62.249905,5325542
37.518829,60.596394,2003-02-12,62.055374,58.748348,60.304596,5611380
37.518829,60.596394,2003-02-13,60.596394,60.596394,60.596394,0
35.441143,57.240734,2003-02-14,61.034088,56.900303,61.034088,6275873
38.512505,62.201275,2003-02-17,62.930763,58.359287,59.040146,7099684
