adj_close,close,date,high,low,open,volume
4.336057,7.768000,2002-07-01,7.818000,7.636000,7.652000,87475
4.253446,7.620000,2002-07-02,7.818000,7.528000,7.660000,69055
4.174180,7.478000,2002-07-03,7.728000,7.336000,7.728000,134400
4.155201,7.444000,2002-07-04,7.818000,7.402000,7.570000,129465
4.174180,7.478000,2002-07-05,7.620000,7.428000,7.486000,236325
4.285820,7.678000,2002-07-08,7.918000,7.528000,7.652000,330565
4.401925,7.886000,2002-07-09,7.976000,7.686000,7.778000,247270
4.359501,7.810000,2002-07-10,8.194000,7.752000,8.068000,524445
4.355659,6.804000,2002-07-11,7.154000,6.762000,7.054000,173015
4.365902,6.820000,2002-07-12,6.970000,6.696000,6.796000,82790
4.207143,6.572000,2002-07-15,6.986000,6.496000,6.946000,159125
4.062466,6.346000,2002-07-16,6.546000,6.322000,6.546000,93500
4.025338,6.288000,2002-07-17,6.488000,6.156000,6.488000,56785
4.153369,6.488000,2002-07-18,6.572000,6.254000,6.338000,78065
4.126482,6.446000,2002-07-19,6.588000,6.446000,6.588000,69875
4.015093,6.272000,2002-07-22,6.380000,6.156000,6.322000,55505
4.062466,6.346000,2002-07-23,6.396000,6.188000,6.314000,115300
4.089352,6.388000,2002-07-24,6.404000,6.264000,6.272000,16470
4.153369,6.488000,2002-07-25,6.630000,6.446000,6.462000,111670
4.148247,6.480000,2002-07-26,6.604000,6.422000,6.454000,60100
3.977964,6.214000,2002-07-29,6.488000,6.030000,6.488000,54445
4.111117,6.422000,2002-07-30,6.654000,6.206000,6.206000,90465
3.919069,6.122000,2002-07-31,6.322000,6.006000,6.322000,105365
3.908828,6.106000,2002-08-01,6.438000,6.072000,6.188000,99435
3.860175,6.030000,2002-08-02,6.114000,5.906000,5.988000,92175
3.892182,6.080000,2002-08-05,6.254000,6.072000,6.172000,45820
3.908828,6.106000,2002-08-06,6.222000,6.038000,6.222000,46710
3.934435,6.146000,2002-08-07,6.322000,6.130000,6.322000,39640
3.908828,6.106000,2002-08-08,6.254000,6.048000,6.156000,27890
3.983086,6.222000,2002-08-09,6.230000,5.822000,6.006000,15875
3.961321,6.188000,2002-08-12,6.214000,6.072000,6.156000,23785
3.919069,6.122000,2002-08-13,6.196000,6.096000,6.156000,7550
3.966441,6.196000,2002-08-14,6.222000,6.088000,6.088000,21770
3.966441,6.196000,2002-08-15,6.196000,6.196000,6.196000,0
4.067587,6.354000,2002-08-16,6.364000,6.222000,6.238000,33930
4.057344,6.338000,2002-08-19,6.446000,6.330000,6.346000,17690
4.079110,6.372000,2002-08-20,6.404000,6.322000,6.388000,25900
4.067587,6.354000,2002-08-21,6.438000,6.322000,6.372000,12815
4.099595,6.404000,2002-08-22,6.438000,6.338000,6.396000,14375
4.084232,6.380000,2002-08-23,6.446000,6.322000,6.322000,19290
4.041982,6.314000,2002-08-26,6.480000,6.272000,6.480000,25190
4.067587,6.354000,2002-08-27,6.354000,6.280000,6.322000,16260
4.105998,6.414000,2002-08-28,6.438000,6.322000,6.322000,20850
4.084232,6.380000,2002-08-29,6.422000,6.322000,6.330000,13770
4.052223,6.330000,2002-08-30,6.396000,6.322000,6.364000,6700
4.143126,6.472000,2002-09-02,6.512000,6.322000,6.404000,36055
4.153369,6.488000,2002-09-03,6.604000,6.404000,6.404000,98710
4.217385,6.588000,2002-09-04,6.612000,6.446000,6.446000,43165
4.269879,6.670000,2002-09-05,6.704000,6.446000,6.488000,53535
4.212264,6.580000,2002-09-06,6.580000,6.488000,6.530000,45500
4.212264,6.580000,2002-09-09,6.604000,6.504000,6.562000,25275
4.212264,6.580000,2002-09-10,6.580000,6.580000,6.580000,0
4.244272,6.630000,2002-09-11,6.738000,6.530000,6.572000,18125
4.264758,6.662000,2002-09-12,6.712000,6.530000,6.530000,9320
4.281401,6.688000,2002-09-13,6.704000,6.580000,6.654000,10295
4.269879,6.670000,2002-09-16,6.704000,6.654000,6.654000,9255
4.296765,6.712000,2002-09-17,6.812000,6.654000,6.738000,25145
4.313408,6.738000,2002-09-18,6.804000,6.696000,6.696000,42510
4.333895,6.770000,2002-09-19,6.778000,6.696000,6.738000,39700
4.308289,6.730000,2002-09-20,6.804000,6.688000,6.738000,40950
4.259636,6.654000,2002-09-23,6.928000,6.596000,6.928000,33240
4.291643,6.704000,2002-09-24,6.720000,6.512000,6.654000,69630
4.286523,6.696000,2002-09-25,6.738000,6.620000,6.654000,15335
4.318531,6.746000,2002-09-26,6.778000,6.612000,6.778000,19080
4.281401,6.688000,2002-09-27,6.804000,6.588000,6.588000,12125
4.397911,6.870000,2002-09-30,6.904000,6.654000,6.654000,28685
4.301886,6.720000,2002-10-01,6.804000,6.704000,6.746000,12635
4.301886,6.720000,2002-10-02,6.720000,6.720000,6.720000,0
4.276280,6.680000,2002-10-03,6.746000,6.654000,6.738000,14925
4.259636,6.654000,2002-10-04,6.738000,6.646000,6.646000,21750
4.264758,6.662000,2002-10-07,6.762000,6.612000,6.670000,4750
4.264758,6.662000,2002-10-08,6.820000,6.662000,6.738000,8005
4.269879,6.670000,2002-10-09,6.696000,6.662000,6.696000,13550
4.291643,6.704000,2002-10-10,6.778000,6.662000,6.688000,26260
4.345417,6.788000,2002-10-11,6.838000,6.654000,6.654000,19670
4.318531,6.746000,2002-10-14,6.820000,6.662000,6.662000,16475
4.318531,6.746000,2002-10-15,6.746000,6.746000,6.746000,0
4.318531,6.746000,2002-10-16,6.904000,6.738000,6.738000,11135
4.269879,6.670000,2002-10-17,6.804000,6.654000,6.654000,14500
4.301886,6.720000,2002-10-18,6.896000,6.654000,6.896000,14565
4.318531,6.746000,2002-10-21,6.788000,6.654000,6.738000,11635
4.286523,6.696000,2002-10-22,6.738000,6.670000,6.704000,9515
4.313408,6.738000,2002-10-23,6.738000,6.654000,6.738000,9975
4.237869,6.620000,2002-10-24,6.730000,6.072000,6.072000,12055
4.185377,6.538000,2002-10-25,6.638000,6.488000,6.638000,13500
4.190498,6.546000,2002-10-28,6.646000,6.522000,6.538000,11400
4.232749,6.612000,2002-10-29,6.654000,6.530000,6.572000,19250
4.249393,6.638000,2002-10-30,6.654000,6.572000,6.572000,11475
4.483692,7.004000,2002-10-31,7.236000,6.788000,6.788000,77575
4.409433,6.888000,2002-11-01,7.046000,6.846000,7.046000,16615
4.461926,6.970000,2002-11-04,7.478000,6.870000,7.304000,8500
4.333895,6.770000,2002-11-05,6.946000,6.754000,6.754000,7925
4.333895,6.770000,2002-11-06,6.770000,6.770000,6.770000,0
4.328773,6.762000,2002-11-07,6.820000,6.738000,6.746000,14765
4.318531,6.746000,2002-11-08,6.770000,6.620000,6.770000,22890
4.281401,6.688000,2002-11-11,6.762000,6.654000,6.762000,19675
4.296765,6.712000,2002-11-12,6.738000,6.670000,6.738000,4750
4.276280,6.680000,2002-11-13,6.738000,6.654000,6.738000,5270
4.286523,6.696000,2002-11-14,6.730000,6.620000,6.696000,12635
4.345417,6.788000,2002-11-15,6.904000,6.662000,6.704000,17500
4.301886,6.720000,2002-11-18,6.820000,6.654000,6.820000,13060
4.301886,6.720000,2002-11-19,6.720000,6.720000,6.720000,0
4.339016,6.778000,2002-11-20,6.796000,6.738000,6.778000,19140
4.323652,6.754000,2002-11-21,6.804000,6.670000,6.670000,63525
4.377425,6.838000,2002-11-22,6.862000,6.754000,6.754000,20915
4.488814,7.012000,2002-11-25,7.028000,6.862000,6.862000,45385
4.525943,7.070000,2002-11-26,7.128000,6.986000,6.986000,34455
4.525943,7.070000,2002-11-27,7.104000,6.986000,6.986000,12995
4.568195,7.136000,2002-11-28,7.154000,6.986000,6.986000,14125
4.605323,7.194000,2002-11-29,7.194000,7.070000,7.070000,11750
4.685983,7.320000,2002-12-02,7.420000,7.120000,7.204000,58780
4.621967,7.220000,2002-12-03,7.320000,7.154000,7.278000,27660
4.600201,7.186000,2002-12-04,7.270000,7.154000,7.154000,15615
4.664217,7.286000,2002-12-05,7.336000,7.178000,7.194000,39905
4.643733,7.254000,2002-12-06,7.270000,7.154000,7.236000,28210
4.632210,7.236000,2002-12-09,7.254000,7.054000,7.236000,21885
4.653975,7.270000,2002-12-10,7.278000,7.012000,7.012000,22130
4.632210,7.236000,2002-12-11,7.486000,7.144000,7.154000,19475
4.616846,7.212000,2002-12-12,7.344000,7.204000,7.236000,12270
4.643733,7.254000,2002-12-13,7.294000,7.236000,7.236000,16905
4.600201,7.186000,2002-12-16,7.312000,7.086000,7.312000,22785
4.504177,7.036000,2002-12-17,7.144000,6.904000,6.986000,18895
4.525943,7.070000,2002-12-18,7.278000,6.996000,7.154000,27765
4.478571,6.996000,2002-12-19,7.154000,6.996000,7.070000,12755
4.552831,7.112000,2002-12-20,7.194000,7.036000,7.036000,6705
4.504177,7.036000,2002-12-23,7.320000,6.986000,7.320000,15555
4.488814,7.012000,2002-12-24,7.086000,6.978000,7.012000,41975
4.488814,7.012000,2002-12-25,7.012000,7.012000,7.012000,0
4.493935,7.020000,2002-12-26,7.228000,7.004000,7.020000,8210
4.488814,7.012000,2002-12-27,7.120000,6.946000,7.070000,86945
4.424797,6.912000,2002-12-30,6.986000,6.904000,6.986000,44300
4.424797,6.912000,2002-12-31,6.986000,6.404000,6.746000,48975
4.451684,6.954000,2003-01-01,7.062000,6.920000,7.062000,5655
4.409433,6.888000,2003-01-02,6.986000,6.862000,6.862000,49415
4.392789,6.862000,2003-01-03,6.978000,6.846000,6.920000,31515
4.441441,6.938000,2003-01-06,7.104000,6.870000,7.104000,25050
4.441441,6.938000,2003-01-07,7.120000,6.920000,7.120000,22800
4.472169,6.986000,2003-01-08,6.986000,6.854000,6.870000,41125
4.456806,6.962000,2003-01-09,6.986000,6.904000,6.986000,30655
4.446563,6.946000,2003-01-10,6.986000,6.904000,6.978000,25875
4.419676,6.904000,2003-01-13,7.020000,6.904000,7.020000,18125
4.424797,6.912000,2003-01-14,7.112000,6.820000,6.820000,87515
4.414553,6.896000,2003-01-15,6.986000,6.862000,6.920000,28135
4.414553,6.896000,2003-01-16,6.986000,6.870000,6.878000,105960
4.397911,6.870000,2003-01-17,6.970000,6.854000,6.970000,70750
4.419676,6.904000,2003-01-20,7.028000,6.870000,6.904000,48750
4.461926,6.970000,2003-01-21,7.020000,6.904000,6.986000,43915
4.557950,7.120000,2003-01-22,7.154000,6.588000,6.696000,74770
4.478571,6.996000,2003-01-23,7.112000,6.946000,7.046000,48005
4.504177,7.036000,2003-01-24,7.112000,6.954000,7.112000,54975
4.360781,6.812000,2003-01-27,7.070000,6.788000,7.046000,119325
4.387667,6.854000,2003-01-28,6.938000,6.846000,6.896000,18700
4.414553,6.896000,2003-01-29,6.954000,6.854000,6.954000,47220
4.409433,6.888000,2003-01-30,6.978000,6.820000,6.978000,68555
4.409433,6.888000,2003-01-31,6.938000,6.778000,6.778000,31255
4.478571,6.996000,2003-02-03,7.028000,6.904000,6.962000,32350
4.579716,7.154000,2003-02-04,7.312000,7.028000,7.312000,55830
4.568195,7.136000,2003-02-05,7.154000,7.078000,7.136000,31380
4.600201,7.186000,2003-02-06,7.220000,7.070000,7.070000,30880
4.616846,7.212000,2003-02-07,7.320000,7.162000,7.162000,33100
4.691105,7.328000,2003-02-10,7.336000,7.154000,7.236000,49605
4.701347,7.344000,2003-02-11,7.402000,6.888000,6.888000,38725
4.744877,7.412000,2003-02-12,7.470000,7.254000,7.278000,56260
4.744877,7.412000,2003-02-13,7.412000,7.412000,7.412000,0
4.691105,7.328000,2003-02-14,7.436000,7.320000,7.344000,41420
4.829379,7.544000,2003-02-17,7.644000,7.378000,7.486000,55015
4.952291,7.736000,2003-02-18,7.818000,7.502000,7.620000,65990
4.908760,7.668000,2003-02-19,7.876000,7.660000,7.678000,52645
4.814015,7.520000,2003-02-20,7.728000,7.412000,7.652000,97115
4.898516,7.652000,2003-02-21,7.752000,7.570000,7.652000,111185
4.999661,7.810000,2003-02-24,7.894000,7.686000,7.752000,49865
4.972775,7.768000,2003-02-25,7.852000,7.760000,7.786000,24950
4.972775,7.768000,2003-02-26,7.818000,7.718000,7.818000,39540
5.011186,7.828000,2003-02-27,7.852000,7.736000,7.794000,53140
5.068800,7.918000,2003-02-28,8.152000,7.886000,7.944000,88335
5.095687,7.960000,2003-03-03,8.060000,7.860000,7.986000,36650
5.073921,7.926000,2003-03-04,8.068000,7.876000,8.068000,39545
4.920282,7.686000,2003-03-05,7.902000,7.652000,7.902000,42135
4.807613,7.510000,2003-03-06,7.652000,7.494000,7.652000,60635
4.782007,7.470000,2003-03-07,7.528000,7.362000,7.528000,57205
4.888274,7.636000,2003-03-10,7.694000,7.402000,7.402000,29785
5.789910,7.860000,2003-03-11,7.986000,7.320000,7.320000,203520
5.552715,7.538000,2003-03-12,7.912000,7.502000,7.912000,72855
5.539455,7.520000,2003-03-13,7.684000,7.466000,7.684000,55430
5.539455,7.520000,2003-03-14,7.520000,7.520000,7.520000,0
5.560082,7.548000,2003-03-17,7.648000,7.502000,7.638000,70400
5.560082,7.548000,2003-03-18,7.548000,7.548000,7.548000,0
5.297841,7.192000,2003-03-19,7.556000,7.166000,7.520000,108275
5.237437,7.110000,2003-03-20,7.284000,7.102000,7.266000,63880
5.258062,7.138000,2003-03-21,7.202000,7.110000,7.120000,62875
5.271321,7.156000,2003-03-24,7.192000,7.120000,7.138000,25600
5.190292,7.046000,2003-03-25,7.102000,6.946000,7.084000,33490
4.942785,6.710000,2003-03-26,7.020000,6.674000,7.010000,51790
4.956044,6.728000,2003-03-27,6.756000,6.600000,6.738000,41155
4.976670,6.756000,2003-03-28,6.902000,6.592000,6.738000,21065
4.982563,6.764000,2003-03-31,6.828000,6.418000,6.738000,55320
5.042966,6.846000,2003-04-01,6.892000,6.782000,6.802000,16735
5.076851,6.892000,2003-04-02,6.910000,6.828000,6.828000,13925
5.144622,6.984000,2003-04-03,7.128000,6.974000,7.128000,28295
5.157880,7.002000,2003-04-04,7.084000,6.984000,7.084000,52020
5.171141,7.020000,2003-04-07,7.102000,6.974000,7.028000,43040
5.237437,7.110000,2003-04-08,7.138000,6.920000,6.920000,68980
5.278689,7.166000,2003-04-09,7.210000,7.020000,7.084000,228610
5.297841,7.192000,2003-04-10,7.238000,7.102000,7.110000,116610
5.144622,6.984000,2003-04-11,7.110000,6.664000,7.110000,45420
null,null,2003-04-14,null,null,null,null
5.278689,7.166000,2003-04-15,7.192000,7.010000,7.102000,64900
5.210918,7.074000,2003-04-16,7.210000,7.010000,7.028000,112035
5.224178,7.092000,2003-04-17,7.102000,6.938000,7.092000,44665
5.224178,7.092000,2003-04-18,7.092000,7.092000,7.092000,0
5.177033,7.028000,2003-04-21,7.092000,6.966000,6.984000,70735
5.231544,7.102000,2003-04-22,7.192000,6.992000,7.010000,149510
5.205026,7.066000,2003-04-23,7.284000,7.020000,7.284000,155580
5.184399,7.038000,2003-04-24,7.148000,6.992000,7.102000,126400
5.190292,7.046000,2003-04-25,7.084000,6.846000,7.020000,243485
5.163774,7.010000,2003-04-28,7.192000,7.010000,7.010000,176475
5.123996,6.956000,2003-04-29,7.074000,6.928000,7.010000,86040
4.963411,6.738000,2003-04-30,7.010000,6.592000,7.010000,100250
4.963411,6.738000,2003-05-01,6.738000,6.738000,6.738000,0
5.554187,7.540000,2003-05-02,7.580000,6.000000,6.000000,31035
5.184399,7.038000,2003-05-05,7.102000,6.920000,6.920000,83670
5.171141,7.020000,2003-05-06,7.056000,6.992000,7.010000,49915
5.157880,7.002000,2003-05-07,7.056000,6.984000,7.046000,49570
5.144622,6.984000,2003-05-08,7.056000,6.938000,7.002000,52490
5.184399,7.038000,2003-05-09,7.066000,6.974000,7.056000,15350
5.137255,6.974000,2003-05-12,7.046000,6.938000,6.984000,56880
5.097476,6.920000,2003-05-13,7.046000,6.902000,7.010000,161725
5.037074,6.838000,2003-05-14,7.028000,6.810000,7.028000,106160
5.076851,6.892000,2003-05-15,7.010000,6.828000,6.920000,173215
5.150514,6.992000,2003-05-16,7.010000,6.920000,6.974000,58375
5.137255,6.974000,2003-05-19,7.010000,6.838000,6.838000,58525
5.144622,6.984000,2003-05-20,7.056000,6.966000,7.010000,79380
5.284581,7.174000,2003-05-21,7.202000,7.010000,7.010000,134590
5.244804,7.120000,2003-05-22,7.230000,7.074000,7.102000,76745
5.291949,7.184000,2003-05-23,7.284000,7.056000,7.056000,76300
5.465792,7.420000,2003-05-26,7.466000,7.102000,7.192000,74915
5.539455,7.520000,2003-05-27,7.630000,7.374000,7.374000,84920
5.613118,7.620000,2003-05-28,7.738000,7.466000,7.648000,95225
5.633742,7.648000,2003-05-29,7.848000,7.566000,7.666000,126965
5.613118,7.620000,2003-05-30,7.784000,7.556000,7.694000,49360
5.633742,7.648000,2003-06-02,7.720000,7.302000,7.648000,176540
5.700040,7.738000,2003-06-03,7.830000,7.648000,7.648000,91315
5.775177,7.840000,2003-06-04,7.922000,7.612000,7.612000,78710
5.828215,7.912000,2003-06-05,8.012000,7.766000,7.994000,56900
5.781070,7.848000,2003-06-06,7.966000,7.758000,7.830000,59620
5.760445,7.820000,2003-06-09,7.848000,7.648000,7.648000,134340
5.767811,7.830000,2003-06-10,7.922000,7.648000,7.738000,119030
5.807589,7.884000,2003-06-11,7.976000,7.748000,7.830000,111305
5.741291,7.794000,2003-06-12,7.894000,7.766000,7.766000,62530
5.760445,7.820000,2003-06-13,7.876000,7.738000,7.784000,119375
5.733925,7.784000,2003-06-16,7.876000,7.694000,7.694000,34545
5.775177,7.840000,2003-06-17,7.866000,7.794000,7.830000,70950
