adj_close,close,date,high,low,open,volume
6.476114,8.585000,2002-07-01,8.675000,8.535000,8.610000,2331240
6.476114,8.585000,2002-07-02,8.615000,8.525000,8.575000,925272
6.476114,8.585000,2002-07-03,8.640000,8.540000,8.585000,1304064
6.457253,8.560000,2002-07-04,8.665000,8.540000,8.660000,1589202
6.649615,8.815000,2002-07-05,9.000000,8.565000,8.635000,3139716
6.940040,9.200000,2002-07-08,9.435000,9.000000,9.250000,3198990
6.777852,8.985000,2002-07-09,9.325000,8.935000,9.325000,1227414
6.721281,8.910000,2002-07-10,9.335000,8.815000,9.115000,2063592
6.649615,8.815000,2002-07-11,8.950000,8.790000,8.950000,833010
6.626985,8.785000,2002-07-12,9.000000,8.735000,9.000000,731904
6.506287,8.625000,2002-07-15,8.815000,8.600000,8.815000,447222
6.457253,8.560000,2002-07-16,8.665000,8.535000,8.665000,563910
6.344101,8.410000,2002-07-17,8.575000,8.385000,8.540000,1429992
6.404450,8.490000,2002-07-18,8.540000,8.415000,8.515000,647460
6.385592,8.465000,2002-07-19,8.565000,8.415000,8.565000,600246
6.102711,8.090000,2002-07-22,8.500000,8.015000,8.500000,1284174
6.027274,7.990000,2002-07-23,8.335000,7.815000,8.090000,909546
6.004644,7.960000,2002-07-24,8.040000,7.840000,7.960000,856566
6.136656,8.135000,2002-07-25,8.275000,8.035000,8.035000,546036
6.008414,7.965000,2002-07-26,8.160000,7.865000,8.050000,789396
5.857546,7.765000,2002-07-29,8.210000,7.660000,8.060000,503064
5.782109,7.665000,2002-07-30,8.085000,7.610000,7.835000,533520
5.838686,7.740000,2002-07-31,7.835000,7.525000,7.835000,794052
5.997100,7.950000,2002-08-01,8.040000,7.685000,7.760000,604092
6.015958,7.975000,2002-08-02,8.040000,7.665000,7.665000,304596
6.136656,8.135000,2002-08-05,8.485000,7.960000,8.085000,457794
6.121569,8.115000,2002-08-06,8.165000,8.010000,8.035000,339018
6.166831,8.175000,2002-08-07,8.250000,8.050000,8.175000,457122
5.891490,7.810000,2002-08-08,8.150000,7.715000,8.100000,794556
6.080080,8.060000,2002-08-09,8.085000,7.790000,7.875000,264414
6.042361,8.010000,2002-08-12,8.125000,7.940000,8.085000,172794
6.166831,8.175000,2002-08-13,8.300000,7.940000,7.985000,375816
6.102711,8.090000,2002-08-14,8.165000,8.000000,8.000000,238728
6.102711,8.090000,2002-08-15,8.090000,8.090000,8.090000,0
6.117797,8.110000,2002-08-16,8.165000,8.015000,8.065000,256134
6.098937,8.085000,2002-08-19,8.250000,8.035000,8.250000,155046
6.083850,8.065000,2002-08-20,8.150000,8.015000,8.150000,215832
6.083850,8.065000,2002-08-21,8.125000,8.010000,8.025000,253200
6.053676,8.025000,2002-08-22,8.100000,8.000000,8.100000,204330
6.117797,8.110000,2002-08-23,8.165000,7.975000,8.010000,225000
6.110253,8.100000,2002-08-26,8.210000,8.010000,8.210000,240966
6.023501,7.985000,2002-08-27,8.100000,7.950000,8.075000,481866
6.027274,7.990000,2002-08-28,8.085000,7.865000,8.085000,241764
6.034817,8.000000,2002-08-29,8.075000,7.865000,7.865000,168246
6.008414,7.965000,2002-08-30,8.085000,7.935000,8.085000,128442
