adj_close,close,date,high,low,open,volume
641.599976,641.599976,2017-03-21,648.900024,558.299988,600.000000,85728445
638.549988,638.549988,2017-03-22,657.450012,625.099976,641.549988,15817671
634.849976,634.849976,2017-03-23,648.000000,628.150024,637.900024,4690121
616.900024,616.900024,2017-03-24,640.450012,612.599976,635.450012,4865013
614.400024,614.400024,2017-03-27,623.000000,602.349976,615.000000,3535098
628.799988,628.799988,2017-03-28,633.400024,615.099976,617.200012,2981122
628.250000,628.250000,2017-03-29,637.000000,622.400024,632.900024,2407007
631.849976,631.849976,2017-03-30,635.000000,622.200012,624.200012,1324054
637.849976,637.849976,2017-03-31,652.299988,630.000000,634.400024,2075789
634.250000,634.250000,2017-04-03,643.000000,633.000000,638.000000,992545
632.150024,632.150024,2017-04-05,645.099976,628.299988,636.000000,820437
664.400024,664.400024,2017-04-06,668.400024,630.200012,632.000000,5166823
751.200012,751.200012,2017-04-07,761.349976,664.000000,665.900024,16504569
774.099976,774.099976,2017-04-10,806.900024,759.049988,769.000000,14333464
778.549988,778.549988,2017-04-11,791.099976,768.349976,778.900024,4283589
762.200012,762.200012,2017-04-12,782.900024,755.000000,779.000000,2435513
783.250000,783.250000,2017-04-13,806.900024,756.000000,756.900024,6262741
774.049988,774.049988,2017-04-17,789.700012,766.599976,785.900024,2786771
730.150024,730.150024,2017-04-18,774.900024,725.099976,774.900024,4750180
732.799988,732.799988,2017-04-19,752.000000,722.000000,735.000000,2052184
756.299988,756.299988,2017-04-20,765.000000,732.400024,740.000000,3218061
743.200012,743.200012,2017-04-21,765.000000,739.000000,760.000000,1237439
726.299988,726.299988,2017-04-24,748.000000,724.150024,748.000000,1249610
734.799988,734.799988,2017-04-25,739.900024,721.150024,731.000000,1519949
747.900024,747.900024,2017-04-26,753.950012,731.000000,736.450012,2080565
740.099976,740.099976,2017-04-27,749.700012,736.099976,749.000000,614735
736.500000,736.500000,2017-04-28,747.000000,735.000000,743.849976,516172
752.299988,752.299988,2017-05-02,762.900024,737.250000,737.250000,1808851
756.849976,756.849976,2017-05-03,762.000000,746.799988,753.000000,1083002
773.250000,773.250000,2017-05-04,793.000000,762.200012,762.200012,2607954
808.900024,808.900024,2017-05-05,814.400024,766.099976,778.000000,4332891
780.150024,780.150024,2017-05-08,824.500000,770.200012,823.650024,3972924
780.049988,780.049988,2017-05-09,793.000000,775.599976,782.900024,1199297
790.849976,790.849976,2017-05-10,795.000000,780.000000,781.900024,1251054
761.799988,761.799988,2017-05-11,790.500000,756.000000,789.700012,1038372
751.799988,751.799988,2017-05-12,768.000000,736.700012,763.900024,1137225
752.150024,752.150024,2017-05-15,761.450012,744.000000,755.500000,617269
750.400024,750.400024,2017-05-16,757.900024,741.000000,752.099976,600525
744.900024,744.900024,2017-05-17,756.900024,742.900024,751.700012,458274
727.450012,727.450012,2017-05-18,748.000000,724.500000,739.950012,698857
722.900024,722.900024,2017-05-19,738.650024,713.650024,730.000000,686573
721.549988,721.549988,2017-05-22,734.500000,720.099976,729.400024,361363
708.400024,708.400024,2017-05-23,725.000000,691.549988,724.950012,1362902
714.200012,714.200012,2017-05-24,722.900024,701.000000,710.400024,748251
712.400024,712.400024,2017-05-25,720.000000,705.500000,720.000000,508214
714.900024,714.900024,2017-05-26,732.000000,709.450012,714.000000,790476
714.799988,714.799988,2017-05-29,719.750000,710.000000,715.000000,307830
727.849976,727.849976,2017-05-30,742.849976,710.000000,715.000000,912185
745.150024,745.150024,2017-05-31,750.799988,726.400024,731.799988,883930
776.849976,776.849976,2017-06-01,782.000000,745.000000,749.900024,1557053
779.650024,779.650024,2017-06-02,794.599976,776.849976,783.849976,738963
789.750000,789.750000,2017-06-05,811.000000,775.299988,782.700012,1662267
775.349976,775.349976,2017-06-06,800.500000,772.549988,792.799988,761302
774.299988,774.299988,2017-06-07,784.500000,771.250000,777.000000,335268
790.250000,790.250000,2017-06-08,799.799988,768.049988,776.950012,1170440
802.349976,802.349976,2017-06-09,811.000000,783.150024,789.950012,1485266
804.099976,804.099976,2017-06-12,823.000000,797.000000,804.000000,1211793
798.650024,798.650024,2017-06-13,815.000000,795.099976,807.700012,679152
798.549988,798.549988,2017-06-14,807.000000,792.000000,802.000000,406225
797.950012,797.950012,2017-06-15,807.000000,793.000000,800.000000,376579
800.099976,800.099976,2017-06-16,812.000000,796.950012,802.400024,579782
796.400024,796.400024,2017-06-19,806.250000,791.000000,804.799988,302416
822.049988,822.049988,2017-06-20,836.700012,796.000000,796.000000,1759720
817.799988,817.799988,2017-06-21,838.799988,813.299988,825.799988,1466750
803.900024,803.900024,2017-06-22,824.000000,800.000000,819.950012,674073
801.599976,801.599976,2017-06-23,809.250000,789.799988,805.799988,799811
804.599976,804.599976,2017-06-27,807.000000,794.700012,803.900024,472470
818.049988,818.049988,2017-06-28,822.900024,797.000000,802.400024,842867
815.500000,815.500000,2017-06-29,826.450012,813.000000,825.000000,443572
815.099976,815.099976,2017-06-30,820.000000,805.000000,810.900024,365653
840.049988,840.049988,2017-07-03,847.900024,808.000000,811.599976,1577531
836.200012,836.200012,2017-07-04,843.000000,829.000000,843.000000,590080
846.049988,846.049988,2017-07-05,854.950012,830.849976,834.900024,795100
880.299988,880.299988,2017-07-06,909.000000,847.549988,847.549988,3412326
895.450012,895.450012,2017-07-07,910.000000,882.000000,882.799988,2129887
934.599976,934.599976,2017-07-10,944.000000,901.049988,901.049988,645059
913.950012,913.950012,2017-07-11,954.900024,907.500000,946.000000,1185183
910.299988,910.299988,2017-07-12,934.400024,905.000000,914.000000,1206562
915.150024,915.150024,2017-07-13,933.700012,910.250000,915.000000,1139296
891.349976,891.349976,2017-07-14,921.900024,872.500000,920.000000,1325017
911.700012,911.700012,2017-07-17,917.700012,886.049988,894.900024,951306
910.650024,910.650024,2017-07-18,920.000000,901.049988,908.900024,509382
911.700012,911.700012,2017-07-19,924.950012,907.450012,914.200012,524342
909.200012,909.200012,2017-07-20,918.799988,905.099976,914.799988,504126
914.750000,914.750000,2017-07-21,921.000000,907.000000,912.500000,648124
916.549988,916.549988,2017-07-24,964.000000,911.000000,937.000000,2518684
925.650024,925.650024,2017-07-25,933.299988,905.650024,917.500000,1018767
909.599976,909.599976,2017-07-26,932.900024,893.000000,930.000000,1512281
896.900024,896.900024,2017-07-27,915.000000,892.400024,907.900024,534158
898.549988,898.549988,2017-07-28,908.000000,888.099976,894.000000,501864
919.700012,919.700012,2017-07-31,925.500000,897.000000,904.000000,925153
916.049988,916.049988,2017-08-01,930.000000,913.099976,921.000000,388020
906.799988,906.799988,2017-08-02,919.000000,902.250000,914.500000,230945
898.099976,898.099976,2017-08-03,909.900024,895.000000,905.950012,242241
911.349976,911.349976,2017-08-04,922.400024,894.250000,898.900024,649179
923.799988,923.799988,2017-08-07,933.000000,915.000000,921.000000,418558
902.299988,902.299988,2017-08-08,927.650024,900.000000,923.000000,372966
889.250000,889.250000,2017-08-09,910.900024,882.400024,901.000000,358608
880.799988,880.799988,2017-08-10,894.849976,871.099976,888.799988,359649
890.099976,890.099976,2017-08-11,903.400024,860.000000,867.900024,495041
902.450012,902.450012,2017-08-14,911.549988,892.000000,899.849976,262198
907.799988,907.799988,2017-08-16,917.450012,903.000000,903.900024,241073
920.799988,920.799988,2017-08-17,941.799988,906.299988,909.950012,674395
926.250000,926.250000,2017-08-18,931.799988,908.000000,917.200012,401717
927.099976,927.099976,2017-08-21,948.900024,923.150024,929.849976,693305
958.049988,958.049988,2017-08-22,968.000000,932.000000,937.000000,1103036
989.500000,989.500000,2017-08-23,999.000000,967.549988,977.000000,2107260
994.599976,994.599976,2017-08-24,1019.000000,986.000000,990.799988,1441084
1046.150024,1046.150024,2017-08-28,1057.000000,990.200012,999.500000,1489836
1032.849976,1032.849976,2017-08-29,1068.199951,1026.000000,1049.000000,1703113
1050.900024,1050.900024,2017-08-30,1059.000000,1041.500000,1044.900024,599048
1039.800049,1039.800049,2017-08-31,1055.800049,1032.000000,1055.800049,495126
1048.400024,1048.400024,2017-09-01,1054.000000,1037.000000,1045.800049,338544
1020.650024,1020.650024,2017-09-04,1049.349976,1007.400024,1045.000000,498521
1077.699951,1077.699951,2017-09-05,1094.699951,1026.000000,1026.000000,1667985
1066.599976,1066.599976,2017-09-06,1103.000000,1061.050049,1067.000000,1476806
1076.199951,1076.199951,2017-09-07,1090.000000,1070.000000,1071.000000,510790
1070.849976,1070.849976,2017-09-08,1088.000000,1055.000000,1081.599976,503514
1088.800049,1088.800049,2017-09-11,1099.000000,1060.250000,1079.949951,698741
1088.449951,1088.449951,2017-09-12,1099.000000,1085.000000,1096.000000,379312
1091.500000,1091.500000,2017-09-13,1113.300049,1085.000000,1095.000000,677114
1089.750000,1089.750000,2017-09-14,1104.900024,1080.400024,1093.000000,360997
1087.750000,1087.750000,2017-09-15,1119.800049,1080.099976,1103.349976,1564001
1089.500000,1089.500000,2017-09-18,1099.000000,1086.900024,1092.500000,360118
1077.550049,1077.550049,2017-09-19,1094.949951,1073.050049,1089.550049,297636
1084.750000,1084.750000,2017-09-20,1094.000000,1070.400024,1080.500000,342872
1069.050049,1069.050049,2017-09-21,1088.000000,1065.000000,1085.000000,281126
1039.150024,1039.150024,2017-09-22,1067.949951,1028.800049,1067.949951,367612
1029.000000,1029.000000,2017-09-25,1047.599976,982.049988,1042.000000,541800
1116.050049,1116.050049,2017-09-26,1218.000000,1054.250000,1060.500000,6738985
1076.750000,1076.750000,2017-09-27,1153.599976,1069.050049,1116.000000,2905722
1043.949951,1043.949951,2017-09-28,1087.000000,1021.299988,1077.750000,1545452
1078.449951,1078.449951,2017-09-29,1094.800049,1048.900024,1049.250000,1633060
1100.949951,1100.949951,2017-10-03,1109.650024,1078.800049,1095.449951,903689
1099.349976,1099.349976,2017-10-04,1128.699951,1087.849976,1107.500000,1449647
1104.000000,1104.000000,2017-10-05,1118.000000,1092.349976,1105.000000,1044277
1105.250000,1105.250000,2017-10-06,1120.000000,1100.000000,1110.000000,635948
1116.750000,1116.750000,2017-10-09,1126.800049,1105.050049,1108.500000,773906
1184.650024,1184.650024,2017-10-10,1202.900024,1120.099976,1124.400024,3365543
1213.099976,1213.099976,2017-10-11,1244.000000,1190.000000,1201.000000,2717138
1268.650024,1268.650024,2017-10-12,1279.800049,1223.000000,1234.000000,2057518
1229.900024,1229.900024,2017-10-13,1288.650024,1220.000000,1285.000000,2507878
1232.449951,1232.449951,2017-10-16,1275.000000,1225.050049,1250.000000,2410127
1220.000000,1220.000000,2017-10-17,1241.550049,1210.000000,1234.000000,793647
1159.699951,1159.699951,2017-10-18,1225.449951,1132.150024,1217.400024,2368299
1167.400024,1167.400024,2017-10-19,1177.699951,1162.000000,1165.000000,340842
1126.400024,1126.400024,2017-10-23,1175.000000,1117.099976,1170.000000,1135187
1092.900024,1092.900024,2017-10-24,1148.500000,1085.500000,1127.000000,1475872
1143.699951,1143.699951,2017-10-25,1160.000000,1070.699951,1100.000000,1641798
1143.099976,1143.099976,2017-10-26,1170.000000,1132.550049,1160.500000,868267
1136.199951,1136.199951,2017-10-27,1153.400024,1132.550049,1148.500000,432640
1147.900024,1147.900024,2017-10-30,1164.800049,1144.000000,1144.000000,502967
1140.599976,1140.599976,2017-10-31,1155.000000,1135.000000,1155.000000,280071
1151.800049,1151.800049,2017-11-01,1168.000000,1135.050049,1146.000000,625587
1149.449951,1149.449951,2017-11-02,1159.800049,1140.550049,1149.000000,320292
1129.150024,1129.150024,2017-11-03,1152.900024,1122.400024,1151.900024,281650
1125.500000,1125.500000,2017-11-06,1140.400024,1119.000000,1129.000000,322646
1100.199951,1100.199951,2017-11-07,1132.050049,1095.000000,1129.949951,507726
1098.050049,1098.050049,2017-11-08,1133.000000,1078.000000,1108.800049,568189
1122.199951,1122.199951,2017-11-09,1132.000000,1106.099976,1106.949951,429197
1159.650024,1159.650024,2017-11-10,1170.000000,1115.000000,1122.000000,895299
1160.949951,1160.949951,2017-11-13,1179.949951,1156.150024,1166.000000,593853
1122.150024,1122.150024,2017-11-14,1164.000000,1118.000000,1162.900024,546437
1098.400024,1098.400024,2017-11-15,1122.800049,1093.050049,1122.800049,452771
1112.599976,1112.599976,2017-11-16,1123.000000,1103.199951,1103.199951,320691
1106.050049,1106.050049,2017-11-17,1131.800049,1098.050049,1120.199951,627174
1106.150024,1106.150024,2017-11-20,1118.900024,1103.349976,1110.000000,189756
1112.300049,1112.300049,2017-11-21,1124.800049,1105.349976,1110.099976,396018
1137.800049,1137.800049,2017-11-22,1143.900024,1115.099976,1115.099976,630300
1146.300049,1146.300049,2017-11-23,1156.000000,1131.000000,1143.400024,578321
1149.900024,1149.900024,2017-11-24,1163.000000,1145.099976,1152.000000,500452
1129.849976,1129.849976,2017-11-27,1149.000000,1122.400024,1140.099976,217757
1128.250000,1128.250000,2017-11-28,1141.099976,1115.000000,1133.800049,248227
1125.550049,1125.550049,2017-11-29,1147.000000,1122.849976,1138.000000,235348
1118.099976,1118.099976,2017-11-30,1157.699951,1110.849976,1124.000000,482312
1114.400024,1114.400024,2017-12-01,1139.000000,1110.000000,1123.800049,311788
1150.699951,1150.699951,2017-12-04,1161.000000,1093.000000,1119.800049,865823
1133.349976,1133.349976,2017-12-05,1160.000000,1126.599976,1155.599976,466932
1123.949951,1123.949951,2017-12-06,1139.000000,1111.000000,1129.699951,325570
1142.400024,1142.400024,2017-12-07,1178.000000,1124.500000,1125.000000,3369105
1132.550049,1132.550049,2017-12-08,1162.000000,1128.000000,1145.099976,668356
1127.400024,1127.400024,2017-12-11,1143.900024,1121.000000,1138.000000,353164
1115.750000,1115.750000,2017-12-12,1130.800049,1113.599976,1130.400024,364243
1108.000000,1108.000000,2017-12-13,1131.699951,1103.000000,1115.000000,385231
1104.199951,1104.199951,2017-12-14,1118.000000,1096.250000,1115.000000,467433
1121.800049,1121.800049,2017-12-15,1129.900024,1102.349976,1114.949951,484592
1135.250000,1135.250000,2017-12-18,1139.000000,1083.000000,1109.000000,506810
1146.000000,1146.000000,2017-12-19,1150.000000,1125.000000,1137.050049,376958
1143.000000,1143.000000,2017-12-20,1158.599976,1136.050049,1146.000000,306343
1155.599976,1155.599976,2017-12-21,1160.000000,1140.000000,1140.000000,430141
1151.099976,1151.099976,2017-12-22,1171.500000,1146.599976,1157.800049,401234
1150.150024,1150.150024,2017-12-26,1157.000000,1144.250000,1150.000000,231395
1146.349976,1146.349976,2017-12-27,1169.000000,1140.199951,1151.000000,298298
1148.349976,1148.349976,2017-12-28,1158.000000,1142.000000,1147.349976,208198
1181.349976,1181.349976,2017-12-29,1194.449951,1148.000000,1148.000000,1033292
1170.500000,1170.500000,2018-01-01,1193.250000,1166.000000,1188.300049,334392
1160.000000,1160.000000,2018-01-02,1178.199951,1155.599976,1173.699951,302709
1184.550049,1184.550049,2018-01-03,1204.400024,1160.000000,1162.699951,580610
1203.099976,1203.099976,2018-01-04,1215.000000,1186.000000,1187.849976,707905
1243.400024,1243.400024,2018-01-05,1268.000000,1208.550049,1210.099976,1244328
1226.800049,1226.800049,2018-01-08,1259.949951,1222.000000,1250.000000,520902
1234.099976,1234.099976,2018-01-09,1246.000000,1212.699951,1232.949951,479684
1249.300049,1249.300049,2018-01-10,1283.900024,1230.000000,1245.050049,849877
1245.500000,1245.500000,2018-01-11,1274.500000,1238.000000,1254.000000,489599
1234.599976,1234.599976,2018-01-12,1260.000000,1226.550049,1250.099976,439434
1228.849976,1228.849976,2018-01-15,1245.000000,1224.000000,1236.900024,283764
1187.000000,1187.000000,2018-01-16,1237.949951,1152.000000,1232.800049,409503
1167.349976,1167.349976,2018-01-17,1189.000000,1159.000000,1183.000000,518237
1135.449951,1135.449951,2018-01-18,1180.000000,1126.599976,1175.000000,471953
1144.349976,1144.349976,2018-01-19,1154.000000,1126.000000,1138.800049,240807
1176.300049,1176.300049,2018-01-22,1186.699951,1147.050049,1149.000000,487998
1169.199951,1169.199951,2018-01-23,1190.000000,1161.599976,1182.000000,301434
1142.150024,1142.150024,2018-01-24,1174.800049,1130.400024,1170.000000,396369
1159.300049,1159.300049,2018-01-25,1174.349976,1140.199951,1150.000000,553178
1181.900024,1181.900024,2018-01-29,1263.800049,1175.000000,1200.000000,3086852
1184.599976,1184.599976,2018-01-30,1212.599976,1150.000000,1180.699951,992399
1179.650024,1179.650024,2018-01-31,1210.000000,1172.050049,1180.000000,750588
1174.300049,1174.300049,2018-02-01,1205.900024,1167.000000,1185.000000,477292
1135.099976,1135.099976,2018-02-02,1165.000000,1108.000000,1162.800049,595510
1117.300049,1117.300049,2018-02-05,1134.500000,1081.349976,1122.050049,544060
1105.699951,1105.699951,2018-02-06,1119.000000,1060.099976,1075.000000,706200
1122.650024,1122.650024,2018-02-07,1134.699951,1120.000000,1127.800049,267181
1165.550049,1165.550049,2018-02-08,1174.000000,1125.050049,1129.000000,493415
1177.800049,1177.800049,2018-02-09,1195.000000,1130.000000,1149.949951,469818
1187.199951,1187.199951,2018-02-12,1199.500000,1180.050049,1189.000000,241765
1201.400024,1201.400024,2018-02-14,1208.250000,1182.099976,1196.599976,426463
1183.949951,1183.949951,2018-02-15,1207.000000,1180.449951,1206.949951,269802
1173.500000,1173.500000,2018-02-16,1191.300049,1170.099976,1188.800049,199767
1168.900024,1168.900024,2018-02-19,1179.000000,1162.000000,1179.000000,224464
1186.800049,1186.800049,2018-02-20,1189.699951,1165.199951,1174.800049,293782
1237.800049,1237.800049,2018-02-21,1251.000000,1182.300049,1191.800049,1209483
1240.650024,1240.650024,2018-02-22,1257.000000,1225.199951,1244.699951,559675
1300.250000,1300.250000,2018-02-23,1306.000000,1250.000000,1250.000000,1724635
1291.199951,1291.199951,2018-02-26,1327.349976,1286.099976,1312.000000,856069
1354.699951,1354.699951,2018-02-27,1369.000000,1286.000000,1291.199951,1794604
1348.150024,1348.150024,2018-02-28,1387.000000,1330.500000,1354.000000,1695261
1314.250000,1314.250000,2018-03-01,1365.500000,1305.050049,1353.099976,801383
1314.300049,1314.300049,2018-03-05,1338.000000,1290.099976,1309.500000,698817
1327.150024,1327.150024,2018-03-06,1365.099976,1312.199951,1320.000000,1162430
1298.800049,1298.800049,2018-03-07,1332.849976,1287.250000,1325.000000,620343
1293.150024,1293.150024,2018-03-08,1325.000000,1270.599976,1313.150024,609548
1306.550049,1306.550049,2018-03-09,1328.400024,1281.000000,1300.000000,805817
1315.650024,1315.650024,2018-03-12,1336.699951,1308.099976,1316.099976,524560
1337.900024,1337.900024,2018-03-13,1344.800049,1312.000000,1312.500000,529862
1345.199951,1345.199951,2018-03-14,1363.900024,1327.000000,1336.000000,743796
1359.800049,1359.800049,2018-03-15,1367.000000,1335.000000,1341.000000,630902
1365.800049,1365.800049,2018-03-16,1377.849976,1347.849976,1359.800049,1177277
1342.550049,1342.550049,2018-03-19,1385.000000,1328.000000,1368.000000,862762
1346.500000,1346.500000,2018-03-20,1350.000000,1262.000000,1330.000000,754220
1339.599976,1339.599976,2018-03-21,1354.849976,1331.550049,1350.000000,485353
1320.449951,1320.449951,2018-03-22,1345.699951,1311.050049,1340.000000,501773
1281.099976,1281.099976,2018-03-23,1299.750000,1275.750000,1297.699951,521909
1341.449951,1341.449951,2018-03-26,1352.000000,1282.500000,1288.000000,841975
1355.199951,1355.199951,2018-03-27,1366.000000,1345.050049,1351.949951,502854
1324.800049,1324.800049,2018-03-28,1350.000000,1310.000000,1345.000000,597115
1357.300049,1357.300049,2018-04-02,1393.000000,1326.349976,1328.800049,1129225
1364.300049,1364.300049,2018-04-03,1371.400024,1332.650024,1336.699951,543718
1359.150024,1359.150024,2018-04-04,1385.199951,1350.000000,1369.300049,682255
1401.300049,1401.300049,2018-04-05,1410.000000,1371.300049,1377.800049,1261502
1419.849976,1419.849976,2018-04-06,1424.000000,1385.000000,1400.000000,966666
1440.500000,1440.500000,2018-04-09,1444.400024,1412.000000,1412.000000,698935
1488.849976,1488.849976,2018-04-10,1494.800049,1445.500000,1445.500000,1451168
1473.000000,1473.000000,2018-04-11,1514.000000,1465.000000,1500.000000,1015133
1471.250000,1471.250000,2018-04-12,1487.300049,1460.099976,1470.099976,543880
1469.099976,1469.099976,2018-04-13,1489.800049,1465.000000,1471.150024,428624
1481.400024,1481.400024,2018-04-16,1485.000000,1460.000000,1461.050049,410782
1506.800049,1506.800049,2018-04-17,1518.300049,1482.000000,1490.050049,960273
1492.650024,1492.650024,2018-04-18,1508.000000,1485.250000,1498.000000,434205
1488.650024,1488.650024,2018-04-19,1500.000000,1483.250000,1498.449951,272360
1475.400024,1475.400024,2018-04-20,1491.000000,1468.000000,1482.500000,259880
1489.500000,1489.500000,2018-04-23,1496.400024,1475.000000,1475.000000,374689
1475.750000,1475.750000,2018-04-24,1496.500000,1473.099976,1494.400024,354315
1480.250000,1480.250000,2018-04-25,1499.900024,1466.099976,1472.849976,590984
1474.349976,1474.349976,2018-04-26,1491.300049,1468.000000,1483.000000,780443
1483.000000,1483.000000,2018-04-27,1495.750000,1478.300049,1487.800049,535094
1490.650024,1490.650024,2018-04-30,1534.599976,1485.900024,1493.000000,1364434
1495.849976,1495.849976,2018-05-02,1509.699951,1489.000000,1500.099976,428795
1492.300049,1492.300049,2018-05-03,1504.000000,1475.099976,1495.000000,451392
1486.800049,1486.800049,2018-05-04,1499.650024,1480.349976,1492.000000,429322
1465.000000,1465.000000,2018-05-07,1484.849976,1436.050049,1460.000000,1502803
1467.150024,1467.150024,2018-05-08,1479.699951,1455.000000,1478.000000,325900
1447.750000,1447.750000,2018-05-09,1466.000000,1444.000000,1466.000000,452921
1456.449951,1456.449951,2018-05-10,1479.000000,1401.699951,1445.000000,1369236
1453.900024,1453.900024,2018-05-11,1495.949951,1446.500000,1458.000000,658025
1425.199951,1425.199951,2018-05-14,1473.000000,1416.000000,1461.199951,502361
1485.449951,1485.449951,2018-05-15,1518.800049,1434.000000,1434.900024,2769439
1494.949951,1494.949951,2018-05-16,1500.000000,1477.000000,1481.000000,1382741
1495.000000,1495.000000,2018-05-17,1513.000000,1487.000000,1502.500000,1065330
1417.199951,1417.199951,2018-05-18,1503.000000,1375.949951,1495.000000,3111215
1345.449951,1345.449951,2018-05-21,1414.000000,1333.099976,1414.000000,1891905
1380.550049,1380.550049,2018-05-22,1398.000000,1345.349976,1345.349976,1443420
1358.750000,1358.750000,2018-05-23,1399.949951,1347.199951,1390.000000,1200347
1409.900024,1409.900024,2018-05-24,1450.000000,1344.949951,1357.000000,3580799
1497.550049,1497.550049,2018-05-25,1506.000000,1420.000000,1427.900024,3256787
1528.900024,1528.900024,2018-05-28,1530.000000,1500.000000,1507.000000,1945468
1544.050049,1544.050049,2018-05-29,1553.949951,1490.000000,1534.900024,1145537
1565.949951,1565.949951,2018-05-30,1571.699951,1544.000000,1544.000000,1763571
1572.150024,1572.150024,2018-05-31,1611.000000,1506.500000,1574.699951,14993077
1531.099976,1531.099976,2018-06-01,1563.000000,1522.500000,1538.699951,1002870
1486.400024,1486.400024,2018-06-04,1544.400024,1482.400024,1534.050049,1084158
1453.750000,1453.750000,2018-06-05,1499.000000,1426.150024,1483.400024,1286074
1519.550049,1519.550049,2018-06-06,1530.000000,1434.599976,1461.800049,1161863
1555.550049,1555.550049,2018-06-07,1562.000000,1529.050049,1530.000000,557719
1593.550049,1593.550049,2018-06-08,1599.000000,1535.000000,1547.000000,1045556
1594.400024,1594.400024,2018-06-11,1618.800049,1584.000000,1601.000000,846296
1607.949951,1607.949951,2018-06-12,1610.000000,1591.000000,1600.000000,555328
1595.849976,1595.849976,2018-06-13,1623.000000,1588.300049,1610.000000,377920
1568.500000,1568.500000,2018-06-14,1595.000000,1559.000000,1592.000000,600354
1535.349976,1535.349976,2018-06-15,1554.699951,1527.099976,1551.800049,758011
1523.650024,1523.650024,2018-06-18,1546.500000,1502.000000,1515.000000,577068
1485.050049,1485.050049,2018-06-19,1524.800049,1480.349976,1517.000000,627824
1483.750000,1483.750000,2018-06-20,1501.199951,1474.000000,1488.150024,367314
1490.349976,1490.349976,2018-06-21,1514.900024,1476.000000,1487.000000,660901
1494.250000,1494.250000,2018-06-22,1504.699951,1486.050049,1496.000000,355963
1480.500000,1480.500000,2018-06-25,1503.000000,1475.500000,1490.800049,335682
1468.250000,1468.250000,2018-06-26,1489.000000,1462.099976,1480.000000,292299
1452.500000,1452.500000,2018-06-27,1486.000000,1428.099976,1469.699951,448860
1435.449951,1435.449951,2018-06-28,1458.099976,1420.000000,1455.800049,431454
1485.400024,1485.400024,2018-06-29,1495.400024,1438.599976,1438.599976,612439
1525.900024,1525.900024,2018-07-02,1549.000000,1495.949951,1495.949951,916601
1521.949951,1521.949951,2018-07-03,1539.949951,1505.500000,1531.650024,353842
1538.300049,1538.300049,2018-07-04,1557.949951,1523.000000,1523.699951,749317
1546.449951,1546.449951,2018-07-05,1561.000000,1536.550049,1549.000000,547315
1568.250000,1568.250000,2018-07-06,1580.000000,1544.400024,1547.000000,782281
1563.849976,1563.849976,2018-07-09,1588.000000,1550.000000,1578.099976,428715
1598.099976,1598.099976,2018-07-10,1603.000000,1572.199951,1578.400024,579803
1595.949951,1595.949951,2018-07-11,1603.699951,1587.650024,1596.699951,440488
1587.750000,1587.750000,2018-07-12,1606.000000,1580.099976,1601.000000,229303
1576.000000,1576.000000,2018-07-13,1591.400024,1551.900024,1591.000000,335696
1548.050049,1548.050049,2018-07-16,1576.000000,1542.000000,1575.900024,202405
1561.650024,1561.650024,2018-07-17,1574.949951,1542.099976,1547.000000,285037
1551.800049,1551.800049,2018-07-18,1574.900024,1531.000000,1565.099976,307206
1522.000000,1522.000000,2018-07-19,1559.400024,1512.699951,1552.000000,302530
1521.500000,1521.500000,2018-07-20,1538.000000,1506.000000,1526.500000,284746
1531.599976,1531.599976,2018-07-23,1558.000000,1523.000000,1523.800049,468235
1571.650024,1571.650024,2018-07-24,1584.949951,1535.000000,1540.000000,730751
1563.050049,1563.050049,2018-07-25,1589.699951,1557.050049,1577.000000,295399
1556.599976,1556.599976,2018-07-26,1569.650024,1540.000000,1566.000000,276066
1566.699951,1566.699951,2018-07-27,1572.000000,1552.000000,1564.000000,204509
1594.849976,1594.849976,2018-07-30,1599.800049,1562.050049,1573.300049,624318
1654.900024,1654.900024,2018-07-31,1664.550049,1625.000000,1625.000000,1614643
1669.699951,1669.699951,2018-08-01,1675.000000,1641.500000,1655.000000,709222
1656.349976,1656.349976,2018-08-02,1680.000000,1635.000000,1676.000000,368789
1650.750000,1650.750000,2018-08-03,1666.699951,1643.349976,1664.000000,244459
1635.550049,1635.550049,2018-08-06,1657.800049,1626.300049,1657.800049,266378
1624.849976,1624.849976,2018-08-07,1642.000000,1620.050049,1636.000000,202687
1627.849976,1627.849976,2018-08-08,1643.300049,1615.000000,1626.000000,322416
1613.199951,1613.199951,2018-08-09,1639.800049,1609.000000,1633.800049,537932
1589.400024,1589.400024,2018-08-10,1628.000000,1586.650024,1613.000000,430515
1566.050049,1566.050049,2018-08-13,1587.900024,1556.000000,1587.900024,286536
1571.599976,1571.599976,2018-08-14,1597.199951,1560.000000,1570.800049,393448
1563.550049,1563.550049,2018-08-16,1584.400024,1561.000000,1570.000000,312923
1616.699951,1616.699951,2018-08-17,1634.400024,1564.699951,1568.000000,924064
