adj_close,close,date,high,low,open,volume
3.258124,5.140000,2000-01-04,5.275000,5.015000,5.200000,491000
3.521182,5.555000,2000-01-05,5.555000,5.105000,5.500000,478000
3.803258,6.000000,2000-01-06,6.000000,5.730000,5.975000,1062000
4.098010,6.465000,2000-01-07,6.480000,6.010000,6.400000,1155000
4.151889,6.550000,2000-01-10,6.850000,6.150000,6.795000,1071000
3.904677,6.160000,2000-01-11,6.400000,6.030000,6.280000,1077000
4.053639,6.395000,2000-01-12,6.525000,6.115000,6.200000,622000
3.882492,6.125000,2000-01-13,6.600000,6.045000,6.500000,833000
3.952219,6.235000,2000-01-14,6.495000,6.030000,6.490000,361000
4.136044,6.525000,2000-01-17,6.735000,6.400000,6.400000,1141000
4.155059,6.555000,2000-01-18,6.650000,6.250000,6.555000,756000
4.186752,6.605000,2000-01-19,6.750000,6.410000,6.700000,581000
3.955389,6.240000,2000-01-20,6.700000,6.160000,6.600000,309000
4.009268,6.325000,2000-01-21,6.390000,6.110000,6.115000,215000
3.796918,5.990000,2000-01-24,6.200000,5.850000,6.200000,379000
3.609926,5.695000,2000-01-25,5.850000,5.605000,5.710000,402000
3.609926,5.695000,2000-01-26,5.695000,5.695000,5.695000,0
3.616265,5.705000,2000-01-27,5.795000,5.600000,5.795000,284000
3.511674,5.540000,2000-01-28,5.695000,5.510000,5.600000,156000
3.267632,5.155000,2000-01-31,5.530000,5.100000,5.410000,127000
3.258124,5.140000,2000-02-01,5.280000,4.910000,4.910000,275000
3.521182,5.555000,2000-02-02,5.555000,5.300000,5.490000,565000
3.730362,5.885000,2000-02-03,6.000000,5.550000,5.550000,162000
4.031454,6.360000,2000-02-04,6.360000,6.050000,6.100000,553000
3.831783,6.045000,2000-02-07,6.400000,6.010000,6.400000,210000
3.635280,5.735000,2000-02-08,6.000000,5.600000,5.600000,216000
3.502167,5.525000,2000-02-09,5.995000,5.415000,5.995000,195000
3.584571,5.655000,2000-02-10,5.770000,5.400000,5.750000,97000
3.486319,5.500000,2000-02-11,5.650000,5.430000,5.435000,39000
3.321511,5.240000,2000-02-14,5.400000,5.110000,5.300000,65000
3.112333,4.910000,2000-02-15,5.300000,4.850000,5.100000,175000
2.884136,4.550000,2000-02-16,5.200000,4.530000,5.200000,346000
2.947525,4.650000,2000-02-17,4.900000,4.620000,4.640000,308000
2.909492,4.590000,2000-02-18,4.770000,4.510000,4.570000,146000
2.903153,4.580000,2000-02-21,4.670000,4.400000,4.450000,150000
2.830258,4.465000,2000-02-22,4.600000,4.350000,4.590000,226000
2.732007,4.310000,2000-02-23,4.800000,4.310000,4.800000,255000
2.583046,4.075000,2000-02-24,4.460000,3.970000,4.100000,156000
2.583046,4.075000,2000-02-25,4.200000,3.870000,4.100000,115000
2.763701,4.360000,2000-02-28,4.400000,4.000000,4.000000,161000
2.605232,4.110000,2000-02-29,4.600000,4.100000,4.600000,237000
2.690804,4.245000,2000-03-01,4.365000,4.100000,4.300000,141000
2.640095,4.165000,2000-03-02,4.250000,4.100000,4.125000,165000
2.614740,4.125000,2000-03-03,4.400000,3.960000,4.400000,170000
2.405560,3.795000,2000-03-06,4.195000,3.795000,4.195000,194000
2.215398,3.495000,2000-03-07,3.690000,3.495000,3.520000,150000
2.050590,3.235000,2000-03-08,3.450000,3.215000,3.250000,281000
1.974524,3.115000,2000-03-09,3.350000,2.980000,3.335000,284000
1.974524,3.115000,2000-03-10,3.285000,3.005000,3.005000,92000
1.939662,3.060000,2000-03-13,3.245000,2.900000,3.245000,192000
1.876274,2.960000,2000-03-14,3.160000,2.900000,3.160000,319000
2.028404,3.200000,2000-03-15,3.200000,3.200000,3.200000,15000
2.193213,3.460000,2000-03-16,3.460000,3.455000,3.455000,121000
2.193213,3.460000,2000-03-17,3.460000,3.460000,3.460000,0
2.193213,3.460000,2000-03-20,3.460000,3.460000,3.460000,0
2.370697,3.740000,2000-03-21,3.740000,3.490000,3.490000,207000
2.560860,4.040000,2000-03-22,4.040000,3.900000,3.900000,15000
2.649603,4.180000,2000-03-23,4.365000,4.000000,4.360000,275000
2.573538,4.060000,2000-03-24,4.150000,3.850000,4.150000,82750
2.633756,4.155000,2000-03-27,4.300000,4.100000,4.100000,97850
2.579876,4.070000,2000-03-28,4.255000,4.000000,4.255000,213500
2.598892,4.100000,2000-03-29,4.300000,4.075000,4.300000,68000
2.535505,4.000000,2000-03-30,4.180000,3.855000,4.090000,60010
2.700313,4.260000,2000-03-31,4.320000,3.900000,4.115000,36990
