adj_close,close,date,high,low,open,volume
3.802250,8.293754,2000-01-04,9.112504,8.250004,8.731254,784775
3.621735,7.900003,2000-01-05,8.587504,7.637503,8.543754,741519
3.722022,8.118754,2000-01-06,8.375004,7.875003,8.100004,1389231
3.590217,7.831253,2000-01-07,8.237504,7.750003,8.237504,692719
3.570160,7.787503,2000-01-10,8.118754,7.750003,8.118754,680831
3.426895,7.475003,2000-01-11,7.800003,7.375003,7.750003,776807
3.527180,7.693753,2000-01-12,7.837503,7.531253,7.837503,783791
3.544373,7.731253,2000-01-13,7.812503,7.656253,7.787503,225207
3.578757,7.806253,2000-01-14,7.862503,7.506253,7.718753,264999
3.656120,7.975003,2000-01-17,8.056254,7.750003,7.937503,657959
3.836633,8.368754,2000-01-18,8.487504,7.943753,8.050004,563879
3.770733,8.225004,2000-01-19,8.750004,8.125004,8.750004,954655
3.633197,7.925003,2000-01-20,8.306254,7.856253,8.187504,376703
3.567295,7.781253,2000-01-21,8.000004,7.750003,7.781253,459231
3.561565,7.768753,2000-01-24,8.031254,7.656253,7.875003,427487
3.469875,7.568753,2000-01-25,7.806253,7.518753,7.656253,655191
3.469875,7.568753,2000-01-26,7.568753,7.568753,7.568753,0
3.484202,7.600003,2000-01-27,7.875003,7.562503,7.837503,305759
3.487067,7.606253,2000-01-28,7.656253,7.500003,7.656253,141359
3.352398,7.312503,2000-01-31,7.625003,7.262503,7.531253,195847
3.358129,7.325003,2000-02-01,7.475003,7.287503,7.375003,278919
3.498528,7.631253,2000-02-02,7.743753,7.500003,7.593753,251999
3.492797,7.618753,2000-02-03,7.806253,7.575003,7.575003,1436007
3.429761,7.481253,2000-02-04,7.687503,7.375003,7.687503,336039
3.366724,7.343753,2000-02-07,7.587503,7.250003,7.250003,158679
3.263572,7.118753,2000-02-08,7.406253,7.031253,7.306253,347871
3.366724,7.343753,2000-02-09,7.437503,7.125003,7.431253,161183
3.524315,7.687503,2000-02-10,7.750003,7.412503,7.475003,820119
3.455549,7.537503,2000-02-11,8.125004,7.512503,7.887503,327959
3.275035,7.143753,2000-02-14,7.737503,7.125003,7.625003,309047
3.315149,7.231253,2000-02-15,7.450003,7.018753,7.125003,3661774
3.332341,7.268753,2000-02-16,7.625003,7.200003,7.443753,317567
3.598814,7.850003,2000-02-17,7.850003,7.443753,7.443753,1230943
3.888208,8.481254,2000-02-18,8.481254,8.481254,8.481254,246783
4.200526,9.162504,2000-02-21,9.162504,9.162504,9.162504,285663
4.538632,9.900004,2000-02-22,9.900004,9.843754,9.900004,2080190
4.796509,10.462505,2000-02-23,10.687505,9.131254,10.687505,5267253
4.412557,9.625004,2000-02-24,10.612505,9.625004,10.500005,711839
4.060127,8.856254,2000-02-25,9.837504,8.856254,9.381254,557279
3.994224,8.712504,2000-02-28,8.806254,8.150004,8.375004,964367
3.756404,8.193754,2000-02-29,9.300004,8.125004,8.762504,1073639
3.908267,8.525004,2000-03-01,8.750004,8.131254,8.137504,287759
3.647524,7.956253,2000-03-02,8.937504,7.875003,8.812504,379639
3.472741,7.575003,2000-03-03,8.000004,7.468753,7.812503,289679
3.438358,7.500003,2000-03-06,7.687503,7.193753,7.443753,296639
3.277899,7.150003,2000-03-07,7.375003,7.037503,7.068753,846519
3.518585,7.675003,2000-03-08,7.725003,7.062503,7.612503,627719
3.744944,8.168754,2000-03-09,8.237504,7.375003,8.050004,353895
3.744944,8.168754,2000-03-10,8.487504,7.750003,7.750003,567919
3.710561,8.093754,2000-03-13,8.212504,7.843753,8.112504,409279
3.722022,8.118754,2000-03-14,8.475004,7.750003,7.775003,1211503
3.713426,8.100004,2000-03-15,8.250004,7.887503,8.125004,301087
3.722022,8.118754,2000-03-16,8.250004,7.875003,7.887503,399439
3.722022,8.118754,2000-03-17,8.118754,8.118754,8.118754,0
3.722022,8.118754,2000-03-20,8.118754,8.118754,8.118754,0
3.441222,7.506253,2000-03-21,8.037504,7.493753,7.887503,628295
3.441222,7.506253,2000-03-22,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-23,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-24,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-27,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-28,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-29,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-30,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-03-31,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-03,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-04,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-05,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-06,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-07,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-10,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-11,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-12,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-13,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-14,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-17,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-18,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-19,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-20,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-21,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-24,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-25,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-26,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-27,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-04-28,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-01,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-02,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-03,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-04,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-05,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-08,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-09,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-10,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-11,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-12,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-15,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-16,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-17,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-18,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-19,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-22,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-23,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-24,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-25,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-26,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-29,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-30,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-05-31,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-01,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-02,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-05,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-06,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-07,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-08,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-09,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-12,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-13,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-14,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-15,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-16,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-19,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-20,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-21,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-22,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-23,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-26,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-27,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-28,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-29,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-06-30,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-03,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-04,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-05,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-06,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-07,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-10,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-11,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-12,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-13,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-14,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-17,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-18,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-19,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-20,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-21,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-24,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-25,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-26,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-27,7.506253,7.506253,7.506253,0
3.441222,7.506253,2000-07-28,7.506253,7.506253,7.506253,0
