adj_close,close,date,high,low,open,volume
5.292361,7.750000,2002-07-01,7.896666,7.670000,7.896666,63252
5.369755,7.863333,2002-07-02,7.960000,7.626666,7.786666,394968
5.199033,7.613333,2002-07-03,7.750000,7.583333,7.693333,118860
5.048798,7.393333,2002-07-04,7.700000,7.093333,7.610000,152052
5.187651,7.596666,2002-07-05,7.750000,7.250000,7.250000,572748
5.403897,7.913333,2002-07-08,8.230000,7.500000,7.583333,483564
5.658844,8.286666,2002-07-09,8.376666,7.916666,7.916666,639048
5.663393,8.293333,2002-07-10,8.576666,8.096666,8.250000,792204
5.560962,8.143333,2002-07-11,8.543333,8.080000,8.543333,469488
5.938825,8.696666,2002-07-12,8.826666,8.096666,8.476666,2768196
5.677052,8.313333,2002-07-15,9.000000,7.626666,9.000000,178728
5.781761,8.466666,2002-07-16,8.660000,8.083333,8.393333,355512
5.624698,8.236666,2002-07-17,8.750000,8.166666,8.336666,163356
5.674778,8.310000,2002-07-18,8.376666,8.230000,8.250000,137208
5.554132,8.133333,2002-07-19,8.320000,8.083333,8.253333,46284
5.836393,8.546666,2002-07-22,9.166666,7.920000,8.250000,1759644
6.202875,9.083333,2002-07-23,9.626666,8.666666,8.700000,2584236
6.086785,8.913333,2002-07-24,9.416666,8.833333,9.000000,1406976
6.068572,8.886666,2002-07-25,9.416666,8.833333,9.333333,435348
5.647462,8.270000,2002-07-26,8.983333,8.046666,8.916666,865536
5.321953,7.793333,2002-07-29,8.333333,7.430000,8.333333,434436
5.224071,7.650000,2002-07-30,8.050000,7.510000,8.050000,202536
5.397070,7.903333,2002-07-31,8.043333,7.083333,7.250000,608328
5.246834,7.683333,2002-08-01,8.170000,7.583333,7.866666,1203144
5.185376,7.593333,2002-08-02,7.810000,7.466666,7.580000,242556
5.258216,7.700000,2002-08-05,8.210000,7.550000,7.910000,306600
5.224071,7.650000,2002-08-06,7.793333,7.583333,7.746666,202560
5.337885,7.816666,2002-08-07,7.920000,7.793333,7.876666,164844
5.403897,7.913333,2002-08-08,7.970000,7.676666,7.793333,1045152
5.510884,8.070000,2002-08-09,8.153333,7.763333,7.763333,136212
5.699815,8.346666,2002-08-12,8.583333,8.220000,8.376666,490296
5.802247,8.496666,2002-08-13,8.560000,8.386666,8.560000,138828
5.777210,8.460000,2002-08-14,8.583333,8.353333,8.583333,331032
5.777210,8.460000,2002-08-15,8.460000,8.460000,8.460000,0
5.727131,8.386666,2002-08-16,8.500000,8.350000,8.500000,64308
5.631525,8.246666,2002-08-19,8.433333,8.210000,8.403333,101016
5.781761,8.466666,2002-08-20,8.520000,8.020000,8.163333,271992
5.827288,8.533333,2002-08-21,8.660000,8.430000,8.460000,161916
5.772657,8.453333,2002-08-22,8.750000,8.360000,8.500000,181440
5.811354,8.510000,2002-08-23,8.620000,8.420000,8.620000,106680
5.998006,8.783333,2002-08-26,8.863333,8.416666,8.750000,460728
6.009388,8.800000,2002-08-27,9.166666,8.666666,9.166666,206232
6.120928,8.963333,2002-08-28,9.000000,8.786666,8.786666,283368
6.209702,9.093333,2002-08-29,9.166666,8.876666,8.910000,224040
6.840234,10.016666,2002-08-30,10.366666,9.126666,9.250000,1030920
6.576185,9.630000,2002-09-02,10.000000,9.500000,10.000000,453576
6.557974,9.603333,2002-09-03,9.710000,9.503333,9.586666,626484
6.721866,9.843333,2002-09-04,9.910000,9.166666,9.166666,216216
6.471477,9.476666,2002-09-05,10.000000,9.416666,9.986666,273816
6.300756,9.226666,2002-09-06,9.633333,8.516666,9.243333,208800
6.262057,9.170000,2002-09-09,9.250000,9.083333,9.083333,108672
6.262057,9.170000,2002-09-10,9.170000,9.170000,9.170000,0
6.473753,9.480000,2002-09-11,9.666666,9.186666,9.666666,91188
6.464648,9.466666,2002-09-12,9.583333,9.346666,9.493333,154992
6.512448,9.536666,2002-09-13,9.660000,8.750000,9.343333,220464
6.398633,9.370000,2002-09-16,9.653333,9.260000,9.560000,124020
6.328067,9.266666,2002-09-17,9.436666,9.166666,9.393333,233868
6.259781,9.166666,2002-09-18,9.333333,9.166666,9.176666,147900
6.237018,9.133333,2002-09-19,9.166666,9.083333,9.130000,85644
6.198323,9.076666,2002-09-20,9.146666,8.750000,9.083333,89376
6.248400,9.150000,2002-09-23,9.250000,8.850000,8.996666,112464
6.316690,9.250000,2002-09-24,9.326666,8.930000,9.000000,154800
6.496518,9.513333,2002-09-25,9.666666,9.096666,9.166666,198624
6.535211,9.570000,2002-09-26,9.583333,9.333333,9.410000,139644
6.494240,9.510000,2002-09-27,9.666666,9.463333,9.660000,219588
6.339449,9.283333,2002-09-30,10.000000,8.916666,9.376666,622188
6.394082,9.363333,2002-10-01,9.416666,9.000000,9.166666,273420
