adj_close,close,date,high,low,open,volume
1.293988,1.610000,2002-07-01,1.646000,1.606000,1.646000,13593600
1.283540,1.597000,2002-07-02,1.643000,1.501000,1.643000,13536000
1.305240,1.624000,2002-07-03,1.643000,1.622000,1.643000,12928000
1.261036,1.569000,2002-07-04,1.625000,1.501000,1.625000,16505600
1.256213,1.563000,2002-07-05,1.641000,1.563000,1.641000,14464000
1.273092,1.584000,2002-07-08,1.643000,1.579000,1.643000,16492800
1.310063,1.630000,2002-07-09,1.641000,1.600000,1.641000,18873600
1.340604,1.668000,2002-07-10,1.668000,1.625000,1.641000,18457600
1.276307,1.588000,2002-07-11,1.688000,1.588000,1.685000,23718400
1.296400,1.613000,2002-07-12,1.646000,1.613000,1.646000,13120000
1.293185,1.609000,2002-07-15,1.650000,1.572000,1.650000,13664000
1.293988,1.610000,2002-07-16,1.613000,1.578000,1.613000,13536000
1.273092,1.584000,2002-07-17,1.687000,1.576000,1.646000,13824000
1.306044,1.625000,2002-07-18,1.625000,1.600000,1.624000,13504000
1.306044,1.625000,2002-07-19,1.625000,1.600000,1.625000,13248000
1.238532,1.541000,2002-07-22,1.650000,1.525000,1.650000,17408000
1.228083,1.528000,2002-07-23,1.625000,1.525000,1.625000,18912000
1.273092,1.584000,2002-07-24,1.659000,1.563000,1.659000,12992000
1.265859,1.575000,2002-07-25,1.588000,1.575000,1.588000,12832000
1.256213,1.563000,2002-07-26,1.650000,1.559000,1.650000,13152000
1.230495,1.531000,2002-07-29,1.625000,1.500000,1.625000,13568000
1.216832,1.514000,2002-07-30,1.625000,1.500000,1.625000,14784000
1.255410,1.562000,2002-07-31,1.625000,1.556000,1.625000,13004800
1.248176,1.553000,2002-08-01,1.624000,1.551000,1.624000,14611200
1.285951,1.600000,2002-08-02,1.620000,1.525000,1.620000,14886400
1.301222,1.619000,2002-08-05,1.625000,1.563000,1.625000,13939200
1.306044,1.625000,2002-08-06,1.625000,1.588000,1.625000,12960000
1.303633,1.622000,2002-08-07,1.624000,1.588000,1.624000,13088000
1.261036,1.569000,2002-08-08,1.624000,1.564000,1.624000,40160000
1.296503,1.581000,2002-08-09,1.624000,1.475000,1.624000,13824000
1.318644,1.608000,2002-08-12,1.623000,1.575000,1.623000,12940800
1.327665,1.619000,2002-08-13,1.622000,1.575000,1.622000,6528000
1.330945,1.623000,2002-08-14,1.623000,1.581000,1.620000,12928000
1.330945,1.623000,2002-08-15,1.623000,1.623000,1.623000,0
1.317004,1.606000,2002-08-16,1.624000,1.584000,1.624000,12992000
1.296503,1.581000,2002-08-19,1.625000,1.575000,1.625000,12864000
1.302244,1.588000,2002-08-20,1.619000,1.569000,1.619000,12934400
1.307164,1.594000,2002-08-21,1.625000,1.588000,1.625000,12864000
1.271081,1.550000,2002-08-22,1.625000,1.550000,1.625000,12960000
1.294863,1.579000,2002-08-23,1.624000,1.575000,1.624000,12960000
1.309624,1.597000,2002-08-26,1.624000,1.576000,1.624000,13753600
1.312904,1.601000,2002-08-27,1.617000,1.550000,1.563000,14854400
1.281742,1.563000,2002-08-28,1.624000,1.513000,1.624000,14489600
1.281742,1.563000,2002-08-29,1.623000,1.545000,1.623000,13248000
1.291583,1.575000,2002-08-30,1.624000,1.519000,1.624000,13030400
1.281742,1.563000,2002-09-02,1.619000,1.563000,1.619000,12876800
1.261241,1.538000,2002-09-03,1.613000,1.526000,1.613000,14758400
1.271081,1.550000,2002-09-04,1.625000,1.538000,1.625000,13043200
1.322745,1.613000,2002-09-05,1.613000,1.563000,1.613000,12940800
1.251400,1.526000,2002-09-06,1.594000,1.525000,1.594000,14124800
1.240740,1.513000,2002-09-09,1.624000,1.513000,1.624000,13024000
1.240740,1.513000,2002-09-10,1.513000,1.513000,1.513000,0
1.278462,1.559000,2002-09-11,1.588000,1.531000,1.588000,13568000
1.286663,1.569000,2002-09-12,1.594000,1.569000,1.594000,12864000
1.266161,1.544000,2002-09-13,1.624000,1.525000,1.624000,13568000
1.273542,1.553000,2002-09-16,1.613000,1.550000,1.613000,12864000
1.266161,1.544000,2002-09-17,1.561000,1.475000,1.550000,13568000
1.243200,1.516000,2002-09-18,1.588000,1.516000,1.588000,12979200
1.266161,1.544000,2002-09-19,1.550000,1.500000,1.550000,12960000
1.240740,1.513000,2002-09-20,1.544000,1.513000,1.544000,13337600
1.230899,1.501000,2002-09-23,1.600000,1.500000,1.600000,13600000
1.209578,1.475000,2002-09-24,1.563000,1.475000,1.563000,13958400
1.255501,1.531000,2002-09-25,1.550000,1.531000,1.550000,13024000
1.233359,1.504000,2002-09-26,1.550000,1.504000,1.550000,14144000
1.257141,1.533000,2002-09-27,1.550000,1.500000,1.550000,13299200
1.250580,1.525000,2002-09-30,1.613000,1.500000,1.613000,13222400
1.268622,1.547000,2002-10-01,1.600000,1.547000,1.600000,12832000
1.268622,1.547000,2002-10-02,1.547000,1.547000,1.547000,0
1.204657,1.469000,2002-10-03,1.600000,1.438000,1.600000,13696000
1.261241,1.538000,2002-10-04,1.550000,1.531000,1.550000,12864000
1.261241,1.538000,2002-10-07,1.549000,1.531000,1.549000,12864000
1.255501,1.531000,2002-10-08,1.559000,1.519000,1.559000,12947200
1.254681,1.530000,2002-10-09,1.531000,1.394000,1.531000,13472000
