adj_close,close,date,high,low,open,volume
2.223229,2.402500,2001-07-02,2.475000,2.400000,2.402500,110800
2.220917,2.400000,2001-07-03,2.475000,2.375000,2.475000,77520
2.239423,2.420000,2001-07-04,2.450000,2.387500,2.425000,49360
2.234797,2.415000,2001-07-05,2.472500,2.400000,2.450000,62700
2.220917,2.400000,2001-07-06,2.425000,2.350000,2.425000,117800
2.202409,2.380000,2001-07-09,2.425000,2.350000,2.375000,142180
2.165393,2.340000,2001-07-10,2.400000,2.300000,2.352500,94600
2.128378,2.300000,2001-07-11,2.475000,2.300000,2.475000,77780
2.128378,2.300000,2001-07-12,2.350000,2.300000,2.325000,35400
2.082109,2.250000,2001-07-13,2.395000,2.250000,2.300000,80000
2.058975,2.225000,2001-07-16,2.300000,2.225000,2.250000,41900
2.089050,2.257500,2001-07-17,2.300000,2.200000,2.200000,89780
2.077482,2.245000,2001-07-18,2.272500,2.105000,2.250000,60800
2.061288,2.227500,2001-07-19,2.250000,2.205000,2.235000,69100
2.017332,2.180000,2001-07-20,2.247500,2.177500,2.200000,57060
2.035840,2.200000,2001-07-23,2.200000,2.082500,2.082500,2100
1.848450,1.997500,2001-07-24,2.175000,1.775000,1.775000,94120
1.927108,2.082500,2001-07-25,2.120000,1.935000,1.987500,144780
1.943302,2.100000,2001-07-26,2.117500,2.032500,2.100000,74480
1.957182,2.115000,2001-07-27,2.125000,2.055000,2.097500,94060
1.917854,2.072500,2001-07-30,2.112500,2.005000,2.005000,67840
1.943302,2.100000,2001-07-31,2.125000,2.052500,2.052500,55520
1.964123,2.122500,2001-08-01,2.150000,2.100000,2.102500,89700
1.952555,2.110000,2001-08-02,2.125000,2.075000,2.105000,37340
1.991884,2.152500,2001-08-03,2.157500,2.100000,2.150000,93360
1.989571,2.150000,2001-08-06,2.162500,2.150000,2.150000,2022020
1.980317,2.140000,2001-08-07,2.175000,2.125000,2.150000,126520
1.998824,2.160000,2001-08-08,2.187500,2.130000,2.155000,55400
2.003452,2.165000,2001-08-09,2.170000,2.150000,2.150000,38960
1.989571,2.150000,2001-08-10,2.172500,2.150000,2.157500,27680
1.989571,2.150000,2001-08-13,2.200000,2.150000,2.200000,21700
1.989571,2.150000,2001-08-14,2.187500,2.150000,2.175000,78620
1.989571,2.150000,2001-08-15,2.150000,2.150000,2.150000,0
1.994198,2.155000,2001-08-16,2.195000,2.150000,2.150000,84280
1.989571,2.150000,2001-08-17,2.175000,2.150000,2.150000,79700
1.989571,2.150000,2001-08-20,2.170000,2.150000,2.150000,15700
1.989571,2.150000,2001-08-21,2.172500,2.150000,2.150000,34900
1.989571,2.150000,2001-08-22,2.150000,2.150000,2.150000,0
1.989571,2.150000,2001-08-23,2.167500,2.145000,2.145000,64100
1.989571,2.150000,2001-08-24,2.162500,2.150000,2.150000,56960
2.001137,2.162500,2001-08-27,2.172500,2.150000,2.150000,55880
1.991884,2.152500,2001-08-28,2.162500,2.150000,2.150000,51600
1.991884,2.152500,2001-08-29,2.175000,2.150000,2.175000,26620
1.989571,2.150000,2001-08-30,2.162500,2.150000,2.150000,20160
1.994198,2.155000,2001-08-31,2.175000,2.150000,2.150000,72440
1.996511,2.157500,2001-09-03,2.200000,2.150000,2.192500,70200
1.989571,2.150000,2001-09-04,2.272500,2.150000,2.272500,21020
1.989571,2.150000,2001-09-05,2.162500,2.150000,2.150000,49560
1.989571,2.150000,2001-09-06,2.195000,2.150000,2.195000,75400
1.996511,2.157500,2001-09-07,2.170000,2.150000,2.150000,49240
1.989571,2.150000,2001-09-10,2.170000,2.150000,2.150000,53280
1.989571,2.150000,2001-09-11,2.167500,2.125000,2.150000,308500
1.746658,1.887500,2001-09-12,2.080000,1.800000,2.080000,237560
1.746658,1.887500,2001-09-13,1.945000,1.887500,1.925000,71820
1.485237,1.605000,2001-09-14,1.887500,1.575000,1.887500,106140
1.263146,1.365000,2001-09-17,1.500000,1.325000,1.500000,294160
1.487551,1.607500,2001-09-18,1.637500,1.300000,1.347500,156860
1.654120,1.787500,2001-09-19,1.845000,1.602500,1.605000,150040
1.598597,1.727500,2001-09-20,1.825000,1.650000,1.800000,96520
1.748971,1.890000,2001-09-21,2.075000,1.727500,1.727500,341000
1.850763,2.000000,2001-09-24,2.095000,1.900000,2.095000,229800
1.850763,2.000000,2001-09-25,2.010000,2.000000,2.000000,171660
1.855390,2.005000,2001-09-26,2.045000,1.992500,2.010000,129120
1.850763,2.000000,2001-09-27,2.075000,2.000000,2.010000,69200
1.853077,2.002500,2001-09-28,2.025000,2.000000,2.022500,92780
1.850763,2.000000,2001-10-01,2.005000,2.000000,2.000000,64280
1.850763,2.000000,2001-10-02,2.000000,2.000000,2.000000,0
1.850763,2.000000,2001-10-03,2.015000,2.000000,2.012500,48620
1.853077,2.002500,2001-10-04,2.012500,2.000000,2.002500,47900
1.866958,2.017500,2001-10-05,2.020000,2.000000,2.000000,34780
1.855390,2.005000,2001-10-08,2.025000,1.900000,1.900000,176340
1.873898,2.025000,2001-10-09,2.085000,2.000000,2.000000,66640
1.890092,2.042500,2001-10-10,2.045000,2.000000,2.000000,38840
1.860017,2.010000,2001-10-11,2.050000,2.000000,2.025000,39100
1.792927,1.937500,2001-10-12,2.002500,1.887500,2.000000,42500
1.758225,1.900000,2001-10-15,1.950000,1.862500,1.865000,114920
1.841509,1.990000,2001-10-16,2.000000,1.852500,1.852500,60420
1.776733,1.920000,2001-10-17,1.995000,1.902500,1.975000,45580
1.779046,1.922500,2001-10-18,1.942500,1.900000,1.910000,33220
1.748971,1.890000,2001-10-19,2.050000,1.880000,1.922500,65700
1.811435,1.957500,2001-10-22,2.000000,1.905000,1.925000,97480
1.841509,1.990000,2001-10-23,2.020000,1.950000,1.950000,59400
1.816062,1.962500,2001-10-24,2.000000,1.952500,2.000000,25640
1.848450,1.997500,2001-10-25,2.095000,1.980000,2.095000,38800
1.848450,1.997500,2001-10-26,1.997500,1.997500,1.997500,0
1.804494,1.950000,2001-10-29,2.050000,1.937500,2.012500,38100
1.804494,1.950000,2001-10-30,1.975000,1.932500,1.970000,18100
1.802181,1.947500,2001-10-31,1.975000,1.915000,1.950000,23000
1.783673,1.927500,2001-11-01,1.947500,1.902500,1.925000,14600
1.769792,1.912500,2001-11-02,1.950000,1.850000,1.850000,41840
1.809121,1.955000,2001-11-05,1.972500,1.900000,1.900000,54760
1.804494,1.950000,2001-11-06,2.005000,1.925000,1.950000,140300
1.788300,1.932500,2001-11-07,1.960000,1.925000,1.930000,40120
1.783673,1.927500,2001-11-08,1.950000,1.880000,1.882500,132880
