adj_close,close,date,high,low,open,volume
865.802490,875.250000,2022-05-17,918.950012,860.000000,872.000000,48792877
866.890564,876.349976,2022-05-18,891.000000,874.099976,885.549988,8919761
831.773743,840.849976,2022-05-19,867.000000,838.000000,867.000000,7372427
817.232483,826.150024,2022-05-20,856.799988,825.000000,848.549988,7078291
808.032776,816.849976,2022-05-23,852.700012,803.650024,826.150024,12444648
814.215332,823.099976,2022-05-24,834.700012,816.849976,818.000000,4287864
811.445557,820.299988,2022-05-25,841.450012,814.250000,831.500000,4013031
802.888916,811.650024,2022-05-26,824.799988,801.000000,820.299988,2796468
812.731506,821.599976,2022-05-27,824.650024,814.349976,818.549988,2215807
828.707214,837.750000,2022-05-30,841.400024,825.299988,829.900024,3133717
802.542725,811.299988,2022-05-31,822.000000,810.000000,810.000000,4373090
801.652405,810.400024,2022-06-01,817.450012,808.500000,811.400024,1670031
797.003174,805.700012,2022-06-02,813.799988,804.000000,809.950012,1565763
791.611938,800.250000,2022-06-03,810.750000,800.000000,808.650024,2052785
768.959167,777.349976,2022-06-06,801.700012,775.099976,800.250000,3033514
744.872009,753.000000,2022-06-07,772.900024,751.799988,772.900024,3774512
730.083374,738.049988,2022-06-08,752.900024,736.099976,752.900024,4103499
713.909851,721.700012,2022-06-09,736.000000,720.099976,729.900024,3729113
702.039429,709.700012,2022-06-10,719.750000,708.049988,713.000000,3464178
661.036865,668.250000,2022-06-13,690.900024,667.000000,690.900024,7781730
667.021484,674.299988,2022-06-14,684.000000,663.000000,664.099976,5348769
682.700378,690.150024,2022-06-15,709.700012,679.099976,681.000000,9204318
662.124939,669.349976,2022-06-16,706.000000,667.000000,703.450012,4049782
647.484680,654.549988,2022-06-17,669.349976,651.000000,669.099976,4043000
654.260742,661.400024,2022-06-20,666.700012,650.000000,660.450012,3522551
658.019775,665.200012,2022-06-21,671.400024,663.000000,667.000000,2355354
661.382996,668.599976,2022-06-22,684.900024,664.099976,666.000000,3472810
657.970337,665.150024,2022-06-23,674.700012,658.599976,670.200012,1798979
654.508057,661.650024,2022-06-24,673.549988,659.099976,669.299988,1743400
657.623962,664.799988,2022-06-27,670.000000,661.700012,670.000000,1405766
656.189697,663.349976,2022-06-28,664.799988,659.000000,663.250000,1004747
671.176208,678.500000,2022-06-29,696.849976,657.799988,660.099976,4653282
666.625854,673.900024,2022-06-30,683.700012,671.000000,678.500000,1681412
669.346130,676.650024,2022-07-01,679.950012,669.000000,675.000000,1330472
684.827209,692.299988,2022-07-04,694.000000,678.000000,678.000000,1832039
695.065491,702.650024,2022-07-05,712.900024,697.000000,698.000000,3662593
695.362305,702.950012,2022-07-06,713.599976,701.500000,707.000000,1253320
690.515137,698.049988,2022-07-07,714.700012,696.000000,708.000000,1843219
700.456665,708.099976,2022-07-08,710.799988,701.250000,701.250000,2152750
710.447693,718.200012,2022-07-11,721.900024,704.349976,707.950012,1638255
709.854126,717.599976,2022-07-12,724.400024,714.349976,718.700012,1355821
711.090576,718.849976,2022-07-13,723.900024,715.450012,719.900024,887093
704.611267,712.299988,2022-07-14,721.250000,709.000000,720.099976,874964
700.852417,708.500000,2022-07-15,721.250000,705.049988,719.450012,999239
688.981873,696.500000,2022-07-18,713.650024,693.000000,710.000000,1620545
681.414429,688.849976,2022-07-19,699.000000,688.000000,697.000000,1592940
680.276855,687.700012,2022-07-20,696.750000,686.750000,694.299988,1377738
680.128540,687.549988,2022-07-21,693.000000,687.049988,688.000000,799923
681.216675,688.650024,2022-07-22,694.299988,687.700012,689.049988,948078
676.567383,683.950012,2022-07-25,690.000000,682.000000,688.000000,671602
668.060181,675.349976,2022-07-26,684.799988,675.000000,684.000000,662692
667.070923,674.349976,2022-07-27,679.599976,672.900024,675.000000,690747
667.615051,674.900024,2022-07-28,679.250000,674.000000,677.000000,741896
670.483704,677.799988,2022-07-29,683.799988,675.000000,676.150024,1519288
675.528687,682.900024,2022-08-01,685.599976,678.400024,680.000000,949173
678.100647,685.500000,2022-08-02,688.950012,680.200012,682.400024,1061968
670.978271,678.299988,2022-08-03,688.000000,677.000000,685.000000,951585
666.427979,673.700012,2022-08-04,683.450012,670.700012,682.000000,1036357
679.930603,687.349976,2022-08-05,694.950012,674.099976,675.000000,3867024
672.659973,680.000000,2022-08-08,688.000000,678.500000,680.349976,1215231
675.231934,682.599976,2022-08-10,687.950012,680.750000,682.500000,1133206
675.281433,682.650024,2022-08-11,689.799988,681.299988,685.450012,1055646
675.034119,682.400024,2022-08-12,687.099976,681.049988,683.250000,867471
690.119446,697.650024,2022-08-16,706.599976,691.299988,693.000000,4029367
690.416199,697.950012,2022-08-17,704.000000,697.000000,702.000000,1443441
688.734619,696.250000,2022-08-18,703.500000,695.000000,698.900024,1010173
678.545776,685.950012,2022-08-19,698.950012,683.099976,697.900024,1403378
668.010742,675.299988,2022-08-22,684.900024,675.000000,684.900024,1331779
663.856018,671.099976,2022-08-23,678.799988,670.250000,674.500000,1053329
668.950439,676.250000,2022-08-24,683.000000,672.000000,673.099976,1473399
672.023804,677.849976,2022-08-25,682.799988,677.049988,678.500000,865146
673.015198,678.849976,2022-08-26,682.400024,678.049988,680.900024,691903
664.390015,670.150024,2022-08-29,674.950012,667.200012,670.000000,1400803
667.711243,673.500000,2022-08-30,676.950012,672.200012,673.500000,689256
662.952454,668.700012,2022-09-01,676.849976,668.049988,673.000000,1019021
658.937317,664.650024,2022-09-02,672.900024,664.000000,671.000000,914138
654.128967,659.799988,2022-09-05,669.150024,659.150024,666.000000,1467031
647.189087,652.799988,2022-09-06,663.849976,651.000000,662.000000,1984406
647.536133,653.150024,2022-09-07,655.400024,651.000000,652.799988,1236249
648.230103,653.849976,2022-09-08,659.000000,652.299988,656.000000,1138616
647.684814,653.299988,2022-09-09,659.000000,652.650024,657.799988,1220396
646.594299,652.200012,2022-09-12,656.750000,651.599976,655.000000,1161662
664.489136,670.250000,2022-09-13,673.400024,653.500000,655.000000,4249316
657.747620,663.450012,2022-09-14,678.000000,662.200012,664.700012,2467127
666.818909,672.599976,2022-09-15,676.599976,660.150024,665.000000,2899060
649.171936,654.799988,2022-09-16,671.700012,653.349976,670.900024,1723016
649.122375,654.750000,2022-09-19,663.549988,654.000000,658.299988,1004677
650.708618,656.349976,2022-09-20,665.049988,655.549988,657.549988,927521
646.842163,652.450012,2022-09-21,659.900024,651.799988,656.400024,920171
644.165344,649.750000,2022-09-22,659.000000,648.000000,653.000000,1270228
637.275085,642.799988,2022-09-23,652.950012,642.000000,651.599976,1212921
625.130371,630.549988,2022-09-26,641.000000,629.099976,640.000000,1072834
623.395386,628.799988,2022-09-27,637.599976,628.000000,632.000000,1138955
616.108582,621.450012,2022-09-28,627.750000,620.250000,627.750000,845815
614.224915,619.549988,2022-09-29,626.900024,618.000000,623.900024,777577
616.306885,621.650024,2022-09-30,626.400024,617.000000,620.250000,873228
615.265869,620.599976,2022-10-03,625.000000,619.250000,622.000000,820751
623.891113,629.299988,2022-10-04,631.799988,624.000000,624.000000,776287
623.494568,628.900024,2022-10-06,635.799988,628.500000,630.549988,774273
619.132324,624.500000,2022-10-07,630.000000,624.000000,629.000000,644846
614.076233,619.400024,2022-10-10,622.700012,618.200012,622.700012,863600
614.175354,619.500000,2022-10-11,625.950012,618.000000,620.700012,775141
610.358459,615.650024,2022-10-12,622.700012,613.849976,621.500000,700431
606.343262,611.599976,2022-10-13,618.450012,611.000000,616.000000,686400
607.532959,612.799988,2022-10-14,619.049988,612.000000,617.599976,617660
603.517761,608.750000,2022-10-17,613.549988,608.000000,612.799988,772169
602.625427,607.849976,2022-10-18,612.400024,607.500000,611.000000,696884
601.832397,607.049988,2022-10-19,611.000000,605.500000,608.900024,637868
595.834351,601.000000,2022-10-20,607.950012,600.000000,607.549988,1042196
584.135803,589.200012,2022-10-21,601.150024,588.000000,601.150024,1854225
594.644653,599.799988,2022-10-24,600.799988,593.000000,593.000000,457731
590.431152,595.549988,2022-10-25,601.000000,594.299988,600.000000,536666
590.431152,595.549988,2022-10-27,597.799988,595.000000,596.500000,651827
587.605713,592.700012,2022-10-28,597.450012,591.250000,596.000000,737228
598.759033,603.950012,2022-10-31,616.799988,602.799988,606.900024,2929385
599.998230,605.200012,2022-11-01,608.950012,603.950012,608.950012,1013858
614.076233,619.400024,2022-11-02,622.000000,603.099976,607.000000,1836761
620.272461,625.650024,2022-11-03,629.000000,616.000000,619.000000,1604869
622.651855,628.049988,2022-11-04,630.900024,626.299988,628.000000,662123
627.807190,633.250000,2022-11-07,638.000000,629.000000,629.000000,1044987
625.873901,631.299988,2022-11-09,637.700012,630.099976,635.000000,626576
615.513733,620.849976,2022-11-10,635.000000,618.599976,635.000000,788898
622.304871,627.700012,2022-11-11,633.650024,625.049988,626.000000,979067
658.937317,664.650024,2022-11-14,684.900024,658.299988,663.950012,8854572
649.072815,654.700012,2022-11-15,672.299988,650.000000,665.000000,2112529
637.126343,642.650024,2022-11-16,655.000000,640.000000,652.000000,1364241
638.316040,643.849976,2022-11-17,649.250000,637.549988,639.000000,1211174
633.309448,638.799988,2022-11-18,646.000000,636.700012,643.000000,750739
621.660461,627.049988,2022-11-21,640.299988,625.299988,639.900024,880089
620.421204,625.799988,2022-11-22,633.799988,624.000000,625.000000,996001
615.860779,621.200012,2022-11-23,629.000000,620.049988,627.000000,914416
618.884521,624.250000,2022-11-24,631.000000,623.000000,623.000000,1199253
622.354431,627.750000,2022-11-25,630.750000,626.700012,627.349976,803958
624.386841,629.799988,2022-11-28,633.250000,627.750000,628.000000,823562
631.326660,636.799988,2022-11-29,643.400024,629.000000,629.000000,1571328
630.830933,636.299988,2022-11-30,639.799988,633.000000,636.000000,647345
645.305481,650.900024,2022-12-01,658.099976,638.000000,638.000000,3163335
645.652466,651.250000,2022-12-02,654.000000,648.000000,648.000000,905130
646.495117,652.099976,2022-12-05,655.000000,649.000000,651.099976,800923
646.098572,651.700012,2022-12-06,658.799988,649.000000,651.000000,1233657
648.527588,654.150024,2022-12-07,657.900024,649.750000,649.750000,871091
656.657043,662.349976,2022-12-08,670.299988,652.900024,655.000000,2234602
666.075378,671.849976,2022-12-09,676.099976,664.000000,665.000000,2723169
691.207520,697.200012,2022-12-12,703.700012,670.099976,672.000000,5932237
712.126160,718.299988,2022-12-13,724.500000,700.000000,700.000000,7100398
718.074524,724.299988,2022-12-14,732.000000,711.900024,724.000000,5008176
702.658264,708.750000,2022-12-15,730.849976,706.000000,728.099976,2263539
682.631836,688.549988,2022-12-16,711.599976,687.049988,701.299988,2820832
728.286072,734.599976,2022-12-19,741.750000,689.750000,689.799988,6490103
733.590088,739.950012,2022-12-20,754.250000,730.049988,738.000000,8871743
695.619263,701.650024,2022-12-21,747.700012,698.000000,742.000000,4546599
675.741577,681.599976,2022-12-22,713.650024,680.000000,705.200012,4221417
653.088013,658.750000,2022-12-23,687.049988,655.099976,679.000000,3498066
682.086548,688.000000,2022-12-26,690.900024,661.000000,661.000000,2728756
686.647034,692.599976,2022-12-27,698.700012,681.549988,693.500000,1862730
681.144775,687.049988,2022-12-28,693.500000,685.000000,690.000000,944339
677.823547,683.700012,2022-12-29,686.599976,681.349976,686.599976,978328
678.715759,684.599976,2022-12-30,692.250000,683.299988,686.000000,878093
703.401794,709.500000,2023-01-02,714.599976,684.700012,685.000000,2988258
