adj_close,close,date,high,low,open,volume
42.465191,61.206249,2000-01-04,61.206249,61.200001,61.200001,299760
44.650688,64.356247,2000-01-05,66.106247,56.393749,66.106247,1820968
45.491913,65.568748,2000-01-06,68.750000,64.750000,66.000000,1590960
43.050583,62.049999,2000-01-07,65.250000,61.250000,64.375000,728416
43.119976,62.150002,2000-01-10,66.875000,61.462502,63.737499,667632
46.207401,66.599998,2000-01-11,67.125000,63.762501,64.250000,2003056
42.517231,61.281250,2000-01-12,68.750000,61.275002,67.500000,1088072
43.276081,62.375000,2000-01-13,65.000000,58.187500,64.500000,687632
45.010590,64.875000,2000-01-14,65.625000,61.262501,62.500000,635584
48.614029,70.068748,2000-01-17,70.068748,67.250000,67.250000,1304032
49.776157,71.743752,2000-01-18,74.493752,68.781250,71.250000,2344184
51.965996,74.900002,2000-01-19,77.487503,71.500000,75.125000,2619848
49.637390,71.543747,2000-01-20,74.743752,70.750000,74.743752,857464
47.699085,68.750000,2000-01-21,73.125000,68.000000,73.125000,732360
44.637669,64.337502,2000-01-24,68.737503,63.906250,67.387497,366120
43.991566,63.406250,2000-01-25,64.968750,61.400002,64.500000,729352
43.991566,63.406250,2000-01-26,63.406250,63.406250,63.406250,0
43.302090,62.412498,2000-01-27,67.500000,59.375000,67.500000,741040
44.325462,63.887501,2000-01-28,64.987503,62.500000,63.500000,454952
44.034931,63.468750,2000-01-31,64.687500,62.500000,63.375000,317448
41.797394,60.243752,2000-02-01,64.218750,59.375000,63.625000,1078464
45.145008,65.068748,2000-02-02,65.068748,62.250000,62.500000,718440
45.027935,64.900002,2000-02-03,69.837502,64.381248,67.500000,416304
44.160679,63.650002,2000-02-04,65.362503,62.625000,64.500000,253632
43.870144,63.231251,2000-02-07,64.112503,62.125000,62.125000,232224
47.382538,68.293747,2000-02-08,68.293747,64.362503,64.362503,971896
45.895199,66.150002,2000-02-09,73.625000,65.000000,72.500000,1118936
49.542004,71.406250,2000-02-10,71.443748,66.906250,66.906250,3064944
