adj_close,close,date,high,low,open,volume
9.239883,10.640000,2002-07-01,10.710000,10.340000,10.400000,1435835
9.917242,11.420000,2002-07-02,11.830000,10.800000,10.800000,12510830
9.509090,10.950000,2002-07-03,11.540000,10.860000,11.390000,3589120
9.795666,11.280000,2002-07-04,11.580000,10.980000,11.000000,3957485
10.238554,11.790000,2002-07-05,12.080000,11.300000,11.390000,9544070
10.542500,12.140000,2002-07-08,12.900000,12.000000,12.200000,5771825
10.837757,12.480000,2002-07-09,12.820000,12.100000,12.170000,6671245
10.290659,11.850000,2002-07-10,12.680000,11.810000,12.570000,4501655
10.160398,11.700000,2002-07-11,12.300000,11.620000,11.830000,4315180
10.290659,11.850000,2002-07-12,12.140000,11.710000,12.000000,2800140
9.865136,11.360000,2002-07-15,11.950000,11.210000,11.950000,1704595
9.674088,11.140000,2002-07-16,11.580000,11.010000,11.440000,1916820
9.474353,10.910000,2002-07-17,11.280000,10.850000,11.100000,1433035
9.743561,11.220000,2002-07-18,11.260000,11.020000,11.020000,1012385
9.682773,11.150000,2002-07-19,11.540000,11.040000,11.180000,1536150
9.222513,10.620000,2002-07-22,11.000000,10.510000,10.800000,1245150
9.344092,10.760000,2002-07-23,10.800000,10.440000,10.540000,762115
9.109621,10.490000,2002-07-24,10.800000,10.430000,10.680000,608620
9.074885,10.450000,2002-07-25,11.000000,10.220000,10.800000,703220
8.449630,9.730000,2002-07-26,10.480000,9.620000,10.480000,1532135
8.119635,9.350000,2002-07-29,9.900000,8.950000,9.820000,1491780
8.058845,9.280000,2002-07-30,9.810000,9.200000,9.600000,1291000
8.284631,9.540000,2002-07-31,9.780000,9.000000,9.220000,1057095
8.249896,9.500000,2002-08-01,9.980000,9.420000,9.800000,1041365
8.449630,9.730000,2002-08-02,9.880000,9.200000,9.300000,1197590
8.519103,9.810000,2002-08-05,9.900000,9.510000,9.510000,688550
8.571208,9.870000,2002-08-06,9.920000,9.620000,9.800000,464005
8.718836,10.040000,2002-08-07,10.200000,9.900000,10.180000,656345
8.267263,9.520000,2002-08-08,10.200000,9.470000,10.200000,816270
8.336738,9.600000,2002-08-09,9.780000,9.450000,9.740000,751370
8.406209,9.680000,2002-08-12,9.960000,9.600000,9.960000,373580
8.432261,9.710000,2002-08-13,9.800000,9.660000,9.800000,177195
8.171739,9.410000,2002-08-14,9.710000,9.340000,9.700000,518595
8.171739,9.410000,2002-08-15,9.410000,9.410000,9.410000,0
8.275948,9.530000,2002-08-16,9.650000,9.470000,9.600000,298485
8.275948,9.530000,2002-08-19,9.980000,9.500000,9.980000,270060
8.423575,9.700000,2002-08-20,9.760000,9.530000,9.570000,224870
8.406209,9.680000,2002-08-21,9.870000,9.630000,9.850000,393840
8.406209,9.680000,2002-08-22,9.830000,9.610000,9.690000,340490
8.354106,9.620000,2002-08-23,9.840000,9.580000,9.840000,183065
8.371472,9.640000,2002-08-26,9.700000,9.600000,9.600000,178360
8.180422,9.420000,2002-08-27,9.650000,9.400000,9.510000,232490
8.163052,9.400000,2002-08-28,9.800000,9.320000,9.800000,185550
8.137002,9.370000,2002-08-29,9.500000,9.300000,9.480000,189090
8.154370,9.390000,2002-08-30,9.490000,9.340000,9.400000,170580
8.258579,9.510000,2002-09-02,9.680000,9.460000,9.600000,307270
8.128318,9.360000,2002-09-03,9.580000,9.320000,9.550000,208595
8.128318,9.360000,2002-09-04,9.400000,9.300000,9.310000,148055
8.154370,9.390000,2002-09-05,9.480000,9.340000,9.400000,158875
8.084898,9.310000,2002-09-06,9.480000,9.270000,9.400000,147910
8.084898,9.310000,2002-09-09,9.370000,9.220000,9.250000,154430
8.084898,9.310000,2002-09-10,9.310000,9.310000,9.310000,0
8.163052,9.400000,2002-09-11,9.480000,9.330000,9.330000,160190
8.253755,9.100000,2002-09-12,9.400000,9.000000,9.380000,492995
8.271895,9.120000,2002-09-13,9.380000,9.000000,9.160000,267135
8.244686,9.090000,2002-09-16,9.380000,8.630000,9.380000,139215
8.217475,9.060000,2002-09-17,9.200000,8.900000,8.900000,186320
8.063283,8.890000,2002-09-18,9.130000,8.860000,9.120000,277335
7.927232,8.740000,2002-09-19,8.960000,8.700000,8.960000,228125
7.900023,8.710000,2002-09-20,8.780000,8.610000,8.780000,189595
7.890952,8.700000,2002-09-23,8.840000,8.630000,8.780000,164020
7.763972,8.560000,2002-09-24,8.640000,8.520000,8.630000,179040
7.754900,8.550000,2002-09-25,8.600000,8.360000,8.600000,173130
7.782111,8.580000,2002-09-26,8.700000,8.520000,8.520000,103885
7.900023,8.710000,2002-09-27,8.990000,8.660000,8.990000,193885
7.718622,8.510000,2002-09-30,8.990000,8.420000,8.990000,166670
