adj_close,close,date,high,low,open,volume
3.677871,5.262500,2002-07-01,5.270000,5.132500,5.200000,5700
3.854341,5.515000,2002-07-02,5.587500,5.227500,5.250000,23320
3.873559,5.542500,2002-07-03,5.712500,5.487500,5.522500,26820
3.920733,5.610000,2002-07-04,5.725000,5.575000,5.702500,11580
4.004600,5.730000,2002-07-05,5.775000,5.600000,5.625000,13920
4.149619,5.937500,2002-07-08,6.000000,5.750000,5.800000,20340
4.102444,5.870000,2002-07-09,6.002500,5.750000,5.875000,25560
3.973149,5.685000,2002-07-10,5.950000,5.675000,5.950000,6420
3.941700,5.640000,2002-07-11,5.925000,5.575000,5.925000,6120
3.905010,5.587500,2002-07-12,5.625000,5.377500,5.377500,4320
3.768727,5.392500,2002-07-15,5.555000,5.375000,5.555000,2980
3.800176,5.437500,2002-07-16,5.490000,5.375000,5.375000,2360
3.683113,5.270000,2002-07-17,5.382500,5.250000,5.377500,8500
3.763485,5.385000,2002-07-18,5.425000,5.250000,5.250000,7020
3.836868,5.490000,2002-07-19,5.525000,5.400000,5.400000,2340
3.665642,5.245000,2002-07-22,5.375000,5.225000,5.300000,5400
3.908504,5.592500,2002-07-23,5.700000,5.175000,5.175000,12720
3.995864,5.717500,2002-07-24,5.800000,5.532500,5.552500,21640
3.971403,5.682500,2002-07-25,5.870000,5.625000,5.750000,15400
3.725046,5.330000,2002-07-26,5.675000,5.275000,5.675000,9620
3.697092,5.290000,2002-07-29,5.387500,5.200000,5.225000,5860
3.693597,5.285000,2002-07-30,5.400000,5.207500,5.400000,8360
3.746013,5.360000,2002-07-31,5.375000,5.200000,5.250000,4280
3.751255,5.367500,2002-08-01,5.467500,5.350000,5.350000,10560
3.800176,5.437500,2002-08-02,5.475000,5.265000,5.265000,4580
3.808913,5.450000,2002-08-05,5.537500,5.375000,5.500000,20160
3.918987,5.607500,2002-08-06,5.645000,5.475000,5.475000,9660
3.948689,5.650000,2002-08-07,5.715000,5.582500,5.632500,5440
3.957425,5.662500,2002-08-08,5.697500,5.600000,5.600000,6300
3.952184,5.655000,2002-08-09,5.665000,5.600000,5.600000,2440
3.974896,5.687500,2002-08-12,5.697500,5.650000,5.662500,2240
4.041290,5.782500,2002-08-13,5.825000,5.615000,5.625000,3820
4.055268,5.802500,2002-08-14,5.850000,5.702500,5.825000,2140
4.055268,5.802500,2002-08-15,5.802500,5.802500,5.802500,0
4.018578,5.750000,2002-08-16,5.800000,5.712500,5.750000,2840
4.041290,5.782500,2002-08-19,5.825000,5.777500,5.800000,1480
4.244007,5.705000,2002-08-20,5.750000,5.657500,5.722500,5920
4.193793,5.637500,2002-08-21,5.725000,5.620000,5.725000,1060
4.169616,5.605000,2002-08-22,5.685000,5.602500,5.637500,1220
4.197513,5.642500,2002-08-23,5.650000,5.577500,5.577500,2040
4.204950,5.652500,2002-08-26,5.747500,5.650000,5.747500,3760
4.221689,5.675000,2002-08-27,5.720000,5.627500,5.627500,1380
4.232848,5.690000,2002-08-28,5.722500,5.650000,5.650000,1820
4.247726,5.710000,2002-08-29,5.735000,5.650000,5.650000,3660
4.230987,5.687500,2002-08-30,5.700000,5.650000,5.650000,2420
4.251446,5.715000,2002-09-02,5.725000,5.670000,5.675000,1800
4.132421,5.555000,2002-09-03,5.627500,5.550000,5.627500,1660
4.184494,5.625000,2002-09-04,5.625000,5.562500,5.625000,580
4.178914,5.617500,2002-09-05,5.650000,5.532500,5.600000,1780
4.134280,5.557500,2002-09-06,5.675000,5.500000,5.532500,21560
4.130560,5.552500,2002-09-09,5.622500,5.477500,5.502500,4200
4.130560,5.552500,2002-09-10,5.552500,5.552500,5.552500,0
4.117541,5.535000,2002-09-11,5.550000,5.477500,5.477500,2200
4.097085,5.507500,2002-09-12,5.540000,5.472500,5.500000,2100
4.110103,5.525000,2002-09-13,5.525000,5.405000,5.462500,1120
4.108243,5.522500,2002-09-16,5.565000,5.472500,5.475000,1520
4.130560,5.552500,2002-09-17,5.600000,5.475000,5.487500,4120
4.126841,5.547500,2002-09-18,5.575000,5.480000,5.497500,6260
4.097085,5.507500,2002-09-19,5.575000,5.467500,5.467500,3480
4.091504,5.500000,2002-09-20,5.505000,5.462500,5.462500,1720
