adj_close,close,date,high,low,open,volume
6.787417,9.570000,2002-07-01,9.740000,9.550000,9.600000,825970
6.737772,9.500000,2002-07-02,9.670000,9.450000,9.600000,653405
6.744864,9.510000,2002-07-03,9.570000,9.460000,9.460000,305880
6.893806,9.720000,2002-07-04,9.900000,9.520000,9.560000,2413155
6.986005,9.850000,2002-07-05,9.950000,9.600000,9.900000,3460955
6.993096,9.860000,2002-07-08,10.040000,9.800000,9.900000,2791970
6.929265,9.770000,2002-07-09,9.920000,9.700000,9.900000,716330
6.971820,9.830000,2002-07-10,9.880000,9.650000,9.760000,1163015
6.638479,9.360000,2002-07-11,9.900000,9.300000,9.700000,1434245
6.744864,9.510000,2002-07-12,9.600000,9.420000,9.450000,673410
6.929265,9.770000,2002-07-15,11.220000,9.360000,11.220000,1958485
6.737772,9.500000,2002-07-16,9.780000,9.420000,9.600000,1115835
6.617202,9.330000,2002-07-17,9.580000,9.250000,9.580000,468885
6.652663,9.380000,2002-07-18,9.500000,9.280000,9.410000,271340
6.595924,9.300000,2002-07-19,9.400000,8.600000,8.600000,317560
6.354783,8.960000,2002-07-22,9.200000,8.920000,9.200000,508510
6.468262,9.120000,2002-07-23,9.240000,8.820000,9.240000,321750
6.482448,9.140000,2002-07-24,9.200000,9.000000,9.020000,614330
6.468262,9.120000,2002-07-25,9.700000,9.050000,9.700000,417915
6.319320,8.910000,2002-07-26,9.200000,8.820000,9.090000,842775
6.170381,8.700000,2002-07-29,9.180000,8.620000,9.000000,972715
6.198750,8.740000,2002-07-30,8.980000,8.700000,8.950000,604080
6.085272,8.580000,2002-07-31,8.740000,8.530000,8.740000,752895
6.241304,8.800000,2002-08-01,8.860000,8.640000,8.700000,776880
6.489538,9.150000,2002-08-02,10.120000,8.200000,10.120000,978845
6.610108,9.320000,2002-08-05,9.430000,9.040000,9.400000,1663065
6.461169,9.110000,2002-08-06,9.220000,9.060000,9.200000,1362320
6.347691,8.950000,2002-08-07,9.360000,8.910000,9.360000,676635
6.354783,8.960000,2002-08-08,9.040000,8.860000,8.890000,920445
6.290951,8.870000,2002-08-09,9.020000,8.820000,9.020000,344730
6.319320,8.910000,2002-08-12,9.070000,7.450000,7.450000,656355
6.305137,8.890000,2002-08-13,9.040000,8.860000,9.040000,629060
6.383152,9.000000,2002-08-14,9.010000,8.770000,8.900000,863860
6.383152,9.000000,2002-08-15,9.000000,9.000000,9.000000,0
6.461169,9.110000,2002-08-16,9.160000,8.910000,8.920000,772460
6.553369,9.240000,2002-08-19,9.260000,9.170000,9.240000,1502830
6.645571,9.370000,2002-08-20,9.400000,9.200000,9.200000,1094565
6.574648,9.270000,2002-08-21,9.450000,9.210000,9.450000,755185
6.489538,9.150000,2002-08-22,9.250000,9.080000,9.250000,377410
6.631386,9.350000,2002-08-23,9.390000,9.100000,9.100000,1216535
6.588831,9.290000,2002-08-26,9.380000,9.250000,9.300000,397415
6.510815,9.180000,2002-08-27,9.250000,9.150000,9.220000,341990
6.425707,9.060000,2002-08-28,9.200000,9.040000,9.070000,306935
6.404428,9.030000,2002-08-29,9.200000,9.010000,9.200000,181690
6.475353,9.130000,2002-08-30,9.400000,8.960000,9.400000,642855
6.454075,9.100000,2002-09-02,9.320000,9.040000,9.320000,725025
6.340599,8.940000,2002-09-03,9.100000,8.920000,9.100000,340035
6.319320,8.910000,2002-09-04,8.960000,8.840000,8.860000,196310
6.283859,8.860000,2002-09-05,8.970000,8.850000,8.900000,118600
6.255489,8.820000,2002-09-06,8.940000,8.800000,8.880000,301385
6.170381,8.700000,2002-09-09,8.820000,8.700000,8.800000,404010
6.170381,8.700000,2002-09-10,8.700000,8.700000,8.700000,0
6.276767,8.850000,2002-09-11,9.120000,8.760000,9.100000,663800
6.276767,8.850000,2002-09-12,8.980000,8.800000,8.820000,290880
6.361875,8.970000,2002-09-13,9.100000,8.820000,8.820000,1437160
6.432798,9.070000,2002-09-16,9.220000,8.950000,9.000000,2434590
6.333505,8.930000,2002-09-17,9.050000,8.910000,8.910000,312800
6.269673,8.840000,2002-09-18,8.990000,8.820000,8.990000,259615
6.269673,8.840000,2002-09-19,8.850000,8.760000,8.840000,396250
6.298043,8.880000,2002-09-20,8.900000,8.680000,8.730000,424995
6.312228,8.900000,2002-09-23,9.000000,8.870000,8.900000,2637360
6.234210,8.790000,2002-09-24,8.900000,8.750000,8.900000,245460
6.255489,8.820000,2002-09-25,8.870000,8.500000,8.750000,312685
6.220028,8.770000,2002-09-26,8.870000,8.750000,8.870000,82850
6.340599,8.940000,2002-09-27,8.950000,8.760000,8.800000,474405
6.312228,8.900000,2002-09-30,8.980000,8.820000,8.980000,783145
6.298043,8.880000,2002-10-01,8.940000,8.800000,8.940000,398550
6.298043,8.880000,2002-10-02,8.880000,8.880000,8.880000,0
6.262582,8.830000,2002-10-03,8.870000,8.780000,8.780000,299810
6.212935,8.760000,2002-10-04,8.890000,8.740000,8.890000,473405
6.212935,8.760000,2002-10-07,8.840000,8.720000,8.800000,221700
6.184566,8.720000,2002-10-08,8.800000,8.600000,8.800000,219625
6.071088,8.560000,2002-10-09,8.800000,8.510000,8.800000,425695
6.049810,8.530000,2002-10-10,8.610000,8.520000,8.590000,91350
5.773206,8.140000,2002-10-11,8.570000,8.000000,8.000000,605235
5.808668,8.190000,2002-10-14,8.400000,8.150000,8.200000,267625
5.808668,8.190000,2002-10-15,8.190000,8.190000,8.190000,0
5.886685,8.300000,2002-10-16,8.400000,8.200000,8.290000,241865
5.858315,8.260000,2002-10-17,8.320000,8.220000,8.280000,210230
5.872500,8.280000,2002-10-18,8.340000,8.230000,8.260000,106015
5.907962,8.330000,2002-10-21,8.360000,8.250000,8.300000,150925
5.872500,8.280000,2002-10-22,8.320000,8.250000,8.300000,126795
5.815760,8.200000,2002-10-23,8.340000,8.200000,8.340000,146180
5.744837,8.100000,2002-10-24,8.260000,8.090000,8.200000,279080
5.737744,8.090000,2002-10-25,8.210000,8.070000,8.100000,203225
5.773206,8.140000,2002-10-28,8.200000,8.030000,8.140000,305830
5.907962,8.330000,2002-10-29,8.410000,8.250000,8.380000,484345
5.872500,8.280000,2002-10-30,8.400000,8.260000,8.390000,282370
5.893778,8.310000,2002-10-31,8.350000,8.260000,8.260000,88315
5.993071,8.450000,2002-11-01,8.510000,8.200000,8.200000,234700
6.049810,8.530000,2002-11-04,8.700000,8.410000,8.600000,114715
6.099456,8.600000,2002-11-05,8.630000,8.450000,8.600000,303100
6.099456,8.600000,2002-11-06,8.600000,8.600000,8.600000,0
6.092364,8.590000,2002-11-07,8.700000,8.520000,8.700000,245175
6.042718,8.520000,2002-11-08,8.720000,8.500000,8.720000,255955
5.957609,8.400000,2002-11-11,8.570000,8.360000,8.570000,856440
5.844131,8.240000,2002-11-12,8.400000,8.230000,8.390000,735295
5.865408,8.270000,2002-11-13,8.340000,8.220000,8.250000,133895
5.929240,8.360000,2002-11-14,8.480000,8.260000,8.260000,99690
5.915054,8.340000,2002-11-15,8.430000,8.300000,8.370000,585705
5.922147,8.350000,2002-11-18,8.530000,8.310000,8.360000,690895
5.922147,8.350000,2002-11-19,8.350000,8.350000,8.350000,0
5.844131,8.240000,2002-11-20,8.390000,8.230000,8.350000,598295
5.801576,8.180000,2002-11-21,8.360000,8.150000,8.360000,466890
5.936332,8.370000,2002-11-22,8.690000,8.280000,8.320000,2391645
6.220028,8.770000,2002-11-25,8.790000,8.450000,8.580000,2462595
6.149104,8.670000,2002-11-26,8.890000,8.650000,8.760000,918950
6.227118,8.780000,2002-11-27,8.970000,8.640000,8.700000,2300490
6.312228,8.900000,2002-11-28,8.940000,8.810000,8.850000,1572175
6.418613,9.050000,2002-11-29,9.150000,8.810000,8.980000,1869905
6.723586,9.480000,2002-12-02,9.600000,9.060000,9.140000,3108010
6.759049,9.530000,2002-12-03,9.800000,9.400000,9.400000,2338235
6.730680,9.490000,2002-12-04,9.700000,9.390000,9.390000,1189445
6.822880,9.620000,2002-12-05,9.860000,9.480000,9.480000,2399925
7.227145,10.190000,2002-12-06,10.340000,9.600000,9.600000,3236605
7.666877,10.810000,2002-12-09,11.370000,10.200000,10.200000,5562220
7.595950,10.710000,2002-12-10,10.960000,10.510000,10.800000,2228610
8.113696,11.440000,2002-12-11,11.780000,10.510000,10.820000,7417730
8.411575,11.860000,2002-12-12,12.100000,11.450000,11.610000,11358215
8.858397,12.490000,2002-12-13,12.830000,12.000000,12.110000,8838860
8.879676,12.520000,2002-12-16,13.240000,12.320000,12.760000,7529885
9.220109,13.000000,2002-12-17,13.400000,11.720000,12.410000,9385280
9.957718,14.040000,2002-12-18,14.180000,13.460000,13.700000,17190520
9.319402,13.140000,2002-12-19,14.050000,13.000000,13.980000,12456095
9.361955,13.200000,2002-12-20,13.550000,13.070000,13.250000,6072695
9.191740,12.960000,2002-12-23,13.300000,12.710000,13.140000,4447235
9.596006,13.530000,2002-12-24,13.800000,12.910000,13.190000,6553245
9.596006,13.530000,2002-12-25,13.530000,13.530000,13.530000,0
9.936438,14.010000,2002-12-26,14.170000,13.630000,13.750000,6397520
9.950626,14.030000,2002-12-27,14.430000,13.810000,14.280000,5983920
9.709482,13.690000,2002-12-30,13.990000,12.000000,13.880000,2967130
10.291060,14.510000,2002-12-31,14.660000,13.630000,13.740000,10311195
9.283941,13.090000,2003-01-01,14.500000,13.020000,14.400000,25839495
9.269755,13.070000,2003-01-02,13.900000,12.960000,13.420000,14292970
8.993154,12.680000,2003-01-03,13.450000,12.620000,13.200000,6061740
8.581794,12.100000,2003-01-06,12.880000,11.950000,12.700000,8052370
9.298126,13.110000,2003-01-07,13.220000,12.060000,12.190000,22066990
9.716578,13.700000,2003-01-08,14.020000,13.200000,14.020000,10076150
10.567664,14.900000,2003-01-09,15.000000,13.800000,13.810000,29300310
10.624400,14.980000,2003-01-10,15.490000,14.460000,15.100000,14887595
10.943560,15.430000,2003-01-13,15.530000,14.950000,15.140000,11423805
10.716604,15.110000,2003-01-14,15.600000,15.020000,15.590000,5623830
11.156332,15.730000,2003-01-15,15.850000,14.650000,14.650000,10831725
11.213071,15.810000,2003-01-16,16.080000,15.730000,15.800000,7348740
11.014483,15.530000,2003-01-17,15.900000,15.430000,15.900000,4696085
11.546412,16.280001,2003-01-20,16.480000,15.050000,15.560000,13231210
11.957774,16.860001,2003-01-21,17.049999,16.299999,16.420000,15070660
11.603152,16.360001,2003-01-22,17.000000,15.780000,16.990000,19615995
11.844295,16.700001,2003-01-23,16.940001,15.780000,16.400000,15685710
11.248531,15.860000,2003-01-24,16.959999,15.670000,16.780001,14368165
10.695327,15.080000,2003-01-27,16.000000,14.700000,15.910000,11261500
10.744972,15.150000,2003-01-28,15.620000,14.690000,15.490000,11237070
10.716604,15.110000,2003-01-29,15.680000,14.940000,15.200000,9104215
10.432909,14.710000,2003-01-30,15.400000,14.590000,15.300000,4960955
10.135027,14.290000,2003-01-31,14.890000,14.110000,14.890000,6189775
10.709511,15.100000,2003-02-03,15.220000,14.330000,14.450000,7500065
11.156332,15.730000,2003-02-04,16.190001,15.200000,15.400000,14555485
11.071221,15.610000,2003-02-05,15.770000,15.260000,15.620000,6499895
11.702445,16.500000,2003-02-06,16.600000,15.400000,15.580000,14583260
11.525136,16.250000,2003-02-07,16.700001,15.810000,16.700001,11087595
11.142145,15.710000,2003-02-10,16.320000,15.640000,15.880000,10237530
11.099591,15.650000,2003-02-11,16.000000,15.440000,15.860000,6932145
11.127963,15.690000,2003-02-12,16.070000,15.100000,15.100000,8276375
11.127963,15.690000,2003-02-13,15.690000,15.690000,15.690000,0
10.901005,15.370000,2003-02-14,15.780000,15.270000,15.720000,6731905
11.560597,16.299999,2003-02-17,16.400000,15.420000,15.540000,6620480
12.028695,16.959999,2003-02-18,17.139999,16.510000,16.540001,12829410
12.574809,17.730000,2003-02-19,18.040001,16.959999,17.000000,19115535
12.298207,17.340000,2003-02-20,18.139999,17.049999,17.799999,21657015
12.532254,17.670000,2003-02-21,17.889999,16.969999,17.320000,14333010
12.567718,17.719999,2003-02-24,18.200001,17.610001,17.850000,9675525
12.014510,16.940001,2003-02-25,17.700001,16.840000,17.480000,11462170
11.333641,15.980000,2003-02-26,17.209999,15.920000,17.000000,21188790
12.227283,17.240000,2003-02-27,17.500000,15.740000,16.010000,23874005
11.815924,16.660000,2003-02-28,17.690001,16.420000,17.650000,22537220
12.844322,18.110001,2003-03-03,18.780001,17.030001,17.030001,23931380
12.659922,17.850000,2003-03-04,18.080000,17.530001,18.080000,15284540
13.276958,18.719999,2003-03-05,18.920000,17.200001,17.879999,19265810
13.149296,18.540001,2003-03-06,19.299999,18.120001,18.780001,41063360
12.510978,17.639999,2003-03-07,18.190001,17.500000,17.500000,15137485
12.113805,17.080000,2003-03-10,17.980000,17.000000,17.980000,11827050
12.610273,17.780001,2003-03-11,18.020000,16.250000,16.889999,24080550
13.425894,18.930000,2003-03-12,19.139999,18.020000,18.040001,33805435
13.354974,18.830000,2003-03-13,19.200001,17.980000,19.049999,22481695
13.354974,18.830000,2003-03-14,18.830000,18.830000,18.830000,0
13.539375,19.090000,2003-03-17,19.379999,18.059999,18.980000,16625390
13.539375,19.090000,2003-03-18,19.090000,19.090000,19.090000,0
13.766334,19.410000,2003-03-19,19.780001,19.020000,19.309999,14978605
13.964918,19.690001,2003-03-20,19.940001,18.799999,18.990000,23791460
14.333724,20.209999,2003-03-21,20.559999,19.820000,19.820000,17723920
13.986193,19.719999,2003-03-24,20.350000,19.549999,20.219999,6960370
13.922365,19.629999,2003-03-25,19.760000,19.110001,19.150000,9166260
13.901087,19.600000,2003-03-26,20.240000,19.500000,19.740000,8644605
14.603234,20.590000,2003-03-27,20.760000,19.510000,19.510000,15149945
15.028779,21.190001,2003-03-28,21.500000,20.340000,20.580000,15118410
14.433015,20.350000,2003-03-31,21.000000,20.170000,20.820000,8434155
13.943640,19.660000,2003-04-01,20.450001,19.450001,20.260000,11869235
14.532308,20.490000,2003-04-02,20.629999,19.930000,19.959999,9474560
14.972037,21.110001,2003-04-03,21.240000,20.200001,20.670000,13677950
15.383397,21.690001,2003-04-04,21.780001,20.920000,21.299999,13426805
15.581984,21.969999,2003-04-07,22.400000,21.430000,22.400000,8127835
16.021713,22.590000,2003-04-08,22.780001,21.420000,21.799999,11682655
15.113887,21.309999,2003-04-09,22.940001,20.950001,22.400000,12472540
14.886930,20.990000,2003-04-10,21.799999,20.379999,21.000000,10800825
14.950761,21.080000,2003-04-11,21.900000,20.900000,21.000000,8878365
null,null,2003-04-14,null,null,null,null
14.830190,20.910000,2003-04-15,21.280001,19.400000,21.180000,11610070
15.050051,21.219999,2003-04-16,21.650000,20.820000,20.820000,7913255
15.057145,21.230000,2003-04-17,21.799999,20.709999,21.100000,7242435
15.057145,21.230000,2003-04-18,21.230000,21.230000,21.230000,0
15.503968,21.860001,2003-04-21,21.980000,21.170000,21.170000,7120515
15.085517,21.270000,2003-04-22,22.100000,21.020000,21.900000,3932860
14.447200,20.370001,2003-04-23,21.600000,20.219999,21.350000,8491215
14.737988,20.780001,2003-04-24,21.500000,20.200001,20.400000,10366750
15.667090,22.090000,2003-04-25,22.520000,20.820000,20.940001,16800525
16.830244,23.730000,2003-04-28,24.139999,21.799999,22.200001,26193010
16.135193,22.750000,2003-04-29,23.959999,22.430000,23.959999,25315195
16.787691,23.670000,2003-04-30,24.020000,22.420000,22.900000,18084365
16.787691,23.670000,2003-05-01,23.670000,23.670000,23.670000,0
17.213230,24.270000,2003-05-02,24.469999,23.340000,23.400000,14162110
18.262907,25.750000,2003-05-05,25.950001,24.420000,24.540001,13709700
17.915377,25.260000,2003-05-06,26.320000,24.940001,25.920000,16796075
17.347986,24.459999,2003-05-07,25.940001,24.400000,25.500000,11796225
17.539486,24.730000,2003-05-08,25.000000,24.400000,24.799999,9218620
17.532391,24.719999,2003-05-09,25.180000,24.400000,24.799999,8798025
20.489916,28.889999,2003-05-12,29.670000,24.920000,24.950001,44265660
19.333860,27.260000,2003-05-13,29.100000,27.040001,28.980000,30769675
21.170786,29.850000,2003-05-14,31.000000,27.219999,27.219999,43412080
20.390623,28.750000,2003-05-15,30.000000,28.440001,29.900000,37539215
19.851608,27.990000,2003-05-16,29.860001,27.520000,29.000000,37709800
19.759399,27.860001,2003-05-19,28.570000,26.900000,28.389999,33485070
20.780704,29.299999,2003-05-20,29.500000,27.030001,27.400000,36311285
20.404810,28.770000,2003-05-21,30.299999,28.370001,29.700001,30498250
21.248800,29.959999,2003-05-22,30.240000,27.910000,29.200001,45269015
21.312639,30.049999,2003-05-23,30.660000,29.230000,30.320000,28472205
24.319805,34.290001,2003-05-26,35.529999,28.670000,30.230000,89266570
23.397800,32.990002,2003-05-27,34.650002,32.520000,34.570000,42995290
25.979435,36.630001,2003-05-28,37.740002,31.850000,33.200001,87524180
26.944000,37.990002,2003-05-29,38.759998,35.619999,37.599998,60385615
25.397856,35.810001,2003-05-30,39.189999,35.049999,38.099998,51451045
20.319702,28.650000,2003-06-02,31.080000,28.650000,30.400000,61268270
22.014782,31.040001,2003-06-03,31.950001,27.660000,27.660000,79898495
22.780760,32.119999,2003-06-04,32.400002,30.700001,31.340000,43486460
22.021877,31.049999,2003-06-05,34.740002,30.250000,33.200001,48454310
21.440298,30.230000,2003-06-06,32.400002,29.469999,32.400002,28053665
21.376467,30.139999,2003-06-09,31.600000,29.719999,31.080000,15632250
19.638832,27.690001,2003-06-10,29.490000,26.910000,28.030001,29722890
21.553778,30.389999,2003-06-11,30.780001,28.020000,28.200001,37979620
21.220434,29.920000,2003-06-12,31.299999,29.660000,30.809999,23514990
20.709782,29.200001,2003-06-13,30.360001,28.700001,30.080000,22358640
19.957987,28.139999,2003-06-16,28.900000,27.930000,28.900000,17601040
21.319729,30.059999,2003-06-17,30.540001,28.200001,28.420000,32638740
20.511192,28.920000,2003-06-18,30.450001,28.620001,30.400000,17297450
21.000570,29.610001,2003-06-19,29.980000,28.969999,29.200001,19979750
