adj_close,close,date,high,low,open,volume
2.826014,5.320000,2002-07-01,5.500000,5.210000,5.300000,872345
2.921633,5.500000,2002-07-02,5.640000,5.300000,5.300000,1375155
2.937568,5.530000,2002-07-03,5.900000,5.500000,5.900000,1782545
2.948192,5.550000,2002-07-04,6.080000,5.520000,6.080000,1215855
3.139426,5.910000,2002-07-05,6.660000,5.590000,6.660000,2310435
3.224419,6.070000,2002-07-08,6.300000,6.010000,6.070000,1798010
3.118178,5.870000,2002-07-09,6.170000,5.800000,6.170000,996845
3.006625,5.660000,2002-07-10,5.900000,5.600000,5.900000,678670
2.948192,5.550000,2002-07-11,5.720000,5.460000,5.600000,390805
2.958816,5.570000,2002-07-12,5.680000,5.460000,5.610000,299840
2.794143,5.260000,2002-07-15,5.550000,5.150000,5.500000,378595
2.804767,5.280000,2002-07-16,5.380000,5.050000,5.050000,178760
2.703837,5.090000,2002-07-17,5.370000,5.000000,5.370000,301235
2.836638,5.340000,2002-07-18,5.400000,5.130000,5.130000,258590
2.804767,5.280000,2002-07-19,5.430000,5.210000,5.430000,254705
2.629469,4.950000,2002-07-22,5.230000,4.860000,5.230000,354885
2.687901,5.060000,2002-07-23,5.140000,4.810000,4.890000,304155
2.533851,4.770000,2002-07-24,5.020000,4.720000,5.000000,343245
2.671965,5.030000,2002-07-25,5.200000,5.000000,5.150000,490720
2.539163,4.780000,2002-07-26,5.000000,4.700000,5.000000,505665
2.310745,4.350000,2002-07-29,4.590000,4.200000,4.500000,419960
2.225752,4.190000,2002-07-30,4.500000,4.120000,4.500000,535980
2.108886,3.970000,2002-07-31,4.170000,3.800000,3.820000,635565
2.183255,4.110000,2002-08-01,4.260000,4.030000,4.180000,340770
2.140759,4.030000,2002-08-02,4.150000,3.930000,4.150000,442305
2.167320,4.080000,2002-08-05,4.200000,4.000000,4.180000,415335
2.278872,4.290000,2002-08-06,4.380000,4.120000,4.240000,137850
2.310745,4.350000,2002-08-07,4.590000,4.270000,4.590000,305060
2.262937,4.260000,2002-08-08,4.750000,4.230000,4.750000,160205
2.262937,4.260000,2002-08-09,4.750000,4.180000,4.750000,180010
2.241689,4.220000,2002-08-12,4.560000,4.200000,4.200000,120120
2.247000,4.230000,2002-08-13,4.670000,4.210000,4.670000,74840
2.247000,4.230000,2002-08-14,4.500000,4.210000,4.500000,303755
2.247000,4.230000,2002-08-15,4.230000,4.230000,4.230000,0
2.209816,4.160000,2002-08-16,4.400000,4.110000,4.400000,312245
2.209816,4.160000,2002-08-19,4.380000,4.120000,4.380000,132945
2.225752,4.190000,2002-08-20,4.400000,4.130000,4.400000,125615
2.193880,4.130000,2002-08-21,4.200000,3.820000,4.200000,334810
2.193880,4.130000,2002-08-22,4.790000,4.040000,4.790000,128915
2.193880,4.130000,2002-08-23,4.170000,4.110000,4.170000,154735
2.204504,4.150000,2002-08-26,4.180000,4.120000,4.160000,140335
2.209816,4.160000,2002-08-27,4.240000,4.140000,4.160000,91935
2.385113,4.490000,2002-08-28,4.600000,4.120000,4.130000,318925
2.401049,4.520000,2002-08-29,4.640000,4.480000,4.600000,632100
2.438234,4.590000,2002-08-30,4.680000,4.510000,4.650000,256280
2.401049,4.520000,2002-09-02,4.830000,4.420000,4.750000,620835
2.268249,4.270000,2002-09-03,4.400000,4.240000,4.400000,225225
2.289496,4.310000,2002-09-04,4.350000,4.270000,4.270000,176730
2.257625,4.250000,2002-09-05,4.390000,4.220000,4.370000,165030
2.284185,4.300000,2002-09-06,4.350000,4.230000,4.240000,207050
2.326681,4.380000,2002-09-09,4.400000,4.270000,4.370000,174840
2.326681,4.380000,2002-09-10,4.380000,4.380000,4.380000,0
2.347929,4.420000,2002-09-11,4.550000,4.320000,4.320000,167055
2.486042,4.680000,2002-09-12,4.700000,4.420000,4.600000,557675
2.470106,4.650000,2002-09-13,4.750000,4.620000,4.630000,3295725
2.501979,4.710000,2002-09-16,4.770000,4.610000,4.610000,2839020
2.501979,4.710000,2002-09-17,4.760000,4.610000,4.610000,178790
2.470106,4.650000,2002-09-18,4.700000,4.610000,4.610000,2841100
2.411674,4.540000,2002-09-19,4.760000,4.510000,4.510000,3696815
2.416987,4.550000,2002-09-20,4.620000,4.400000,4.400000,613365
2.443547,4.600000,2002-09-23,4.750000,4.420000,4.420000,178265
2.406362,4.530000,2002-09-24,4.650000,4.440000,4.440000,219380
2.390426,4.500000,2002-09-25,4.550000,4.490000,4.540000,105235
