adj_close,close,date,high,low,open,volume
4.530212,7.420981,2000-01-04,7.527133,7.049450,7.199028,1058302
4.618578,7.565734,2000-01-05,7.681536,7.054275,7.165252,873414
4.762908,7.802163,2000-01-06,8.135094,7.710487,7.720137,2088480
4.754072,7.787688,2000-01-07,8.009642,7.720137,8.009642,514643
5.086915,8.332923,2000-01-10,8.395649,7.821464,7.956566,1798672
4.845382,7.937266,2000-01-11,8.492151,7.826289,8.395649,1547609
4.921967,8.062718,2000-01-12,8.106144,7.889015,7.999992,384915
4.795308,7.855239,2000-01-13,8.192995,7.782863,8.192995,233291
4.768799,7.811813,2000-01-14,7.889015,7.720137,7.816639,213726
4.777636,7.826289,2000-01-17,8.009642,7.724962,7.961391,294005
4.586177,7.512658,2000-01-18,7.860064,7.430632,7.758737,371537
4.533158,7.425807,2000-01-19,7.816639,7.401681,7.696011,556052
4.409445,7.223153,2000-01-20,7.560909,7.189377,7.401681,345382
4.362318,7.145952,2000-01-21,7.237628,7.044625,7.150777,455888
4.329916,7.092876,2000-01-24,7.623635,6.996374,7.305179,391765
4.677487,7.662236,2000-01-25,7.662236,6.986724,7.092876,1479196
4.677487,7.662236,2000-01-26,7.662236,7.662236,7.662236,0
4.612687,7.556084,2000-01-27,8.106144,7.430632,8.106144,1148622
4.815928,7.889015,2000-01-28,8.106144,7.358255,7.527133,1659535
4.854219,7.951741,2000-01-31,8.202645,7.585034,7.903490,2478774
4.709889,7.715312,2000-02-01,7.864889,7.623635,7.753912,552995
4.798254,7.860064,2000-02-02,8.057893,7.724962,7.913140,541617
4.677487,7.662236,2000-02-03,8.284672,7.585034,7.999992,1951457
4.453628,7.295529,2000-02-04,7.613985,7.237628,7.527133,1648468
4.539049,7.435457,2000-02-07,7.517483,7.145952,7.517483,784006
4.656869,7.628460,2000-02-08,7.710487,7.285879,7.285879,1585215
4.665706,7.642935,2000-02-09,7.860064,7.556084,7.806988,721417
4.689270,7.681536,2000-02-10,7.816639,7.527133,7.575384,571057
4.656869,7.628460,2000-02-11,7.860064,7.527133,7.700836,773737
4.592067,7.522308,2000-02-14,7.720137,7.449932,7.546434,527700
4.459519,7.305179,2000-02-15,7.503008,7.237628,7.478883,566021
4.774690,7.821464,2000-02-16,7.893840,7.324480,7.329305,953122
4.921967,8.062718,2000-02-17,8.202645,7.864889,8.125444,1290205
4.645088,7.609160,2000-02-18,8.082018,7.527133,7.937266,723054
4.565559,7.478883,2000-02-21,7.700836,7.440282,7.613985,268554
4.824763,7.903490,2000-02-22,8.057893,7.334130,7.575384,1520770
4.810037,7.879365,2000-02-23,8.207470,7.768388,8.207470,1069649
4.833601,7.917965,2000-02-24,8.067543,7.647761,7.647761,444914
4.860110,7.961391,2000-02-25,8.053068,7.773213,8.004817,415370
5.248919,8.598302,2000-02-28,8.598302,7.720137,8.009642,1291085
4.995604,8.183345,2000-02-29,8.974659,7.913140,8.685154,1896018
4.810037,7.879365,2000-03-01,8.202645,7.575384,8.192995,454966
4.468356,7.319655,2000-03-02,7.980691,7.285879,7.980691,499628
4.730507,7.749087,2000-03-03,7.903490,6.851621,6.851621,1287946
4.533158,7.425807,2000-03-06,7.855239,7.334130,7.720137,493866
4.459519,7.305179,2000-03-07,7.527133,6.952948,7.425807,759074
4.256279,6.972249,2000-03-08,7.681536,6.948123,7.551259,393941
4.271005,6.996374,2000-03-09,7.039800,6.803370,6.948123,489390
4.191477,6.866097,2000-03-10,7.189377,6.803370,6.948123,493006
3.914598,6.412539,2000-03-13,6.851621,6.369113,6.668268,247943
3.967618,6.499390,2000-03-14,6.562116,6.079608,6.079608,965402
4.035363,6.610367,2000-03-15,6.837146,6.465614,6.648968,368542
3.946999,6.465614,2000-03-16,6.600717,6.422189,6.557291,536052
3.946999,6.465614,2000-03-17,6.465614,6.465614,6.465614,0
3.946999,6.465614,2000-03-20,6.465614,6.465614,6.465614,0
3.899870,6.388413,2000-03-21,6.513865,6.277436,6.383588,343672
4.050092,6.634492,2000-03-22,6.745469,6.513865,6.513865,185955
3.961727,6.489740,2000-03-23,6.851621,6.272611,6.282261,190981
3.911652,6.407713,2000-03-24,6.465614,5.983106,6.417364,343693
3.888088,6.369113,2000-03-27,6.465614,6.311212,6.417364,258171
3.802668,6.229185,2000-03-28,6.417364,6.108558,6.127858,266243
3.861580,6.325687,2000-03-29,6.465614,6.277436,6.277436,4209199
4.082492,6.687568,2000-03-30,6.832321,6.243661,6.272611,2373190
3.964672,6.494565,2000-03-31,6.730994,6.176109,6.176109,3283848
4.067765,6.663443,2000-04-03,6.730994,6.494565,6.557291,3441783
3.902816,6.393238,2000-04-04,6.658618,6.291911,6.518690,1276588
3.746704,6.137509,2000-04-05,6.320862,6.055482,6.272611,1175792
3.953115,6.098908,2000-04-06,6.248486,5.934855,6.248486,967547
4.053195,6.253311,2000-04-07,6.349812,6.089258,6.224360,1068043
3.924968,6.055482,2000-04-10,6.359463,5.790102,6.229185,1146642
3.899950,6.016882,2000-04-11,6.108558,5.939680,5.939680,545202
3.887439,5.997581,2000-04-12,6.123033,5.954155,6.069957,345040
3.774850,5.823878,2000-04-13,5.930030,5.751502,5.915555,641967
3.774850,5.823878,2000-04-14,5.823878,5.823878,5.823878,0
3.746703,5.780452,2000-04-17,5.838353,5.544023,5.703251,464717
3.702918,5.712901,2000-04-18,6.079608,5.693601,6.079608,603678
3.624732,5.592274,2000-04-19,5.930030,5.404096,5.910730,606465
3.418319,5.273818,2000-04-20,5.500597,5.186967,5.423396,4932969
3.418319,5.273818,2000-04-21,5.273818,5.273818,5.273818,0
