adj_close,close,date,high,low,open,volume
4.173823,8.466666,2000-01-04,8.590185,8.031542,8.427365,27698564
4.332972,8.789500,2000-01-05,9.146021,8.118567,8.118567,68399389
4.656803,9.446396,2000-01-06,9.494120,8.924248,8.924248,45604218
4.759211,9.654133,2000-01-07,10.049955,9.336914,9.735543,64862245
5.044292,10.232426,2000-01-10,10.381211,9.766423,9.766423,82679734
4.641581,9.415517,2000-01-11,10.106100,9.415517,10.049955,30385036
4.575153,9.280769,2000-01-12,9.656940,8.935477,9.263925,41637507
4.406317,8.938284,2000-01-13,9.544650,8.761427,9.426746,28226963
4.392478,8.910212,2000-01-14,9.089876,8.758620,9.039345,27459807
4.616669,9.364986,2000-01-17,9.623253,9.157250,9.261118,59244274
4.782736,9.701856,2000-01-18,9.881520,9.165671,9.370601,62638289
4.784120,9.704663,2000-01-19,9.993810,9.600795,9.937665,46612607
4.514262,9.157250,2000-01-20,10.049955,9.022502,9.600795,147077200
4.494887,9.117948,2000-01-21,9.249889,8.932670,9.134792,49780760
4.183510,8.486317,2000-01-24,9.202166,8.421750,9.202166,43574830
4.108781,8.334725,2000-01-25,8.646330,8.253315,8.421750,53971979
4.108781,8.334725,2000-01-26,8.334725,8.334725,8.334725,0
4.104630,8.326304,2000-01-27,8.618258,8.281388,8.500353,26117052
3.999453,8.112953,2000-01-28,8.477895,8.042771,8.309460,35562060
3.856913,7.823806,2000-01-31,8.084880,7.781697,8.034350,22607247
3.888741,7.888373,2000-02-01,8.011892,7.781697,7.809770,31135985
3.903965,7.919252,2000-02-02,8.155061,7.860300,8.068037,24517675
3.874902,7.860300,2000-02-03,8.208399,7.835035,7.966976,58332652
3.877670,7.865915,2000-02-04,7.972590,7.804155,7.966976,29466753
3.847224,7.804155,2000-02-07,7.908023,7.762046,7.860300,16559674
3.905348,7.922060,2000-02-08,8.056808,7.753625,7.776083,47686611
3.996685,8.107338,2000-02-09,8.435786,8.034350,8.163483,50720220
3.926106,7.964168,2000-02-10,8.169098,7.922060,8.169098,19483033
3.880438,7.871529,2000-02-11,8.082073,7.846264,8.073651,20478990
3.726825,7.559924,2000-02-14,7.888373,7.413947,7.804155,18048444
3.646560,7.397104,2000-02-15,7.691865,7.312886,7.495358,32393140
3.746200,7.599226,2000-02-16,7.748010,7.551503,7.624491,14320383
3.760039,7.627298,2000-02-17,7.728359,7.529045,7.635720,13636351
3.686692,7.478514,2000-02-18,7.663793,7.439213,7.632913,11543128
3.685308,7.475707,2000-02-21,7.790119,7.411140,7.523430,20764020
3.632720,7.369031,2000-02-22,7.593611,7.321308,7.543081,18055782
3.563526,7.228669,2000-02-23,7.635720,7.186560,7.607648,12973549
3.567677,7.237090,2000-02-24,7.478514,7.032161,7.371838,13982936
3.556606,7.214632,2000-02-25,7.467285,7.158487,7.248319,12145622
3.618882,7.340959,2000-02-28,7.397104,7.136029,7.253934,9731676
3.336568,6.768280,2000-02-29,7.627298,6.754243,7.467285,27910212
3.203714,6.498784,2000-03-01,7.121993,6.229288,6.905835,61787065
3.191258,6.473518,2000-03-02,7.020932,6.349999,6.849690,80792300
2.946309,5.976635,2000-03-03,6.316312,5.956984,6.316312,22578892
2.846669,5.774513,2000-03-06,6.316312,5.684681,6.114190,26048319
2.688905,5.454487,2000-03-07,5.839080,5.417992,5.805393,35483281
2.522838,5.117617,2000-03-08,5.580813,5.081122,5.580813,24216224
2.658459,5.392727,2000-03-09,5.474137,5.109195,5.151304,24864616
2.543596,5.159725,2000-03-10,5.446065,5.086737,5.389920,14866166
2.500696,5.072701,2000-03-13,5.328160,5.002519,5.238328,18245737
2.701361,5.479752,2000-03-14,5.479752,5.010941,5.159725,23870191
2.918631,5.920490,2000-03-15,5.920490,5.670645,5.892418,25957608
3.018272,6.122612,2000-03-16,6.282625,5.645380,6.063660,58069085
3.018272,6.122612,2000-03-17,6.122612,6.122612,6.122612,0
3.018272,6.122612,2000-03-20,6.122612,6.122612,6.122612,0
3.003049,6.091732,2000-03-21,6.271396,5.788549,6.161914,42703692
3.032111,6.150685,2000-03-22,6.366843,5.951370,6.114190,25784235
2.885418,5.853116,2000-03-23,6.220866,5.799778,6.083311,15495786
2.929703,5.942948,2000-03-24,5.985057,5.844694,5.895225,12228211
2.878498,5.839080,2000-03-27,6.001900,5.782935,6.001900,8343200
2.943542,5.971021,2000-03-28,6.007515,5.726790,5.867152,21743395
2.902025,5.886803,2000-03-29,6.145070,5.830658,6.013129,20322680
3.004433,6.094540,2000-03-30,6.260167,5.676259,5.850309,45309089
3.187107,6.465097,2000-03-31,6.512820,5.909261,6.024358,65205142
3.394691,6.886184,2000-04-03,6.984438,6.554929,6.554929,61243775
3.159429,6.408952,2000-04-04,6.821617,6.335963,6.821617,59219000
3.272908,6.639146,2000-04-05,6.681255,6.131034,6.400530,60574793
3.300123,6.467904,2000-04-06,6.900220,6.288240,6.675640,31219358
3.530731,6.919871,2000-04-07,6.956365,6.473518,6.501591,79389040
3.454817,6.771087,2000-04-10,7.063041,6.684062,6.961980,58570946
3.355985,6.577387,2000-04-11,6.706520,6.470711,6.597037,23816562
3.343093,6.552121,2000-04-12,6.717749,6.490362,6.625110,14477779
3.214183,6.299469,2000-04-13,6.462289,6.192793,6.462289,30391448
3.214183,6.299469,2000-04-14,6.299469,6.299469,6.299469,0
3.277206,6.422988,2000-04-17,6.793545,5.844694,6.175950,99882369
3.323040,6.512820,2000-04-18,6.681255,6.400530,6.453868,28366121
3.321608,6.510013,2000-04-19,6.765472,6.389301,6.681255,42194101
3.325906,6.518434,2000-04-20,6.568965,6.302276,6.512820,21940954
3.325906,6.518434,2000-04-21,6.518434,6.518434,6.518434,0
3.207021,6.285433,2000-04-24,6.597037,6.209637,6.540892,24270547
3.128242,6.131034,2000-04-25,6.232095,5.979442,6.181564,37584804
3.308717,6.484747,2000-04-26,6.521242,6.192793,6.310698,38422029
3.189833,6.251746,2000-04-27,6.456675,6.175950,6.456675,18435407
3.096730,6.069274,2000-04-28,6.428602,6.035587,6.316312,15938337
3.096730,6.069274,2000-05-01,6.069274,6.069274,6.069274,0
2.921984,5.726790,2000-05-02,6.119805,5.684681,6.069274,23714398
2.952063,5.785742,2000-05-03,5.839080,5.502210,5.782935,12494290
3.019383,5.917683,2000-05-04,6.063660,5.754862,5.836273,11412449
3.069515,6.015937,2000-05-05,6.116998,5.830658,5.898032,19326278
3.042300,5.962599,2000-05-08,6.232095,5.914876,6.035587,15260859
2.996466,5.872767,2000-05-09,5.962599,5.735212,5.900839,13254215
2.985007,5.850309,2000-05-10,6.021551,5.825044,6.021551,6007373
2.940604,5.763284,2000-05-11,5.861538,5.726790,5.732404,4012930
2.871852,5.628536,2000-05-12,5.836273,5.558355,5.808200,8273790
2.919119,5.721175,2000-05-15,5.740826,5.502210,5.530282,7898298
2.927713,5.738019,2000-05-16,5.811007,5.698717,5.698717,9186730
3.010789,5.900839,2000-05-17,6.080503,5.833465,5.833465,25284351
3.192698,6.257360,2000-05-18,6.484747,5.982250,5.982250,66590413
3.251423,6.372457,2000-05-19,6.484747,6.237709,6.316312,30067840
3.277206,6.422988,2000-05-22,6.723364,6.282625,6.344385,49971427
3.307285,6.481940,2000-05-23,6.540892,6.319120,6.411759,23403774
3.387495,6.639146,2000-05-24,6.790738,6.372457,6.442639,57811377
3.278637,6.425795,2000-05-25,6.779509,6.352807,6.625110,50130747
3.262883,6.394915,2000-05-26,6.535278,6.319120,6.406144,34629937
3.323040,6.512820,2000-05-29,6.675640,6.392108,6.451060,37559655
3.338797,6.543700,2000-05-30,6.619495,6.456675,6.512820,34484493
3.500652,6.860919,2000-05-31,7.012510,6.574579,6.695291,93213530
3.416143,6.695291,2000-06-01,7.001281,6.661604,6.961980,40742449
3.827226,7.500972,2000-06-02,7.500972,6.731785,6.731785,133243912
3.732691,7.315693,2000-06-05,7.944518,7.214632,7.579575,80119934
3.837254,7.520623,2000-06-06,7.630106,7.248319,7.354995,37786443
3.741286,7.332537,2000-06-07,7.632913,7.298850,7.607648,27033571
3.814335,7.475707,2000-06-08,7.523430,7.326922,7.354995,28976790
3.800012,7.447634,2000-06-09,7.736781,7.411140,7.467285,53137390
3.699747,7.251127,2000-06-12,7.540274,7.214632,7.509394,31889854
3.602347,7.060234,2000-06-13,7.242705,6.942329,7.220247,58838645
3.675397,7.203403,2000-06-14,7.411140,7.161295,7.270777,38798875
3.642454,7.138837,2000-06-15,7.225861,7.102342,7.214632,11367725
3.734123,7.318501,2000-06-16,7.380260,7.116379,7.211825,35868320
3.694018,7.239898,2000-06-19,7.354995,7.186560,7.354995,17702251
3.648183,7.150066,2000-06-20,7.298850,7.102342,7.245512,16517462
3.536460,6.931100,2000-06-21,7.206211,6.911449,7.206211,15037259
3.573702,7.004089,2000-06-22,7.071463,6.773894,6.953558,20897050
3.533595,6.925486,2000-06-23,7.158487,6.894606,7.015318,22703961
3.489193,6.838461,2000-06-26,6.961980,6.796352,6.961980,10697176
3.464843,6.790738,2000-06-27,6.984438,6.762665,6.877762,26534524
3.493490,6.846883,2000-06-28,6.872148,6.748629,6.793545,6728862
3.476302,6.813196,2000-06-29,6.933907,6.793545,6.869341,10810650
3.393226,6.650375,2000-06-30,6.894606,6.619495,6.768280,16049103
3.620968,7.096728,2000-07-03,7.237090,6.681255,6.731785,56295961
3.675397,7.203403,2000-07-04,7.315693,7.102342,7.130415,29639609
3.642454,7.138837,2000-07-05,7.340959,7.102342,7.237090,24021460
3.663938,7.180945,2000-07-06,7.253934,6.961980,7.200596,16716358
3.865899,7.576768,2000-07-07,7.675022,7.242705,7.267970,81293787
3.845846,7.537466,2000-07-10,7.686251,7.472900,7.579575,42544070
3.986217,7.812577,2000-07-11,7.908023,7.444827,7.506587,67416043
4.027754,7.893987,2000-07-12,8.124182,7.809770,8.110145,77912702
4.033483,7.905216,2000-07-13,8.110145,7.801348,8.000663,53997609
3.954706,7.750817,2000-07-14,7.995048,7.708709,7.916445,32470671
4.123723,8.082073,2000-07-17,8.141025,7.781697,7.781697,68707146
4.022026,7.882758,2000-07-18,8.180327,7.832228,8.096109,49220817
3.858738,7.562732,2000-07-19,7.972590,7.495358,7.941710,45092097
3.900275,7.644142,2000-07-20,7.969783,7.579575,7.677829,95628972
3.603781,7.063041,2000-07-21,7.745203,6.995667,7.686251,90100127
3.337363,6.540892,2000-07-24,6.883377,6.498784,6.804774,35581830
3.437629,6.737400,2000-07-25,6.846883,6.175950,6.462289,51791554
