adj_close,close,date,high,low,open,volume
6.649671,7.370000,2000-01-04,7.600000,7.200000,7.600000,526000
6.243653,6.920000,2000-01-05,7.440000,6.800000,7.200000,412000
6.744409,7.475000,2000-01-06,7.475000,7.050000,7.100000,632000
6.602301,7.317500,2000-01-07,7.650000,7.250000,7.475000,732000
6.536889,7.245000,2000-01-10,7.500000,7.052500,7.500000,662000
6.360946,7.050000,2000-01-11,7.335000,6.855000,6.900000,1512000
6.672227,7.395000,2000-01-12,7.615000,7.275000,7.595000,394220
6.715086,7.442500,2000-01-13,7.850000,7.315000,7.575000,1255540
6.518842,7.225000,2000-01-14,7.500000,7.152500,7.500000,286640
6.485008,7.187500,2000-01-17,7.525000,7.090000,7.150000,158940
6.279742,6.960000,2000-01-18,7.240000,6.787500,7.102500,713660
6.412827,7.107500,2000-01-19,7.250000,7.000000,7.130000,457520
6.365458,7.055000,2000-01-20,7.125000,6.895000,7.125000,397380
6.263953,6.942500,2000-01-21,7.047500,6.857500,6.950000,265400
6.318090,7.002500,2000-01-24,7.150000,6.950000,6.955000,209020
6.212073,6.885000,2000-01-25,7.020000,6.835000,7.000000,179660
6.212073,6.885000,2000-01-26,6.885000,6.885000,6.885000,0
6.257187,6.935000,2000-01-27,7.245000,6.825000,7.000000,82180
6.144404,6.810000,2000-01-28,6.900000,6.745000,6.750000,167980
6.137637,6.802500,2000-01-31,6.895000,6.600000,6.600000,271120
6.078990,6.737500,2000-02-01,7.192500,6.260000,6.550000,120760
5.824101,6.455000,2000-02-02,6.847500,6.350000,6.847500,156360
5.663950,6.277500,2000-02-03,6.475000,6.250000,6.350000,124360
5.580491,6.185000,2000-02-04,6.435000,6.000000,6.435000,105500
5.142894,5.700000,2000-02-07,6.350000,5.690000,6.350000,156360
5.327857,5.905000,2000-02-08,6.000000,5.350000,5.350000,195280
5.300788,5.875000,2000-02-09,6.170000,5.750000,5.995000,273220
5.282743,5.855000,2000-02-10,6.045000,5.800000,5.950000,170900
4.903793,5.435000,2000-02-11,5.800000,5.400000,5.800000,311120
4.603792,5.102500,2000-02-14,5.347500,5.100000,5.220000,103220
4.603792,5.102500,2000-02-15,5.350000,5.000000,5.100000,287280
4.691763,5.200000,2000-02-16,5.390000,5.155000,5.250000,130680
4.960185,5.497500,2000-02-17,5.540000,5.210000,5.297500,176120
4.815823,5.337500,2000-02-18,5.500000,5.265000,5.370000,82820
4.802289,5.322500,2000-02-21,5.485000,5.100000,5.100000,159540
4.838380,5.362500,2000-02-22,5.400000,5.250000,5.250000,214900
4.894772,5.425000,2000-02-23,5.425000,5.252500,5.252500,56140
4.829357,5.352500,2000-02-24,5.400000,5.250000,5.250000,31240
4.628603,5.130000,2000-02-25,5.387500,5.000000,5.387500,60420
4.644393,5.147500,2000-02-28,5.150000,5.025000,5.050000,154560
4.560934,5.055000,2000-02-29,5.447500,5.000000,5.055000,88200
4.585746,5.082500,2000-03-01,5.200000,5.000000,5.130000,39320
4.339880,4.810000,2000-03-02,5.250000,4.800000,5.147500,421080
4.033110,4.470000,2000-03-03,4.797500,4.425000,4.797500,75300
3.951907,4.380000,2000-03-06,4.710000,4.227500,4.550000,310480
3.843637,4.260000,2000-03-07,4.450000,4.055000,4.325000,91580
3.609048,4.000000,2000-03-08,4.385000,3.925000,4.385000,69280
3.340625,3.702500,2000-03-09,4.000000,3.685000,4.000000,61720
3.268445,3.622500,2000-03-10,3.797500,3.450000,3.577500,163840
3.360925,3.725000,2000-03-13,3.750000,3.502500,3.600000,89300
3.631605,4.025000,2000-03-14,4.025000,3.752500,3.752500,116000
3.922584,4.347500,2000-03-15,4.347500,4.250000,4.300000,112980
4.105291,4.550000,2000-03-16,4.697500,4.402500,4.692500,401420
4.105291,4.550000,2000-03-17,4.550000,4.550000,4.550000,0
4.105291,4.550000,2000-03-20,4.550000,4.550000,4.550000,0
4.078224,4.520000,2000-03-21,4.675000,4.450000,4.600000,448720
4.339880,4.810000,2000-03-22,4.847500,4.575000,4.847500,169180
4.425596,4.905000,2000-03-23,5.015000,4.752500,5.015000,171460
4.263187,4.725000,2000-03-24,4.805000,4.665000,4.800000,206760
3.997020,4.430000,2000-03-27,4.945000,4.375000,4.945000,201900
3.990254,4.422500,2000-03-28,4.497500,4.302500,4.425000,202580
3.974464,4.405000,2000-03-29,4.685000,4.400000,4.500000,193080
4.039878,4.477500,2000-03-30,4.500000,4.312500,4.315000,263800
4.055668,4.495000,2000-03-31,4.500000,4.205000,4.205000,134820
4.060179,4.500000,2000-04-03,4.587500,4.412500,4.550000,133060
3.841381,4.257500,2000-04-04,4.400000,4.140000,4.400000,383380
3.769199,4.177500,2000-04-05,4.447500,4.150000,4.250000,186100
3.480476,3.857500,2000-04-06,4.262500,3.845000,4.262500,203500
3.760177,4.167500,2000-04-07,4.167500,3.925000,4.095000,229360
3.771455,4.180000,2000-04-10,4.450000,4.055000,4.400000,420440
3.780478,4.190000,2000-04-11,4.200000,3.875000,3.875000,74700
3.715064,4.117500,2000-04-12,4.245000,4.100000,4.125000,106780
3.676717,4.075000,2000-04-13,4.200000,3.850000,3.850000,298080
3.676717,4.075000,2000-04-14,4.075000,4.075000,4.075000,0
3.751154,4.157500,2000-04-17,4.175000,3.907500,3.907500,125460
3.674462,4.072500,2000-04-18,4.225000,4.050000,4.150000,102020
3.687996,4.087500,2000-04-19,4.150000,4.055000,4.150000,52440
3.631605,4.025000,2000-04-20,4.100000,3.962500,3.962500,136240
3.631605,4.025000,2000-04-21,4.025000,4.025000,4.025000,0
3.392505,3.760000,2000-04-24,3.947500,3.705000,3.902500,204700
3.191752,3.537500,2000-04-25,3.700000,3.500000,3.600000,237360
3.428595,3.800000,2000-04-26,3.820000,3.700000,3.750000,141560
3.300023,3.657500,2000-04-27,3.850000,3.650000,3.805000,180560
3.155661,3.497500,2000-04-28,3.652500,3.450000,3.652500,205640
3.155661,3.497500,2000-05-01,3.497500,3.497500,3.497500,0
3.076713,3.410000,2000-05-02,3.475000,3.300000,3.475000,166520
3.157917,3.500000,2000-05-03,3.550000,3.350000,3.400000,91480
3.148895,3.490000,2000-05-04,3.550000,3.450000,3.500000,106100
3.110548,3.447500,2000-05-05,3.500000,3.400000,3.500000,135080
2.959420,3.280000,2000-05-08,3.462500,3.250000,3.450000,251680
2.954908,3.275000,2000-05-09,3.395000,3.065000,3.250000,126880
2.819569,3.125000,2000-05-10,3.450000,3.100000,3.397500,549920
2.727087,3.022500,2000-05-11,3.197500,3.000000,3.050000,361900
2.756410,3.055000,2000-05-12,3.127500,3.050000,3.100000,122500
2.688741,2.980000,2000-05-15,3.100000,2.900000,3.100000,129940
2.700019,2.992500,2000-05-16,3.050000,2.950000,3.000000,140520
2.824080,3.130000,2000-05-17,3.225000,3.050000,3.147500,245940
2.833102,3.140000,2000-05-18,3.200000,3.100000,3.100000,104340
2.693252,2.985000,2000-05-19,3.195000,2.950000,3.187500,232780
2.700019,2.992500,2000-05-22,3.050000,2.887500,3.000000,163120
2.709042,3.002500,2000-05-23,3.050000,2.962500,3.000000,138480
2.842126,3.150000,2000-05-24,3.195000,3.052500,3.087500,75580
2.990998,3.315000,2000-05-25,3.387500,3.200000,3.225000,170220
3.067691,3.400000,2000-05-26,3.425000,3.295000,3.350000,192700
3.115059,3.452500,2000-05-29,3.497500,3.400000,3.400000,98000
3.227843,3.577500,2000-05-30,3.625000,3.402500,3.500000,118400
3.336114,3.697500,2000-05-31,3.805000,3.650000,3.750000,324780
3.146639,3.487500,2000-06-01,3.645000,3.402500,3.600000,193400
3.189496,3.535000,2000-06-02,3.625000,3.350000,3.350000,90040
3.191752,3.537500,2000-06-05,3.662500,3.450000,3.450000,74400
3.090247,3.425000,2000-06-06,3.540000,3.400000,3.522500,133980
3.124082,3.462500,2000-06-07,3.500000,3.405000,3.500000,117740
3.112804,3.450000,2000-06-08,3.492500,3.400000,3.400000,78620
3.063179,3.395000,2000-06-09,3.500000,3.305000,3.452500,76920
3.058668,3.390000,2000-06-12,3.420000,3.257500,3.400000,117300
3.015810,3.342500,2000-06-13,3.387500,3.275000,3.387500,71700
3.110548,3.447500,2000-06-14,3.515000,3.427500,3.450000,123880
3.049645,3.380000,2000-06-15,3.525000,3.380000,3.400000,90680
3.036111,3.365000,2000-06-16,3.437500,3.250000,3.437500,189240
3.234609,3.585000,2000-06-19,3.622500,3.210000,3.210000,234600
3.232353,3.582500,2000-06-20,3.695000,3.510000,3.510000,212700
3.139871,3.480000,2000-06-21,3.675000,3.450000,3.600000,166840
3.151150,3.492500,2000-06-22,3.545000,3.400000,3.545000,89640
3.155661,3.497500,2000-06-23,3.675000,3.415000,3.497500,100880
3.085736,3.420000,2000-06-26,3.487500,3.375000,3.400000,47120
3.033856,3.362500,2000-06-27,3.500000,3.325000,3.487500,188760
3.065435,3.397500,2000-06-28,3.422500,3.375000,3.375000,42220
3.018067,3.345000,2000-06-29,3.447500,3.317500,3.445000,84260
2.995510,3.320000,2000-06-30,3.350000,3.252500,3.300000,84280
2.961675,3.282500,2000-07-03,3.485000,3.250000,3.485000,69240
2.954908,3.275000,2000-07-04,3.332500,3.232500,3.232500,76780
3.036111,3.365000,2000-07-05,3.525000,3.312500,3.450000,156800
3.040622,3.370000,2000-07-06,3.387500,3.300000,3.300000,33140
3.022578,3.350000,2000-07-07,3.415000,3.302500,3.415000,82820
3.018067,3.345000,2000-07-10,3.400000,3.330000,3.330000,101000
3.009043,3.335000,2000-07-11,3.400000,3.302500,3.312500,343600
3.117315,3.455000,2000-07-12,3.502500,3.425000,3.450000,196820
3.101526,3.437500,2000-07-13,3.500000,3.400000,3.400000,117160
3.054157,3.385000,2000-07-14,3.455000,3.360000,3.420000,119180
3.239120,3.590000,2000-07-17,3.612500,3.257500,3.257500,228440
3.288745,3.645000,2000-07-18,3.675000,3.557500,3.600000,356780
3.180473,3.525000,2000-07-19,3.750000,3.515000,3.750000,141620
3.112804,3.450000,2000-07-20,3.550000,3.365000,3.365000,48740
3.085736,3.420000,2000-07-21,3.500000,3.400000,3.495000,65120
2.952652,3.272500,2000-07-24,3.400000,3.250000,3.327500,125080
2.993254,3.317500,2000-07-25,3.400000,3.162500,3.250000,168720
3.000021,3.325000,2000-07-26,3.380000,3.320000,3.325000,29380
2.986487,3.310000,2000-07-27,3.385000,3.252500,3.252500,19620
2.767689,3.067500,2000-07-28,3.300000,3.050000,3.300000,332420
2.659417,2.947500,2000-07-31,3.075000,2.940000,3.075000,259640
2.524078,2.797500,2000-08-01,2.950000,2.750000,2.950000,531000
2.366182,2.622500,2000-08-02,2.890000,2.500000,2.850000,1862540
2.325580,2.577500,2000-08-03,2.637500,2.425000,2.632500,1650240
2.296257,2.545000,2000-08-04,2.590000,2.525000,2.550000,397500
2.312047,2.562500,2000-08-07,2.575000,2.500000,2.500000,184560
2.251143,2.495000,2000-08-08,2.580000,2.475000,2.545000,361200
2.381972,2.640000,2000-08-09,2.670000,2.560000,2.560000,86060
2.348137,2.602500,2000-08-10,2.687500,2.600000,2.687500,104900
2.330092,2.582500,2000-08-11,2.625000,2.575000,2.587500,92900
2.309791,2.560000,2000-08-14,2.600000,2.525000,2.525000,75320
2.309791,2.560000,2000-08-15,2.560000,2.560000,2.560000,0
2.388738,2.647500,2000-08-16,2.737500,2.600000,2.637500,60580
2.384227,2.642500,2000-08-17,2.695000,2.555000,2.630000,50480
2.370693,2.627500,2000-08-18,2.667500,2.600000,2.642500,68600
2.406784,2.667500,2000-08-21,2.700000,2.612500,2.650000,138400
2.402272,2.662500,2000-08-22,2.715000,2.600000,2.650000,87620
2.492498,2.762500,2000-08-23,2.825000,2.652500,2.655000,175980
2.492498,2.762500,2000-08-24,2.787500,2.655000,2.655000,71540
2.469942,2.737500,2000-08-25,2.800000,2.700000,2.792500,132240
2.537612,2.812500,2000-08-28,2.830000,2.787500,2.787500,125680
2.564679,2.842500,2000-08-29,2.897500,2.802500,2.837500,130780
2.582725,2.862500,2000-08-30,2.942500,2.815000,2.815000,141680
2.711298,3.005000,2000-08-31,3.092500,2.857500,2.892500,1170620
2.711298,3.005000,2000-09-01,3.005000,3.005000,3.005000,0
2.609793,2.892500,2000-09-04,3.005000,2.850000,3.000000,527480
2.625582,2.910000,2000-09-05,2.960000,2.850000,2.885000,369440
