adj_close,close,date,high,low,open,volume
10.546837,12.053063,2002-07-01,12.327647,12.021057,12.172667,70415
10.452500,11.945251,2002-07-02,12.725205,9.703095,12.327647,101236
10.425230,11.914087,2002-07-03,12.156664,11.778479,12.088439,65381
10.403854,11.889660,2002-07-04,12.156664,11.858496,12.156664,66402
10.745099,12.279637,2002-07-05,12.915561,12.009265,12.240050,579971
10.717093,12.247631,2002-07-08,12.637607,12.184459,12.446409,154805
10.647811,12.168456,2002-07-09,12.454832,12.025268,12.327647,205417
10.585165,12.096862,2002-07-10,12.327647,12.037060,12.327647,75093
10.477559,11.973889,2002-07-11,12.764792,11.850073,12.088439,171272
10.431863,11.921667,2002-07-12,12.176037,11.861865,12.168456,57189
10.017655,11.448304,2002-07-15,11.937671,11.385133,11.937671,89981
9.976380,11.401137,2002-07-16,11.572120,11.289113,11.417140,85078
9.722105,11.110549,2002-07-17,11.452516,11.054958,11.373341,40485
10.003650,11.432301,2002-07-18,12.327647,11.373341,11.392714,97449
10.017655,11.448304,2002-07-19,11.667298,11.225942,11.225942,38621
9.565857,10.931985,2002-07-22,11.611707,10.816592,11.611707,57937
9.614501,10.987576,2002-07-23,11.214150,10.466203,10.895767,148655
9.722105,11.110549,2002-07-24,11.611707,11.054958,11.054958,238910
9.506158,10.863760,2002-07-25,11.524110,10.657401,11.389345,172080
9.054362,10.347441,2002-07-26,10.808170,10.020635,10.720572,157369
9.276944,10.601810,2002-07-29,10.975784,9.488313,10.339018,179156
8.723435,9.969256,2002-07-30,10.975784,9.631501,10.895767,162748
9.078683,10.375236,2002-07-31,10.498210,9.384712,9.703095,364248
9.242303,10.562223,2002-08-01,10.736576,10.020635,10.020635,202544
9.750113,11.142556,2002-08-02,11.174563,10.259844,11.130764,403641
9.847401,11.253737,2002-08-05,11.373341,11.054958,11.126552,182658
9.554802,10.919351,2002-08-06,11.770899,10.828384,11.770899,98470
9.617449,10.990945,2002-08-07,11.285744,10.895767,11.285744,124293
9.408870,10.752579,2002-08-08,11.770899,10.502421,11.770899,95573
9.370545,10.708780,2002-08-09,10.907559,10.542008,10.761002,55468
9.701470,11.086965,2002-08-12,11.182143,9.703095,9.703095,350120
9.447195,10.796378,2002-08-13,11.118130,10.756790,11.118130,51087
9.802443,11.202358,2002-08-14,11.293324,10.895767,10.895767,156538
9.802443,11.202358,2002-08-15,11.202358,11.202358,11.202358,0
10.027973,11.460096,2002-08-16,11.667298,11.174563,11.293324,319441
10.146634,11.595704,2002-08-19,11.850073,11.460096,11.531690,126311
10.498195,11.997473,2002-08-20,12.088439,11.452516,11.905664,253501
10.463553,11.957885,2002-08-21,12.275426,11.930090,12.088439,147040
10.247604,11.711097,2002-08-22,12.080859,11.588123,11.802905,55907
10.053033,11.488734,2002-08-23,11.734680,11.348915,11.690882,148145
10.025023,11.456727,2002-08-26,11.631922,11.389345,11.531690,38383
10.473871,11.969677,2002-08-27,12.088439,11.102969,11.134133,405825
10.150318,11.599915,2002-08-28,11.850073,11.452516,11.850073,143870
9.986697,11.412929,2002-08-29,11.770899,11.305116,11.516529,58246
10.083987,11.524110,2002-08-30,11.687513,11.373341,11.524110,148809
10.268244,11.734680,2002-09-02,11.850073,11.317751,11.531690,163401
10.522516,12.025268,2002-09-03,12.108654,11.551905,11.687513,147313
10.362582,11.842493,2002-09-04,11.969677,11.627711,11.838281,151920
10.588849,12.101073,2002-09-05,12.152453,11.930090,11.930090,205311
10.804059,12.347020,2002-09-06,12.482627,11.770899,11.770899,277840
10.675817,12.200463,2002-09-09,12.311644,12.104443,12.288060,76731
10.675817,12.200463,2002-09-10,12.200463,12.200463,12.200463,0
10.818066,12.363023,2002-09-11,12.406822,12.208043,12.406822,87013
11.636163,13.297957,2002-09-12,13.428511,12.502000,12.506211,733138
11.715759,13.388923,2002-09-13,13.679511,12.983786,13.122762,762677
11.806415,13.492524,2002-09-16,13.957464,13.361128,13.524531,891992
11.632478,13.293746,2002-09-17,13.679511,13.198568,13.600336,245285
11.597836,13.254158,2002-09-18,13.460518,13.014950,13.393135,344456
11.496866,13.138766,2002-09-19,13.265950,12.963571,13.083175,137815
11.507185,13.150558,2002-09-20,13.162349,12.804379,12.816171,144903
11.339879,12.959359,2002-09-23,13.178353,12.804379,13.122762,44308
10.842385,12.390819,2002-09-24,13.201937,12.288060,13.122762,133541
10.967681,12.534007,2002-09-25,12.685618,12.176037,12.387449,74654
10.884397,12.438829,2002-09-26,12.725205,12.331017,12.725205,42503
11.134986,12.725205,2002-09-27,13.639924,12.526426,13.639924,161739
11.026641,12.601389,2002-09-30,12.884396,12.434617,12.577805,108574
10.828383,12.374815,2002-10-01,12.561802,12.247631,12.418614,59552
