adj_close,close,date,high,low,open,volume
66.395195,68.074074,2016-11-08,69.888885,61.755554,63.703705,122297647
62.761162,64.348145,2016-11-09,66.666664,58.222221,58.222221,5476693
63.050159,64.644447,2016-11-10,68.281479,64.185188,66.074074,3103002
63.671482,65.281479,2016-11-11,66.666664,63.696297,64.296295,2187688
63.303013,64.903702,2016-11-15,65.881477,63.703705,64.888885,2426051
62.956238,64.548149,2016-11-16,66.222221,63.851852,65.185188,539345
63.606457,65.214813,2016-11-17,65.837036,63.851852,63.851852,1465215
63.649815,65.259262,2016-11-18,65.925926,64.444443,65.162964,571482
63.563114,65.170372,2016-11-21,65.511108,64.000000,64.000000,500688
63.693146,65.303703,2016-11-22,65.837036,64.022224,64.022224,488470
64.039948,65.659256,2016-11-23,65.925926,64.192589,64.518517,1075639
63.346367,64.948151,2016-11-24,65.459259,64.637039,65.014816,185679
63.064602,64.659256,2016-11-25,65.333336,64.296295,64.592590,301029
61.829178,63.392593,2016-11-28,65.185188,62.970371,65.185188,306146
62.869537,64.459259,2016-11-29,65.177780,63.044445,63.599998,268764
63.483643,65.088890,2016-11-30,65.400002,64.148148,64.148148,352795
62.573326,64.155556,2016-12-01,65.170372,64.000000,64.466667,116241
62.436050,64.014816,2016-12-02,65.037041,63.859261,63.859261,128594
62.493855,64.074074,2016-12-05,64.592590,63.259258,63.733334,165138
61.121155,62.666664,2016-12-06,64.444443,62.251850,64.444443,132003
59.336651,60.837036,2016-12-07,63.103703,60.370369,62.303703,336636
61.085030,62.629627,2016-12-08,63.696297,60.896297,61.029629,263520
59.994102,61.511112,2016-12-09,63.022221,61.340740,63.007408,126447
60.803265,62.340740,2016-12-12,62.518517,60.000000,60.000000,135128
60.340881,61.866665,2016-12-13,62.400002,61.037037,61.037037,48546
60.189159,61.711109,2016-12-14,62.370369,61.562962,62.370369,108276
60.702122,62.237038,2016-12-15,62.370369,60.740742,60.740742,157673
59.668983,61.177776,2016-12-16,63.111111,60.888889,61.555553,424959
59.387222,60.888889,2016-12-19,61.488888,60.148148,61.481480,278133
58.671978,60.155556,2016-12-20,61.407406,60.000000,61.333332,147494
57.458218,58.911110,2016-12-21,60.303703,58.614815,60.303703,236493
55.493095,56.896297,2016-12-22,59.259258,53.614815,58.970371,343460
53.744709,55.103703,2016-12-23,57.185184,54.814816,56.303703,156343
