adj_close,close,date,high,low,open,volume
14.446149,17.379999,2000-01-04,18.344999,17.100000,18.200001,1687100
13.876775,16.695000,2000-01-05,17.389999,16.500000,17.000000,1598200
13.988991,16.830000,2000-01-06,17.000000,16.530001,16.799999,850260
13.993144,16.834999,2000-01-07,17.100000,16.215000,16.215000,851440
13.789498,16.590000,2000-01-10,17.950001,16.500000,17.290001,1004340
13.581704,16.340000,2000-01-11,16.790001,15.700000,16.650000,1457840
13.752098,16.545000,2000-01-12,16.795000,16.230000,16.375000,859520
13.723006,16.510000,2000-01-13,16.990000,16.500000,16.990000,482760
13.752098,16.545000,2000-01-14,16.799999,16.400000,16.799999,581520
14.853429,17.870001,2000-01-17,17.870001,17.205000,17.400000,1374040
13.772878,16.570000,2000-01-18,17.870001,16.455000,17.870001,2556520
14.878368,17.900000,2000-01-19,17.900000,17.200001,17.200001,3498180
14.845120,17.860001,2000-01-20,18.480000,17.600000,18.480000,2690980
15.638909,18.815001,2000-01-21,19.200001,17.209999,17.600000,4723290
16.669588,20.055000,2000-01-24,20.320000,19.299999,19.879999,4493660
18.003653,21.660000,2000-01-25,21.660000,19.900000,19.900000,2902910
18.003653,21.660000,2000-01-26,21.660000,21.660000,21.660000,0
19.092516,22.969999,2000-01-27,23.395000,22.125000,22.400000,5635820
18.942904,22.790001,2000-01-28,23.299999,22.400000,23.000000,4791650
19.761629,23.775000,2000-01-31,24.615000,23.010000,23.010000,6373800
20.027609,24.094999,2000-02-01,24.400000,23.500000,23.600000,3907790
20.281118,24.400000,2000-02-02,26.025000,23.900000,26.020000,3438320
18.780823,22.594999,2000-02-03,25.000000,22.450001,24.400000,2846870
19.030184,22.895000,2000-02-04,23.200001,21.750000,22.995001,2657040
20.505543,24.670000,2000-02-07,24.730000,23.000000,23.500000,3890350
20.842180,25.075001,2000-02-08,25.379999,24.010000,25.000000,3052080
20.987640,25.250000,2000-02-09,26.100000,24.610001,25.500000,3172330
20.925299,25.174999,2000-02-10,26.200001,24.825001,25.000000,2100860
19.292004,23.209999,2000-02-11,25.900000,23.165001,25.510000,2648230
19.404219,23.344999,2000-02-14,23.500000,22.014999,23.500000,2525440
18.917969,22.760000,2000-02-15,23.500000,22.510000,23.400000,1940870
20.434896,24.584999,2000-02-16,24.584999,23.000000,24.490000,706000
20.813086,25.040001,2000-02-17,25.770000,24.815001,25.770000,2341600
