adj_close,close,date,high,low,open,volume
163.627396,163.627396,2013-07-17,171.513062,162.937408,171.513062,116981
162.493851,162.493851,2013-07-18,162.641693,155.446030,155.446030,22470
154.411041,154.411041,2013-07-19,159.487427,154.411041,157.713165,29124
147.461807,147.461807,2013-07-22,152.784622,146.722534,147.856079,11909
142.483978,142.483978,2013-07-23,144.898972,140.118286,140.463287,9295
139.970428,139.970428,2013-07-24,142.878265,135.534744,135.534744,4021
133.711182,133.711182,2013-07-25,137.013306,132.971909,133.218338,12386
140.364716,140.364716,2013-07-26,140.364716,127.057663,127.057663,5818
139.378998,139.378998,2013-07-29,147.363235,133.563324,133.563324,24303
143.913254,143.913254,2013-07-30,146.328247,133.070480,134.056183,26553
151.996063,151.996063,2013-07-31,162.543121,129.127655,137.999008,14340
159.043869,159.043869,2013-08-01,162.592407,152.784622,156.530304,20237
153.129623,153.129623,2013-08-02,169.541641,152.784622,160.670273,38858
156.481018,156.481018,2013-08-05,161.655991,149.975357,152.784622,29836
145.391815,145.391815,2013-08-06,157.713165,128.388367,150.813202,12642
145.243973,145.243973,2013-08-07,149.827499,141.941849,142.927551,18775
141.991135,141.991135,2013-08-08,152.193192,138.984726,139.083298,20969
142.336121,142.336121,2013-08-12,151.503204,141.202560,142.927551,12131
146.131104,146.131104,2013-08-13,151.601776,135.288315,135.288315,15381
150.221786,150.221786,2013-08-14,151.700348,145.145386,145.145386,10702
141.498276,141.498276,2013-08-16,150.221786,140.463287,150.221786,14094
137.604736,137.604736,2013-08-19,144.898972,135.041885,139.970428,6702
137.555450,137.555450,2013-08-20,142.927551,134.105469,136.027603,29459
137.013306,137.013306,2013-08-21,141.695419,136.274033,138.097580,25023
134.549042,134.549042,2013-08-22,138.294724,125.184822,125.184822,9816
128.930511,128.930511,2013-08-23,135.041885,126.170525,133.169052,40608
133.957611,133.957611,2013-08-26,137.703308,128.141937,130.113358,13171
130.261215,130.261215,2013-08-27,131.099060,128.240509,130.113358,2830
131.148346,131.148346,2013-08-28,133.316910,119.763428,130.014786,23241
128.289795,128.289795,2013-08-29,131.148346,125.184822,131.148346,1871
125.184822,125.184822,2013-08-30,129.127655,124.199112,128.141937,2000
124.396255,124.396255,2013-09-02,128.092651,123.311974,123.607689,1582
122.769836,122.769836,2013-09-03,126.071953,119.270576,123.213402,2086
124.100540,124.100540,2013-09-04,131.936920,114.342041,122.720551,8889
123.558403,123.558403,2013-09-05,127.156235,120.305573,123.213402,2073
121.537704,121.537704,2013-09-06,123.213402,119.369148,123.213402,3961
127.402664,127.402664,2013-09-10,128.930511,119.270576,127.106949,7979
123.656975,123.656975,2013-09-11,126.663383,120.749138,120.749138,5118
122.966980,122.966980,2013-09-12,133.070480,117.299164,122.375557,15284
122.276985,122.276985,2013-09-13,125.825531,121.340561,122.227699,1463
119.862000,119.862000,2013-09-16,124.889107,118.334152,121.931984,2609
117.299164,117.299164,2013-09-17,121.241989,115.919174,116.362740,2496
116.904877,116.904877,2013-09-18,122.227699,114.440613,122.227699,2573
118.827011,118.827011,2013-09-19,120.256287,117.792015,118.284866,3554
116.461311,116.461311,2013-09-20,120.009857,114.342041,118.284866,2825
114.095612,114.095612,2013-09-23,117.200592,109.413506,109.413506,3405
116.412025,116.412025,2013-09-24,124.199112,105.519958,109.906357,11845
112.567764,112.567764,2013-09-25,117.052734,111.384918,111.384918,2738
118.137016,118.137016,2013-09-26,119.270576,107.442085,107.442085,14076
115.229179,115.229179,2013-09-27,118.284866,113.356331,114.933464,2556
110.152786,110.152786,2013-09-30,115.327744,108.427795,111.384918,3064
106.407097,106.407097,2013-10-01,114.342041,103.499260,109.659927,28762
114.884178,114.884178,2013-10-03,116.214882,106.505669,108.427795,95378
109.955643,109.955643,2013-10-04,120.108429,108.674225,117.299164,159834
110.004929,110.004929,2013-10-07,114.342041,109.413506,112.074913,15294
109.561363,109.561363,2013-10-08,113.159187,109.413506,110.399208,6329
108.624939,108.624939,2013-10-09,111.927055,108.427795,108.477081,15189
108.477081,108.477081,2013-10-10,111.187775,108.427795,111.187775,4585
109.561363,109.561363,2013-10-11,112.272057,108.427795,111.187775,8250
108.427795,108.427795,2013-10-14,110.399208,108.427795,110.399208,10509
103.647118,103.647118,2013-10-15,107.737801,99.704285,107.737801,17439
101.922127,101.922127,2013-10-17,105.174965,100.197144,102.119270,5175
106.554955,106.554955,2013-10-18,108.427795,100.689995,101.626419,24286
102.907837,102.907837,2013-10-21,109.413506,100.640709,108.427795,21807
103.696404,103.696404,2013-10-22,105.273537,101.527847,102.513550,9478
102.759979,102.759979,2013-10-23,105.273537,101.133560,103.006409,13240
100.640709,100.640709,2013-10-24,104.484970,99.852142,102.710693,17347
102.069984,102.069984,2013-10-25,103.499260,99.063576,99.654999,23271
101.182846,101.182846,2013-10-28,102.513550,99.556435,100.098572,5093
100.295715,100.295715,2013-10-29,102.020699,99.950714,100.197144,3552
100.640709,100.640709,2013-10-30,101.527847,100.197144,100.197144,3931
99.802856,99.802856,2013-10-31,102.020699,98.620010,98.620010,5811
96.796448,96.796448,2013-11-01,100.295715,96.106453,99.556435,8703
96.500740,96.500740,2013-11-05,99.556435,93.691475,96.697884,4307
96.796448,96.796448,2013-11-06,98.275009,95.761459,96.599312,3256
93.888618,93.888618,2013-11-07,96.599312,93.445045,96.599312,4734
90.832924,90.832924,2013-11-08,94.627892,88.762939,94.627892,4866
87.777229,87.777229,2013-11-11,93.543617,86.890091,93.543617,7473
83.292259,83.292259,2013-11-12,91.276489,79.546577,87.432236,7930
80.433708,80.433708,2013-11-13,82.799408,79.842285,82.799408,3982
82.602264,82.602264,2013-11-14,83.735832,80.384422,80.384422,2799
81.517990,81.517990,2013-11-18,82.799408,80.877281,81.813698,2983
79.349434,79.349434,2013-11-19,81.715134,79.103004,80.581566,11716
81.567276,81.567276,2013-11-20,82.700836,76.244453,79.152290,6014
80.138000,80.138000,2013-11-21,81.665848,79.842285,81.025131,3080
